f_range,G_0,G,var,bias
0.0,(3.741690972819108-0.17632303308317637j),(3.743540054976221-0.17569125683160738j),0.0001617710757480386,(-0.0018490821571131022-0.0006317762515689884j)
0.005,(3.7169833602024327-0.3503174285378241j),(3.716180509860137-0.3504624490327186j),0.00017563701130828642,(0.0008028503422958799+0.00014502049489450997j)
0.01,(3.6765212344339626-0.5197559445389076j),(3.677383042258953-0.5201816421374048j),0.00012832552245607581,(-0.000861807824990457+0.0004256975984971989j)
0.015,(3.621331989105082-0.6826049983909342j),(3.621458559152029-0.6829626623172526j),0.00015774105046276882,(-0.00012657004694727192+0.0003576639263183079j)
0.02,(3.5527629478528726-0.8371000482690453j),(3.553681591213443-0.8374236627596066j),0.00022202053148999076,(-0.0009186433605705702+0.0003236144905612859j)
0.025,(3.4724029297719357-0.9817987981027669j),(3.4707512327955046-0.9818415509838755j),0.000285029709742647,(0.001651696976431083+4.275288110855424e-05j)
0.03,(3.3819968452900833-1.1156099265808543j),(3.381696463389163-1.1172835991415153j),0.0004002600888519971,(0.00030038190092041006+0.001673672560660977j)
0.035,(3.2833611504795948-1.2377979923314595j),(3.2858067664354134-1.2371070649711815j),0.00031532222066369157,(-0.002445615955818603-0.000690927360277982j)
0.04,(3.1783067186446274-1.3479675801501212j),(3.178318011703134-1.3449811580810613j),0.0004538165737066174,(-1.1293058506556264e-05-0.0029864220690598575j)
0.045,(3.0685737890883007-1.4460313309197002j),(3.0689188489370554-1.4457675746729521j),0.0004799235520547508,(-0.00034505984875465856-0.0002637562467480148j)
0.05,(2.955781555646475-1.5321671674378043j),(2.9536478366100933-1.5330832248081958j),0.0005884073869444065,(0.0021337190363817093+0.0009160573703914654j)
0.055,(2.841393026216591-1.606769902282197j),(2.8420631604833697-1.6084632457585109j),0.00045858356537293525,(-0.0006701342667785326+0.00169334347631378j)
0.06,(2.7266942569019488-1.6704017159833855j),(2.7244179208578116-1.6683879254914038j),0.000587218322746346,(0.0022763360441371283-0.002013790491981693j)
0.065,(2.612786040809993-1.7237449805542338j),(2.6136569055574905-1.725363356642825j),0.0007137684278958214,(-0.0008708647474975351+0.001618376088591278j)
0.07,(2.500585599129832-1.76755980327721j),(2.501845715105599-1.7695618148943169j),0.00064531684856211,(-0.0012601159757670288+0.0020020116171068914j)
0.075,(2.390835695723726-1.8026476458302163j),(2.393454612527532-1.801591591347731j),0.0007486584484353185,(-0.002618916803806215-0.001056054482485358j)
0.08,(2.2841187596807724-1.8298215324116356j),(2.285537287564001-1.8308766291616j),0.0009044914895234642,(-0.0014185278832288262+0.0010550967499645125j)
0.085,(2.180873936884638-1.849882735401002j),(2.1835756227399457-1.8490390842830464j),0.0010155742830356923,(-0.0027016858553077228-0.0008436511179554795j)
0.09,(2.0814154044612097-1.8636034129613295j),(2.0777068759340844-1.8601731547328109j),0.0008357212020531414,(0.003708528527125221-0.0034302582285186123j)
