f_range,G_0,G,var,bias
0.0,(3.7486680766458904-0.07066072854202388j),(3.748976451515944-0.06928729137518543j),0.00046152617896848584,(-0.0003083748700536404-0.001373437166838451j)
0.002,(3.744677977404511-0.141171033886482j),(3.744506326250928-0.14254759796778535j),0.0004055559747619585,(0.00017165115358297456+0.0013765640813033497j)
0.004,(3.7380466544851236-0.21138155835311465j),(3.7379180506808507-0.21046792976329456j),0.0003514962937648069,(0.00012860380427293094-0.0009136285898200813j)
0.006,(3.728802161916646-0.28114505948560986j),(3.728621814935888-0.27966665047722566j),0.0003436960419597892,(0.00018034698075775069-0.001478409008384196j)
0.008,(3.7169833602024327-0.3503174285378241j),(3.7168310375471583-0.3503603313618794j),0.0004488977726290204,(0.00015232265527442834+4.290282405527979e-05j)
0.01,(3.702639510971777-0.41875866311616866j),(3.7029244051299153-0.42081119648010074j),0.0005942969610833141,(-0.00028489415813837127+0.002052533363932074j)
0.012,(3.6858297694559945-0.48633378049643156j),(3.6856868904763944-0.4882866598182992j),0.0008324456116651803,(0.00014287897960008067+0.0019528793218676621j)
0.014,(3.666622584430625-0.5529136595872163j),(3.666234554460637-0.5546699574509585j),0.0009971363826060493,(0.00038802996998787975+0.0017562978637422066j)
0.016,(3.6450950167886296-0.6183758012245161j),(3.6455817037138663-0.6196360909734486j),0.0008769459608843998,(-0.000486686925236679+0.0012602897489325526j)
0.018000000000000002,(3.621331989105082-0.6826049983909342j),(3.6207809513144764-0.6825796310357397j),0.0008077052258960453,(0.000551037790605502-2.536735519453881e-05j)
0.02,(3.595425479398794-0.7454939099921816j),(3.5988624385777856-0.751094259348533j),0.0013041684365266793,(-0.003436959178991561+0.005600349356351453j)
0.022,(3.567473672781198-0.8069435339244774j),(3.568153438970347-0.8081787878630152j),0.0013547867337652337,(-0.0006797661891488893+0.0012352539385378503j)
0.024,(3.5375800848125296-0.8668635772627428j),(3.5382376000271054-0.8652167211608729j),0.0013440337499623747,(-0.000657515214575799-0.0016468561018698757j)
0.026000000000000002,(3.5058526701771258-0.9251727234285161j),(3.5045391363207297-0.925242384315097j),0.001361885886155899,(0.0013135338563960985+6.96608865808912e-05j)
0.028,(3.4724029297719357-0.9817987981027669j),(3.47436211369139-0.978018944464544j),0.0013122451584596934,(-0.001959183919454155-0.003779853638222974j)
0.03,(3.437345028512533-1.036678837385124j),(3.4384524966114562-1.0344926586945646j),0.0016152793218023331,(-0.0011074680989233698-0.0021861786905592595j)
0.032,(3.400794935142846-1.089759063230235j),(3.4023018007094503-1.085150595442295j),0.0014110282627097647,(-0.0015068655666041764-0.004608467787939885j)
0.034,(3.3628695941366793-1.1409947724873903j),(3.3645430652993302-1.1403323682518345j),0.0014701314234533106,(-0.0016734711626509302-0.0006624042355558579j)
0.036000000000000004,(3.323686138450748-1.190350146915041j),(3.325676144460698-1.187780115387149j),0.0017041444197101574,(-0.0019900060099500294-0.002570031527892036j)
0.038,(3.2833611504795948-1.2377979923314595j),(3.2792998600732832-1.2457264430860349j),0.0020776088026518446,(0.004061290406311535+0.007928450754575378j)
0.04,(3.2420099771195123-1.2833194155999177j),(3.2442846000564938-1.2835639050814778j),0.0020004737282692062,(-0.002274622936981441+0.000244489481560084j)
0.042,(3.1997461034141392-1.326903448442672j),(3.198660423180012-1.3226199598554453j),0.0023729011129130203,(0.0010856802341270289-0.004283488587226714j)
0.044,(3.156680587866605-1.3685466271508306j),(3.154607170165999-1.3676488485439808j),0.0022982509868357407,(0.002073417700605873-0.0008977786068498084j)
0.046,(3.1129215611933265-1.4082525371298562j),(3.113749507525381-1.407890466846916j),0.0024547733718343965,(-0.0008279463320546299-0.0003620702829401079j)
0.048,(3.0685737890883007-1.4460313309197002j),(3.0654893478572025-1.437132321405247j),0.002200332676912888,(0.0030844412310981895-0.008899009514453216j)
0.05,(3.02373829848235-1.4818992278828795j),(3.016458211574602-1.48986827052169j),0.002238828583771421,(0.007280086907748284+0.007969042638810375j)
