f_range,G_0,G,var,bias
0.0,(3.7486680766458904-0.07066072854202388j),(3.739395382229518-0.05283507342255707j),0.0013201065133710927,(0.009272694416372573-0.017825655119466807j)
0.002,(3.744677977404511-0.141171033886482j),(3.7390627734349926-0.1336285896870502j),0.0016145172167201102,(0.005615203969518312-0.007542444199431814j)
0.004,(3.7380466544851236-0.21138155835311465j),(3.735601999558026-0.2093453232326559j),0.00140608003519609,(0.002444654927097556-0.0020362351204587514j)
0.006,(3.728802161916646-0.28114505948560986j),(3.7287145730289906-0.28148778861863055j),0.0009274091232535538,(8.758888765525441e-05+0.00034272913302069163j)
0.008,(3.7169833602024327-0.3503174285378241j),(3.718270321458561-0.35125023389760207j),0.0007812840249486712,(-0.0012869612561283716+0.0009328053597779662j)
0.01,(3.702639510971777-0.41875866311616866j),(3.704307387637701-0.41951864061557315j),0.000821424948892951,(-0.0016678766659241617+0.000759977499404485j)
0.012,(3.6858297694559945-0.48633378049643156j),(3.6870322295376883-0.4868707238119178j),0.0010083384975444146,(-0.0012024600816937792+0.0005369433154862602j)
0.014,(3.666622584430625-0.5529136595872163j),(3.666688480332169-0.552228239228487j),0.0010471601493076662,(-6.589590154382208e-05-0.0006854203587293162j)
0.016,(3.6450950167886296-0.6183758012245161j),(3.6438097091150325-0.6194096663628506j),0.0009201308330695117,(0.0012853076735970248+0.0010338651383344777j)
0.018000000000000002,(3.621331989105082-0.6826049983909342j),(3.61984397463197-0.6855007545226462j),0.0012318108102666078,(0.001488014473111754+0.0028957561317120017j)
0.02,(3.595425479398794-0.7454939099921816j),(3.5951752838575524-0.7476311570651959j),0.0019477019653264128,(0.0002501955412417267+0.0021372470730143256j)
0.022,(3.567473672781198-0.8069435339244774j),(3.5666455473255105-0.8096573702681518j),0.005428907661642307,(0.0008281254556874451+0.0027138363436743917j)
0.024,(3.5375800848125296-0.8668635772627428j),(3.5430811727453215-0.8652088801462631j),0.0025610862027498653,(-0.005501087932791915-0.0016546971164796975j)
0.026000000000000002,(3.5058526701771258-0.9251727234285161j),(3.5092926512391824-0.9247090138576105j),0.0017317299475723216,(-0.003439981062056674-0.0004637095709055794j)
0.028,(3.4724029297719357-0.9817987981027669j),(3.473922970812991-0.9820471113818932j),0.0009183688002226065,(-0.0015200410410551868+0.00024831327912622214j)
0.03,(3.437345028512533-1.036678837385124j),(3.4344204470242943-1.037693601222802j),0.0007042574140035956,(0.002924581488238598+0.0010147638376780677j)
0.032,(3.400794935142846-1.089759063230235j),(3.3976967553422113-1.0909155448137773j),0.0008444052540263545,(0.0030981798006348704+0.0011564815835423126j)
0.034,(3.3628695941366793-1.1409947724873903j),(3.3582760690430855-1.1412978381819985j),0.0010908841739765034,(0.004593525093593787+0.00030306569460814003j)
0.036000000000000004,(3.323686138450748-1.190350146915041j),(3.319668630258625-1.1889005170704596j),0.001263549246606797,(0.004017508192123209-0.0014496298445814126j)
0.038,(3.2833611504795948-1.2377979923314595j),(3.2821447898719556-1.2357885403013122j),0.0015573150292042465,(0.0012163606076391886-0.0020094520301472407j)
0.04,(3.2420099771195123-1.2833194155999177j),(3.2454711149890163-1.2826012545668268j),0.0013839232163905893,(-0.003461137869503972-0.0007181610330908583j)
0.042,(3.1997461034141392-1.326903448442672j),(3.203774222139706-1.3249729428421406j),0.003842201357076229,(-0.004028118725566632-0.0019305056005314292j)
0.044,(3.156680587866605-1.3685466271508306j),(3.164081242154415-1.3689247956075246j),0.0012184317676073345,(-0.007400654287810227+0.00037816845669391697j)
0.046,(3.1129215611933265-1.4082525371298562j),(3.1148160275484957-1.4051755046850252j),0.001074703566072841,(-0.001894466355169211-0.0030770324448310404j)
0.048,(3.0685737890883007-1.4460313309197002j),(3.0689255701900926-1.4436936483540275j),0.002931097294862571,(-0.0003517811017919037-0.002337682565672683j)
0.05,(3.02373829848235-1.4818992278828795j),(3.0239714938620317-1.4820977927316379j),0.003888971713593386,(-0.0002331953796814723+0.00019856484875835356j)
0.052000000000000005,(2.9785120658319126-1.5158780031926673j),(2.980759348451491-1.519247214498262j),0.0031144503975710463,(-0.0022472826195785167+0.003369211305594755j)
0.054,(2.9329877651629688-1.5479944731055948j),(2.9355661192528295-1.5567395722497699j),0.004523656440813368,(-0.002578354089860735+0.008745099144175095j)
0.056,(2.8872535729292514-1.5782799827951834j),(2.8919164993807613-1.586488122732132j),0.0023760747094621255,(-0.004662926451509897+0.008208139936948466j)
0.058,(2.841393026216591-1.606769902282197j),(2.843624772239432-1.608820377380471j),0.0014372296306696527,(-0.0022317460228409303+0.0020504750982739406j)
0.06,(2.7954849304309164-1.6335031352432696j),(2.798720255770191-1.632763745611123j),0.0011769745947213727,(-0.0032353253392747305-0.000739389632146592j)
0.062,(2.7496033123362618-1.658521644733779j),(2.752710430964076-1.6562932862178843j),0.0013392931524581519,(-0.0031071186278142093-0.002228358515894646j)
0.064,(2.703817414149908-1.6818699991384178j),(2.706414268731158-1.6803967341430635j),0.001051036250607142,(-0.002596854581249808-0.0014732649953543842j)
0.066,(2.658191724341662-1.7035949409770903j),(2.6608673888156016-1.7029915463128718j),0.0013278420204827141,(-0.0026756644739394098-0.0006033946642185484j)
0.068,(2.612786040809993-1.7237449805542338j),(2.6163775523970716-1.7241011789195568j),0.00619097047716789,(-0.0035915115870785996+0.00035619836532307936j)
0.07,(2.5676555622055908-1.7423700158535955j),(2.5680554636261834-1.7403230677821262j),0.0010093113000896408,(-0.0003999014205926521-0.0020469480714693233j)
0.07200000000000001,(2.522851003329973-1.7595209795522044j),(2.5195916380692096-1.7573435950897804j),0.0007350534205404585,(0.003259365260763314-0.0021773844624239924j)
0.074,(2.4784187307404-1.7752495135590505j),(2.474474516489628-1.7733805888576757j),0.0008447854740261256,(0.003944214250772404-0.0018689247013747856j)
0.076,(2.4344009149310377-1.7896076710760707j),(2.4308434194734008-1.7889788811642324j),0.0013358118843044692,(0.00355749545763695-0.0006287899118382345j)
0.078,(2.390835695723726-1.8026476458302163j),(2.388406627352967-1.8031200373346148j),0.0011631564721697734,(0.0024290683707586247+0.0004723915043984839j)
0.08,(2.347757357780464-1.8144215278331646j),(2.346897532431067-1.8166198880697986j),0.002280045852880914,(0.0008598253493969921+0.0021983602366340005j)
0.082,(2.305196513436008-1.824981084786225j),(2.3021018240469173-1.8280830428375645j),0.001100931932138823,(0.0030946893890906324+0.003101958051339615j)
0.084,(2.2631802903359284-1.834377568058091j),(2.262278774548968-1.8335120576168231j),0.0013096612240335326,(0.0009015157869605162-0.0008655104412678138j)
0.08600000000000001,(2.221732521647629-1.842661542017925j),(2.219699013160017-1.84092096630199j),0.001757910728183161,(0.002033508487611968-0.001740575715935j)
0.088,(2.180873936884638-1.849882735401002j),(2.181459379239626-1.8471998113407355j),0.000942537820672156,(-0.0005854423549882526-0.0026829240602663784j)
0.09,(2.1406223516446685-1.8560899133142112j),(2.1418347890694314-1.8543468051845935j),0.0008412496800640568,(-0.0012124374247628467-0.0017431081296177542j)
0.092,(2.100992854806752-1.8613307684493625j),(2.1030497222262485-1.8603035247309954j),0.0007308611478620715,(-0.002056867419496733-0.0010272437183671546j)
0.094,(2.0619979919606815-1.8656518300590474j),(2.064029653888059-1.8659018643169794j),0.0008394779364775541,(-0.0020316619273774705+0.00025003425793190814j)
0.096,(2.023647944051766-1.8690983892586237j),(2.023166795589121-1.8703316585344059j),0.000791128372346727,(0.0004811484626450202+0.0012332692757821562j)
0.098,(1.9859507004152042-1.871714439244773j),(1.9829085638078994-1.8725777546196785j),0.001111742128816011,(0.0030421366073047906+0.0008633153749053601j)
0.1,(1.948912225547015-1.8735426290625703j),(1.9455151375761768-1.8740084537783872j),0.0009643473789561788,(0.003397087970838264+0.0004658247158169093j)
0.10200000000000001,(1.9125366191129325-1.874624229605915j),(1.9098274578227692-1.873424861871778j),0.0008761807295581299,(0.0027091612901632978-0.0011993677341370912j)
0.10400000000000001,(1.8768262688335247-1.8749991105976944j),(1.876983171128004-1.8724758430408708j),0.0007634439001478793,(-0.00015690229447939963-0.0025232675568236385j)
0.106,(1.841781996003894-1.8747057273637682j),(1.8433507923792827-1.8711422384432794j),0.001099084264355397,(-0.001568796375388759-0.0035634889204887443j)
0.108,(1.8074031935107289-1.8737811162866527j),(1.8094174225189843-1.870331663342669j),0.0010898463436293158,(-0.0020142290082554304-0.0034494529439836885j)
0.11,(1.7736879562992847-1.8722608978988982j),(1.7741726450296407-1.8696736788672104j),0.0007964642034322274,(-0.0004846887303560088-0.002587219031687793j)
0.112,(1.7406332043191963-1.870179286651008j),(1.741393241863722-1.8702138859831243j),0.0008637017512990879,(-0.0007600375445255825+3.459933211624744e-05j)
0.114,(1.7082347980421928-1.8675691064632576j),(1.7076488859612593-1.8675161864552443j),0.0013924369919672535,(0.0005859120809335039-5.292000801326857e-05j)
0.116,(1.676487646697829-1.8644618112437792j),(1.6757408828778928-1.8640030457664116j),0.0018849185092435514,(0.0007467638199361026-0.000458765477367562j)
0.11800000000000001,(1.6453858094165104-1.86088750962617j),(1.6438434028254432-1.864734261704144j),0.0012394894176721086,(0.0015424065910671914+0.003846752077973914j)
0.12,(1.6149225895034665-1.8568749932479078j),(1.613803774509715-1.8579694282084926j),0.0009789735269677819,(0.001118814993751549+0.0010944349605848114j)
0.122,(1.585090622093904-1.8524517679556731j),(1.5856498135822203-1.8528883513204861j),0.0011519556609030888,(-0.0005591914883162907+0.00043658336481300353j)
0.124,(1.5558819554594174-1.8476440873849582j),(1.5574046856256638-1.8485897105247595j),0.0012446011379733963,(-0.0015227301662463777+0.0009456231398012882j)
0.126,(1.527288126249632-1.842476988418854j),(1.5282099115003036-1.8417622241512366j),0.0010648415708885465,(-0.0009217852506715474-0.0007147642676175181j)
0.128,(1.4993002289619548-1.8369743280846251j),(1.4990764700755457-1.8344497116360376j),0.0007555387880804437,(0.0002237588864091311-0.00252461644858748j)
0.13,(1.471908979936857-1.831158821496501j),(1.4702582201909475-1.83054766872769j),0.0010183797467568651,(0.001650759745909447-0.000611152768811074j)
0.132,(1.445104776177036-1.8250520804991304j),(1.4421021845007151-1.8245841314855062j),0.0008660108140265865,(0.003002591676320776-0.0004679490136241249j)
0.134,(1.4188777492867028-1.8186746527084598j),(1.4157639478580435-1.817459317500661j),0.0008021895117232218,(0.0031138014286593574-0.0012153352077988178j)
0.136,(1.3932178148226555-1.8120460606854736j),(1.391533849232573-1.8099839696124165j),0.0009325130680799321,(0.0016839655900824368-0.002062091073057104j)
0.138,(1.368114717342158-1.8051848410134852j),(1.3667742339023123-1.802222633852557j),0.0010624193122555142,(0.0013404834398456078-0.0029622071609280987j)
0.14,(1.3435580714244542-1.7981085830816517j),(1.3432949269444359-1.79624579565119j),0.0013548579942281285,(0.0002631444800182958-0.0018627874304617542j)
0.14200000000000002,(1.319537398933247-1.7908339674062914j),(1.32164978875123-1.7878652993673259j),0.0014205759113892534,(-0.002112389817982896-0.0029686680389655606j)
0.14400000000000002,(1.2960421627771188-1.7833768033475716j),(1.3009422931636596-1.7791174920433286j),0.0010358574183538174,(-0.004900130386540802-0.004259311304243063j)
0.146,(1.273061797413772-1.7757520661024897j),(1.276936870778965-1.7729408294700515j),0.0007867700471666904,(-0.0038750733651931046-0.0028112366324382076j)
0.148,(1.2505857363325064-1.767973932875873j),(1.251971114723769-1.7675439702944795j),0.001123815549526989,(-0.001385378391262737-0.00042996258139349486j)
0.15,(1.228603436737598-1.760055818149685j),(1.227686628617909-1.7591090146620014j),0.0018522365248553785,(0.0009168081196890832-0.0009468034876836118j)
0.152,(1.2071044016434243-1.752010407987325j),(1.2063846146686015-1.7533463052744498j),0.001462364373326617,(0.0007197869748227781+0.0013358972871246877j)
0.154,(1.1860781995804313-1.7438496933241294j),(1.1803205445829297-1.7457517552700574j),0.001592497832788782,(0.005757654997501582+0.001902061945928013j)
0.156,(1.1655144820994137-1.735585002207998j),(1.1628814409549129-1.740444515844122j),0.0015224748366562619,(0.002633041144500803+0.004859513636124024j)
0.158,(1.1454029992502197-1.7272270309652193j),(1.1466222619428894-1.7285256372089435j),0.0011203746831246319,(-0.0012192626926696981+0.001298606243724132j)
0.16,(1.1257336131999698-1.718785874276266j),(1.1245250057297687-1.7188491079281314j),0.0011630236256539568,(0.0012086074702011285+6.323365186533536e-05j)
0.162,(1.1064963101451648-1.710271054154722j),(1.1093672332330569-1.709920914508172j),0.000929270757422078,(-0.002870923087892052-0.0003501396465499518j)
0.164,(1.0876812106618376-1.7016915478297148j),(1.0887443229170928-1.702061593361212j),0.0008588068154855533,(-0.0010631122552551275+0.00037004553149722064j)
0.166,(1.0692785786280312-1.6930558145384145j),(1.067915567595038-1.6954571809028915j),0.001230505153715686,(0.0013630110329931888+0.0024013663644770755j)
0.168,(1.05127882884355-1.684371821240384j),(1.0516441314165492-1.6862857525241775j),0.0013444946343878386,(-0.00036530257299927094+0.0019139312837934686j)
0.17,(1.0336725334629917-1.6756470672699604j),(1.033946885602569-1.6799169152846967j),0.0008265456084764655,(-0.0002743521395773829+0.004269848014736288j)
0.17200000000000001,(1.0164504273496444-1.666888607946522j),(1.0170947815098434-1.6724564166539324j),0.000912840473310508,(-0.0006443541601990344+0.005567808707410471j)
0.17400000000000002,(0.9996034124498738-1.658103077165468j),(1.0010867862559176-1.6614503158801128j),0.000946170066234897,(-0.0014833738060437973+0.003347238714644929j)
0.176,(0.9831225612800789-1.6492967089951993j),(0.9851835825365639-1.6544309609980865j),0.0011307460537409667,(-0.002061021256484996+0.005134252002887196j)
0.178,(0.96699911961129-1.6404753583072582j),(0.9703270966905252-1.6429885714206174j),0.0009808103814576198,(-0.003327977079235156+0.0025132131133591695j)
0.18,(0.9512245084298007-1.6316445204683026j),(0.951572254623289-1.6309633629786096j),0.0007834292459584977,(-0.0003477461934883186-0.0006811574896929962j)
0.182,(0.93579032524609-1.6228093501236225j),(0.9325144945992138-1.6211193554814056j),0.0012459726231335414,(0.003275830646876199-0.0016899946422168632j)
0.184,(0.9206883448184614-1.6139746791027025j),(0.9167953330855049-1.6125829646061514j),0.0015841049879256786,(0.0038930117329565306-0.0013917144965511774j)
0.186,(0.9059105193524369-1.6051450334777344j),(0.9017036730607021-1.6051815144127346j),0.0023147693230002185,(0.004206846291734845+3.648093500019378e-05j)
0.188,(0.891448978231932-1.5963246498062325j),(0.8873706658534513-1.5990884398888725j),0.0017848975937817496,(0.004078312378480775+0.0027637900826400497j)
0.19,(0.8772960273335381-1.587517490588863j),(0.874216070930671-1.5892992948956308j),0.000919999171850139,(0.003079956402867068+0.0017818043067678868j)
0.192,(0.863444147970923-1.57872725897342j),(0.8633780623957747-1.5791408897826764j),0.0012679306968726679,(6.608557514820035e-05+0.0004136308092563823j)
0.194,(0.8498859955123207-1.5699574127355287j),(0.8517712725308781-1.5679547010693051j),0.0013591695548863703,(-0.0018852770185574519-0.0020027116662235667j)
0.196,(0.8366143977103576-1.5612111775661797j),(0.837744860922311-1.558491563471271j),0.0013173068499420257,(-0.0011304632119534253-0.002719614094908618j)
0.198,(0.8236223527800214-1.5524915596956346j),(0.8231130047136075-1.5504576290240584j),0.0009589384306759503,(0.000509348066413895-0.0020339306715762007j)
0.2,(0.8109030272573859-1.5438013578825496j),(0.8084037084177896-1.5447556624781862j),0.0009553630507570348,(0.0024993188395963095+0.0009543045956366125j)
0.202,(0.7984497536687658-1.5351431747964615j),(0.7960163951909521-1.5357401580425318j),0.0013666237936552552,(0.002433358477813674+0.0005969832460703817j)
0.20400000000000001,(0.7862560280372718-1.5265194278209575j),(0.785094720195721-1.5264618611406884j),0.0029889847196819014,(0.0011613078415507738-5.75666802691277e-05j)
0.20600000000000002,(0.7743155072512293-1.5179323593040577j),(0.7761201676231535-1.513667329391196j),0.004994458063689176,(-0.0018046603719241716-0.004265029912861706j)
0.20800000000000002,(0.7626220063166317-1.5093840462814503j),(0.7690267348612985-1.5021475231702786j),0.0007285397081930381,(-0.006404728544666782-0.007236523111171733j)
0.21,(0.7511694955136827-1.5008764096973577j),(0.7543787846425265-1.4981204718687429j),0.0010283494433362256,(-0.003209289128843773-0.0027559378286148295j)
0.212,(0.7399520974755515-1.492411223146908j),(0.7439773145652581-1.4917958013707695j),0.0013851203225151319,(-0.004025217089706601-0.0006154217761384917j)
0.214,(0.7289640842056658-1.4839901211630224j),(0.7323579590629956-1.4841724952075022j),0.000906026428308694,(-0.0033938748573297817+0.00018237404447973837j)
0.216,(0.718199874048247-1.4756146070698846j),(0.7194213527638088-1.4765168726691247j),0.0007236863344395857,(-0.0012214787155617746+0.0009022655992401152j)
0.218,(0.7076540286253036-1.4672860604242333j),(0.7086678042823844-1.467777015880908j),0.0008196354534723782,(-0.0010137756570808287+0.0004909554566747687j)
0.22,(0.697321249751893-1.4590057440647919j),(0.6967806566987502-1.4583041286788136j),0.0009026196213354617,(0.0005405930531428016-0.0007016153859782381j)
0.222,(0.6871963763402712-1.4507748107893303j),(0.6850845176326525-1.4501630978905495j),0.0008914593734041793,(0.0021118587076186524-0.000611712898780814j)
0.224,(0.677274381302334-1.442594309677982j),(0.6734414131843347-1.4408451922985583j),0.0010146854757144977,(0.003832968117999269-0.001749117379423737j)
0.226,(0.6675503684587681-1.4344651920806388j),(0.6643802564538747-1.4336295775396553j),0.001140706446685127,(0.0031701120048934772-0.0008356145409835758j)
0.228,(0.6580195694623413-1.4263883172854352j),(0.6573920134345691-1.4263922731938417j),0.0010965263799505563,(0.0006275560277722025+3.955908406405584e-06j)
