f_range,G_0,G,var,bias
0.0,(3.741690972819108-0.17632303308317637j),(3.7416563899057382-0.17885647291772114j),0.0003326272315346333,(3.458291336988495e-05+0.002533439834544765j)
0.005,(3.7169833602024327-0.3503174285378241j),(3.717293497893564-0.35084156524558735j),0.00029784849763471693,(-0.00031013769113119594+0.0005241367077632453j)
0.01,(3.6765212344339626-0.5197559445389076j),(3.6779876560855214-0.5195253416760898j),0.0002874234710659009,(-0.001466421651558747-0.00023060286281784137j)
0.015,(3.621331989105082-0.6826049983909342j),(3.6221492023525474-0.6813627958200164j),0.0002805009853636537,(-0.0008172132474655314-0.001242202570917894j)
0.02,(3.5527629478528726-0.8371000482690453j),(3.5545666104600038-0.8363557580754912j),0.0004393187382067614,(-0.0018036626071311623-0.0007442901935540425j)
0.025,(3.4724029297719357-0.9817987981027669j),(3.469524048846498-0.9826780178219506j),0.0005949854823657315,(0.0028788809254378656+0.0008792197191836992j)
0.03,(3.3819968452900833-1.1156099265808543j),(3.3856798661227137-1.1173207783509909j),0.0006856509196863146,(-0.0036830208326303904+0.0017108517701365233j)
0.035,(3.2833611504795948-1.2377979923314595j),(3.2892076110373907-1.2382403149069017j),0.0006461947732710007,(-0.005846460557795918+0.0004423225754421889j)
0.04,(3.1783067186446274-1.3479675801501212j),(3.1829090470190238-1.349327214419902j),0.0007782948571757238,(-0.004602328374396336+0.0013596342697808073j)
0.045,(3.0685737890883007-1.4460313309197002j),(3.0682628317417637-1.4435181714075451j),0.0010157530270702563,(0.0003109573465369664-0.0025131595121550276j)
0.05,(2.955781555646475-1.5321671674378043j),(2.9597928902494868-1.5349758094678916j),0.0011246291302649944,(-0.004011334603011729+0.0028086420300872383j)
0.055,(2.841393026216591-1.606769902282197j),(2.843451209804997-1.6025013861388877j),0.001103671370835027,(-0.0020581835884057043-0.004268516143309364j)
0.06,(2.7266942569019488-1.6704017159833855j),(2.7289829108991603-1.669692551218275j),0.0011775026364690877,(-0.002288653997211565-0.0007091647651105148j)
0.065,(2.612786040809993-1.7237449805542338j),(2.6126746836107033-1.7242361420687735j),0.0012112014602577972,(0.00011135719928967447+0.0004911615145397619j)
0.07,(2.500585599129832-1.76755980327721j),(2.5024756590965764-1.7675656496967274j),0.0013339273092544015,(-0.0018900599667444062+5.846419517396839e-06j)
0.075,(2.390835695723726-1.8026476458302163j),(2.3916651871449233-1.8046264311503024j),0.0012775842184612235,(-0.0008294914211974813+0.001978785320086107j)
0.08,(2.2841187596807724-1.8298215324116356j),(2.2903610469401183-1.8283607829268993j),0.0015089470015513143,(-0.006242287259345947-0.00146074948473629j)
0.085,(2.180873936884638-1.849882735401002j),(2.1785872781804376-1.8529827446743374j),0.0017185063453691108,(0.002286658704200306+0.0031000092733355356j)
0.09,(2.0814154044612097-1.8636034129613295j),(2.0801908390060317-1.8601373675885997j),0.0015983069764481117,(0.0012245654551779062-0.0034660453727297647j)
