f_range,G_0,G,var,bias
0.0,(3.7486680766458904-0.07066072854202388j),(3.7495770198977385-0.07038655833832136j),1.562166634175184e-05,(-0.0009089432518480933-0.0002741702037025173j)
0.002,(3.744677977404511-0.141171033886482j),(3.7445035724234033-0.1418400916070566j),2.3583088838292216e-05,(0.00017440498110765645+0.0006690577205746007j)
0.004,(3.7380466544851236-0.21138155835311465j),(3.737746001155387-0.211140023574182j),3.3778272518050614e-05,(0.000300653329736722-0.00024153477893265607j)
0.006,(3.728802161916646-0.28114505948560986j),(3.727916127161251-0.28100189507693896j),2.6165357704531723e-05,(0.0008860347553949488-0.00014316440867090385j)
0.008,(3.7169833602024327-0.3503174285378241j),(3.716646071904389-0.3496923573119161j),2.726933422313374e-05,(0.000337288298043692-0.0006250712259079916j)
0.01,(3.702639510971777-0.41875866311616866j),(3.7030523062325957-0.4182465120223213j),1.817344083129758e-05,(-0.00041279526081883233-0.000512151093847335j)
0.012,(3.6858297694559945-0.48633378049643156j),(3.6856179154684874-0.48711616625333065j),2.9153368266655164e-05,(0.0002118539875071157+0.0007823857568990955j)
0.014,(3.666622584430625-0.5529136595872163j),(3.667727210804003-0.5527413237188107j),1.304903901396781e-05,(-0.001104626373377826-0.00017233586840559312j)
0.016,(3.6450950167886296-0.6183758012245161j),(3.6457057544397897-0.6189667497977072j),3.2165494676534254e-05,(-0.0006107376511601537+0.0005909485731910857j)
0.018000000000000002,(3.621331989105082-0.6826049983909342j),(3.621442846107428-0.6826218312922905j),2.5217977415308476e-05,(-0.00011085700234625406+1.6832901356234053e-05j)
0.02,(3.595425479398794-0.7454939099921816j),(3.5948606185205314-0.7458803287550352j),4.8612141651804417e-05,(0.0005648608782626852+0.0003864187628536131j)
0.022,(3.567473672781198-0.8069435339244774j),(3.5658953329747742-0.8081742391073743j),5.639794891316659e-05,(0.0015783398064237453+0.0012307051828969184j)
0.024,(3.5375800848125296-0.8668635772627428j),(3.538206080890906-0.866248061666438j),2.462768670937674e-05,(-0.000625996078376545-0.0006155155963047942j)
0.026000000000000002,(3.5058526701771258-0.9251727234285161j),(3.505672005889021-0.9257284552593682j),1.717824142865431e-05,(0.00018066428810481483+0.0005557318308521131j)
0.028,(3.4724029297719357-0.9817987981027669j),(3.4723281648509796-0.9812563194891945j),1.6658281717851337e-05,(7.47649209560386e-05-0.0005424786135724835j)
0.03,(3.437345028512533-1.036678837385124j),(3.436494284793509-1.0365794528782457j),5.471106537554217e-05,(0.0008507437190239386-9.938450687818623e-05j)
0.032,(3.400794935142846-1.089759063230235j),(3.4006468573297792-1.0888956553367717j),4.375454656341108e-05,(0.0001480778130669158-0.0008634078934632861j)
0.034,(3.3628695941366793-1.1409947724873903j),(3.361657186117985-1.1414705537929204j),5.117652087447603e-05,(0.0012124080186941555+0.00047578130553005415j)
0.036000000000000004,(3.323686138450748-1.190350146915041j),(3.323325878379585-1.1906939026307088j),2.9873117458305835e-05,(0.00036026007116296554+0.00034375571566780394j)
0.038,(3.2833611504795948-1.2377979923314595j),(3.2837754512688266-1.2372635166949946j),2.1137241348599374e-05,(-0.00041430078923188063-0.000534475636464915j)
0.04,(3.2420099771195123-1.2833194155999177j),(3.2428578113470286-1.2822053187900995j),2.1405070193414367e-05,(-0.0008478342275162198-0.0011140968098182213j)
0.042,(3.1997461034141392-1.326903448442672j),(3.199980884479986-1.3268233278234223j),1.5169285578271254e-05,(-0.00023478106584695624-8.012061924977942e-05j)
0.044,(3.156680587866605-1.3685466271508306j),(3.1569659782614345-1.369015992039701j),1.5125384769570506e-05,(-0.00028539039482966544+0.0004693648888702828j)
0.046,(3.1129215611933265-1.4082525371298562j),(3.112739234989397-1.4075446789690507j),5.077876101378112e-05,(0.0001823262039293283-0.0007078581608055412j)
0.048,(3.0685737890883007-1.4460313309197002j),(3.068370258667641-1.4461307991380545j),1.7646457991858966e-05,(0.0002035304206597921+9.946821835438158e-05j)
0.05,(3.02373829848235-1.4818992278828795j),(3.0232228759445214-1.4810212873965056j),7.883461088731676e-05,(0.0005154225378287691-0.0008779404863739071j)
0.052000000000000005,(2.9785120658319126-1.5158780031926673j),(2.9771372829803586-1.5149522320725874j),6.952141142137687e-05,(0.0013747828515540128-0.0009257711200798546j)
0.054,(2.9329877651629688-1.5479944731055948j),(2.9327665484780105-1.5465420259520406j),4.7662250140527126e-05,(0.00022121668495822533-0.0014524471535541927j)
0.056,(2.8872535729292514-1.5782799827951834j),(2.887152813232085-1.578225195587622j),1.2005262674080339e-05,(0.00010075969716627498-5.4787207561357576e-05j)
0.058,(2.841393026216591-1.606769902282197j),(2.84066810235346-1.606824803419322j),3.559992846685047e-05,(0.0007249238631312771+5.490113712491862e-05j)
0.06,(2.7954849304309164-1.6335031352432696j),(2.794293020713033-1.6333641761126327j),5.377524553969464e-05,(0.0011919097178831883-0.00013895913063688425j)
0.062,(2.7496033123362618-1.658521644733779j),(2.7486625460809084-1.6581605358968856j),4.3921030755608416e-05,(0.0009407662553533314-0.0003611088368933313j)
0.064,(2.703817414149908-1.6818699991384178j),(2.704217363904356-1.68109433738475j),1.5880814303293175e-05,(-0.00039994975444779257-0.0007756617536678334j)
0.066,(2.658191724341662-1.7035949409770903j),(2.656874443641172-1.7030817880091076j),3.532393148611239e-05,(0.0013172807004901976-0.0005131529679827107j)
0.068,(2.612786040809993-1.7237449805542338j),(2.612409468609574-1.7234610565287714j),1.3867293689865787e-05,(0.0003765722004192007-0.0002839240254624009j)
0.07,(2.5676555622055908-1.7423700158535955j),(2.56717766679488-1.7427419423949762j),2.9653826110884444e-05,(0.0004778954107109712+0.0003719265413806294j)
0.07200000000000001,(2.522851003329973-1.7595209795522044j),(2.522660386856803-1.759660815384606j),3.0962332871368665e-05,(0.00019061647316975794+0.00013983583240162467j)
0.074,(2.4784187307404-1.7752495135590505j),(2.4785825780628334-1.7755501307516175j),1.4708483490613548e-05,(-0.00016384732243324152+0.0003006171925670209j)
0.076,(2.4344009149310377-1.7896076710760707j),(2.434751123289803-1.78943228450114j),1.9882183495732166e-05,(-0.0003502083587654248-0.00017538657493076926j)
0.078,(2.390835695723726-1.8026476458302163j),(2.390819766194857-1.802704468900165j),2.969089030030942e-05,(1.592952886886323e-05+5.6823069948697125e-05j)
0.08,(2.347757357780464-1.8144215278331646j),(2.347729512240824-1.81521989255949j),2.1311935977092743e-05,(2.784553963985914e-05+0.0007983647263254401j)
0.082,(2.305196513436008-1.824981084786225j),(2.3053594006636438-1.824785994845574j),1.8855248039295417e-05,(-0.00016288722763579955-0.00019508994065087215j)
0.084,(2.2631802903359284-1.834377568058091j),(2.262718132242243-1.8346983542060704j),1.7222235167556234e-05,(0.0004621580936854386+0.00032078614797947935j)
0.08600000000000001,(2.221732521647629-1.842661542017925j),(2.221519401510704-1.8423914199130702j),2.0675921576227092e-05,(0.00021312013692487142-0.0002701221048548863j)
0.088,(2.180873936884638-1.849882735401002j),(2.1814649321204023-1.8499134844201766j),1.9364678518350578e-05,(-0.0005909952357643355+3.074901917465844e-05j)
0.09,(2.1406223516446685-1.8560899133142112j),(2.140822972076982-1.856211534719127j),2.3514507549285297e-05,(-0.00020062043231350302+0.00012162140491578377j)
0.092,(2.100992854806752-1.8613307684493625j),(2.10012844520294-1.8607805660553274j),1.9636311931458863e-05,(0.0008644096038117333-0.0005502023940351375j)
0.094,(2.0619979919606815-1.8656518300590474j),(2.0612548698043365-1.8653781273072998j),1.6956616740248513e-05,(0.0007431221563449775-0.0002737027517476509j)
0.096,(2.023647944051766-1.8690983892586237j),(2.023083084134798-1.8686194766290403j),1.939600654818933e-05,(0.0005648599169680857-0.00047891262958343894j)
0.098,(1.9859507004152042-1.871714439244773j),(1.9861386255356932-1.8715463179296328j),2.0137157144923993e-05,(-0.00018792512048904086-0.0001681213151403238j)
0.1,(1.948912225547015-1.8735426290625703j),(1.9487275449463273-1.874169653749232j),1.879176231633276e-05,(0.00018468060068776992+0.000627024686661759j)
0.10200000000000001,(1.9125366191129325-1.874624229605915j),(1.9125528436396502-1.8740188684619903j),2.0723263519551874e-05,(-1.62245267176786e-05-0.000605361143924732j)
0.10400000000000001,(1.8768262688335247-1.8749991105976944j),(1.8758919164681442-1.8748386726316917j),2.1171115570743105e-05,(0.0009343523653804198-0.00016043796600273552j)
