f_range,G_0,G,var,bias
0.0,(3.741690972819108-0.17632303308317637j),(3.741690152100564-0.1761003770234088j),1.2022653726294597e-05,(8.207185442365983e-07-0.00022265605976756753j)
0.005,(3.7169833602024327-0.3503174285378241j),(3.7175998221331192-0.35045595860252204j),1.1941469819077546e-05,(-0.0006164619306865404+0.00013853006469793927j)
0.01,(3.6765212344339626-0.5197559445389076j),(3.6764164631549443-0.5197995741657773j),1.241223049446689e-05,(0.00010477127901831196+4.362962686965677e-05j)
0.015,(3.621331989105082-0.6826049983909342j),(3.6212576154789695-0.6823458137650649j),9.022706041674306e-06,(7.437362611240061e-05-0.00025918462586937974j)
0.02,(3.5527629478528726-0.8371000482690453j),(3.552844424290678-0.8368465157771243j),1.1582527357360887e-05,(-8.147643780542779e-05-0.0002535324919209492j)
0.025,(3.4724029297719357-0.9817987981027669j),(3.4720982054838005-0.9819315221704824j),1.066381512919033e-05,(0.0003047242881351053+0.00013272406771547285j)
0.03,(3.3819968452900833-1.1156099265808543j),(3.382302986701895-1.1159313425748196j),1.0468270367037574e-05,(-0.0003061414118117334+0.0003214159939652905j)
0.035,(3.2833611504795948-1.2377979923314595j),(3.2829719655617806-1.2379445263303555j),1.119458999963527e-05,(0.0003891849178141449+0.00014653399889597019j)
0.04,(3.1783067186446274-1.3479675801501212j),(3.178399898511445-1.3475522828125042j),1.1446920968489762e-05,(-9.317986681756096e-05-0.0004152973376170266j)
0.045,(3.0685737890883007-1.4460313309197002j),(3.068694075012067-1.445677312667457j),1.1762820884575252e-05,(-0.00012028592376633895-0.0003540182522432378j)
0.05,(2.955781555646475-1.5321671674378043j),(2.9556899688685854-1.5325424345103644j),8.919520850574088e-06,(9.158677788967395e-05+0.0003752670725600815j)
0.055,(2.841393026216591-1.606769902282197j),(2.8413487623698144-1.6067183627408212j),1.179037901376613e-05,(4.426384677680417e-05-5.1539541375822395e-05j)
0.06,(2.7266942569019488-1.6704017159833855j),(2.7268786266540266-1.6702553598224963j),1.261464823868612e-05,(-0.00018436975207780648-0.000146356160889205j)
