f_range,G_0,G,var,bias
0.0,(3.698665733066395-0.43573879106571345j),(3.6985300595362247-0.4357599508425392j),2.667099697326663e-06,(0.00013567353017007733+2.11597768257632e-05j)
0.0125,(3.5527629478528726-0.8371000482690453j),(3.5530819361762367-0.8374437332410368j),1.6692254702305157e-06,(-0.0003189883233640778+0.00034368497199155357j)
0.025,(3.3335935589764825-1.178189216430162j),(3.333336819331737-1.1777893596630515j),2.359816288821117e-06,(0.000256739644745263-0.00039985676711040696j)
0.037500000000000006,(3.0685737890883007-1.4460313309197002j),(3.0687348488402-1.446135289815716j),3.404657362244515e-06,(-0.000161059751899284+0.0001039588960158877j)
0.05,(2.7840092571970665-1.6399168181130523j),(2.783977878012192-1.640106013402192j),4.464172033937575e-06,(3.137918487450264e-05+0.00018919528913974304j)
0.0625,(2.5005855991298316-1.7675598032772097j),(2.500377818538697-1.7676244194019695j),5.04503461797732e-06,(0.00020778059113446545+6.46161247597199e-05j)
0.07500000000000001,(2.2320399863225515-1.8406921111817676j),(2.2317303389617638-1.840673173877143j),5.235165478229024e-06,(0.000309647360787757-1.8937304624655482e-05j)
0.08750000000000001,(1.9859507004152042-1.871714439244773j),(1.9857186792710202-1.8716505524826763j),5.358725487709454e-06,(0.00023202114418396924-6.388676209678756e-05j)
0.1,(1.7653624922656015-1.8717918198607968j),(1.7652984257838404-1.871488839052894j),6.0891224196922055e-06,(6.406648176104923e-05-0.00030298080790269744j)
0.1125,(1.5704088939895926-1.8500943916836667j),(1.5706193299663866-1.8497328784624723j),9.292727674950512e-06,(-0.00021043597679404336-0.00036151322119448714j)
0.125,(1.39958019184513-1.8137257251343124j),(1.3997999836999342-1.813437042410475j),7.979107802061067e-06,(-0.0002197918548041411-0.000288682723837308j)
0.1375,(1.2505857363325064-1.767973932875873j),(1.2503639843773884-1.7675620391427764j),8.078117754170335e-06,(0.00022175195511797696-0.00041189373309657995j)
0.15000000000000002,(1.1208841679404082-1.7166637154192637j),(1.120574599193925-1.7158891919881842j),1.0612063495022263e-05,(0.00030956874648313537-0.0007745234310794213j)
0.1625,(1.007980595498702-1.6624988277343884j),(1.0075987514066815-1.6617846891675236j),8.437496121150542e-06,(0.0003818440920204669-0.0007141385668647526j)
0.17500000000000002,(0.9095750196384927-1.6073517372666086j),(0.9091432726898512-1.6071008949858958j),7.583273064816759e-06,(0.0004317469486415648-0.0002508422807128152j)
0.1875,(0.8236223527800214-1.5524915596956346j),(0.8232299063134467-1.552280943505234j),1.1451232036300267e-05,(0.00039244646657465854-0.00021061619040052548j)
0.2,(0.7483433304618728-1.4987560672054858j),(0.74827122635754-1.4986486081408725j),1.3988159010626175e-05,(7.210410433289294e-05-0.00010745906461329113j)
0.21250000000000002,(0.6822103280678328-1.4466781945311655j),(0.6819471749972992-1.4461076214640136j),1.1366865033961961e-05,(0.00026315307053359493-0.0005705730671519138j)
0.225,(0.6239220333440466-1.396577574411105j),(0.6235493383326398-1.395545804173467j),1.2770348143513641e-05,(0.0003726950114067984-0.0010317702376381188j)
0.23750000000000002,(0.5723746816484291-1.3486260712256268j),(0.5716279645510306-1.347523255489655j),1.4748535925191552e-05,(0.000746717097398486-0.0011028157359718183j)
0.25,(0.526633850126938-1.3028943648187656j),(0.5260694421096969-1.3022377466075152j),1.6982882794003457e-05,(0.0005644080172411137-0.0006566182112504038j)
0.2625,(0.4859086809387866-1.2593848924410591j),(0.4857989783173867-1.2587354275461105j),1.657777929008503e-05,(0.00010970262139986531-0.0006494648949486592j)
0.275,(0.44952923146546364-1.2180550431132249j),(0.4492098150732087-1.2171566637140223j),1.3821338980165352e-05,(0.00031941639225496754-0.0008983793992025646j)
0.28750000000000003,(0.4169270345940796-1.1788334180673645j),(0.41604203499681264-1.177892534620322j),1.5950505338005184e-05,(0.0008849995972669555-0.0009408834470425731j)
0.30000000000000004,(0.3876186542208151-1.1416311717135714j),(0.3872861538268046-1.140778102487473j),2.016994978640505e-05,(0.00033250039401050424-0.0008530692260984019j)
0.3125,(0.36119189799537443-1.1063498679464616j),(0.3614925083635637-1.1051491707332604j),1.908573032747379e-05,(-0.0003006103681892913-0.0012006972132012628j)
0.325,(0.3372943188308948-1.0728868710634212j),(0.3371501143440592-1.0714627793762317j),1.6379379472408103e-05,(0.00014420448683555298-0.0014240916871894882j)
0.3375,(0.3156236522679876-1.0411389946275043j),(0.31547753026473196-1.0402035211744791j),1.8259224699447707e-05,(0.00014612200325564428-0.0009354734530251374j)
0.35000000000000003,(0.2959198726576731-1.0110049215669235j),(0.2960736972566872-1.0105732972908494j),2.154957941842176e-05,(-0.00015382459901408518-0.0004316242760740163j)
0.36250000000000004,(0.27795859354634395-0.982386759923264j),(0.27783098939394113-0.98161342582884j),1.7358583643266314e-05,(0.00012760415240281597-0.0007733340944239275j)
0.375,(0.26154557961787045-0.955190993126174j),(0.2604138431081837-0.9536665375373715j),1.905565660026589e-05,(0.0011317365096867316-0.0015244555888024314j)
0.3875,(0.24651217584701315-0.9293290087936947j),(0.24556226796082584-0.9277205512774076j),2.1738255132473915e-05,(0.0009499078861873178-0.0016084575162871317j)
0.4,(0.23271149294720475-0.9047173368529536j),(0.23226836773210388-0.9034502524616397j),2.4212641860306727e-05,(0.0004431252151008702-0.0012670843913139551j)
0.41250000000000003,(0.2200152166047218-0.8812776899082854j),(0.21990959338722468-0.8801245838801757j),2.1078755989589215e-05,(0.00010562321749713055-0.001153106028109696j)
