f_range,G_0,G,var,bias
0.0,(3.698665733066395-0.43573879106571345j),(3.65115136388854-0.2795958141164694j),1.2527659763552081,(0.04751436917785501-0.15614297694924406j)
0.0125,(3.5527629478528726-0.8371000482690453j),(3.593782679123983-0.8109278949111003j),0.7381001964900616,(-0.04101973127111025-0.026172153357944983j)
0.025,(3.3335935589764825-1.178189216430162j),(3.34443758172941-1.2703860172321837j),0.6942210963896356,(-0.010844022752927618+0.09219680080202175j)
0.037500000000000006,(3.0685737890883007-1.4460313309197002j),(3.1659862533277052-1.4113862638316548j),1.0918026826223985,(-0.09741246423940453-0.03464506708804538j)
0.05,(2.7840092571970665-1.6399168181130523j),(2.7151031494749858-1.6058687111566574j),1.6517450707589136,(0.06890610772208072-0.03404810695639493j)
0.0625,(2.5005855991298316-1.7675598032772097j),(2.5376607186088616-1.8090691103045158j),1.7013744445847905,(-0.03707511947902997+0.04150930702730604j)
0.07500000000000001,(2.2320399863225515-1.8406921111817676j),(2.2437759500943963-1.8043952219836326j),2.2948509038980056,(-0.011735963771844826-0.03629688919813501j)
0.08750000000000001,(1.9859507004152042-1.871714439244773j),(1.935246352522857-1.6293387198088647j),2.2172348591044373,(0.050704347892347235-0.2423757194359084j)
0.1,(1.7653624922656015-1.8717918198607968j),(1.5519180295385997-1.8021312219657737j),2.714457595089401,(0.2134444627270018-0.0696605978950231j)
0.1125,(1.5704088939895926-1.8500943916836667j),(1.6039554036250148-1.9241780115020917j),3.0943220797805195,(-0.03354650963542216+0.07408361981842493j)
0.125,(1.39958019184513-1.8137257251343124j),(1.3746635810919299-1.9772491216525234j),3.2461046879308584,(0.024916610753200175+0.16352339651821102j)
0.1375,(1.2505857363325064-1.767973932875873j),(0.9942167711325136-1.9416934007633806j),2.909647911291811,(0.25636896519999275+0.17371946788750758j)
0.15000000000000002,(1.1208841679404082-1.7166637154192637j),(1.1366406503713997-1.6393390748778651j),3.912879754331789,(-0.01575648243099148-0.07732464054139854j)
0.1625,(1.007980595498702-1.6624988277343884j),(0.9811514416991142-1.3992177596931714j),4.312932422438349,(0.026829153799587835-0.263281068041217j)
0.17500000000000002,(0.9095750196384927-1.6073517372666086j),(0.9583478240378003-1.543766194949515j),4.611642624869059,(-0.048772804399307534-0.06358554231709368j)
0.1875,(0.8236223527800214-1.5524915596956346j),(0.684928588315438-1.613140167464867j),5.0523763238663575,(0.13869376446458337+0.06064860776923253j)
0.2,(0.7483433304618728-1.4987560672054858j),(0.8788337509968193-1.4234120211345573j),4.418482483655494,(-0.13049042053494642-0.07534404607092848j)
0.21250000000000002,(0.6822103280678328-1.4466781945311655j),(0.7835320574165698-1.4070071053466522j),5.784981748737963,(-0.10132172934873707-0.03967108918451334j)
0.225,(0.6239220333440466-1.396577574411105j),(0.17298696737237823-1.5128363972236287j),5.080202065748691,(0.4509350659716684+0.11625882281252364j)
0.23750000000000002,(0.5723746816484291-1.3486260712256268j),(0.3952189796109172-1.198574270588317j),4.853827340825306,(0.1771557020375119-0.15005180063730994j)
0.25,(0.526633850126938-1.3028943648187656j),(0.6217854494432068-1.1949746515558874j),5.834989828340076,(-0.09515159931626882-0.10791971326287819j)
0.2625,(0.4859086809387866-1.2593848924410591j),(0.666433528058438-1.2707483418523637j),7.023185290477446,(-0.18052484711965144+0.011363449411304627j)
0.275,(0.44952923146546364-1.2180550431132249j),(0.26805862892270016-1.0472973147117646j),5.93331238255814,(0.18147060254276348-0.1707577284014603j)
0.28750000000000003,(0.4169270345940796-1.1788334180673645j),(0.35481689838234487-1.4490864193523951j),6.164542830811099,(0.06211013621173472+0.2702530012850306j)
0.30000000000000004,(0.3876186542208151-1.1416311717135714j),(0.5772567041190932-0.8221545972496361j),7.006816005670702,(-0.18963804989827815-0.3194765744639353j)
