f_range,G_0,G,var,bias
0.0,(3.698665733066395-0.43573879106571345j),(3.7055421201472956-0.43838247912905176j),0.016813384959848895,(-0.00687638708090077+0.002643688063338312j)
0.0125,(3.5527629478528726-0.8371000482690453j),(3.557569180701083-0.8438885399947306j),0.01551940658782202,(-0.004806232848210357+0.006788491725685297j)
0.025,(3.3335935589764825-1.178189216430162j),(3.3321301817891817-1.182500181801685j),0.013655571746259866,(0.0014633771873007184+0.004310965371522979j)
0.037500000000000006,(3.0685737890883007-1.4460313309197002j),(3.0523013747236334-1.4279755094234146j),0.013673422361370029,(0.01627241436466731-0.018055821496285596j)
0.05,(2.7840092571970665-1.6399168181130523j),(2.7586043924578285-1.6312835823405016j),0.016392007864912603,(0.025404864739237976-0.008633235772550707j)
0.0625,(2.5005855991298316-1.7675598032772097j),(2.4786360735751063-1.7591051753700462j),0.0160457172905895,(0.02194952555472529-0.008454627907163559j)
0.07500000000000001,(2.2320399863225515-1.8406921111817676j),(2.2077650638685213-1.824077804747251j),0.018653606667388814,(0.02427492245403018-0.016614306434516557j)
0.08750000000000001,(1.9859507004152042-1.871714439244773j),(1.9725143739977835-1.858486845822878j),0.01649976924211209,(0.013436326417420652-0.013227593421895056j)
0.1,(1.7653624922656015-1.8717918198607968j),(1.7525537754371714-1.8728139909893946j),0.014601729407265635,(0.0128087168284301+0.0010221711285978152j)
0.1125,(1.5704088939895926-1.8500943916836667j),(1.5455320352726105-1.8310472594601799j),0.01689196760347027,(0.024876858716982087-0.019047132223486862j)
0.125,(1.39958019184513-1.8137257251343124j),(1.3777343618016502-1.7798468352434111j),0.018554452259243296,(0.02184583004347984-0.033878889890901265j)
0.1375,(1.2505857363325064-1.767973932875873j),(1.2226597788015672-1.740244221130538j),0.018406375664333393,(0.027925957530939183-0.027729711745335006j)
0.15000000000000002,(1.1208841679404082-1.7166637154192637j),(1.0937046522286122-1.6831283646406057j),0.019389945847827286,(0.027179515711796-0.03353535077865799j)
0.1625,(1.007980595498702-1.6624988277343884j),(0.970336423941563-1.6123285512398025j),0.016399584643590398,(0.03764417155713895-0.05017027649458594j)
0.17500000000000002,(0.9095750196384927-1.6073517372666086j),(0.8722160234827534-1.5489134604388881j),0.01697163663732944,(0.037358996155739344-0.058438276827720514j)
0.1875,(0.8236223527800214-1.5524915596956346j),(0.800146628746366-1.4923640278073342j),0.020749964907480413,(0.023475724033655387-0.060127531888300334j)
0.2,(0.7483433304618728-1.4987560672054858j),(0.729113791940936-1.4507066110956484j),0.013963620085783824,(0.019229538520936895-0.04804945610983746j)
0.21250000000000002,(0.6822103280678328-1.4466781945311655j),(0.6630186721404224-1.3795828296430068j),0.020540742042923374,(0.019191655927410345-0.0670953648881587j)
0.225,(0.6239220333440466-1.396577574411105j),(0.6057848725555269-1.3213052472823927j),0.016347309317323158,(0.01813716078851968-0.07527232712871235j)
0.23750000000000002,(0.5723746816484291-1.3486260712256268j),(0.5447416565006965-1.2794350722819845j),0.01660589720893467,(0.02763302514773258-0.06919099894364233j)
0.25,(0.526633850126938-1.3028943648187656j),(0.4971868378003964-1.2129563988438405j),0.016739433643054916,(0.029447012326541566-0.0899379659749251j)
0.2625,(0.4859086809387866-1.2593848924410591j),(0.46187231621931013-1.2013488738146074j),0.01489242954996698,(0.024036364719476455-0.05803601862645169j)
0.275,(0.44952923146546364-1.2180550431132249j),(0.4200391741572723-1.1382445123990141j),0.013818842112714136,(0.02949005730819132-0.07981053071421074j)
0.28750000000000003,(0.4169270345940796-1.1788334180673645j),(0.401247362743575-1.0889658256862358j),0.016310840056145,(0.015679671850504617-0.08986759238112874j)
0.30000000000000004,(0.3876186542208151-1.1416311717135714j),(0.3596546177186212-1.033604341684151j),0.015191717362516139,(0.027964036502193923-0.10802683002942048j)
0.3125,(0.36119189799537443-1.1063498679464616j),(0.3430850057519069-1.0166357164541358j),0.014523867894122428,(0.01810689224346751-0.08971415149232587j)
0.325,(0.3372943188308948-1.0728868710634212j),(0.3109361552410556-0.9625764474103776j),0.014595611746040717,(0.026358163589839168-0.11031042365304355j)
0.3375,(0.3156236522679876-1.0411389946275043j),(0.278522750042218-0.9374240787600057j),0.018458133465282932,(0.037100902225769616-0.10371491586749859j)
0.35000000000000003,(0.2959198726576731-1.0110049215669235j),(0.27059861450962763-0.9031300225168681j),0.014788840556339665,(0.025321258148045478-0.10787489905005532j)
0.36250000000000004,(0.27795859354634395-0.982386759923264j),(0.2564848417110616-0.8685362608581695j),0.016087505350479484,(0.02147375183528233-0.11385049906509448j)
0.375,(0.26154557961787045-0.955190993126174j),(0.23297468563421878-0.8266540345219002j),0.016848126267748956,(0.028570893983651674-0.12853695860427372j)
0.3875,(0.24651217584701315-0.9293290087936947j),(0.2120688828524153-0.7970851899256932j),0.01787991191263415,(0.03444329299459786-0.13224381886800152j)
0.4,(0.23271149294720475-0.9047173368529536j),(0.19613195935429117-0.7725858136591351j),0.017072217830188963,(0.03657953359291358-0.1321315231938185j)
0.41250000000000003,(0.2200152166047218-0.8812776899082854j),(0.1844831313568316-0.7323940388177274j),0.016977009422983885,(0.03553208524789023-0.148883651090558j)
0.42500000000000004,(0.2083109317312265-0.8589368717859116j),(0.1930214327772897-0.726271505213937j),0.014121451300911603,(0.015289498953936803-0.13266536657197459j)
0.4375,(0.19749987259179938-0.8376266009060788j),(0.16881622895493742-0.6912003981982552j),0.017053648338791628,(0.02868364363686196-0.14642620270782358j)
0.45,(0.18749502577773414-0.8172832813505424j),(0.1475604895499735-0.6595264801267519j),0.01720199093114924,(0.039934536227760636-0.15775680122379054j)
0.4625,(0.1782195261653514-0.7978477446314336j),(0.16084177783732787-0.6428959524503184j),0.017129180012140734,(0.017377748328023523-0.1549517921811152j)
0.47500000000000003,(0.16960529674480723-0.7792649781102272j),(0.14489919537059265-0.6269302926141387j),0.01701704857446845,(0.024706101374214584-0.15233468549608853j)
0.48750000000000004,(0.16159189195505577-0.7614838509685186j),(0.14767486521510562-0.572526238717324j),0.01755141766991192,(0.013917026739950156-0.18895761225119456j)
0.5,(0.1541255112910168-0.7444568450290424j),(0.12164270839845925-0.5773800464933337j),0.018982813119730272,(0.03248280289255753-0.16707679853570867j)
0.5125000000000001,(0.1471581557609257-0.7281397951605957j),(0.11165894791166611-0.5650979486325495j),0.015624103730187775,(0.035499207849259584-0.1630418465280462j)
0.525,(0.1406469045149428-0.7124916421835419j),(0.11697647771974326-0.5485001477904585j),0.017858094112452302,(0.02367042679519954-0.16399149439308336j)
0.5375,(0.1345532928429548-0.6974741999143755j),(0.11295238078196-0.5118783610695801j),0.018662853128969967,(0.021600912060994806-0.18559583884479547j)
0.55,(0.12884277591418455-0.6830519370976993j),(0.11597701357404246-0.4904118618438083j),0.019962044943648213,(0.012865762340142098-0.19264007525389099j)
0.5625,(0.12348426523631793-0.6691917743631036j),(0.11081434064552052-0.4801662327940743j),0.01888962087173811,(0.01266992459079741-0.18902554156902934j)
