f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(0.1349906472399346+0.0843312562349146j),11.966731675844349,(3.581992712962498-0.4346486847727387j)
0.01,(3.621331989105082-0.6826049983909342j),(0.28837222180229616+0.15167901379055765j),25.350965716744167,(3.3329597673027855-0.8342840121814918j)
0.02,(3.4724029297719357-0.9817987981027669j),(0.8497519223852302-0.14436082906928058j),14.351818955987703,(2.6226510073867053-0.8374379690334863j)
0.03,(3.2833611504795948-1.2377979923314595j),(2.3123666278361914-0.9845834438951304j),15.401377512498305,(0.9709945226434034-0.25321454843632907j)
0.04,(3.0685737890883007-1.4460313309197002j),(2.7665244716445274-1.203864347713294j),15.981961925418231,(0.3020493174437733-0.24216698320640617j)
0.05,(2.841393026216591-1.606769902282197j),(2.8511086691175236-1.2200032575901307j),7.56992926305094,(-0.009715642900932409-0.38676664469206634j)
0.06,(2.612786040809993-1.7237449805542338j),(2.447431909309987-1.5311930821596724j),14.061100112950994,(0.16535413150000577-0.19255189839456133j)
0.07,(2.390835695723726-1.8026476458302163j),(2.055167346691614-1.7762927484776694j),15.61770279339725,(0.33566834903211173-0.026354897352546924j)
0.08,(2.180873936884638-1.849882735401002j),(1.7883869327434982-1.6751456342020086j),8.09057595283632,(0.3924870041411397-0.17473710119899333j)
0.09,(1.9859507004152042-1.871714439244773j),(1.987607243047091-1.4025188275553475j),11.226725025407282,(-0.0016565426318868592-0.4691956116894256j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.2461792567067957-1.2277669479763733j),2.4684338102937176,(0.5612239368039331-0.6460141683102794j)
0.11,(1.6453858094165104-1.86088750962617j),(1.4992841805656223-1.722598867652353j),2.923639080187503,(0.14610162885088807-0.13828864197381718j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.4806180104483133-1.8787569800014081j),10.234098899045243,(0.01868221851364149+0.04178265191678299j)
0.13,(1.368114717342158-1.8051848410134852j),(1.3876647683515322-2.2397322236321635j),11.446250260173654,(-0.019550051009374236+0.4345473826186783j)
0.14,(1.2505857363325064-1.767973932875873j),(0.8803235451051564-2.1100216260107016j),2.9695364524194496,(0.37026219122734993+0.34204769313482863j)
0.15,(1.1454029992502197-1.7272270309652193j),(1.0715162483229446-1.6029167232993202j),5.384615321967168,(0.07388675092727515-0.12431030766589912j)
0.16,(1.05127882884355-1.684371821240384j),(1.0995384385184543-1.7311144478836986j),3.054135961032062,(-0.04825960967490439+0.04674262664331463j)
0.17,(0.96699911961129-1.6404753583072582j),(0.8688433019523061-1.5680028606865002j),3.1138206521626675,(0.09815581765898396-0.07247249762075803j)
0.18,(0.891448978231932-1.5963246498062325j),(0.7710944703167261-1.3133085917912284j),4.324972064704083,(0.12035450791520597-0.28301605801500407j)
0.19,(0.8236223527800214-1.5524915596956346j),(0.2932906868111475-0.806827198951524j),32.72471527243728,(0.5303316659688739-0.7456643607441106j)
0.2,(0.7626220063166317-1.5093840462814503j),(0.09175319682537172-1.381915070555268j),80.54137059527844,(0.6708688094912599-0.1274689757261822j)
0.21,(0.7076540286253036-1.4672860604242333j),(-0.14762500628893171-1.6213294869786208j),21.209050687518474,(0.8552790349142353+0.15404342655438752j)
0.22,(0.6580195694623413-1.4263883172854352j),(0.2063200154272856-1.4938514867496182j),4.201929674316632,(0.4516995540350557+0.06746316946418296j)
0.23,(0.6131054556270443-1.3868118685970967j),(0.4857346400375795-1.1414234935245446j),1.2327853801079547,(0.12737081558946484-0.24538837507255207j)
0.24,(0.5723746816484291-1.3486260712256268j),(0.4258772474197694-1.163538073272822j),1.161036054030266,(0.14649743422865968-0.18508799795280484j)
0.25,(0.53535733104205-1.311862233432772j),(0.4744630752513174-1.1838374929973197j),6.422891024243204,(0.06089425579073254-0.12802474043545242j)
0.26,(0.5016422128987947-1.276523947526438j),(0.27999842510257356-0.9063054851152483j),2.5807536579112282,(0.22164378779622118-0.3702184624111897j)
0.27,(0.47086933192620006-1.242594892543272j),(0.4149608405787062-1.1510074645985433j),2.184872429265083,(0.05590849134749387-0.09158742794472863j)
0.28,(0.4427232115690961-1.210044710464062j),(0.335627830037695-1.0848499164062508j),6.555052074358538,(0.10709538153140113-0.1251947940578111j)
0.29,(0.4169270345940797-1.1788334180673647j),(0.539995726101475-1.2799285926415471j),0.7001273104424555,(-0.12306869150739524+0.10109517457418238j)
0.3,(0.39323753721323174-1.1489147069630938j),(0.3764070837324107-0.9838463006466996j),0.8799778098463772,(0.016830453480821017-0.1650684063163942j)
0.31,(0.371440580891926-1.1202384001681926j),(0.3851701197105329-0.8941249141749088j),1.4469701994838224,(-0.01372953881860689-0.22611348599328385j)
0.32,(0.35134732369403104-1.092752269265847j),(0.43560777178410415-1.07312987637789j),0.3744769885705774,(-0.0842604480900731-0.019622392887956863j)
0.33,(0.33279091612072026-1.066403367211597j),(0.3591265948396545-0.9793576647987051j),0.5099282169737835,(-0.02633567871893422-0.08704570241289178j)
0.34,(0.3156236522679876-1.0411389946275043j),(0.25191603034305166-0.9048864709795228j),0.602642642937285,(0.06370762192493595-0.13625252364798146j)
