f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.7217788782279064-0.3295299383867085j),0.0011661596420739538,(-0.004795518025473733-0.020787490151115584j)
0.01,(3.621331989105082-0.6826049983909342j),(3.6230938670858603-0.658636887763771j),0.0010696274293185103,(-0.0017618779807784257-0.023968110627163197j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.476939407951659-1.0050047550816423j),0.001522276338939059,(-0.004536478179723247+0.023205956978875397j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.3044286524113096-1.2285630116571349j),0.0017395095039636143,(-0.021067501931714805-0.0092349806743246j)
0.04,(3.0685737890883007-1.4460313309197002j),(3.0758850964540727-1.4274722436946672j),0.0012037921188714725,(-0.007311307365772013-0.018559087225032966j)
0.05,(2.841393026216591-1.606769902282197j),(2.828061966381818-1.6058668629396675j),0.0005728533154568889,(0.013331059834773118-0.0009030393425295546j)
0.06,(2.612786040809993-1.7237449805542338j),(2.6034093815515407-1.725884723953608j),0.0006653335834297157,(0.009376659258452325+0.002139743399374172j)
0.07,(2.390835695723726-1.8026476458302163j),(2.407748638279625-1.79818734256912j),0.0015401311417312204,(-0.016912942555899146-0.0044603032610963655j)
0.08,(2.180873936884638-1.849882735401002j),(2.2025573344787603-1.8559621558494963j),0.001646884634510318,(-0.02168339759412241+0.00607942044849441j)
0.09,(1.9859507004152042-1.871714439244773j),(1.976496997235278-1.8811550837181088j),0.0006003795052187429,(0.00945370317992622+0.009440644473335702j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.8168468309216652-1.8869309427933922j),0.0011052280692722273,(-0.009443637410936345+0.01314982650673957j)
0.11,(1.6453858094165104-1.86088750962617j),(1.667327944997191-1.8585560230068594j),0.0012078518129800269,(-0.02194213558068059-0.0023314866193107076j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.492164318407135-1.849377445450103j),0.000531345287002574,(0.00713591055481988+0.012403117365477945j)
0.13,(1.368114717342158-1.8051848410134852j),(1.3842206416105374-1.8093343598081575j),0.0012214824792741439,(-0.016105924268379423+0.004149518794672291j)
0.14,(1.2505857363325064-1.767973932875873j),(1.2484863624380351-1.7568929677747165j),0.00042202718561179254,(0.002099373894471235-0.011080965101156526j)
0.15,(1.1454029992502197-1.7272270309652193j),(1.1366564181278804-1.7227052044085494j),0.00021379791769166235,(0.00874658112233928-0.0045218265566699944j)
0.16,(1.05127882884355-1.684371821240384j),(1.0635722442599655-1.6739743934657394j),0.0009398732599480838,(-0.012293415416415598-0.010397427774644585j)
0.17,(0.96699911961129-1.6404753583072582j),(0.9722609336844761-1.649724056526147j),0.0005139183131293724,(-0.005261814073186044+0.009248698218888851j)
0.18,(0.891448978231932-1.5963246498062325j),(0.9047955729854914-1.603538429673179j),0.0009254445496914297,(-0.013346594753559371+0.00721377986694649j)
0.19,(0.8236223527800214-1.5524915596956346j),(0.8239798923908757-1.5447095966375455j),0.0003861656014855175,(-0.0003575396108542739-0.007781963058089092j)
0.2,(0.7626220063166317-1.5093840462814503j),(0.7712232533757427-1.5194930469600523j),0.0006610548347253339,(-0.008601247059111028+0.010109000678601987j)
0.21,(0.7076540286253036-1.4672860604242333j),(0.717783422774744-1.4788679657362411j),0.0006229031191650993,(-0.010129394149440474+0.011581905312007867j)
0.22,(0.6580195694623413-1.4263883172854352j),(0.6667746280540281-1.4325026539879802j),0.0005818468525290122,(-0.008755058591686793+0.006114336702544909j)
0.23,(0.6131054556270443-1.3868118685970967j),(0.6140851469618446-1.3765930604733245j),0.00031106438197073694,(-0.0009796913348002478-0.010218808123772183j)
0.24,(0.5723746816484291-1.3486260712256268j),(0.5698229825492043-1.3416072438964433j),0.0001825694150336189,(0.0025516990992248134-0.0070188273291835745j)
0.25,(0.53535733104205-1.311862233432772j),(0.5370336981146175-1.3034950087737025j),0.0002232105768724243,(-0.001676367072567575-0.008367224659069583j)
0.26,(0.5016422128987947-1.276523947526438j),(0.4970479760213553-1.2796330855779958j),0.00018334859651124465,(0.004594236877439428+0.0031091380515577693j)
0.27,(0.47086933192620006-1.242594892543272j),(0.46922484139723536-1.2489596440816144j),0.00019372681450514432,(0.0016444905289647038+0.0063647515383424835j)
0.28,(0.4427232115690961-1.210044710464062j),(0.4360358773938641-1.2135086312653531j),0.00017174334304282787,(0.006687334175231985+0.0034639208012912093j)
0.29,(0.4169270345940797-1.1788334180673647j),(0.4162324068033208-1.1717593991873245j),0.00014317850556933948,(0.000694627790758906-0.007074018880040223j)
0.3,(0.39323753721323174-1.1489147069630938j),(0.39016472499285265-1.1543832839496544j),0.00016297526112313973,(0.003072812220379084+0.005468576986560558j)
0.31,(0.371440580891926-1.1202384001681926j),(0.3773628928193651-1.119783491945711j),0.0001453787566174646,(-0.005922311927439083-0.00045490822248162033j)
0.32,(0.35134732369403104-1.092752269265847j),(0.35074794573549917-1.0978079915723047j),0.00013394420337798155,(0.000599377958531877+0.005055722306457788j)
0.33,(0.33279091612072026-1.066403367211597j),(0.330852698216608-1.0702670018912042j),0.00011567402057167624,(0.0019382179041122494+0.003863634679607264j)
0.34,(0.3156236522679876-1.0411389946275043j),(0.31247653934871994-1.0338849649020718j),0.00016015683843491674,(0.0031471129192676695-0.0072540297254324315j)
0.35000000000000003,(0.2997145141703045-1.0169073891629956j),(0.29864823119073136-1.0086510693780886j),0.00016134145775307477,(0.0010662829795731188-0.00825631978490704j)
0.36,(0.2849470544789856-0.9936582060446874j),(0.27991555029023796-0.9891305662945865j),0.00014718325184512343,(0.005031504188747649-0.0045276397501008425j)
0.37,(0.27121756962151194-0.9713428416420591j),(0.27581036486746524-0.9670231042924915j),0.00014184284698390997,(-0.004592795245953296-0.004319737349567587j)
0.38,(0.258433522034735-0.9499146394908227j),(0.25271339713900515-0.9466811761942421j),0.00012806170474831082,(0.005720124895729872-0.0032334632965805854j)
0.39,(0.24651217584701315-0.9293290087936947j),(0.2490835973030383-0.9219266370742546j),0.0001686156862373894,(-0.0025714214560251525-0.007402371719440137j)
0.4,(0.2353794154785128-0.9095434782424736j),(0.23705718959702274-0.9126416355332605j),5.657687897859356e-05,(-0.0016777741185099448+0.003098157290786885j)
0.41000000000000003,(0.2249687210621368-0.8905177025341376j),(0.22406136972931204-0.8809674191225925j),0.00016786342141212923,(0.0009073513328247684-0.00955028341154518j)
0.42,(0.21522027841246455-0.8722134347777517j),(0.2122913616393179-0.8742433038788252j),4.9358833658649495e-05,(0.0029289167731466614+0.0020298691010735004j)
0.43,(0.20608020455031756-0.8545944747985388j),(0.21062066587707126-0.8551690239517489j),0.00011346549247135616,(-0.004540461326753703+0.000574549153210091j)
0.44,(0.19749987259179938-0.8376266009060788j),(0.2022081527450118-0.8348855269235347j),0.00012591864580474593,(-0.004708280153212424-0.0027410739825440844j)
0.45,(0.1894353221960685-0.8212774908273873j),(0.18485962572076686-0.8213501834856619j),7.03205694348525e-05,(0.004575696475301649+7.269265827458682e-05j)
0.46,(0.1818467437936182-0.8055166360775712j),(0.17801366749827174-0.8005044780004322j),0.00014946324053812207,(0.0038330762953464603-0.005012158077138951j)
0.47000000000000003,(0.17469802653834912-0.7903152529480975j),(0.17369684390364015-0.7819045523041196j),0.0001279558058158932,(0.0010011826347089692-0.008410700643977864j)
0.48,(0.16795636138771036-0.7756461924571766j),(0.17314606503297442-0.7743937686303375j),6.861690253835449e-05,(-0.005189703645264054-0.0012524238268390997j)
0.49,(0.16159189195505577-0.7614838509685186j),(0.16191273762034544-0.7555664257451017j),0.00011866086898608729,(-0.00032084566528967073-0.005917425223416872j)
0.5,(0.15557740683098212-0.7478040826980887j),(0.15066888356039201-0.7473419721172896j),7.109442129419122e-05,(0.004908523270590104-0.0004621105807991466j)
0.51,(0.14988806796463136-0.7345841149583878j),(0.15390487547755435-0.7325991385261454j),7.442614925465229e-05,(-0.004016807512922993-0.00198497643224238j)
0.52,(0.1445011704562463-0.7218024667093477j),(0.1478131427165178-0.7187911515034329j),9.794838624050452e-05,(-0.003311972260271495-0.0030113152059147996j)
0.53,(0.1393959297594186-0.7094388707734633j),(0.13577563975140958-0.7103566225505793j),6.238098513784628e-05,(0.003620290008009036+0.0009177517771159494j)
0.54,(0.1345532928429548-0.6974741999143755j),(0.12954460633317072-0.696400717749189j),8.302045455226387e-05,(0.005008686509784088-0.0010734821651865456j)
0.55,(0.12995577033286862-0.6858903968604957j),(0.12707714654706975-0.6873404116001295j),5.632052415192817e-05,(0.0028786237857988672+0.0014500147396337981j)
0.56,(0.1255872870571149-0.6746704082689671j),(0.12494105519453641-0.6759218364899094j),4.987369223000843e-05,(0.000646231862578478+0.0012514282209423744j)
0.5700000000000001,(0.1214330487597856-0.6637981225629523j),(0.12072437119659236-0.6577195022323901j),7.198990608081464e-05,(0.0007086775631932329-0.006078620330562279j)
0.58,(0.11747942304640598-0.653258311531286j),(0.11982203108752382-0.652770276539804j),4.138391476976287e-05,(-0.0023426080411178413-0.00048803499148197815j)
0.59,(0.11371383287510903-0.6430365755495648j),(0.11363721105368053-0.6372100014272983j),8.282091415229693e-05,(7.662182142849361e-05-0.0058265741222665035j)
0.6,(0.11012466112611813-0.6331192922623671j),(0.11260929303261662-0.6298195942245794j),5.2564003723658616e-05,(-0.0024846319064984884-0.003299698037787624j)
0.61,(0.10670116496937579-0.6234935685549114j),(0.10335718198792608-0.6210555915378051j),7.55339880601642e-05,(0.0033439829814497085-0.002437977017106352j)
0.62,(0.10343339891180883-0.6141471956370341j),(0.10015947856460837-0.6095349919574146j),6.219628527753723e-05,(0.0032739203472004624-0.004612203679619564j)
0.63,(0.10031214554535813-0.6050686070613647j),(0.09821564010477893-0.605966269376884j),4.2945600364202596e-05,(0.0020965054405791966+0.0008976623155193542j)
0.64,(0.09732885313775105-0.5962468394997634j),(0.09988837108145304-0.5961602491242831j),4.24736428833638e-05,(-0.002559517943701989-8.659037548031101e-05j)
0.65,(0.0944755793126996-0.5876714961065868j),(0.0976108876262632-0.5856775193158715j),4.6951839426380095e-05,(-0.003135308313563595-0.001993976790715224j)
0.66,(0.09174494015713715-0.5793327123034119j),(0.09071913544492315-0.5737145110572873j),6.138370723998853e-05,(0.0010258047122140013-0.0056182012461245545j)
0.67,(0.08913006417212811-0.5712211238269759j),(0.08653811581446229-0.5671322727406041j),5.774485455196061e-05,(0.002591948357665824-0.004088851086371803j)
0.68,(0.08662455055293183-0.5633278368898498j),(0.0848772599425704-0.5641005651331268j),4.6712512354834777e-05,(0.0017472906103614405+0.00077272824327701j)
