f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.6905284858082665-0.34689023540911046j),0.13319569711126714,(0.02645487439416616-0.003427193128713646j)
0.01,(3.621331989105082-0.6826049983909342j),(3.6074743824904854-0.6843731353604825j),0.09223607171011829,(0.013857606614596563+0.0017681369695482507j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.4767970144112055-0.924336610178037j),0.07680299204562537,(-0.004394084639269824-0.0574621879247299j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.2986208875750327-1.2248264103905424j),0.08743766747107512,(-0.01525973709543793-0.012971581940917076j)
0.04,(3.0685737890883007-1.4460313309197002j),(3.106653878005915-1.4049623528450825j),0.13710963610501475,(-0.038080088917614496-0.041068978074617624j)
0.05,(2.841393026216591-1.606769902282197j),(2.8427354659448194-1.5845258387104406j),0.24037539514937417,(-0.0013424397282282285-0.022244063571756456j)
0.06,(2.612786040809993-1.7237449805542338j),(2.5336880336289567-1.6567695156811442j),0.2411370322421552,(0.07909800718103632-0.06697546487308959j)
0.07,(2.390835695723726-1.8026476458302163j),(2.4197141953321397-1.8379054844448315j),0.2208781670089931,(-0.028878499608413932+0.03525783861461518j)
0.08,(2.180873936884638-1.849882735401002j),(2.171733498239729-1.7816150534591604j),0.22507665839862043,(0.009140438644908766-0.06826768194184152j)
0.09,(1.9859507004152042-1.871714439244773j),(1.9620498767111196-1.949385021548834j),0.2672375167997068,(0.02390082370408453+0.07767058230406088j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.8381157998434339-1.8480433876633366j),0.3705384429792398,(-0.030712606332705006-0.025737728623316025j)
0.11,(1.6453858094165104-1.86088750962617j),(1.6469284909683695-1.8415390310672632j),0.32007254939266916,(-0.0015426815518591042-0.019348478558906868j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.4917494972540966-1.918054885847994j),0.37950457441409186,(0.007550731707858249+0.08108055776336887j)
0.13,(1.368114717342158-1.8051848410134852j),(1.348334232251118-1.7980034895220696j),0.524816442488646,(0.019780485091039912-0.007181351491415633j)
0.14,(1.2505857363325064-1.767973932875873j),(1.2326440840536415-1.715594722920926j),0.41482651866539144,(0.017941652278864906-0.05237920995494694j)
0.15,(1.1454029992502197-1.7272270309652193j),(1.1073332383509198-1.7294260321268748j),0.4731562947057628,(0.03806976089929992+0.0021990011616555005j)
0.16,(1.05127882884355-1.684371821240384j),(1.0143462071086855-1.7031775266711873j),0.45106926934077474,(0.036932621734864446+0.018805705430803288j)
0.17,(0.96699911961129-1.6404753583072582j),(1.08542995160411-1.6555546696288226j),0.47940094624477275,(-0.1184308319928199+0.01507931132156437j)
0.18,(0.891448978231932-1.5963246498062325j),(0.8792764345064827-1.588367373682126j),0.5890447297510494,(0.012172543725449292-0.00795727612410646j)
0.19,(0.8236223527800214-1.5524915596956346j),(0.8399357998995005-1.4584681133006345j),0.5965770160062085,(-0.01631344711947913-0.09402344639500004j)
0.2,(0.7626220063166317-1.5093840462814503j),(0.7518967014949318-1.4806927954958213j),0.658115156966039,(0.010725304821699866-0.028691250785628952j)
0.21,(0.7076540286253036-1.4672860604242333j),(0.6276277156895329-1.497055476837889j),0.6981957510481038,(0.08002631293577067+0.029769416413655714j)
0.22,(0.6580195694623413-1.4263883172854352j),(0.638104857447393-1.4516269358710718j),0.7237441198584287,(0.01991471201494832+0.025238618585636585j)
0.23,(0.6131054556270443-1.3868118685970967j),(0.5399305795651378-1.42204947266274j),0.7052264129161208,(0.07317487606190654+0.03523760406564325j)
0.24,(0.5723746816484291-1.3486260712256268j),(0.5372399295937682-1.20679997696j),0.7098727785926698,(0.03513475205466088-0.14182609426562687j)
