f_range,G_0,G,var,bias
0.0,(3.698665733066395-0.43573879106571345j),(3.6963910187221876-0.4380793567903988j),0.001111792024634847,(0.0022747143442072293+0.0023405657246853284j)
0.0125,(3.5527629478528726-0.8371000482690453j),(3.5555421287393756-0.8357747138026117j),0.0008482007622613159,(-0.0027791808865029743-0.0013253344664335698j)
0.025,(3.3335935589764825-1.178189216430162j),(3.3336540972001387-1.1756023982754342j),0.000990239682524642,(-6.053822365625905e-05-0.0025868181547277214j)
0.037500000000000006,(3.0685737890883007-1.4460313309197002j),(3.070061545524132-1.4450398465655452j),0.0009722310127012263,(-0.0014877564358313222-0.00099148435415497j)
0.05,(2.7840092571970665-1.6399168181130523j),(2.78463357561475-1.6346754410524185j),0.001421084379093118,(-0.0006243184176835115-0.005241377060633878j)
0.0625,(2.5005855991298316-1.7675598032772097j),(2.4970749472101894-1.7643375776667405j),0.001766518491840887,(0.0035106519196421715-0.0032222256104692537j)
0.07500000000000001,(2.2320399863225515-1.8406921111817676j),(2.2278956891928945-1.8389257994640107j),0.001850680041733761,(0.004144297129657026-0.0017663117177568743j)
0.08750000000000001,(1.9859507004152042-1.871714439244773j),(1.9838346320115718-1.8759992818531137j),0.0020221062599917045,(0.0021160684036323207+0.004284842608340611j)
0.1,(1.7653624922656015-1.8717918198607968j),(1.7697902054835688-1.866636362308929j),0.002246233547332992,(-0.004427713217967311-0.005155457551867748j)
0.1125,(1.5704088939895926-1.8500943916836667j),(1.5693811347316702-1.86076717844463j),0.0032587060039931974,(0.0010277592579224226+0.010672786760963282j)
0.125,(1.39958019184513-1.8137257251343124j),(1.4021035826936104-1.813157708500878j),0.002842797883381055,(-0.0025233908484803003-0.0005680166334343095j)
0.1375,(1.2505857363325064-1.767973932875873j),(1.2515118876847882-1.7657035701102946j),0.003579590542509852,(-0.000926151352281801-0.0022703627655784597j)
0.15000000000000002,(1.1208841679404082-1.7166637154192637j),(1.1193769700134515-1.7203679490098975j),0.0038342587411986863,(0.0015071979269567493+0.0037042335906338764j)
