f_range,G_0,G,var,bias
0.0,(3.2833611504795948-1.2377979923314595j),(3.28124627967859-1.2381387880823054j),0.0005647554131390354,(0.002114870801004809+0.0003407957508458903j)
0.04,(2.390835695723726-1.8026476458302163j),(2.38305504685317-1.7977119965924155j),0.0002920705954007369,(0.007780648870555851-0.0049356492378007655j)
0.08,(1.6453858094165104-1.86088750962617j),(1.6576507611511924-1.8694303638571768j),0.0004585573480306881,(-0.012264951734682006+0.008542854231006647j)
0.12,(1.1454029992502197-1.7272270309652193j),(1.1381500726411755-1.7268708952970584j),0.0006755848315452667,(0.007252926609044197-0.00035613566816095066j)
0.16,(0.8236223527800214-1.5524915596956346j),(0.8207082283055794-1.5476813137095011j),0.0008250275251441981,(0.002914124474441948-0.0048102459861334435j)
0.2,(0.6131054556270443-1.3868118685970967j),(0.6093727464361759-1.3825401325580444j),0.0009150704135297851,(0.003732709190868433-0.004271736039052287j)
0.24,(0.47086933192620006-1.242594892543272j),(0.46823487497544725-1.2405763848954456j),0.00101787017608772,(0.002634456950752817-0.0020185076478262953j)
0.28,(0.371440580891926-1.1202384001681926j),(0.3690866474881628-1.1187905215854665j),0.0011307748550155993,(0.00235393340376322-0.0014478785827261031j)
0.32,(0.2997145141703045-1.0169073891629956j),(0.30073786129826885-1.0124480254404227j),0.0010733437613968432,(-0.001023347127964369-0.00445936372257294j)
0.36,(0.24651217584701315-0.9293290087936947j),(0.25091853859062396-0.9241318016675679j),0.001057158014041039,(-0.004406362743610809-0.005197207126126813j)
0.4,(0.20608020455031756-0.8545944747985388j),(0.20879568772970064-0.8500693941912008j),0.0012829360772419174,(-0.0027154831793830825-0.004525080607338028j)
0.44,(0.17469802653834912-0.7903152529480975j),(0.17432971243650103-0.7900966245276432j),0.0017189760339605497,(0.000368314101848094-0.000218628420454281j)
0.48,(0.14988806796463136-0.7345841149583878j),(0.15464989981866376-0.7382974729358232j),0.0017645247831355258,(-0.0047618318540323945+0.0037133579774353276j)
0.52,(0.12995577033286862-0.6858903968604957j),(0.1339380448506468-0.6855866067687368j),0.0020926949312413817,(-0.003982274517778189-0.00030379009175884875j)
0.56,(0.11371383287510903-0.6430365755495648j),(0.11424118322828744-0.6347502951760676j),0.002216613840005446,(-0.0005273503531784129-0.008286280373497212j)
0.6,(0.10031214554535813-0.6050686070613647j),(0.10333658588283033-0.5980642647770308j),0.002302815394110981,(-0.003024440337472206-0.0070043422843338865j)
0.64,(0.08913006417212811-0.5712211238269759j),(0.0888234944550691-0.570267354182651j),0.002352284810084851,(0.0003065697170590159-0.00095376964432492j)
0.68,(0.07970646545669313-0.5408753320562883j),(0.07655350122642257-0.5436550562526732j),0.0030865462946624,(0.0031529642302705607+0.0027797241963848363j)
0.72,(0.07169328828684457-0.5135269257695122j),(0.07032206318120772-0.5121856665558595j),0.0034229125839524695,(0.0013712251056368502-0.0013412592136526902j)
