f_range,G_0,G,var,bias
0.0,(3.621331989105082-0.6826049983909342j),(3.6212713822998173-0.6825485379568569j),6.729860062988583e-06,(6.060680526465134e-05-5.646043407736556e-05j)
0.02,(3.2833611504795948-1.2377979923314595j),(3.283318985249757-1.2378778544337246j),7.026997287990799e-06,(4.216522983790938e-05+7.98621022650714e-05j)
0.04,(2.841393026216591-1.606769902282197j),(2.841454636269927-1.6067148845986037j),6.65135586258851e-06,(-6.16100533359365e-05-5.501768359339465e-05j)
0.06,(2.390835695723726-1.8026476458302163j),(2.3907081557418217-1.8025234305893885j),6.358890097279082e-06,(0.0001275399819040679-0.00012421524082784074j)
0.08,(1.9859507004152042-1.871714439244773j),(1.9855858394997095-1.871444126375692j),9.59085655256455e-06,(0.00036486091549470245-0.00027031286908107965j)
0.1,(1.6453858094165104-1.86088750962617j),(1.6454499280630546-1.8607330985292905j),1.4533125440199868e-05,(-6.411864654420896e-05-0.0001544110968796364j)
0.12,(1.368114717342158-1.8051848410134852j),(1.367666773629398-1.8052458234659268j),1.5342430135850535e-05,(0.00044794371276002387+6.098245244157141e-05j)
0.14,(1.1454029992502197-1.7272270309652193j),(1.1453440550671667-1.7266781619906157j),1.6996279785890946e-05,(5.894418305296689e-05-0.0005488689746036002j)
0.16,(0.96699911961129-1.6404753583072582j),(0.9660134067927358-1.6398061385467448j),2.0379778223526032e-05,(0.0009857128185541963-0.0006692197605133732j)
0.18,(0.8236223527800214-1.5524915596956346j),(0.822860032524075-1.5515681922609488j),2.6039041450926444e-05,(0.0007623202559463582-0.0009233674346857956j)
0.2,(0.7076540286253036-1.4672860604242333j),(0.7074715930573199-1.4667359847296855j),2.111423713178173e-05,(0.00018243556798369642-0.0005500756945477914j)
0.22,(0.6131054556270443-1.3868118685970967j),(0.612428337510953-1.3865581594172038j),2.9302724082151542e-05,(0.0006771181160912798-0.00025370917989286923j)
