f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.7276329246637214-0.16998535056696248j),2.121296277945877e-29,(-0.01064956446128873-0.18033207797086162j)
0.01,(3.621331989105082-0.6826049983909342j),(3.574348892194545-0.5889019619015136j),2.594612821078484e-29,(0.046983096910536926-0.09370303648942069j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.409866245835697-0.9453177704839523j),1.188221738489149e-29,(0.06253668393623846-0.036481027618814665j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.234184985587166-1.2392327763142779j),6.310887241768095e-30,(0.04917616489242871+0.0014347839828183773j)
0.04,(3.0685737890883007-1.4460313309197002j),(3.047305111448964-1.4706469793924835j),8.923988990312696e-30,(0.02126867763933671+0.024615648472783302j)
0.05,(2.841393026216591-1.606769902282197j),(2.832675930928734-1.6167200688809085j),7.14905195356542e-30,(0.008717095287857024+0.009950166598711396j)
0.06,(2.612786040809993-1.7237449805542338j),(2.6106996552366017-1.7277176453579264j),5.571330143123396e-30,(0.0020863855733912473+0.003972664803692627j)
0.07,(2.390835695723726-1.8026476458302163j),(2.392072186943557-1.8046300465040022j),2.8398992587956425e-29,(-0.0012364912198310485+0.0019824006737858557j)
0.08,(2.180873936884638-1.849882735401002j),(2.1831796172336424-1.8514451056067003j),2.0214560696288428e-29,(-0.0023056803490044686+0.0015623702056983824j)
0.09,(1.9859507004152042-1.871714439244773j),(1.9877346528742783-1.8730712161792746j),5.127595883936577e-30,(-0.0017839524590741451+0.0013567769345015357j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.8083636518475432-1.8751954699348496j),6.7053176943786e-30,(-0.0009604583368143516+0.0014143536481969754j)
0.11,(1.6453858094165104-1.86088750962617j),(1.6455067116721875-1.8623167315922353j),7.296963373294359e-30,(-0.00012090225567717994+0.0014292219660652083j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.498769188058835-1.8379073508343717j),7.296963373294359e-30,(0.0005310409031198393+0.0009330227497466037j)
