f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.6113387627987503-0.5028571885109886j),5.053640174072107e-31,(0.10564459740368237+0.1525397599731645j)
0.01,(3.621331989105082-0.6826049983909342j),(3.60419360988091-0.7854151809045732j),1.4298103907130839e-30,(0.017138379224171718+0.10281018251363894j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.493132862224343-1.0371011574656464j),7.543482406175925e-30,(-0.020729932452407507+0.055302359362879416j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.3122150849925625-1.2564069431549425j),2.3715130963206667e-29,(-0.028853934512967694+0.018608950823483017j)
0.04,(3.0685737890883007-1.4460313309197002j),(3.090099705039597-1.4423928769251781j),4.930380657631324e-30,(-0.02152591595129616-0.0036384539945220062j)
0.05,(2.841393026216591-1.606769902282197j),(2.8500470109096336-1.5946878117213137j),8.874685183736383e-30,(-0.00865398469304246-0.012082090560883385j)
0.06,(2.612786040809993-1.7237449805542338j),(2.6099181528371678-1.7134891144803819j),2.7018486003819654e-29,(0.0028678879728252227-0.010255866073851871j)
0.07,(2.390835695723726-1.8026476458302163j),(2.390038292691484-1.7990716530417805j),3.2047474274603605e-30,(0.0007974030322417391-0.003575992788435789j)
0.08,(2.180873936884638-1.849882735401002j),(2.1804616408220174-1.848517334489742j),2.785665071561698e-29,(0.00041229606262049856-0.0013654009112598064j)
0.09,(1.9859507004152042-1.871714439244773j),(1.9856675132783812-1.8711785686077198j),5.571330143123396e-30,(0.00028318713682295993-0.0005358706370532929j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.8071292802124028-1.873530489597349j),7.099748146989106e-30,(0.00027391329832604505-0.00025062668930364573j)
0.11,(1.6453858094165104-1.86088750962617j),(1.6450941571630437-1.8606931023409155j),2.4158865222393487e-30,(0.00029165225346661217-0.00019440728525466078j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.4989959767223433-1.8367464197839143j),6.409494854920721e-30,(0.00030425223961150216-0.000227908300710844j)
0.13,(1.368114717342158-1.8051848410134852j),(1.367801875205838-1.8048943609295613j),4.0429121392576855e-30,(0.00031284213631987967-0.0002904800839238497j)
0.14,(1.2505857363325064-1.767973932875873j),(1.2502942904053915-1.767620716897519j),1.326272396902826e-29,(0.00029144592711483064-0.0003532159783539157j)
0.15,(1.1454029992502197-1.7272270309652193j),(1.1451396042736226-1.7268279687023926j),1.3065508742723008e-29,(0.00026339497659710887-0.0003990622628267104j)
