f_range,G_0,G,var,bias
0.0,(3.698665733066395-0.43573879106571345j),(3.6986609438284344-0.43573824909287845j),7.134568960383627e-29,(4.789237960434178e-06-5.419728349997932e-07j)
0.0125,(3.5527629478528726-0.8371000482690453j),(3.5527446670304976-0.8370957764855125j),1.7465873479658965e-29,(1.8280822374983074e-05-4.271783532794338e-06j)
0.025,(3.3335935589764825-1.178189216430162j),(3.3335550111769767-1.1781756220203332j),1.597443333072549e-29,(3.854779950573928e-05-1.3594409828732168e-05j)
0.037500000000000006,(3.0685737890883007-1.4460313309197002j),(3.0685107281552697-1.4460016096305832j),3.01739296247037e-29,(6.306093303098947e-05-2.9721289116935168e-05j)
0.05,(2.7840092571970665-1.6399168181130523j),(2.7839198432884014-1.639864098769644j),7.296963373294359e-30,(8.941390866512577e-05-5.271934340833617e-05j)
0.0625,(2.5005855991298316-1.7675598032772097j),(2.5004698847335205-1.7674779943557521j),1.5037661005775538e-29,(0.00011571439631108404-8.180892145759344e-05j)
0.07500000000000001,(2.2320399863225515-1.8406921111817676j),(2.231899419830341-1.8405762314625636j),7.888609052210118e-31,(0.0001405664922105032-0.00011587971920401507j)
0.08750000000000001,(1.9859507004152042-1.871714439244773j),(1.9857874131267488-1.8715604999191744j),2.2285320572493584e-29,(0.00016328728845538265-0.0001539393255987065j)
0.1,(1.7653624922656015-1.8717918198607968j),(1.7651787431746768-1.871596919398125j),2.194019392645939e-29,(0.0001837490909246675-0.00019490046267178762j)
0.1125,(1.5704088939895926-1.8500943916836667j),(1.5702070627197209-1.849856639333183j),4.437342591868191e-31,(0.00020183126987172173-0.0002377523504837331j)
0.125,(1.39958019184513-1.8137257251343124j),(1.3993626226699505-1.8134436882834306j),2.1496459667272572e-29,(0.0002175691751795661-0.000282036850881795j)
0.1375,(1.2505857363325064-1.767973932875873j),(1.250354328561854-1.7676466884281945j),5.7192415628523356e-30,(0.00023140777065244755-0.0003272444476785097j)
0.15000000000000002,(1.1208841679404082-1.7166637154192637j),(1.12064074659953-1.7162908845163285j),1.5432091458386043e-29,(0.00024342134087818046-0.00037283090293516175j)
0.1625,(1.007980595498702-1.6624988277343884j),(1.0077267869566855-1.6620800208668245j),7.740697632481178e-30,(0.00025380854201650926-0.0004188068675639034j)
0.17500000000000002,(0.9095750196384927-1.6073517372666086j),(0.9093120296283861-1.6068869071609404j),6.754621500954914e-30,(0.00026299001010665624-0.0004648301056682236j)
0.1875,(0.8236223527800214-1.5524915596956346j),(0.8233514731858183-1.5519807802198957j),1.2818989709841442e-30,(0.0002708795942031328-0.000510779475738854j)
0.2,(0.7483433304618728-1.4987560672054858j),(0.7480654629084127-1.4981993249587782j),4.190823558986625e-30,(0.0002778675534601538-0.0005567422467076533j)
0.21250000000000002,(0.6822103280678328-1.4466781945311655j),(0.6819263359726853-1.4460757871927563j),1.0477058897466563e-30,(0.00028399209514751167-0.0006024073384092166j)
0.225,(0.6239220333440466-1.396577574411105j),(0.6236326946957131-1.3959295480290768j),1.633188592840376e-29,(0.00028933864833347034-0.0006480263820283216j)
