f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.773463071350249-0.3469948871800059j),2.4467014013495444e-29,(-0.056479711147816136-0.0033225413578182317j)
0.01,(3.621331989105082-0.6826049983909342j),(3.6160708197172613-0.6899913364580784j),4.678931244092126e-29,(0.005261169387820619+0.007386338067144171j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.4454939035447514-0.9873527970960926j),3.01739296247037e-29,(0.026909026227184274+0.005553998993325648j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.2617323228327506-1.2390792690940373j),3.4956398862606086e-29,(0.02162882764684415+0.001281276762577832j)
0.04,(3.0685737890883007-1.4460313309197002j),(3.064786077581227-1.4451707524519262j),1.7749370367472766e-30,(0.0037877115070736878-0.0008605784677739869j)
0.05,(2.841393026216591-1.606769902282197j),(2.839923360488773-1.6046921696089191j),1.7552155141167513e-29,(0.00146966572781837-0.002077732673277932j)
0.06,(2.612786040809993-1.7237449805542338j),(2.613507157613581-1.7215821368468098j),1.7749370367472766e-30,(-0.0007211168035881066-0.0021628437074239226j)
0.07,(2.390835695723726-1.8026476458302163j),(2.392257492258807-1.7982607423918953j),1.67632942359465e-29,(-0.0014217965350811212-0.004386903438321044j)
0.08,(2.180873936884638-1.849882735401002j),(2.1824194988492347-1.853528523463448j),1.1931521191467804e-29,(-0.0015455619645967644+0.003645788062446087j)
0.09,(1.9859507004152042-1.871714439244773j),(1.9849160008145845-1.875483102373713j),1.2818989709841442e-29,(0.0010346996006196374+0.0037686631289399752j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.8070948152025035-1.8721020151064256j),1.1438483125704671e-29,(0.0003083783082253877-0.0016791011802270717j)
0.11,(1.6453858094165104-1.86088750962617j),(1.6460746383003868-1.859207830080711j),1.0107280348144214e-29,(-0.0006888288838764467-0.0016796795454590008j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.5014116144274494-1.8382409524494012j),6.015064402310215e-30,(-0.0021113854654946085+0.0012666243647760922j)
0.13,(1.368114717342158-1.8051848410134852j),(1.3674881038217026-1.8066184803370298j),7.14905195356542e-30,(0.0006266135204553436+0.0014336393235445666j)
0.14,(1.2505857363325064-1.767973932875873j),(1.2499812588016257-1.769636224382281j),4.0429121392576855e-30,(0.0006044775308806649+0.0016622915064079535j)
0.15,(1.1454029992502197-1.7272270309652193j),(1.143908383027635-1.7272185530746922j),1.4396711520283465e-29,(0.0014946162225846216-8.477890527158749e-06j)
0.16,(1.05127882884355-1.684371821240384j),(1.0507190150549552-1.6832008650689232j),4.831773044478697e-30,(0.0005598137885947096-0.0011709561714607908j)
0.17,(0.96699911961129-1.6404753583072582j),(0.9662278822555227-1.6394604303084725j),3.414288605409692e-30,(0.0007712373557673402-0.001014927998785664j)
0.18,(0.891448978231932-1.5963246498062325j),(0.8910658093339615-1.59550425687357j),7.518830502887769e-31,(0.00038316889797052056-0.0008203929326624504j)
0.19,(0.8236223527800214-1.5524915596956346j),(0.8233793789154102-1.5520069814870021j),3.7594152514438844e-30,(0.00024297386461114012-0.00048457820863245793j)
0.2,(0.7626220063166317-1.5093840462814503j),(0.7617101197842732-1.5093638483113816j),4.930380657631324e-32,(0.000911886532358519-2.0197970068691617e-05j)
0.21,(0.7076540286253036-1.4672860604242333j),(0.7067238117133237-1.465938661563466j),2.465190328815662e-31,(0.0009302169119799197-0.0013473988607672904j)
0.22,(0.6580195694623413-1.4263883172854352j),(0.6579221544387293-1.4261429931376153j),5.127595883936577e-30,(9.741502361204635e-05-0.0002453241478199697j)
0.23,(0.6131054556270443-1.3868118685970967j),(0.6128799038028206-1.3861391987314817j),4.5975799632412094e-30,(0.0002255518242236798-0.0006726698656149832j)
0.24,(0.5723746816484291-1.3486260712256268j),(0.5717115390624964-1.3475381608907537j),1.2818989709841442e-30,(0.0006631425859326967-0.001087910334873099j)
0.25,(0.53535733104205-1.311862233432772j),(0.5347410794134367-1.310960002394353j),1.5407439555097887e-30,(0.0006162516286132291-0.0009022310384190213j)
0.26,(0.5016422128987947-1.276523947526438j),(0.501405731452733-1.2768140398562051j),4.930380657631324e-30,(0.00023648144606169819+0.00029009232976706656j)
0.27,(0.47086933192620006-1.242594892543272j),(0.4708575924918908-1.2415796473859297j),4.104541897478077e-30,(1.1739434309265828e-05-0.0010152451573421928j)
0.28,(0.4427232115690961-1.210044710464062j),(0.44264001114605384-1.2090294002994746j),3.232480818659537e-30,(8.320042304227337e-05-0.0010153101645873353j)
0.29,(0.4169270345940797-1.1788334180673647j),(0.4166527233829217-1.1780476860279978j),2.4158865222393487e-30,(0.00027431121115800705-0.0007857320393669376j)
0.3,(0.39323753721323174-1.1489147069630938j),(0.3929271815097102-1.1478830978808614j),3.158525108795067e-30,(0.0003103557035215587-0.001031609082232432j)
0.31,(0.371440580891926-1.1202384001681926j),(0.37110375617123986-1.1192561976893207j),3.1554436208840472e-30,(0.0003368247206861352-0.0009822024788719297j)
0.32,(0.35134732369403104-1.092752269265847j),(0.3509879100206064-1.0917354786521696j),5.1799811784239096e-30,(0.0003594136734246245-0.0010167906136773208j)
0.33,(0.33279091612072026-1.066403367211597j),(0.3324722355206615-1.0654152153682463j),2.0029671421627253e-31,(0.00031868060005874055-0.0009881518433505487j)
