f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.7083263637364703-0.3320906606902485j),7.296963373294359e-30,(0.008656996465962408-0.018226767847575598j)
0.01,(3.621331989105082-0.6826049983909342j),(3.6191255234973445-0.6806327498384299j),2.98904327368899e-29,(0.0022064656077374067-0.00197224855250433j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.4713823866665985-0.9822073485802567j),1.1093356479670479e-29,(0.0010205431053371683+0.00040855047748977746j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.282768502429426-1.2362261002756407j),1.996804166340686e-29,(0.000592648050168787-0.0015718920558187577j)
0.04,(3.0685737890883007-1.4460313309197002j),(3.068597715960328-1.4432316964197858j),8.38164711797325e-31,(-2.3926872027235646e-05-0.002799634499914383j)
0.05,(2.841393026216591-1.606769902282197j),(2.8418261684230646-1.604897876643179j),3.3526588471893e-30,(-0.0004331422064733914-0.0018720256390181156j)
0.06,(2.612786040809993-1.7237449805542338j),(2.6130522969706638-1.7240294287115883j),9.121204216617949e-30,(-0.00026625616067077473+0.000284448157354511j)
0.07,(2.390835695723726-1.8026476458302163j),(2.390567602930838-1.8022255445830424j),2.0954117794933126e-29,(0.000268092792887753-0.0004221012471739005j)
0.08,(2.180873936884638-1.849882735401002j),(2.180563951161084-1.8502573682977j),3.549874073494553e-30,(0.0003099857235540071+0.000374632896698035j)
0.09,(1.9859507004152042-1.871714439244773j),(1.9857298211959673-1.871695458258017j),9.860761315262648e-30,(0.00022087921923685805-1.898098675612303e-05j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.8070239165270645-1.873740278653296j),8.923988990312696e-30,(0.00037927698366435614-4.0837633356716196e-05j)
0.11,(1.6453858094165104-1.86088750962617j),(1.6453302074741307-1.860665617073884j),1.8242408433235898e-29,(5.5601942379635005e-05-0.00022189255228610705j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.499282682544052-1.8362110133399503j),7.14905195356542e-30,(1.754641790285838e-05-0.0007633147446748367j)
0.13,(1.368114717342158-1.8051848410134852j),(1.3682649456370837-1.8043808438630924j),9.860761315262648e-30,(-0.00015022829492572498-0.0008039971503928101j)
0.14,(1.2505857363325064-1.767973932875873j),(1.2506871364565475-1.767142464005237j),7.346267179870672e-30,(-0.00010140012404113996-0.0008314688706361206j)
