f_range,G_0,G,var,bias
0.0,(3.698665733066395-0.43573879106571345j),(3.6986605439020073-0.43573767882873704j),1.6171648557030742e-29,(5.189164387520151e-06-1.1122369764082762e-06j)
0.0125,(3.5527629478528726-0.8371000482690453j),(3.5527448295122985-0.8370964194285208j),2.742524240807424e-29,(1.811834057408035e-05-3.628840524516619e-06j)
0.025,(3.3335935589764825-1.178189216430162j),(3.333554834403797-1.17817623496839j),2.3863042382935607e-29,(3.872457268538909e-05-1.298146177197701e-05j)
0.037500000000000006,(3.0685737890883007-1.4460313309197002j),(3.068511008815653-1.4460021557356009j),4.979684464207637e-30,(6.278027264761121e-05-2.917518409928377e-05j)
0.05,(2.7840092571970665-1.6399168181130523j),(2.7839202969762797-1.6398637509795717j),2.2186712959340957e-30,(8.896022078674903e-05-5.306713348063319e-05j)
0.0625,(2.5005855991298316-1.7675598032772097j),(2.500470452406624-1.7674782456619296j),4.35845650134609e-29,(0.00011514672320744879-8.155761528017003e-05j)
0.07500000000000001,(2.2320399863225515-1.8406921111817676j),(2.231899969420967-1.8405760495781442j),1.67632942359465e-29,(0.00014001690158460534-0.00011606160362331863j)
0.08750000000000001,(1.9859507004152042-1.871714439244773j),(1.9857877587476571-1.8715601429772262j),3.0814879110195774e-29,(0.0001629416675470452-0.00015429626754692727j)
0.1,(1.7653624922656015-1.8717918198607968j),(1.765178351592967-1.8715966772211923j),1.1093356479670479e-29,(0.00018414067263439193-0.0001951426396045175j)
0.1125,(1.5704088939895926-1.8500943916836667j),(1.5702066584857186-1.8498567421057692j),1.6664686622793874e-29,(0.00020223550387399314-0.00023764957789751406j)
0.125,(1.39958019184513-1.8137257251343124j),(1.3993629918992352-1.8134438175076733j),1.0896141253365226e-29,(0.0002171999458948637-0.00028190762663915514j)
0.1375,(1.2505857363325064-1.767973932875873j),(1.2503546630997306-1.7676464801314464j),2.6131017485446016e-30,(0.00023107323277571368-0.0003274527444265818j)
0.15000000000000002,(1.1208841679404082-1.7166637154192637j),(1.1206409992656186-1.7162911593012575j),1.9721522630525295e-30,(0.0002431686747896844-0.00037255611800612876j)
0.1625,(1.007980595498702-1.6624988277343884j),(1.0077269798958355-1.6620797474359763j),4.930380657631324e-32,(0.0002536156028665193-0.00041908029841208894j)
0.17500000000000002,(0.9095750196384927-1.6073517372666086j),(0.9093124131464199-1.6068868705627315j),3.1677695725281255e-30,(0.000262606492072881-0.00046486670387713147j)
0.1875,(0.8236223527800214-1.5524915596956346j),(0.8233511343956552-1.5519808506109793j),1.3435287292045357e-30,(0.0002712183843661675-0.0005107090846552254j)
0.2,(0.7483433304618728-1.4987560672054858j),(0.7480655765240269-1.4981996608161319j),3.2047474274603605e-30,(0.00027775393784590374-0.0005564063893539473j)
0.21250000000000002,(0.6822103280678328-1.4466781945311655j),(0.6819260520311081-1.4460756993617725j),2.3789086673071137e-30,(0.00028427603672465107-0.0006024951693930358j)
0.225,(0.6239220333440466-1.396577574411105j),(0.6236324228768946-1.3959294203018797j),1.232595164407831e-29,(0.000289610467152035-0.0006481541092253629j)
0.23750000000000002,(0.5723746816484291-1.3486260712256268j),(0.5720807997373304-1.3479328373616115j),3.907326671172824e-30,(0.00029388191109869233-0.0006932338640153191j)
0.25,(0.526633850126938-1.3028943648187656j),(0.5263356254156781-1.3021556165553851j),1.0452406994178406e-29,(0.0002982247112598424-0.0007387482633804954j)
0.2625,(0.4859086809387866-1.2593848924410591j),(0.48560678253528516-1.258601564924067j),7.176785344764596e-30,(0.0003018984035014216-0.0007833275169921716j)
0.275,(0.44952923146546364-1.2180550431132249j),(0.44922351844826447-1.2172268497322989j),7.888609052210118e-31,(0.00030571301719917177-0.00082819338092599j)
0.28750000000000003,(0.4169270345940796-1.1788334180673645j),(0.41661878340002323-1.1779605680977303j),7.210681711785811e-30,(0.0003082511940563637-0.0008728499696342151j)
0.30000000000000004,(0.3876186542208151-1.1416311717135714j),(0.38730762112270384-1.1407142039165317j),2.443619913438525e-30,(0.00031103309811125746-0.0009169677970397583j)
0.3125,(0.36119189799537443-1.1063498679464616j),(0.36087844288260607-1.1053883702185876j),3.3064365285240065e-30,(0.00031345511276836824-0.0009614977278740167j)
