f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.6967438661369028-0.36071507419637094j),2.0165256889712114e-29,(0.02023949406552994+0.010397645658546839j)
0.01,(3.621331989105082-0.6826049983909342j),(3.6421691641236347-0.6669338455359792j),6.389773332290196e-29,(-0.020837175018552756-0.015671152854955017j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.4918942767464505-0.9644422408715202j),2.465190328815662e-31,(-0.019491346974514823-0.01735655723124674j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.308782494308917-1.234765401018418j),1.188221738489149e-29,(-0.02542134382932204-0.003032591313041566j)
0.04,(3.0685737890883007-1.4460313309197002j),(3.048894775637165-1.446961463261506j),1.2671078290112502e-29,(0.019679013451135763+0.0009301323418058338j)
0.05,(2.841393026216591-1.606769902282197j),(2.8646921440397612-1.6127628578576034j),2.2186712959340957e-30,(-0.023299117823170068+0.005992955575406356j)
0.06,(2.612786040809993-1.7237449805542338j),(2.595023262354742-1.721939776592354j),1.932709217791479e-29,(0.017762778455251205-0.0018052039618796645j)
0.07,(2.390835695723726-1.8026476458302163j),(2.3959625263085007-1.7811700021869374j),1.8193104626659585e-29,(-0.005126830584774922-0.021477643643278865j)
0.08,(2.180873936884638-1.849882735401002j),(2.1775300163128866-1.8668434664822113j),2.3074181477714595e-29,(0.0033439205717513687+0.016960731081209435j)
0.09,(1.9859507004152042-1.871714439244773j),(1.9883876940258085-1.8526131574195686j),1.67632942359465e-29,(-0.0024369936106043433-0.01910128182520454j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.7930392934622743-1.8751762296512575j),1.4248800100554526e-29,(0.014363900048454559+0.0013951133646048497j)
0.11,(1.6453858094165104-1.86088750962617j),(1.6578901817104086-1.8743941258354466j),8.332343311396937e-30,(-0.012504372293898225+0.013506616209276512j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.5086005468960224-1.8231585635919603j),8.874685183736383e-30,(-0.009300317934067603-0.013815764492664862j)
0.13,(1.368114717342158-1.8051848410134852j),(1.3814699783816027-1.8154966729929383j),1.8242408433235898e-29,(-0.013355261039444732+0.010311831979453068j)
0.14,(1.2505857363325064-1.767973932875873j),(1.2486226669388747-1.7828439293711922j),7.740697632481178e-30,(0.0019630693936316668+0.014869996495319171j)
0.15,(1.1454029992502197-1.7272270309652193j),(1.145258808634978-1.7146586375079196j),2.2186712959340957e-30,(0.00014419061524173493-0.012568393457299765j)
0.16,(1.05127882884355-1.684371821240384j),(1.063131719367804-1.6915619773717223j),1.705911707540438e-29,(-0.01185289052425409+0.007190156131338332j)
0.17,(0.96699911961129-1.6404753583072582j),(0.9688708725006311-1.6293479026157598j),1.232595164407831e-29,(-0.0018717528893410496-0.011127455691498422j)
0.18,(0.891448978231932-1.5963246498062325j),(0.8952124017274444-1.6089044478297294j),2.3789086673071137e-30,(-0.003763423495512397+0.012579798023496958j)
0.19,(0.8236223527800214-1.5524915596956346j),(0.8150153374316601-1.562965620484308j),4.104541897478077e-30,(0.00860701534836128+0.010474060788673523j)
0.2,(0.7626220063166317-1.5093840462814503j),(0.7496201250539596-1.5114297824537062j),9.860761315262648e-32,(0.0130018812626721+0.0020457361722558964j)
0.21,(0.7076540286253036-1.4672860604242333j),(0.6949140717495134-1.4659945478176248j),4.646883769817523e-30,(0.012739956875790215-0.0012915126066084248j)
0.22,(0.6580195694623413-1.4263883172854352j),(0.6600156534036524-1.4174780363824013j),2.7733391199176196e-30,(-0.001996083941311122-0.008910280903033918j)
0.23,(0.6131054556270443-1.3868118685970967j),(0.610776241526194-1.3772353787735951j),4.930380657631324e-30,(0.0023292141008502965-0.009576489823501566j)
0.24,(0.5723746816484291-1.3486260712256268j),(0.5775402666401827-1.3561236309271871j),3.414288605409692e-30,(-0.005165584991753569+0.007497559701560297j)
0.25,(0.53535733104205-1.311862233432772j),(0.5230164978663104-1.3132312133533788j),1.67632942359465e-30,(0.01234083317573953+0.0013689799206066944j)
0.26,(0.5016422128987947-1.276523947526438j),(0.5002424411284724-1.2863793473948453j),1.1401505270772436e-29,(0.0013997717703223556+0.009855399868407222j)
