f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.7408241004030334-0.2964179199767684j),1.2624855971447208e-29,(-0.023840740200600674-0.05389950856105569j)
0.01,(3.621331989105082-0.6826049983909342j),(3.573200465250538-0.6675819812600566j),8.011868568650901e-31,(0.04813152385454389-0.015023017130877614j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.5140198426707707-0.9330404207157085j),4.073727018367881e-29,(-0.04161691289883507-0.04875837738705846j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.3341773670363706-1.1969187388743447j),2.8398992587956425e-29,(-0.05081621655677582-0.04087925345711474j)
0.04,(3.0685737890883007-1.4460313309197002j),(3.104575809361792-1.3923506364238152j),1.2818989709841442e-29,(-0.0360020202734912-0.05368069449588497j)
0.05,(2.841393026216591-1.606769902282197j),(2.817190464442603-1.5627231942787037j),1.9721522630525295e-31,(0.02420256177398805-0.04404670800349342j)
0.06,(2.612786040809993-1.7237449805542338j),(2.6287921137028416-1.7663719650781784j),1.6171648557030742e-29,(-0.01600607289284861+0.042626984523944644j)
0.07,(2.390835695723726-1.8026476458302163j),(2.4353063672781787-1.831413657747769j),1.1093356479670479e-29,(-0.044470671554452945+0.028766011917552792j)
0.08,(2.180873936884638-1.849882735401002j),(2.1517123167708387-1.829061674416437j),1.9770826437101608e-29,(0.02916162011379919-0.020821060984564932j)
0.09,(1.9859507004152042-1.871714439244773j),(2.022549126304293-1.8389485615111603j),3.0962790529924713e-29,(-0.03659842588908879-0.032765877733612836j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.780741225142228-1.8930859200505672j),7.987216665362745e-30,(0.026661968368500766+0.019304803763914524j)
0.11,(1.6453858094165104-1.86088750962617j),(1.6407589839995071-1.828003614622731j),1.3065508742723008e-29,(0.004626825417003211-0.032883895003439134j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.5123679768272325-1.8769095547920547j),8.38164711797325e-30,(-0.013067747865277646+0.03993522670742955j)
