f_range,G_0,G,var,bias
0.0,(3.5527629478528726-0.8371000482690453j),(3.5527485016067026-0.8370942886344094j),2.0719924713695638e-29,(1.4446246169974586e-05-5.7596346358934625e-06j)
0.025,(3.0685737890883007-1.4460313309197002j),(3.0685128707081435-1.4459989154682662j),1.7749370367472766e-30,(6.091838015720441e-05-3.2415451433953635e-05j)
0.05,(2.5005855991298316-1.7675598032772097j),(2.5004696790414935-1.7674750349042467j),2.5095637547343438e-29,(0.00011592008833805068-8.476837296300666e-05j)
0.07500000000000001,(1.9859507004152042-1.871714439244773j),(1.985784745489204-1.871559223054306j),1.3065508742723008e-29,(0.00016595492600024464-0.0001552161904669891j)
0.1,(1.5704088939895926-1.8500943916836667j),(1.5702052723349205-1.8498592171129098j),1.1142660286246792e-29,(0.000203621654672137-0.00023517457075694637j)
0.125,(1.2505857363325064-1.767973932875873j),(1.2503573378749195-1.7676479822767608j),6.162975822039155e-30,(0.00022839845758682031-0.00032595059911222357j)
0.15000000000000002,(1.007980595498702-1.6624988277343884j),(1.0077269200305363-1.6620771083903403j),3.2047474274603605e-30,(0.00025367546816568165-0.0004217193440481104j)
0.17500000000000002,(0.8236223527800214-1.5524915596956346j),(0.8233487702861025-1.5519818035372077j),7.518830502887769e-31,(0.0002735824939188447-0.0005097561584268551j)
0.2,(0.6822103280678328-1.4466781945311655j),(0.6819288275816383-1.4460771923214397j),3.0075322011551075e-30,(0.00028150048619446366-0.0006010022097258094j)
0.225,(0.5723746816484291-1.3486260712256268j),(0.5720799591498268-1.3479301196184712j),1.4396711520283465e-29,(0.0002947224986022956-0.0006959516071556315j)
0.25,(0.4859086809387866-1.2593848924410591j),(0.4856053051175374-1.2586037405415054j),3.0198581527991858e-30,(0.0003033758212491744-0.0007811518995537448j)
0.275,(0.4169270345940796-1.1788334180673645j),(0.4166207901377795-1.1779594446476989j),2.4189680101503682e-30,(0.00030624445630011987-0.0008739734196656634j)
0.30000000000000004,(0.36119189799537443-1.1063498679464616j),(0.36087585223890467-1.1053884256290027j),1.4821956852004167e-30,(0.00031604575646976274-0.0009614423174588715j)
0.325,(0.3156236522679876-1.0411389946275043j),(0.3153080026871892-1.0400908120623324j),4.1446012403213316e-30,(0.0003156495807983828-0.0010481825651718069j)
0.35000000000000003,(0.27795859354634395-0.982386759923264j),(0.27763576354274355-0.9812485396368801j),6.409494854920721e-31,(0.00032283000360039393-0.0011382202863838842j)
0.375,(0.24651217584701315-0.9293290087936947j),(0.2461890788255456-0.9281076790758352j),1.5538402791316219e-30,(0.0003230970214675444-0.0012213297178594873j)
0.4,(0.2200152166047218-0.8812776899082854j),(0.219688090050532-0.879965914808352j),4.437342591868191e-31,(0.00032712655418981607-0.00131177509993341j)
0.42500000000000004,(0.19749987259179938-0.8376266009060788j),(0.19717151647928677-0.8362331214850472j),4.930380657631324e-32,(0.0003283561125126122-0.0013934794210315182j)
0.45,(0.1782195261653514-0.7978477446314336j),(0.17788912259901968-0.7963644742029448j),8.081202046648842e-31,(0.00033040356633171064-0.0014832704284888365j)
0.47500000000000003,(0.16159189195505577-0.7614838509685186j),(0.1612600317392858-0.7599194185150953j),6.810088283353266e-31,(0.0003318602157699746-0.0015644324534233034j)
0.5,(0.1471581557609257-0.7281397951605957j),(0.1468249911920374-0.726486325879969j),0.0,(0.0003331645688882945-0.001653469280626707j)
