f_range,G_0,G,var,bias
0.0,(3.621331989105082-0.6826049983909342j),(3.617257673911622-0.6820771589534528j),5.2385294487332815e-30,(0.00407431519345991-0.0005278394374814699j)
0.02,(3.2833611504795948-1.2377979923314595j),(3.2810932710243255-1.240676067440301j),2.0756902568627873e-29,(0.002267879455269295+0.002878075108841527j)
0.04,(2.841393026216591-1.606769902282197j),(2.839365851256103-1.6094680286513585j),1.3065508742723008e-29,(0.0020271749604883205+0.0026981263691614465j)
0.06,(2.390835695723726-1.8026476458302163j),(2.393069911865077-1.8015760622901384j),2.406025760924086e-29,(-0.0022342161413511086-0.0010715835400778584j)
0.08,(1.9859507004152042-1.871714439244773j),(1.9851255025220684-1.8742314935694848j),2.376443476978298e-29,(0.0008251978931357318+0.0025170543247117205j)
0.1,(1.6453858094165104-1.86088750962617j),(1.643350548665108-1.8624353713857174j),1.996804166340686e-29,(0.002035260751402257+0.0015478617595472421j)
0.12,(1.368114717342158-1.8051848410134852j),(1.367531522211932-1.8029823885068483j),8.38164711797325e-31,(0.0005831951302259775-0.002202452506636865j)
0.14,(1.1454029992502197-1.7272270309652193j),(1.1467006212355246-1.728457567672271j),3.1554436208840472e-30,(-0.0012976219853049198+0.0012305367070517548j)
0.16,(0.96699911961129-1.6404753583072582j),(0.9663937425780487-1.6385480908187702j),1.8057519158574723e-29,(0.0006053770332413722-0.001927267488488038j)
0.18,(0.8236223527800214-1.5524915596956346j),(0.8218619029374193-1.5527886596816152j),7.888609052210118e-31,(0.001760449842602041+0.00029709998598059784j)
0.2,(0.7076540286253036-1.4672860604242333j),(0.7092197589249644-1.4667476003612188j),7.888609052210118e-31,(-0.0015657302996607836-0.0005384600630145009j)
0.22,(0.6131054556270443-1.3868118685970967j),(0.6146159434689059-1.3862358573864808j),1.195617309475596e-30,(-0.0015104878418615852-0.000576011210615901j)
0.24,(0.53535733104205-1.311862233432772j),(0.5366593622701304-1.312209681420284j),5.2385294487332815e-30,(-0.0013020312280804802+0.0003474479875118508j)
0.26,(0.47086933192620006-1.242594892543272j),(0.46944768015246807-1.2423071912249781j),2.0245375575398623e-30,(0.0014216517737319911-0.0002877013182938093j)
0.28,(0.4169270345940797-1.1788334180673647j),(0.416139458200798-1.1794349453277286j),1.2603285556070071e-30,(0.000787576393281697+0.0006015272603638877j)
0.3,(0.371440580891926-1.1202384001681926j),(0.3720433297937549-1.118562444163729j),4.437342591868191e-31,(-0.0006027489018288756-0.0016759560044636856j)
0.32,(0.33279091612072026-1.066403367211597j),(0.3339025748521615-1.0658010840646062j),2.6654870430319344e-30,(-0.0011116587314412563-0.0006022831469907342j)
0.34,(0.2997145141703045-1.0169073891629956j),(0.30055947786080406-1.0167166345989356j),1.9721522630525295e-31,(-0.0008449636904995783-0.0001907545640600361j)
0.36,(0.27121756962151194-0.9713428416420591j),(0.27088681988083635-0.9694329287901684j),3.0229396407102054e-30,(0.0003307497406755955-0.0019099128518906827j)
0.38,(0.24651217584701315-0.9293290087936947j),(0.24533422749368586-0.9283915533970496j),2.0900191756490283e-30,(0.001177948353327296-0.0009374553966451371j)
0.4,(0.2249687210621368-0.8905177025341376j),(0.22382006777908595-0.8893637351188395j),4.0136380041029995e-31,(0.00114865328305086-0.0011539674152981627j)
0.42,(0.20608020455031756-0.8545944747985388j),(0.2064029611617832-0.8527599599393101j),3.3588218230113393e-31,(-0.0003227566114656355-0.0018345148592286975j)
0.44,(0.1894353221960685-0.8212774908273873j),(0.18969474945674875-0.8193789472705831j),8.936314941956774e-32,(-0.0002594272606802339-0.0018985435568041886j)
0.46,(0.17469802653834912-0.7903152529480975j),(0.1737120506589602-0.7893898527041486j),4.623002238507121e-30,(0.0009859758793889228-0.0009254002439488263j)
0.48,(0.16159189195505577-0.7614838509685186j),(0.1608552273435779-0.7607140184026803j),1.8565964663892954e-31,(0.0007366646114778663-0.000769832565838291j)
0.5,(0.14988806796463136-0.7345841149583878j),(0.14885747379022218-0.7332525361890051j),2.04148574105047e-31,(0.0010305941744091773-0.0013315787693827241j)
0.52,(0.1393959297594186-0.7094388707734633j),(0.13968488914036406-0.707506765272945j),1.1170393677445968e-31,(-0.00028895938094544715-0.0019321055005183663j)
0.54,(0.12995577033286862-0.6858903968604957j),(0.12902457328507747-0.6845561899570357j),2.2494861750442915e-31,(0.0009311970477911546-0.001334206903459978j)
0.56,(0.1214330487597856-0.6637981225629523j),(0.12163263815288561-0.6616910655747447j),1.0032169080313112e-30,(-0.0001995893931000109-0.0021070569882076784j)
0.58,(0.11371383287510903-0.6430365755495648j),(0.11296200197143941-0.6407458457752125j),3.1831770120832234e-30,(0.0007518309036696202-0.002290729774352296j)
0.6,(0.10670116496937579-0.6234935685549114j),(0.1069377135304102-0.6214440583349942j),4.5933429173635575e-31,(-0.00023654856103441646-0.002049510219917283j)
0.62,(0.10031214554535813-0.6050686070613647j),(0.0998002804961153-0.6036660570421422j),1.5008772056609729e-30,(0.0005118650492428184-0.0014025500192225149j)
