f_range,G_0,G,var,bias
0.0,(3.2833611504795948-1.2377979923314595j),(3.285731536311465-1.23928522423924j),3.0075322011551075e-30,(-0.0023703858318704363+0.0014872319077805507j)
0.04,(2.390835695723726-1.8026476458302163j),(2.3807554429420175-1.7965430892990721j),8.923988990312696e-30,(0.010080252781708321-0.006104556531144167j)
0.08,(1.6453858094165104-1.86088750962617j),(1.658789397694779-1.8681807206385208j),9.860761315262648e-31,(-0.013403588278268597+0.007293211012350698j)
0.12,(1.1454029992502197-1.7272270309652193j),(1.1420804078770064-1.726858617795508j),5.2385294487332815e-30,(0.003322591373213335-0.0003684131697112569j)
0.16,(0.8236223527800214-1.5524915596956346j),(0.8227004133013287-1.5511742591900461j),3.907326671172824e-30,(0.0009219394786926793-0.0013173005055884257j)
0.2,(0.6131054556270443-1.3868118685970967j),(0.6128000497025421-1.3857881184229937j),1.3835880720477902e-30,(0.00030540592450223336-0.0010237501741030552j)
0.24,(0.47086933192620006-1.242594892543272j),(0.4706242323296996-1.2416640209245033j),7.296963373294359e-30,(0.0002450995965004865-0.0009308716187685917j)
0.28,(0.371440580891926-1.1202384001681926j),(0.3711699715671605-1.119251574412918j),2.3789086673071137e-30,(0.000270609324765525-0.0009868257552747561j)
0.32,(0.2997145141703045-1.0169073891629956j),(0.29941922419656114-1.0158091806699618j),1.71407765050464e-30,(0.0002952899737433401-0.0010982084930337699j)
0.36,(0.24651217584701315-0.9293290087936947j),(0.24620109473398102-0.9281014470449276j),7.896312771987667e-31,(0.00031108111303213004-0.0012275617487671475j)
0.4,(0.20608020455031756-0.8545944747985388j),(0.20575952285341725-0.8532322068218297j),5.3694926849516136e-31,(0.00032068169690030457-0.0013622679767091306j)
0.44,(0.17469802653834912-0.7903152529480975j),(0.17437135089994993-0.7888170114555875j),1.8126852636572664e-30,(0.0003266756383991931-0.0014982414925099885j)
0.48,(0.14988806796463136-0.7345841149583878j),(0.14955746362467093-0.7329499161197207j),7.703719777548943e-32,(0.00033060433996043304-0.0016341988386671114j)
0.52,(0.12995577033286862-0.6858903968604957j),(0.1296224561673682-0.684120619762688j),6.4730505430855e-31,(0.00033331416550042015-0.0017697770978076788j)
0.56,(0.11371383287510903-0.6430365755495648j),(0.11337856278426743-0.6411316614490731j),1.514743901260561e-30,(0.00033527009084159676-0.0019049141004917614j)
0.6,(0.10031214554535813-0.6050686070613647j),(0.09997541035011542-0.6030289659180871j),6.532754371361504e-31,(0.0003367351952427017-0.002039641143277593j)
0.64,(0.08913006417212811-0.5712211238269759j),(0.08879219958169474-0.5690471107104872j),4.81482486096809e-31,(0.000337864590433376-0.0021740131164886822j)
0.68,(0.07970646545669313-0.5408753320562883j),(0.07936771155626698-0.5385672464681426j),3.0814879110195774e-31,(0.0003387539004261475-0.0023080855881457696j)
0.72,(0.07169328828684457-0.5135269257695122j),(0.07135382351121232-0.5110850176630559j),1.371262120403712e-30,(0.0003394647756322505-0.002441908106456281j)
0.76,(0.06482402631664956-0.48876164364599467j),(0.06448398766675993-0.48618612063848105j),5.30208513689806e-31,(0.00034003864988962906-0.002575523007513625j)
0.8,(0.05889194958115998-0.46623658072257723j),(0.05855144514658413-0.4635276147099953j),5.2890851097734465e-31,(0.0003405044345758529-0.002708966012581915j)
0.84,(0.053734786287498504-0.44566581798557997j),(0.0533939033090051-0.4428235507468508j),2.0029671421627253e-31,(0.00034088297849340504-0.002842267238729157j)
0.88,(0.04922377487983068-0.4268092967426375j),(0.04888258513278656-0.4238338445435401j),2.0304116438702434e-31,(0.0003411897470441197-0.0029754521990973948j)
0.92,(0.04525572376069902-0.4094641419825632j),(0.044914287267985666-0.4063555993210217j),1.5681884572173068e-31,(0.00034143649271335674-0.00310854266154148j)
0.96,(0.041747173953343444-0.39345784499987707j),(0.04140554162443532-0.39021628765015204j),1.111261577911435e-31,(0.0003416323289081244-0.0032415573497250327j)
1.0,(0.038630053817575186-0.3786428670369452j),(0.03828826937016539-0.37526835453284535j),1.9740781929969167e-31,(0.00034178444740979447-0.003374512504099869j)
1.04,(0.03584840684023232-0.3648923366938366j),(0.0355065082335746-0.3613849143665744j),3.1397472918372912e-31,(0.0003418986066577173-0.0035074223272621996j)
1.08,(0.0333559009436735-0.3520965952846061j),(0.033013921467859884-0.348456295943918j),1.162419092059221e-31,(0.0003419794758136169-0.003640299340688047j)
1.12,(0.031113913669083632-0.3401604042731255j),(0.030771882786508033-0.336387249604745j),7.703719777548943e-34,(0.0003420308825755995-0.0037731546683805184j)
1.16,(0.02909004635263177-0.32900067329045213j),(0.028747990358393562-0.3250946750239585j),1.9751615285906346e-31,(0.0003420559942382065-0.0039059982664936266j)
1.2,(0.027256961143858942-0.31854460026607456j),(0.026914903690245854-0.3145057611575545j),5.027880861065928e-32,(0.00034205745361308784-0.004038839108520043j)
1.24,(0.02559146330468715-0.308728139952454j),(0.025249425822469633-0.30455645461530884j),4.438425927461909e-31,(0.0003420374822175158-0.004171685337145181j)
1.28,(0.024073771530491964-0.2994947357861943j),(0.023731773570928223-0.295190191397914j),2.4960052079258577e-31,(0.0003419979595637411-0.0043045443882802625j)
1.32,(0.022686933612787424-0.2907942641992817j),(0.022344993127499962-0.2863568411053732j),4.441675934243063e-31,(0.0003419404852874619-0.0044374230939085435j)
1.36,(0.021416355339369433-0.2825821513234926j),(0.02107448891133296-0.2780118235559509j),2.8166725436663324e-32,(0.000341866428036474-0.0045703277675417375j)
1.4000000000000001,(0.020249418275837466-0.2748186303617003j),(0.019907641311365912-0.2701153660859887j),3.7363040921112376e-31,(0.0003417769644715532-0.004703264275711605j)
1.44,(0.019175167800941237-0.2674681143488609j),(0.018833494690322153-0.26263187625081236j),3.0873860714742633e-31,(0.000341673110619084-0.004836238098048562j)
1.48,(0.018184057040435984-0.26049866404875316j),(0.017842501293079408-0.25552940967065285j),7.801219980983547e-32,(0.00034155574735657626-0.004969254378100307j)
1.52,(0.01726773555653066-0.2538815346687103j),(0.016926309915403576-0.24877921670221761j),3.0834138409639646e-31,(0.0003414256411270848-0.005102317966492659j)
1.56,(0.01641887408430853-0.2475907881767027j),(0.01607759062326419-0.24235535471900488j),3.3992663518434713e-31,(0.0003412834610443394-0.005235433457697808j)
