f_range,G_0,G,var,bias
0.0,(3.0685737890883007-1.4460313309197002j),(3.0682313468096436-1.4458925350967156j),8.38164711797325e-31,(0.00034244227865709576-0.00013879582298459425j)
0.05,(1.9859507004152042-1.871714439244773j),(1.986011970443258-1.8716485873033528j),3.944304526105059e-30,(-6.127002805378368e-05-6.585194142028072e-05j)
0.1,(1.2505857363325064-1.767973932875873j),(1.2501629351493337-1.7676421109354714j),7.543482406175925e-30,(0.0004228011831726164-0.00033182194040159985j)
0.15000000000000002,(0.8236223527800214-1.5524915596956346j),(0.8234937890394884-1.55191841901537j),1.0477058897466563e-30,(0.00012856374053293873-0.0005731406802644834j)
0.2,(0.5723746816484291-1.3486260712256268j),(0.5719625304364588-1.3478792939141722j),8.874685183736383e-31,(0.0004121512119702464-0.0007467773114546716j)
0.25,(0.4169270345940796-1.1788334180673645j),(0.41650843152980654-1.1779506717735577j),4.366468369914741e-30,(0.0004186030642730487-0.000882746293806802j)
0.30000000000000004,(0.3156236522679876-1.0411389946275043j),(0.31531358098128964-1.040185667644848j),2.6131017485446016e-30,(0.000310071286697966-0.0009533269826562663j)
0.35000000000000003,(0.24651217584701315-0.9293290087936947j),(0.24610354629153972-0.9280959504094416j),1.2333655363855858e-30,(0.0004086295554734387-0.0012330583842531384j)
0.4,(0.19749987259179938-0.8376266009060788j),(0.1971626788967089-0.8361553393138067j),2.792598419361492e-30,(0.0003371936950904708-0.0014712615922720662j)
0.45,(0.16159189195505577-0.7614838509685186j),(0.16126418769117515-0.75984861897401j),6.240013019814644e-32,(0.0003277042638806238-0.0016352319945085458j)
0.5,(0.1345532928429548-0.6974741999143755j),(0.13421033016297382-0.6956756817983645j),1.2703433913178208e-30,(0.0003429626799809904-0.0017985181160110608j)
0.55,(0.11371383287510903-0.6430365755495648j),(0.11343510388132279-0.6411386231181311j),6.240013019814644e-32,(0.0002787289937862397-0.0018979524314337581j)
0.6000000000000001,(0.09732885313775105-0.5962468394997634j),(0.09702507526299625-0.5941318350735193j),1.507040181483012e-30,(0.00030377787475480145-0.002115004426244127j)
0.65,(0.08422243134371556-0.5556444003114643j),(0.08388389721161872-0.5534529547491881j),1.2818989709841442e-30,(0.0003385341320968349-0.0021914455622762397j)
0.7000000000000001,(0.07358009217328537-0.5201070232996194j),(0.07322116969411516-0.5176561715718654j),8.044609377705484e-31,(0.000358922479170215-0.0024508517277540554j)
0.75,(0.06482402631664956-0.48876164364599467j),(0.06446253273326354-0.4862241754332933j),1.1218541926055649e-30,(0.00036149358338602444-0.0025374682127013437j)
0.8,(0.05753554314885352-0.4609207611756787j),(0.05715470803244933-0.4581874994488835j),1.1218541926055649e-30,(0.0003808351164041879-0.002733261726795222j)
0.8500000000000001,(0.05140548343368424-0.4360367405956356j),(0.051074915232843104-0.43309033566057314j),3.0814879110195774e-32,(0.0003305682008411387-0.00294640493506243j)
0.9,(0.046201690208745934-0.4136686380482001j),(0.04586587571327616-0.41055682687608125j),1.1124171358780674e-30,(0.0003358144954697731-0.003111811172118839j)
0.9500000000000001,(0.041747173953343444-0.39345784499987707j),(0.04140907674974869-0.39018132721230997j),4.531713159143166e-31,(0.00033809720359475465-0.0032765177875671014j)
1.0,(0.037905149313597765-0.3751099966429919j),(0.03755171793426649-0.3716708333164817j),3.717044792667365e-32,(0.000353431379331276-0.003439163326510175j)
1.05,(0.034568586643089524-0.3583813788816117j),(0.03424856335541073-0.3548307940143854j),1.1675950287847617e-31,(0.0003200232876787931-0.003550584867226314j)
1.1,(0.031652790627748784-0.34306860203104256j),(0.03131401037297796-0.3393591028906657j),5.320381471369739e-32,(0.0003387802547708263-0.0037094991403768818j)
1.1500000000000001,(0.02909004635263177-0.32900067329045213j),(0.028776014097772088-0.3251034517693372j),7.704923483764185e-32,(0.0003140322548596808-0.0038972215211149352j)
1.2000000000000002,(0.026825701463780906-0.3160328499225276j),(0.026458265456790923-0.3119731353043882j),2.034263503759018e-33,(0.00036743600698998374-0.004059714618139421j)
1.25,(0.024815261472320636-0.30404182823957426j),(0.024448696985796672-0.299815335875734j),4.45190743707262e-31,(0.00036656448652396326-0.004226492363840262j)
1.3,(0.023022210094917585-0.2929219447195562j),(0.022659273844234426-0.288502094289889j),1.121372710119468e-31,(0.00036293625068315946-0.004419850429667194j)
1.35,(0.021416355339369433-0.2825821513234926j),(0.021085613217596107-0.27803449465891544j),1.530271711437183e-31,(0.000330742121773326-0.004547656664577182j)
1.4000000000000001,(0.01997256150543884-0.2729435883700275j),(0.019652934378784622-0.2682173775615206j),1.3300953678424348e-32,(0.0003196271266542178-0.0047262108085069365j)
1.4500000000000002,(0.018669767688800482-0.2639376225691367j),(0.01835026290955328-0.2590266078451791j),5.007417855406813e-32,(0.0003195047792472032-0.004911014723957607j)
1.5,(0.01749022123901788-0.2555042500768374j),(0.017136051798173298-0.2504542092601422j),7.714553133486122e-32,(0.000354169440844581-0.005050040816695189j)
1.55,(0.01641887408430853-0.2475907881767027j),(0.0160926265252383-0.24233906446399417j),2.7821261752888864e-31,(0.00032624755907022934-0.005251723712708517j)
1.6,(0.015442903597079376-0.24015079682886492j),(0.015120642171784217-0.23473848049196186j),2.77364004647143e-32,(0.00032226142529515923-0.005412316336903061j)
1.6500000000000001,(0.01455132951666929-0.23314318453861588j),(0.01420334545797589-0.2275943596934056j),7.80302554030641e-33,(0.00034798405869339993-0.005548824845210271j)
1.7000000000000002,(0.013734705561335634-0.22653146297623214j),(0.013407233794799262-0.22081177365341503j),1.5150147351589905e-31,(0.0003274717665363719-0.005719689322817106j)
1.75,(0.012984869557809567-0.22028312237743655j),(0.012654071697134756-0.2143984618158932j),7.52316384526264e-35,(0.00033079786067481166-0.005884660561543353j)
1.8,(0.012294739747584358-0.21436910558189226j),(0.011945316027261142-0.20828339405405288j),9.351593586215272e-32,(0.00034942372032321575-0.006085711527839377j)
1.85,(0.011658147778601408-0.2087633630695956j),(0.011300644445827537-0.2025210580335053j),3.0844971765576824e-33,(0.0003575033327738713-0.006242305036090273j)
1.9000000000000001,(0.011069701028504391-0.20344247485722106j),(0.010746172128272788-0.1970482004684901j),4.930681584185134e-32,(0.0003235289002316028-0.006394274388730969j)
1.9500000000000002,(0.010524668521852435-0.19838532785831703j),(0.010190261613569833-0.1918321766941347j),1.9692633681359487e-32,(0.00033440690828260254-0.0065531511641823414j)
2.0,(0.010018885935013577-0.1935728394711467j),(0.009685197368571428-0.18685168630665644j),3.7760263972142243e-32,(0.0003336885664421488-0.006721153164490262j)
2.0500000000000003,(0.009548676127269678-0.18898771986951396j),(0.009216494951096532-0.18206661048724687j),1.73442028554223e-31,(0.00033218117617314635-0.006921109382267088j)
2.1,(0.009110782366576009-0.18461426683582402j),(0.008773216988402468-0.17752452761964577j),5.085658759397545e-34,(0.00033756537817354083-0.0070897392161782535j)
2.15,(0.008702311985948712-0.1804381880683987j),(0.008352628350395188-0.17318584805239237j),1.9334531082324985e-32,(0.0003496836355535247-0.007252340016006331j)
2.2,(0.008320688650446889-0.17644644677509938j),(0.007993933267763322-0.169025684744062j),7.080801811161197e-33,(0.0003267553826835669-0.007420762031037392j)
2.25,(0.00796361176409908-0.17262712707753225j),(0.007631186581721092-0.16506464463220635j),2.174194351280903e-34,(0.0003324251823779876-0.0075624824453258965j)
2.3000000000000003,(0.007629021822597805-0.16896931632924403j),(0.007299616472531966-0.16123691312572538j),7.706428116533238e-32,(0.0003294053500658388-0.007732403203518645j)
2.35,(0.007315070737523395-0.165463001924351j),(0.006990806549680762-0.15753990543650387j),1.302116721501903e-31,(0.0003242641878426324-0.007923096487847142j)
2.4000000000000004,(0.007020096333730399-0.1620989805611192j),(0.006695581223543853-0.15402491876212962j),9.330603959086989e-32,(0.00032451511018654657-0.00807406179898959j)
2.45,(0.006742600362829829-0.15886877824468532j),(0.0063936661739015105-0.15061102221825162j),7.704923483764185e-32,(0.0003489341889283187-0.008257756026433694j)
2.5,(0.006481229489775814-0.15576457957751555j),(0.006134117361041791-0.1473508651186856j),9.3323342867714e-32,(0.00034711212873402356-0.008413714458829963j)
2.5500000000000003,(0.006234758802058159-0.15277916510571135j),(0.005910772986167636-0.14419717513222838j),6.240313946368455e-32,(0.0003239858158905224-0.008581989973482973j)
2.6,(0.006002077466327515-0.14990585567220654j),(0.005680308481285633-0.1411400652716299j),3.7940819904428546e-32,(0.0003217689850418823-0.00876579040057665j)
2.6500000000000004,(0.005782176218872758-0.14713846288087545j),(0.0054523543794074945-0.1382210466116511j),7.024378082321727e-33,(0.00032982183946526304-0.008917416269224349j)
2.7,(0.00557413642693412-0.14447124490394972j),(0.005236015131383335-0.13538327822709373j),6.240690104560718e-32,(0.0003381212955507855-0.00908796667685599j)
2.75,(0.005377120499506352-0.14189886697321671j),(0.0050566058916945945-0.13263222732273747j),6.247536183659907e-32,(0.00032051460781175756-0.009266639650479247j)
2.8000000000000003,(0.005190363460748804-0.1394163659867569j),(0.004857482740172681-0.12996256442955445j),1.9286382833715304e-32,(0.0003328807205761229-0.009453801557202463j)
2.85,(0.005013165527727631-0.1370191187403061j),(0.004670696828591337-0.12740058982102853j),7.704020704102754e-32,(0.0003424686991362934-0.009618528919277558j)
2.9000000000000004,(0.004844885558037777-0.134702813358041j),(0.0045198179543862625-0.12493065383139004j),6.241216726029886e-32,(0.00032506760365151426-0.009772159526650948j)
2.95,(0.004684935252761339-0.13246342355357005j),(0.004341954961580059-0.12250921038222083j),2.780862283762882e-32,(0.00034298029118128015-0.009954213171349216j)
3.0,(0.004532774016903327-0.1302971853997593j),(0.004197585857496205-0.12016073412922465j),6.250846375751822e-32,(0.00033518815940712134-0.010136451270534641j)
