f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.715850168543519-0.3491193161305364j),0.0012495513849419423,(0.0011331916589139013-0.0011981124072877325j)
0.01,(3.621331989105082-0.6826049983909342j),(3.619845925720315-0.6815767455874919j),0.0009428904609908783,(0.001486063384767089-0.00102825280344232j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.471384832016661-0.9816157137143787j),0.0009399047995838365,(0.0010180977552747272-0.0001830843883882105j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.281826956779643-1.2370055534294013j),0.000843237101662996,(0.0015341936999515582-0.0007924389020581568j)
0.04,(3.0685737890883007-1.4460313309197002j),(3.0697543193146952-1.4413562567044276j),0.0010704603284244002,(-0.0011805302263945272-0.004675074215272579j)
0.05,(2.841393026216591-1.606769902282197j),(2.8420243374701353-1.6022308625953523j),0.0018378604336168288,(-0.0006313112535440979-0.00453903968684477j)
0.06,(2.612786040809993-1.7237449805542338j),(2.6169374561609478-1.7268864037854224j),0.002379766853190631,(-0.004151415350954757+0.0031414232311886003j)
0.07,(2.390835695723726-1.8026476458302163j),(2.3899444917262262-1.802918007298085j),0.0021843607353112466,(0.0008912039974995345+0.0002703614678687405j)
0.08,(2.180873936884638-1.849882735401002j),(2.1845050018705394-1.8540252496713074j),0.0022527070312827733,(-0.0036310649859014887+0.004142514270305542j)
0.09,(1.9859507004152042-1.871714439244773j),(1.987754143528118-1.873942486456422j),0.003342032133008302,(-0.0018034431129139161+0.0022280472116489314j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.805704208593296-1.8764328800394603j),0.003130582572796618,(0.001698984917432922+0.0026517637528076232j)
0.11,(1.6453858094165104-1.86088750962617j),(1.649649912431367-1.8570409388156055j),0.0033052811298462507,(-0.0042641030148566905-0.003846570810564609j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.499408679579605-1.8356077004903548j),0.004064545323062643,(-0.00010845061765030195-0.0013666275942703088j)
0.13,(1.368114717342158-1.8051848410134852j),(1.367048625823011-1.807192233288659j),0.005388418714809558,(0.001066091519146939+0.0020073922751737694j)
0.14,(1.2505857363325064-1.767973932875873j),(1.2546911571149364-1.7678274291836664j),0.004566443145316296,(-0.004105420782430036-0.00014650369220658988j)
0.15,(1.1454029992502197-1.7272270309652193j),(1.1429664595598292-1.7282529332805028j),0.0045292707356430805,(0.0024365396903904823+0.0010259023152834335j)
