f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.7214098008247265-0.34452533972343935j),0.003158788080096377,(-0.0044264406222938035-0.005792088814384755j)
0.01,(3.621331989105082-0.6826049983909342j),(3.626359450049788-0.680932872251529j),0.0014741212958315974,(-0.005027460944706075-0.0016721261394052611j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.468936985851537-0.9821686228844106j),0.003788927653494345,(0.003465943920398562+0.0003698247816437128j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.2805306545809594-1.239940313906727j),0.0016011781148491818,(0.0028304958986353768+0.002142321575267614j)
0.04,(3.0685737890883007-1.4460313309197002j),(3.0704721936012165-1.4452213840489534j),0.002206073151293769,(-0.0018984045129157856-0.0008099468707467583j)
0.05,(2.841393026216591-1.606769902282197j),(2.8407971041807003-1.6019399478261351j),0.002554933749924071,(0.0005959220358908723-0.004829954456061936j)
0.06,(2.612786040809993-1.7237449805542338j),(2.611836068235244-1.7314409894009444j),0.0025632296027229993,(0.0009499725747490473+0.0076960088467106225j)
0.07,(2.390835695723726-1.8026476458302163j),(2.3830062600709634-1.7973131680416026j),0.0030593400538703065,(0.007829435652762395-0.005334477788613734j)
0.08,(2.180873936884638-1.849882735401002j),(2.181625264994509-1.8426846831520747j),0.0031980088948003913,(-0.0007513281098709967-0.0071980522489272225j)
0.09,(1.9859507004152042-1.871714439244773j),(1.989861612869376-1.873923484841917j),0.0013922784381554564,(-0.003910912454171855+0.002209045597143966j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.8046368649045885-1.872971185258645j),0.002702814452846855,(0.0027663286061403447-0.0008099310280076377j)
0.11,(1.6453858094165104-1.86088750962617j),(1.6459174891725314-1.858461910633921j),0.0023618534334689605,(-0.0005316797560210862-0.002425598992249034j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.4978659320596017-1.8388350269785312j),0.002912426770091802,(0.0014342969023530827+0.0018606988939060543j)
