f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.6095256689329194-0.5252770103732696j),0.009258236928045938,(0.10745769126951332+0.17495958183544547j)
0.01,(3.621331989105082-0.6826049983909342j),(3.607450965709006-0.7973669212535833j),0.0029843884085335093,(0.013881023396075776+0.11476192286264908j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.497877768048419-1.0420740451112869j),0.001097752998140245,(-0.025474838276483336+0.06027524700851994j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.3163184474114042-1.2572141387738152j),0.00042544926197600133,(-0.03295729693180949+0.019416146442355675j)
0.04,(3.0685737890883007-1.4460313309197002j),(3.0925954263637316-1.4412055699955573j),0.00018740670669826793,(-0.02402163727543094-0.004825760924142886j)
0.05,(2.841393026216591-1.606769902282197j),(2.8508411785766405-1.593069317457819j),0.0001261466366630465,(-0.009448152360049367-0.013700584824378081j)
0.06,(2.612786040809993-1.7237449805542338j),(2.609498228826876-1.7124289707688352j),2.870978826323949e-05,(0.003287811983117006-0.011316009785398595j)
0.07,(2.390835695723726-1.8026476458302163j),(2.3909072799588076-1.799519799628075j),1.2160791219765555e-05,(-7.158423508180078e-05-0.003127846202141349j)
0.08,(2.180873936884638-1.849882735401002j),(2.1806071733381565-1.8486616043035016j),9.502719671732423e-06,(0.0002667635464814744-0.0012211310975003276j)
0.09,(1.9859507004152042-1.871714439244773j),(1.9856419036852755-1.8716252557671822j),9.524609873120173e-06,(0.00030879672992867313-8.918347759090395e-05j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.8068023037250946-1.8738299125312374j),1.0818244103277827e-05,(0.0006008897856342177+4.879624458475895e-05j)
0.11,(1.6453858094165104-1.86088750962617j),(1.6447815807338593-1.8609745534619253j),1.2226918119791576e-05,(0.0006042286826510868+8.704383575519614e-05j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.4988725282635236-1.8367843793027936j),1.3822151852239354e-05,(0.0004277006984312326-0.0001899487818315393j)
0.13,(1.368114717342158-1.8051848410134852j),(1.3678492331916017-1.8048123100570501j),1.4277736571540855e-05,(0.00026548415055627217-0.00037253095643507983j)
0.14,(1.2505857363325064-1.767973932875873j),(1.2502106209862829-1.767488773850454j),1.5159037851151609e-05,(0.00037511534622347575-0.000485159025418902j)
0.15,(1.1454029992502197-1.7272270309652193j),(1.1450883296865766-1.7267747662856956j),1.4432824222142484e-05,(0.0003146695636431218-0.0004522646795237506j)
0.16,(1.05127882884355-1.684371821240384j),(1.0510905933233818-1.6839734229211012j),1.7637971601029636e-05,(0.00018823552016811185-0.0003983983192827889j)
0.17,(0.96699911961129-1.6404753583072582j),(0.9669760809839545-1.640010596835764j),1.9465091597364473e-05,(2.3038627335547623e-05-0.0004647614714943238j)
0.18,(0.891448978231932-1.5963246498062325j),(0.8913427762608441-1.5958899448653339j),1.9586598673424804e-05,(0.00010620197108790475-0.00043470494089858924j)
0.19,(0.8236223527800214-1.5524915596956346j),(0.8235195534652411-1.5519519867588663j),1.962521072311481e-05,(0.00010279931478029969-0.0005395729367683177j)
0.2,(0.7626220063166317-1.5093840462814503j),(0.7623068738901944-1.5091291154659388j),1.9149458316999623e-05,(0.00031513242643732564-0.00025493081551153374j)
0.21,(0.7076540286253036-1.4672860604242333j),(0.7068788558396029-1.4669063524558315j),1.8218166119514812e-05,(0.0007751727857007173-0.0003797079684018101j)
0.22,(0.6580195694623413-1.4263883172854352j),(0.657409430973125-1.4259236654061693j),1.9718740565604947e-05,(0.0006101384892163164-0.00046465187926592044j)
0.23,(0.6131054556270443-1.3868118685970967j),(0.6127042882541478-1.3864395205199502j),2.0351771221100503e-05,(0.00040116737289652704-0.0003723480771464782j)
0.24,(0.5723746816484291-1.3486260712256268j),(0.5722354741999583-1.347981716466207j),2.3154725374933092e-05,(0.00013920744847073507-0.0006443547594199295j)
0.25,(0.53535733104205-1.311862233432772j),(0.5353460287880606-1.3111379226773812j),2.542089390820614e-05,(1.1302253989375899e-05-0.0007243107553909223j)
0.26,(0.5016422128987947-1.276523947526438j),(0.5017476441861627-1.2758826365331242j),2.5768615208923828e-05,(-0.00010543128736795193-0.0006413109933138816j)
0.27,(0.47086933192620006-1.242594892543272j),(0.4708934816148069-1.2418123676060004j),2.682200612120834e-05,(-2.4149688606811548e-05-0.0007825249372714893j)
0.28,(0.4427232115690961-1.210044710464062j),(0.4420215112038443-1.209103413414469j),3.111354985612625e-05,(0.0007017003652518006-0.000941297049593004j)
0.29,(0.4169270345940797-1.1788334180673647j),(0.4157043075546587-1.1779280685535465j),3.511065387182715e-05,(0.001222727039421001-0.0009053495138182655j)
0.3,(0.39323753721323174-1.1489147069630938j),(0.3921038203840999-1.1479508448179907j),3.30658292557797e-05,(0.0011337168291318256-0.0009638621451031337j)
0.31,(0.371440580891926-1.1202384001681926j),(0.3704099597751634-1.1191008948315155j),3.245427874789958e-05,(0.001030621116762609-0.0011375053366771137j)
0.32,(0.35134732369403104-1.092752269265847j),(0.35047665686490903-1.0916364047244171j),3.252325045200092e-05,(0.0008706668291220132-0.0011158645414297563j)
0.33,(0.33279091612072026-1.066403367211597j),(0.33208534628239406-1.0654385771314927j),3.248100078277508e-05,(0.0007055698383262032-0.0009647900801041942j)
0.34,(0.3156236522679876-1.0411389946275043j),(0.3151962694242541-1.0402600435623688j),3.037004795441974e-05,(0.00042738284373350366-0.0008789510651354693j)
0.35000000000000003,(0.2997145141703045-1.0169073891629956j),(0.2995799552500687-1.0163538851237752j),3.011504478687663e-05,(0.0001345589202357833-0.0005535040392203872j)
0.36,(0.2849470544789856-0.9936582060446874j),(0.28454354928524-0.9932302196563711j),2.9210088621391207e-05,(0.00040350519374560134-0.00042798638831620384j)
0.37,(0.27121756962151194-0.9713428416420591j),(0.27084412896913546-0.9704338421651507j),3.135715350695319e-05,(0.0003734406523764888-0.0009089994769083676j)
0.38,(0.258433522034735-0.9499146394908227j),(0.25816161249369923-0.9488586848778353j),3.9233628768809224e-05,(0.00027190954103578635-0.0010559546129873532j)
0.39,(0.24651217584701315-0.9293290087936947j),(0.24567586378709366-0.928570758248968j),4.240713672426717e-05,(0.0008363120599194918-0.0007582505447267796j)
0.4,(0.2353794154785128-0.9095434782424736j),(0.23409069278754818-0.9084571141028832j),4.280439235684706e-05,(0.001288722690964611-0.0010863641395904011j)
0.41000000000000003,(0.2249687210621368-0.8905177025341376j),(0.22358608564809668-0.8892328547272961j),4.449526689446107e-05,(0.0013826354140401287-0.0012848478068415714j)
0.42,(0.21522027841246455-0.8722134347777517j),(0.2140228388035731-0.8710625162191766j),4.5659505074953945e-05,(0.0011974396088914596-0.0011509185585750759j)
0.43,(0.20608020455031756-0.8545944747985388j),(0.20499585279804705-0.8534184574587441j),4.433379946306804e-05,(0.001084351752270507-0.001176017339794666j)
0.44,(0.19749987259179938-0.8376266009060788j),(0.19681911882240452-0.836580627424322j),4.524884628738846e-05,(0.0006807537693948595-0.0010459734817567234j)
0.45,(0.1894353221960685-0.8212774908273873j),(0.18916758250271123-0.8199894267069275j),4.332850650047602e-05,(0.0002677396933572773-0.0012880641204597865j)
0.46,(0.1818467437936182-0.8055166360775712j),(0.18168152832287365-0.8040961535353985j),4.43631280943595e-05,(0.00016521547074455079-0.0014204825421726408j)
0.47000000000000003,(0.17469802653834912-0.7903152529480975j),(0.1745661990223047-0.7887172243681739j),4.997889832965935e-05,(0.00013182751604443044-0.0015980285799235272j)
0.48,(0.16795636138771036-0.7756461924571766j),(0.16767564407144606-0.7738020994968143j),4.7643813494573974e-05,(0.0002807173162643062-0.0018440929603622536j)
0.49,(0.16159189195505577-0.7614838509685186j),(0.16145558253458916-0.7591363879353492j),5.243897771032857e-05,(0.0001363094204666071-0.0023474630331693502j)
0.5,(0.15557740683098212-0.7478040826980887j),(0.15505263929069388-0.74533939062293j),5.796673078460143e-05,(0.0005247675402882401-0.0024646920751587587j)
0.51,(0.14988806796463136-0.7345841149583878j),(0.14944471212759952-0.7328085136536953j),5.852081805074071e-05,(0.0004433558370318391-0.0017756013046925645j)
0.52,(0.1445011704562463-0.7218024667093477j),(0.14397689311796044-0.7201207835960873j),5.6113874448477776e-05,(0.0005242773382858612-0.001681683113260335j)
0.53,(0.1393959297594186-0.7094388707734633j),(0.13858291854862084-0.7081872111104539j),4.943429219521463e-05,(0.0008130112107977705-0.0012516596630094412j)
0.54,(0.1345532928429548-0.6974741999143755j),(0.1340380255814031-0.6958956576707259j),5.20195788399611e-05,(0.0005152672615517107-0.0015785422436496166j)
0.55,(0.12995577033286862-0.6858903968604957j),(0.12915598238841677-0.6840039197187328j),5.777408062710703e-05,(0.0007997879444518463-0.0018864771417629322j)
0.56,(0.1255872870571149-0.6746704082689671j),(0.12519272948319485-0.6729202743221262j),6.658443985862362e-05,(0.0003945575739200402-0.0017501339468408705j)
0.5700000000000001,(0.1214330487597856-0.6637981225629523j),(0.12128270274691783-0.6618763662568021j),6.736564847740532e-05,(0.00015034601286777194-0.001921756306150213j)
0.58,(0.11747942304640598-0.653258311531286j),(0.11722672636817011-0.6515815361041964j),6.162828225837877e-05,(0.00025269667823586694-0.0016767754270895496j)
0.59,(0.11371383287510903-0.6430365755495648j),(0.11321265247206772-0.6412293151489756j),6.156901616780565e-05,(0.0005011804030413125-0.0018072604005892057j)
0.6,(0.11012466112611813-0.6331192922623671j),(0.10935480520870755-0.6312421654969848j),5.744073655605688e-05,(0.0007698559174105779-0.0018771267653823198j)
0.61,(0.10670116496937579-0.6234935685549114j),(0.10620080001824034-0.6216501693582902j),5.55910382184696e-05,(0.0005003649511354513-0.0018433991966212426j)
0.62,(0.10343339891180883-0.6141471956370341j),(0.10301215235994565-0.6123145603720797j),6.426441502486454e-05,(0.0004212465518631803-0.0018326352649544742j)
0.63,(0.10031214554535813-0.6050686070613647j),(0.09988189088421795-0.6032733804095611j),6.410455200727834e-05,(0.0004302546611401753-0.0017952266518035387j)
0.64,(0.09732885313775105-0.5962468394997634j),(0.09681259237153661-0.5941560633777293j),6.842391653506008e-05,(0.0005162607662144436-0.0020907761220341214j)
0.65,(0.0944755793126996-0.5876714961065868j),(0.09394990338512066-0.5854281884121889j),6.99469685981158e-05,(0.0005256759275789474-0.0022433076943978447j)
0.66,(0.09174494015713715-0.5793327123034119j),(0.09113642719352459-0.5767591656666301j),6.729732213323097e-05,(0.0006085129636125564-0.002573546636781776j)
0.67,(0.08913006417212811-0.5712211238269759j),(0.08801633649064117-0.568885890146916j),6.50649930062535e-05,(0.0011137276814869451-0.002335233680059834j)
0.68,(0.08662455055293183-0.5633278368898498j),(0.08572416588268002-0.5615527343171496j),6.840410451270176e-05,(0.0009003846702518165-0.0017751025727001934j)
0.6900000000000001,(0.08422243134371556-0.5556444003114643j),(0.0837863518352996-0.5541471614226793j),6.93692572025981e-05,(0.0004360795084159541-0.0014972388887850574j)
0.7000000000000001,(0.08191813706486357-0.54816277948531j),(0.08189142630814493-0.5469573996177735j),7.457299970001621e-05,(2.6710756718645312e-05-0.001205379867536549j)
0.71,(0.07970646545669313-0.5408753320562883j),(0.0796226288438769-0.539553155221299j),7.041835036518717e-05,(8.383661281623211e-05-0.0013221768349893637j)
0.72,(0.07758255302358645-0.5337747851901504j),(0.07688075735932486-0.5321733602093736j),5.846231353792904e-05,(0.0007017956642615952-0.0016014249807768666j)
0.73,(0.07554184909780971-0.5268542143246747j),(0.07478090109347985-0.5248699466030446j),5.690375318108732e-05,(0.0007609480043298672-0.001984267721630073j)
0.74,(0.07358009217328537-0.5201070232996194j),(0.07325360605562668-0.5174121630295336j),7.836900289620466e-05,(0.0003264861176586892-0.002694860270085808j)
0.75,(0.07169328828684457-0.5135269257695122j),(0.0714838425640875-0.5107794292478428j),8.622482097020055e-05,(0.00020944572275706508-0.0027474965216693903j)
0.76,(0.06987769124852825-0.5071079278100042j),(0.06990357575718285-0.5047310069860587j),9.117988620895339e-05,(-2.588450865460834e-05-0.002376920823945583j)
0.77,(0.06812978454370316-0.5008443116347789j),(0.06818815729609158-0.49827393056277813j),7.95407363247494e-05,(-5.837275238841644e-05-0.0025703810720008047j)
0.78,(0.06644626474849767-0.49473062034589993j),(0.06652920056882451-0.4917506800826253j),7.697993860123993e-05,(-8.293582032684044e-05-0.0029799402632746386j)
0.79,(0.06482402631664956-0.48876164364599467j),(0.06503338513146918-0.4855769995368516j),8.140707727164733e-05,(-0.00020935881481962126-0.0031846441091430977j)
0.8,(0.06326014761053997-0.48293240444581653j),(0.06361161948717926-0.47953991333686047j),8.665214795371651e-05,(-0.0003514718766392949-0.003392491108956064j)
0.81,(0.06175187806222564-0.4772381463055255j),(0.06192004240046952-0.47362824906735457j),9.136372732014577e-05,(-0.00016816433824388272-0.003609897238170956j)
0.8200000000000001,(0.06029662636185612-0.4716743216524923j),(0.0605545041716365-0.4676481399416703j),9.555810090476096e-05,(-0.0002578778097803783-0.004026181710821974j)
0.8300000000000001,(0.05889194958115998-0.46623658072257723j),(0.05907248780446282-0.4621717054880521j),0.00010447705703553285,(-0.00018053822330284242-0.004064875234525145j)
0.84,(0.05753554314885353-0.46092076117567876j),(0.057903752193543746-0.4571481133093904j),9.063038929528808e-05,(-0.0003682090446902181-0.0037726478662883367j)
0.85,(0.05622523160299654-0.4557228783399256j),(0.05639186993697856-0.4522188767301333j),8.706998955173694e-05,(-0.00016663833398201933-0.0035040016097923066j)
0.86,(0.054958960052624344-0.45063911604217793j),(0.054789105808471204-0.44694810988912104j),8.255986524237745e-05,(0.0001698542441531392-0.003691006153056897j)
0.87,(0.053734786287498504-0.44566581798557997j),(0.05343546963536602-0.44219130338231244j),7.666914248425318e-05,(0.0002993166521324808-0.003474514603267531j)
0.88,(0.05255087348065858-0.4407994796377257j),(0.052705051818061434-0.43703399361958495j),9.327465116867523e-05,(-0.00015417833740285353-0.0037654860181407512j)
0.89,(0.05140548343368424-0.4360367405956356j),(0.05165469752501098-0.4327789649136245j),9.886042653738573e-05,(-0.00024921409132673544-0.003257775682011077j)
0.9,(0.05029697031925777-0.43137437739615475j),(0.05052964759709836-0.42820363713063214j),0.00010015474967839116,(-0.0002326772778405914-0.003170740265522609j)
0.91,(0.04922377487983068-0.4268092967426375j),(0.0497490202048622-0.4243829359607208j),0.0001100889044211899,(-0.0005252453250315231-0.0024263607819167143j)
0.92,(0.048184419044977625-0.42233852912085157j),(0.049267314827478766-0.4183793061341324j),0.00010358812616295894,(-0.0010828957825011407-0.003959222986719191j)
0.93,(0.0471775009334169-0.41795922277895864j),(0.04752982923441697-0.41371475103703126j),0.00010231548836910752,(-0.00035232830100007106-0.00424447174192738j)
0.9400000000000001,(0.046201690208745934-0.4136686380482001j),(0.0462411156368816-0.4092191404537796j),0.00011002410779710826,(-3.942542813566846e-05-0.004449497594420482j)
0.9500000000000001,(0.04525572376069902-0.4094641419825632j),(0.04455744975035741-0.4058071281448611j),0.00010313371525001051,(0.0006982740103416152-0.0036570138377021166j)
0.96,(0.04433840168622346-0.4053432032972172j),(0.04323143530770085-0.4020717167631036j),9.705705413545246e-05,(0.00110696637852261-0.003271486534113577j)
0.97,(0.04344858354692584-0.40130338758692047j),(0.04244055403734244-0.3984682248726549j),8.697336929861089e-05,(0.0010080295095833969-0.0028351627142655933j)
0.98,(0.042585184881468834-0.3973423528068953j),(0.04194714174308995-0.3942247023605914j),9.299770226721087e-05,(0.0006380431383788826-0.00311765044630391j)
0.99,(0.041747173953343444-0.39345784499987707j),(0.04177586594823773-0.389823117285928j),9.817696217160006e-05,(-2.869199489428237e-05-0.003634727713949071j)
1.0,(0.04093356871611116-0.3896476942541562j),(0.040652393699622084-0.38499050462617j),0.00010087478116677048,(0.00028117501648907556-0.004657189627986169j)
1.01,(0.04014343397971649-0.3859098108784656j),(0.03924412706680521-0.3812780637360826j),9.973846854096262e-05,(0.0008993069129112768-0.004631747142383014j)
1.02,(0.03937587876284895-0.38224218178052616j),(0.0386920670711665-0.37823719547511336j),0.00012581081924005523,(0.0006838116916824469-0.004004986305412794j)
1.03,(0.038630053817575186-0.3786428670369452j),(0.03822892529457344-0.37493109521383j),0.0001284322928818884,(0.0004011285230017467-0.0037117718231152175j)
1.04,(0.037905149313597765-0.3751099966429919j),(0.03809589182882424-0.3721787347534324j),0.00011453312066854152,(-0.00019074251522647329-0.0029312618895595j)
1.05,(0.03720039267052618-0.3716417674315306j),(0.03757677827592778-0.3680216554340302j),0.00011384075704273856,(-0.0003763856054015968-0.003620111997500397j)
1.06,(0.03651504652748401-0.3682364401511077j),(0.03639935024854743-0.36455233942589665j),0.00011567952614894433,(0.00011569627893658063-0.003684100725211026j)
1.07,(0.03584840684023232-0.3648923366938366j),(0.03541396552119578-0.361054423896755j),0.00011591249869508158,(0.00043444131903654093-0.0038379127970815663j)
1.08,(0.03519980109677144-0.3616078374643455j),(0.03502730545322115-0.358206014231154j),0.00012965798533320455,(0.00017249564355029112-0.003401823233191492j)
1.09,(0.034568586643089524-0.3583813788816117j),(0.0348497006016432-0.35491816507069707j),0.00014478568127899196,(-0.00028111395855367344-0.0034632138109146338j)
1.1,(0.033954149111384606-0.3552114510060368j),(0.03463481406025031-0.35133431733441556j),0.00014209561440383655,(-0.0006806649488657057-0.0038771336716212357j)
