f_range,G_0,G,var,bias
0.0,(3.698665733066395-0.43573879106571345j),(3.6961912410282545-0.43719961912914884j),1.066399696341033e-05,(0.002474492038140319+0.0014608280634353932j)
0.0125,(3.5527629478528726-0.8371000482690453j),(3.5515898127429644-0.8396046618763952j),8.662078585820693e-06,(0.001173135109908241+0.0025046136073498815j)
0.025,(3.3335935589764825-1.178189216430162j),(3.3338763837188403-1.1804364343313305j),6.6197793408152046e-06,(-0.0002828247423578567+0.0022472179011685522j)
0.037500000000000006,(3.0685737890883007-1.4460313309197002j),(3.0708692642163307-1.447040371178521j),9.806255758010963e-06,(-0.0022954751280299668+0.0010090402588207592j)
0.05,(2.7840092571970665-1.6399168181130523j),(2.785943695709711-1.6373156871735879j),1.1727075104485918e-05,(-0.0019344385126442987-0.0026011309394644577j)
0.0625,(2.5005855991298316-1.7675598032772097j),(2.498400333662888-1.7648598096474408j),1.62044807919859e-05,(0.00218526546694342-0.0026999936297689153j)
0.07500000000000001,(2.2320399863225515-1.8406921111817676j),(2.230124364779727-1.8432282220085505j),2.2517089877960487e-05,(0.0019156215428246526+0.0025361108267829557j)
0.08750000000000001,(1.9859507004152042-1.871714439244773j),(1.9888903442361732-1.8721626067381985j),2.1284660836203008e-05,(-0.0029396438209690068+0.00044816749342535545j)
0.1,(1.7653624922656015-1.8717918198607968j),(1.7651595267535054-1.8684198965421075j),2.455306150812496e-05,(0.00020296551209608715-0.003371923318689296j)
0.1125,(1.5704088939895926-1.8500943916836667j),(1.5672475390081673-1.8507144557231108j),2.349751779602813e-05,(0.003161354981425335+0.0006200640394440349j)
0.125,(1.39958019184513-1.8137257251343124j),(1.4018868957639707-1.8145862904202787j),2.844988579115818e-05,(-0.0023067039188406913+0.0008605652859663415j)
0.1375,(1.2505857363325064-1.767973932875873j),(1.2503043566897762-1.7646696979343313j),3.932715470787773e-05,(0.0002813796427301174-0.0033042349415417505j)
0.15000000000000002,(1.1208841679404082-1.7166637154192637j),(1.11899188025934-1.7195189237797155j),3.2984103595062326e-05,(0.0018922876810683054+0.002855208360451833j)
0.1625,(1.007980595498702-1.6624988277343884j),(1.0101209389941714-1.6609275206436822j),3.980218678935706e-05,(-0.0021403434954694323-0.0015713070907061866j)
0.17500000000000002,(0.9095750196384927-1.6073517372666086j),(0.9066300741626826-1.6054944365293329j),4.5121115689158974e-05,(0.0029449454758101457-0.0018573007372757466j)
0.1875,(0.8236223527800214-1.5524915596956346j),(0.8243254602621004-1.554387728015315j),4.228096724914888e-05,(-0.000703107482079024+0.0018961683196805357j)
0.2,(0.7483433304618728-1.4987560672054858j),(0.7479917740895914-1.4953250753775589j),4.602888196739623e-05,(0.00035155637228145853-0.0034309918279269436j)
0.21250000000000002,(0.6822103280678328-1.4466781945311655j),(0.6805118516674113-1.4495604727418743j),4.186316593434959e-05,(0.0016984764004214226+0.002882278210708744j)
0.225,(0.6239220333440466-1.396577574411105j),(0.6258774983560742-1.3943223139908887j),5.8716421319219474e-05,(-0.0019554650120275907-0.0022552604202163984j)
0.23750000000000002,(0.5723746816484291-1.3486260712256268j),(0.5680945998960081-1.3490901889216367j),5.4623413043950166e-05,(0.0042800817524210055+0.000464117696009847j)
0.25,(0.526633850126938-1.3028943648187656j),(0.5285383885593851-1.3029600229877734j),6.023700668927779e-05,(-0.0019045384324470893+6.56581690077207e-05j)
