f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.7542877344934102-0.32436387219454965j),0.00017655066753502604,(-0.03730437429097755-0.025953556343274453j)
0.01,(3.621331989105082-0.6826049983909342j),(3.6378339327198836-0.6800532491015845j),2.3853549762208197e-05,(-0.01650194361480173-0.0025517492893497584j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.475894773099321-0.9847177584644858j),1.8052180122343005e-05,(-0.003491843327385169+0.002918960361718903j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.281568037420052-1.239279944605567j),1.237674711634982e-05,(0.0017931130595427724+0.001481952274107412j)
0.04,(3.0685737890883007-1.4460313309197002j),(3.066488133962202-1.4455050390330286j),8.279678979212904e-06,(0.0020856551260988176-0.000526291886671526j)
0.05,(2.841393026216591-1.606769902282197j),(2.840826097497746-1.6060009604409369j),9.804800576041032e-06,(0.0005669287188450056-0.0007689418412601956j)
0.06,(2.612786040809993-1.7237449805542338j),(2.6132895892904635-1.7242183147092411j),9.873077678664708e-06,(-0.000503548480470517+0.00047333415500738774j)
0.07,(2.390835695723726-1.8026476458302163j),(2.391364884190294-1.8017333132491886j),8.214734256807153e-06,(-0.0005291884665683533-0.0009143325810276881j)
0.08,(2.180873936884638-1.849882735401002j),(2.180798470250141-1.8496307136974621j),9.340517871303632e-06,(7.546663449709001e-05-0.00025202170353977316j)
0.09,(1.9859507004152042-1.871714439244773j),(1.9852757585544998-1.8717535020976979j),1.3816924094263783e-05,(0.0006749418607043811+3.906285292476497e-05j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.8064014435123312-1.873928152246759j),1.6694904811222765e-05,(0.0010017499983976386+0.00014703596010634534j)
0.11,(1.6453858094165104-1.86088750962617j),(1.6443363231940864-1.8609389926975977j),1.7372746408041032e-05,(0.0010494862224239565+5.1483071427549376e-05j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.4987257459159933-1.8369847294670067j),1.7240457019076904e-05,(0.0005744830459615269+1.0401382381619584e-05j)
0.13,(1.368114717342158-1.8051848410134852j),(1.3678929325666938-1.8049564378667626j),1.7933647162274822e-05,(0.0002217847754641955-0.00022840314672256667j)
0.14,(1.2505857363325064-1.767973932875873j),(1.250814456884669-1.7671679414267631j),1.5843169491087463e-05,(-0.00022872055216272003-0.0008059914491098663j)
0.15,(1.1454029992502197-1.7272270309652193j),(1.1456249137948453-1.7266472431779005j),1.5751956140244215e-05,(-0.0002219145446256121-0.0005797877873188195j)
0.16,(1.05127882884355-1.684371821240384j),(1.0512916898361475-1.683964074095445j),1.2100139005358588e-05,(-1.2860992597563126e-05-0.0004077471449390746j)
0.17,(0.96699911961129-1.6404753583072582j),(0.9667591643652779-1.6401067357124106j),9.660968494930369e-06,(0.000239955246012169-0.00036862259484760074j)
0.18,(0.891448978231932-1.5963246498062325j),(0.8912519926224692-1.595972471803936j),1.0256110621577855e-05,(0.00019698560946279642-0.0003521780022963661j)
0.19,(0.8236223527800214-1.5524915596956346j),(0.8233784639256005-1.5522339697133172j),8.046717429749222e-06,(0.0002438888544208373-0.0002575899823173966j)
0.2,(0.7626220063166317-1.5093840462814503j),(0.7622887720229191-1.5091029108980465j),7.759348152223728e-06,(0.00033323429371256985-0.0002811353834037966j)
0.21,(0.7076540286253036-1.4672860604242333j),(0.7072938359477412-1.4668942800407085j),1.0650200025484828e-05,(0.0003601926775623765-0.0003917803835247202j)
0.22,(0.6580195694623413-1.4263883172854352j),(0.6577471939594746-1.4257811259743867j),1.4659714881450249e-05,(0.0002723755028667396-0.0006071913110485827j)
