f_range,G_0,G,var,bias
0.0,(3.698665733066395-0.43573879106571345j),(3.69985782213594-0.4418488747723381j),1.8242408433235898e-30,(-0.0011920890695451547+0.006110083706624636j)
0.0125,(3.5527629478528726-0.8371000482690453j),(3.547158225209878-0.8395241935778305j),2.4306776642122426e-29,(0.0056047226429947195+0.0024241453087852083j)
0.025,(3.3335935589764825-1.178189216430162j),(3.329294428204259-1.1822628059228069j),3.456196840999558e-29,(0.004299130772223325+0.0040735894926449134j)
0.037500000000000006,(3.0685737890883007-1.4460313309197002j),(3.074123444700467-1.4451522320473669j),7.14905195356542e-30,(-0.005549655612166138-0.0008790988723332838j)
0.05,(2.7840092571970665-1.6399168181130523j),(2.7873866011627815-1.6440148547449016j),1.6023737137301802e-29,(-0.003377343965714985+0.004098036631849267j)
0.0625,(2.5005855991298316-1.7675598032772097j),(2.5002917661526287-1.7623688819722563j),6.162975822039155e-30,(0.00029383297720286805-0.005190921304953466j)
0.07500000000000001,(2.2320399863225515-1.8406921111817676j),(2.2317915740748395-1.8454148176359702j),6.7053176943786e-30,(0.0002484122477119932+0.004722706454202585j)
0.08750000000000001,(1.9859507004152042-1.871714439244773j),(1.9815151251874767-1.869984711819617j),1.326272396902826e-29,(0.004435575227727417-0.0017297274251562023j)
0.1,(1.7653624922656015-1.8717918198607968j),(1.760885191136631-1.871491665072426j),1.5777218104420236e-30,(0.00447730112897049-0.0003001547883707545j)
0.1125,(1.5704088939895926-1.8500943916836667j),(1.5685037479005084-1.8535402645798706j),4.388038785291878e-30,(0.0019051460890842087+0.0034458728962039054j)
0.125,(1.39958019184513-1.8137257251343124j),(1.3985451863861316-1.8171882931457524j),5.768545369428649e-30,(0.0010350054589984836+0.0034625680114399593j)
0.1375,(1.2505857363325064-1.767973932875873j),(1.253902793358865-1.7683811752051701j),1.0107280348144214e-29,(-0.0033170570263585386+0.00040724232929711945j)
0.15000000000000002,(1.1208841679404082-1.7166637154192637j),(1.1190444216804385-1.713265369818257j),1.326272396902826e-29,(0.0018397462599697434-0.0033983456010067137j)
0.1625,(1.007980595498702-1.6624988277343884j),(1.005385226535324-1.6643346683689544j),1.779867417404908e-29,(0.0025953689633779753+0.0018358406345659883j)
0.17500000000000002,(0.9095750196384927-1.6073517372666086j),(0.9122861832851793-1.6077268315983673j),1.2671078290112502e-29,(-0.002711163646686554+0.0003750943317586408j)
0.1875,(0.8236223527800214-1.5524915596956346j),(0.8242965043537636-1.5547670340107036j),2.465190328815662e-30,(-0.0006741515737421766+0.002275474315069026j)
0.2,(0.7483433304618728-1.4987560672054858j),(0.7507592518392684-1.497432344888122j),1.2079432611196743e-29,(-0.002415921377395547-0.0013237223173638846j)
0.21250000000000002,(0.6822103280678328-1.4466781945311655j),(0.6811164656737373-1.4486269948351354j),5.571330143123396e-30,(0.0010938623940954795+0.001948800303969822j)
0.225,(0.6239220333440466-1.396577574411105j),(0.6242665089701451-1.3934560592930472j),1.5037661005775538e-29,(-0.0003444756260985171-0.003121515118057916j)
0.23750000000000002,(0.5723746816484291-1.3486260712256268j),(0.5745256457674519-1.3480998745362738j),1.836566794967668e-30,(-0.0021509641190228246-0.0005261966893530534j)
0.25,(0.526633850126938-1.3028943648187656j),(0.5286786549337684-1.3023463164883107j),2.2803010541544873e-30,(-0.002044804806830447-0.0005480483304549644j)
0.2625,(0.4859086809387866-1.2593848924410591j),(0.4840734463521551-1.256950487687252j),4.5975799632412094e-30,(0.0018352345866314845-0.0024344047538071845j)
0.275,(0.44952923146546364-1.2180550431132249j),(0.4498531577386966-1.2151526181311176j),5.1799811784239096e-30,(-0.0003239262732329662-0.0029024249821072434j)
0.28750000000000003,(0.4169270345940796-1.1788334180673645j),(0.41488453801488867-1.1767983319881656j),7.407896938091064e-30,(0.002042496579190922-0.002035086079198889j)
0.30000000000000004,(0.3876186542208151-1.1416311717135714j),(0.3893069448096048-1.1409802974170875j),3.0814879110195774e-31,(-0.0016882905887897204-0.0006508742964839165j)
0.3125,(0.36119189799537443-1.1063498679464616j),(0.3605835245385859-1.1073147410154152j),1.7749370367472766e-30,(0.0006083734567885468+0.0009648730689535423j)
0.325,(0.3372943188308948-1.0728868710634212j),(0.3388332676471817-1.0715695714792874j),1.6054552016411998e-30,(-0.0015389488162869114-0.0013172995841337354j)
0.3375,(0.3156236522679876-1.0411389946275043j),(0.3136095798597474-1.0407471577740388j),1.2449211160519093e-30,(0.0020140724082401973-0.0003918368534654437j)
0.35000000000000003,(0.2959198726576731-1.0110049215669235j),(0.2967112151387326-1.0085472371647874j),1.3096323621833204e-30,(-0.0007913424810594982-0.0024576844021360067j)
0.36250000000000004,(0.27795859354634395-0.982386759923264j),(0.276849627936051-0.9797387965715852j),1.5407439555097887e-30,(0.0011089656102929446-0.002647963351678717j)
0.375,(0.26154557961787045-0.955190993126174j),(0.26287661610610075-0.9541136247385251j),1.5037661005775538e-30,(-0.0013310364882302972-0.001077368387648825j)
0.3875,(0.24651217584701315-0.9293290087936947j),(0.24705131693754973-0.9294651334677676j),3.639237222914121e-30,(-0.0005391410905365712+0.00013612467407286832j)
0.4,(0.23271149294720475-0.9047173368529536j),(0.2338534898803912-0.902915381646263j),3.158525108795067e-32,(-0.001141996933186451-0.0018019552066906863j)
0.41250000000000003,(0.2200152166047218-0.8812776899082854j),(0.22114955914544535-0.8795517570465754j),5.207714569623086e-31,(-0.001134342540723532-0.0017259328617099667j)
0.42500000000000004,(0.2083109317312265-0.8589368717859116j),(0.20907724858544413-0.858581440515863j),1.0554096095242052e-31,(-0.0007663168542176302-0.00035543127004855624j)
0.4375,(0.19749987259179938-0.8376266009060788j),(0.19722521002997478-0.8347949068837478j),5.623715437610729e-32,(0.0002746625618245957-0.002831694022330966j)
0.45,(0.18749502577773414-0.8172832813505424j),(0.18649523429727086-0.8146154037267326j),6.039716305598372e-31,(0.0009997914804632801-0.0026678776238098223j)
0.4625,(0.1782195261653514-0.7978477446314336j),(0.17687554449091192-0.7972861105038901j),5.007417855406813e-32,(0.0013439816744394706-0.0005616341275435088j)
0.47500000000000003,(0.16960529674480723-0.7792649781102272j),(0.16959511942807734-0.7790383276593374j),1.5191735401326516e-30,(1.0177316729892416e-05-0.00022665045088976488j)
0.48750000000000004,(0.16159189195505577-0.7614838509685186j),(0.16196556589265218-0.7588245938894207j),9.98402083170343e-31,(-0.0003736739375964082-0.0026592570790978654j)
0.5,(0.1541255112910168-0.7444568450290424j),(0.15263176020316568-0.7433677897946054j),1.2356766523188505e-30,(0.0014937510878511029-0.0010890552344370308j)
0.5125000000000001,(0.1471581557609257-0.7281397951605957j),(0.14638499592329832-0.7253281232842694j),3.2486586301923894e-30,(0.0007731598376273796-0.0028116718763262494j)
