f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.5424653954120586-0.07124809613301715j),0.04477730449420063,(0.17451796479037407-0.27906933240480697j)
0.01,(3.621331989105082-0.6826049983909342j),(3.4218905271247118-0.5549194208378135j),0.022443200612013894,(0.19944146198037016-0.1276855775531207j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.2930780569961837-0.960835376457278j),0.013892286971624512,(0.17932487277575193-0.020963421645488922j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.154890028914431-1.2887374598952885j),0.010325530611811209,(0.12847112156516394+0.050939467563829055j)
0.04,(3.0685737890883007-1.4460313309197002j),(3.0065135482697456-1.538425632557369j),0.0024189354739205145,(0.0620602408185551+0.09239430163766893j)
0.05,(2.841393026216591-1.606769902282197j),(2.7925558114338753-1.6541555129452163j),0.001048113668767988,(0.048837214782715854+0.04738561066301927j)
0.06,(2.612786040809993-1.7237449805542338j),(2.5858031159868813-1.7476074881952315j),0.0005269154365201041,(0.02698292482311171+0.023862507640997732j)
0.07,(2.390835695723726-1.8026476458302163j),(2.3720385785984632-1.8145320137059444j),0.00043702779236329015,(0.018797117125262552+0.011884367875728108j)
0.08,(2.180873936884638-1.849882735401002j),(2.1692594374756458-1.8541637656057497j),0.0003057589395216173,(0.011614499408992174+0.004281030204747793j)
0.09,(1.9859507004152042-1.871714439244773j),(1.9793371369848778-1.8735582618319198j),0.00026673787512063846,(0.006613563430326375+0.0018438225871466596j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.8038910918013542-1.8746459193236618j),0.0003270626453307621,(0.00351210170937466+0.0008648030370090876j)
0.11,(1.6453858094165104-1.86088750962617j),(1.6425587072872174-1.8621245707367324j),0.00031621175271393653,(0.0028271021292929355+0.0012370611105623208j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.497361352067771-1.839466715026762j),0.0003418548242816455,(0.0019388768941837053+0.002492386942136937j)
0.13,(1.368114717342158-1.8051848410134852j),(1.3664936249936361-1.8082644830435828j),0.00032788465394271006,(0.0016210923485218132+0.0030796420300975846j)
0.14,(1.2505857363325064-1.767973932875873j),(1.2477845605605422-1.770543988039844j),0.00032663316652941623,(0.0028011757719641484+0.002570055163970908j)
0.15,(1.1454029992502197-1.7272270309652193j),(1.1434341032247106-1.7277820337649528j),0.00031906242678440144,(0.0019688960255090926+0.0005550027997334173j)
0.16,(1.05127882884355-1.684371821240384j),(1.0482932189590926-1.6833663330294757j),0.00032032875301929784,(0.0029856098844573964-0.0010054882109082897j)
0.17,(0.96699911961129-1.6404753583072582j),(0.9649492117939578-1.6383311479909224j),0.0003548876357637809,(0.002049907817332275-0.002144210316335826j)
0.18,(0.891448978231932-1.5963246498062325j),(0.8902628434630064-1.594101817122519j),0.00035761351734824075,(0.0011861347689255952-0.0022228326837134826j)
0.19,(0.8236223527800214-1.5524915596956346j),(0.8232896580193522-1.5510765140601024j),0.00033156847917992677,(0.00033269476066921655-0.001415045635532186j)
0.2,(0.7626220063166317-1.5093840462814503j),(0.7631123864811008-1.5080428875910585j),0.00027381510739069574,(-0.0004903801644691175-0.0013411586903917527j)
0.21,(0.7076540286253036-1.4672860604242333j),(0.7082338253568683-1.4661740614068586j),0.0002881333315087424,(-0.000579796731564719-0.0011119990173746874j)
0.22,(0.6580195694623413-1.4263883172854352j),(0.6587935971379285-1.424689079779919j),0.00033960574821113767,(-0.0007740276755872078-0.00169923750551626j)
0.23,(0.6131054556270443-1.3868118685970967j),(0.6136444172066172-1.3851053880397417j),0.0003662629343194221,(-0.0005389615795728941-0.0017064805573550057j)
0.24,(0.5723746816484291-1.3486260712256268j),(0.5720975320842062-1.3465704876330216j),0.00037804943084604616,(0.0002771495642228672-0.00205558359260527j)
0.25,(0.53535733104205-1.311862233432772j),(0.5348086636095777-1.310473090223686j),0.00040279145497319036,(0.0005486674324722829-0.0013891432090860079j)
0.26,(0.5016422128987947-1.276523947526438j),(0.5001171389568204-1.276347309869192j),0.000409423587304334,(0.0015250739419743198-0.0001766376572460704j)
0.27,(0.47086933192620006-1.242594892543272j),(0.4698153263106573-1.2430381318050288j),0.00038803730631712936,(0.0010540056155427524+0.0004432392617568226j)
0.28,(0.4427232115690961-1.210044710464062j),(0.4430002851854112-1.2118770384158541j),0.00044298154762905897,(-0.0002770736163150711+0.001832327951792223j)
0.29,(0.4169270345940797-1.1788334180673647j),(0.41812587286712166-1.1810022579169317j),0.0004276130494379618,(-0.0011988382730419578+0.0021688398495669503j)
0.3,(0.39323753721323174-1.1489147069630938j),(0.39439424471452506-1.150736336673155j),0.00044687775241278413,(-0.0011567075012933192+0.0018216297100610568j)
0.31,(0.371440580891926-1.1202384001681926j),(0.3711074993178186-1.1205764668506593j),0.00046019573749213046,(0.0003330815741073856+0.000338066682466609j)
0.32,(0.35134732369403104-1.092752269265847j),(0.3496545246767364-1.0927368667521014j),0.00040790823250373275,(0.0016927990172946328-1.54025137455438e-05j)
0.33,(0.33279091612072026-1.066403367211597j),(0.3301572262031989-1.0664357907562851j),0.0003619094241037579,(0.002633689917521387+3.24235446882426e-05j)
0.34,(0.3156236522679876-1.0411389946275043j),(0.31393130095790683-1.0410474591351364j),0.00041504826112405305,(0.0016923513100807752-9.153549236784464e-05j)
0.35000000000000003,(0.2997145141703045-1.0169073891629956j),(0.3001943405292574-1.0172389797731585j),0.0004388378196481766,(-0.00047982635895293946+0.0003315906101628574j)
0.36,(0.2849470544789856-0.9936582060446874j),(0.2852529302492502-0.994921875784042j),0.0004141088335994346,(-0.00030587577026458534+0.0012636697393546559j)
0.37,(0.27121756962151194-0.9713428416420591j),(0.27116948134393665-0.9721970210031952j),0.00039185448397003193,(4.8088277575297766e-05+0.000854179361136076j)
0.38,(0.258433522034735-0.9499146394908227j),(0.2571376989798158-0.9514209693305088j),0.0004074997522367877,(0.0012958230549192096+0.0015063298396861269j)
0.39,(0.24651217584701315-0.9293290087936947j),(0.2444232275215888-0.9296992333523282j),0.00037696433732014185,(0.0020889483254243613+0.0003702245586334474j)
0.4,(0.2353794154785128-0.9095434782424736j),(0.23360084329199612-0.909190433282222j),0.000445025803031197,(0.0017785721865166693-0.0003530449602515695j)
0.41000000000000003,(0.2249687210621368-0.8905177025341376j),(0.2242226193677794-0.8891909983030872j),0.00047577184371527185,(0.0007461016943574039-0.001326704231050413j)
0.42,(0.21522027841246455-0.8722134347777517j),(0.2147323044726459-0.8721614837934558j),0.000496189267972472,(0.00048797393981864223-5.1950984295889846e-05j)
