f_range,G_0,G,var,bias
0.0,(3.7494796048067434-0.044172515929671106j),(3.7487728113210905-0.04186746053172116j),0.0008024678716457899,(0.0007067934856528346-0.002305055397949944j)
0.00125,(3.7479192854620473-0.08830826770091307j),(3.746458961470205-0.0879206611831534j),0.0008329916151244253,(0.0014603239918424826-0.00038760651775966715j)
0.0025,(3.7453216370688605-0.13237059307889734j),(3.7458543777792133-0.12962256216920776j),0.0007744558788790396,(-0.0005327407103528081-0.002748030909689586j)
0.00375,(3.741690972819108-0.17632303308317637j),(3.7437782275489675-0.17539728492864426j),0.0006897304521146559,(-0.002087254729859378-0.0009257481545321133j)
0.005,(3.7370333061216394-0.22012943213872724j),(3.7371662086982473-0.22043952773657455j),0.0009691305551108888,(-0.00013290257660791838+0.00031009559784730967j)
0.00625,(3.7313563257749567-0.26375403647205914j),(3.7346835278697195-0.2667650918950357j),0.001123207807737261,(-0.0033272020947627823+0.003011055422976583j)
0.0075,(3.724669364375472-0.30716159019454j),(3.722219603187444-0.30610529158664357j),0.001279283381241043,(0.002449761188028088-0.001056298607896411j)
0.00875,(3.7169833602024327-0.3503174285378241j),(3.718176370153576-0.3528288140704508j),0.0016248868856749003,(-0.0011930099511432424+0.0025113855326266976j)
0.01,(3.708310812868184-0.393187567734032j),(3.7094330327088905-0.39159110202668834j),0.0019041869020850267,(-0.0011222198407065953-0.001596465707343675j)
0.01125,(3.698665733066395-0.43573879106571345j),(3.698380910331478-0.433556840378175j),0.0023717018622108825,(0.000284822734916812-0.0021819506875384587j)
0.0125,(3.6880635867909777-0.4779387306471757j),(3.68782842412235-0.48192243906006016j),0.002368636320175993,(0.00023516266862788626+0.003983708412884479j)
0.01375,(3.6765212344339626-0.5197559445389076j),(3.6793735726485846-0.5178991775012074j),0.0026340800271792216,(-0.002852338214621941-0.0018567670377002132j)
0.015,(3.664056865201611-0.5611599888400657j),(3.6621881378029157-0.5597007037788432j),0.002645135383198148,(0.001868727398695036-0.001459285061222504j)
0.01625,(3.6506899273139326-0.6021214844496448j),(3.651128300600603-0.60071190311442j),0.0025511001559196333,(-0.00043837328667040154-0.00140958133522473j)
0.0175,(3.636441054473506-0.6426121782344786j),(3.6366910585758245-0.6376570905048303j),0.0029577672620260302,(-0.00025000410231834636-0.004955087729648255j)
0.01875,(3.621331989105082-0.6826049983909342j),(3.6185067381789735-0.6768789293602684j),0.0030754433343759212,(0.0028252509261084136-0.005726069030665859j)
0.02,(3.605385502877548-0.7220741038364519j),(3.6087290676897-0.7187468109555823j),0.004274312890376748,(-0.0033435648121518113-0.0033272928808695257j)
0.02125,(3.5886253150249416-0.7609949275163884j),(3.5961149596874447-0.7593882117728527j),0.003929015866397649,(-0.007489644662503014-0.0016067157435357693j)
0.0225,(3.5710760089830056-0.7993442135602636j),(3.5773412217205802-0.807324349676211j),0.003882928669330974,(-0.0062652127375746325+0.00798013611594739j)
0.02375,(3.5527629478528726-0.8371000482690453j),(3.5492005215750506-0.8372529664004273j),0.0043801279659678085,(0.003562426277821995+0.00015291813138207377j)
0.025,(3.533712189193773-0.8742418849609089j),(3.527893791429711-0.8748854056115455j),0.004667707129207823,(0.005818397764062233+0.0006435206506365532j)
0.02625,(3.5139503996328445-0.9107505627466507j),(3.517654151394511-0.9035263730600949j),0.004652691259857903,(-0.003703751761666485-0.007224189686555804j)
0.0275,(3.493504769762189-0.9466083193470498j),(3.4904010762798476-0.9409358086771495j),0.00426684531275923,(0.0031036934823411855-0.005672510669900266j)
0.02875,(3.4724029297719357-0.9817987981027669j),(3.4697204086613516-0.977238048066708j),0.004763536036997976,(0.0026825211105840907-0.004560750036058936j)
0.03,(3.450672866243579-1.0163070493624184j),(3.4554742568846457-1.0186695928920022j),0.004968978673064732,(-0.004801390641066661+0.0023625435295837605j)
0.03125,(3.4283428405006244-1.0501195264661327j),(3.423839135523396-1.053817560058919j),0.004824148523424308,(0.0045037049772282955+0.0036980335927863095j)
0.0325,(3.4054413088841944-1.0832240765699568j),(3.4019466216619096-1.073536864111625j),0.005058204991682192,(0.0034946872222847425-0.009687212458331818j)
0.03375,(3.3819968452900833-1.1156099265808543j),(3.3857556043926325-1.1137661666124503j),0.005520529753798759,(-0.0037587591025491918-0.001843759968404024j)
0.035,(3.3580380662712535-1.1472676644926503j),(3.353690649958743-1.142538328262263j),0.005146417418342604,(0.004347416312510344-0.004729336230387293j)
0.03625,(3.3335935589764825-1.178189216430162j),(3.331257327589319-1.1743508787004218j),0.005822326891450727,(0.0023362313871633233-0.003838337729740182j)
0.0375,(3.30869181216205-1.2083678197219159j),(3.324969826209448-1.211018014548827j),0.005880813406174016,(-0.016278014047397704+0.0026501948269110898j)
0.03875,(3.2833611504795948-1.2377979923314595j),(3.286163615535823-1.2371127956122738j),0.006872492052477783,(-0.002802465056228165-0.0006851967191856545j)
0.04,(3.2576296722097453-1.2664754989833702j),(3.2627783342617676-1.267149775299094j),0.006453987382500893,(-0.005148662052022246+0.0006742763157236986j)
0.04125,(3.2315251905783313-1.2943973143229333j),(3.234485718201914-1.3049420869715187j),0.007456654889519361,(-0.002960527623582898+0.010544772648585443j)
0.0425,(3.205075178760155-1.3215615834482115j),(3.204528548242933-1.316162542406817j),0.005384310619089287,(0.0005466305172219244-0.005399041041394437j)
0.043750000000000004,(3.1783067186446274-1.3479675801501212j),(3.1862344759819736-1.3469360697891124j),0.007741248159591026,(-0.007927757337346186-0.0010315103610087917j)
0.045,(3.151246453408511-1.3736156631904712j),(3.1521448116532707-1.378560460970523j),0.005049663779340725,(-0.0008983582447594785+0.004944797780051857j)
0.04625,(3.123920543913432-1.3985072309398248j),(3.127531333753451-1.4014580253971152j),0.006049821927139232,(-0.0036107898400188354+0.0029507944572904066j)
0.0475,(3.096354628920216-1.4226446746869583j),(3.0953270162919844-1.4278149963319668j),0.007077395201607561,(0.001027612628231811+0.005170321645008524j)
0.04875,(3.0685737890883007-1.4460313309197002j),(3.0555881776410736-1.4408566797432534j),0.007435818258864317,(0.012985611447227097-0.005174651176446776j)
0.05,(3.040602514706749-1.4686714328634916j),(3.042117134246085-1.4664777141386431j),0.008980075562454115,(-0.0015146195393360706-0.0021937187248484147j)
0.051250000000000004,(3.0124646770837455-1.4905700615491946j),(3.0117381006305504-1.4797876863319475j),0.006787213366628724,(0.0007265764531951824-0.01078237521724712j)
0.0525,(2.9841835035038016-1.5117330966658875j),(2.987722873201396-1.51231601780699j),0.008145848472565723,(-0.0035393696975942746+0.0005829211411025881j)
0.05375,(2.955781555646475-1.5321671674378043j),(2.9527216112304444-1.5389245217743823j),0.008702134481032728,(0.0030599444160306355+0.006757354336577981j)
0.055,(2.9272807113468975-1.5518796037474247j),(2.917496881193265-1.5591219106643701j),0.007476304509725983,(0.0097838301536326+0.007242306916945385j)
0.05625,(2.898702149566972-1.5708783877092334j),(2.9034905167088163-1.577826644800122j),0.008737218264990923,(-0.004788367141844496+0.006948257090888532j)
0.0575,(2.8700663384365943-1.589172105881044j),(2.8722334512458447-1.5930445512919278j),0.009746955667431828,(-0.0021671128092504155+0.003872445410883829j)
0.058750000000000004,(2.841393026216591-1.606769902282197j),(2.8369234554524945-1.6056803376380882j),0.007182845848462154,(0.004469570764096709-0.0010895646441089202j)
0.06,(2.812701235029124-1.6236814323705429j),(2.8259054612134484-1.6215546257172515j),0.008265154349355468,(-0.013204226184324597-0.0021268066532913465j)
0.06125,(2.7840092571970665-1.6399168181130523j),(2.7845242133074777-1.6321091697190042j),0.007391319534878641,(-0.000514956110411191-0.007807648394048128j)
0.0625,(2.7553346540311-1.6554866042683478j),(2.7661860556210702-1.6534259345527458j),0.00967842764301978,(-0.010851401589970333-0.002060669715602037j)
0.06375,(2.7266942569019488-1.6704017159833855j),(2.720595367795116-1.6745325158717759j),0.009039582394665993,(0.006098889106832761+0.00413079988839038j)
0.065,(2.6981041704351125-1.6846734177912133j),(2.702857429493757-1.6932211905863854j),0.0087505284451092,(-0.004753259058644321+0.00854777279517216j)
0.06625,(2.6695797776665775-1.6983132740820612j),(2.6786855340214255-1.6954071489867761j),0.008424639922763266,(-0.009105756354848005-0.0029061250952850948j)
0.0675,(2.641135747000135-1.7113331111062344j),(2.645097250373758-1.7025996350726842j),0.008023193460807931,(-0.00396150337362311-0.008733476033550236j)
0.06875,(2.612786040809993-1.7237449805542338j),(2.615225806363359-1.7096151259878332j),0.00939905124964017,(-0.0024397655533658913-0.01412985456640059j)
0.07,(2.584543925536241-1.735561124747447j),(2.596180312503683-1.7324605055239513j),0.00939270569731163,(-0.011636386967441847-0.003100619223495693j)
0.07125000000000001,(2.5564219831252837-1.7467939434614503j),(2.5560501202892896-1.7433619977439827j),0.008580289173771847,(0.00037186283599410785-0.0034319457174676327j)
0.0725,(2.5284321236724807-1.7574559623936161j),(2.533396308675069-1.7562580765485216j),0.009265346189334233,(-0.004964185002588106-0.001197885845094504j)
0.07375,(2.500585599129832-1.76755980327721j),(2.5120523570360898-1.77571742627681j),0.00917406301623253,(-0.01146675790625773+0.0081576229996001j)
0.075,(2.4728930179475626-1.7771181556355662j),(2.464062329961237-1.770972210985291j),0.01124027992637506,(0.008830687986325358-0.006145944650275181j)
0.07625,(2.4453643605247146-1.7861437501621285j),(2.434718618751381-1.787513097277417j),0.010653919648874919,(0.010645741773333661+0.0013693471152884662j)
0.0775,(2.4180089953503665-1.7946493337052192j),(2.422916467064815-1.794606634968272j),0.009665347632452909,(-0.004907471714448608-4.269873694706661e-05j)
0.07875,(2.390835695723726-1.8026476458302163j),(2.4022186933266143-1.8156557490401466j),0.01021763159901003,(-0.011382997602888523+0.013008103209930288j)
0.08,(2.3638526569480667-1.8101513969264604j),(2.3707132484240496-1.8053201152550502j),0.009498401832773775,(-0.006860591475982947-0.004831281671410226j)
0.08125,(2.337067513900161-1.8171732478214966j),(2.335650965020843-1.8188633927810864j),0.00850456776206362,(0.0014165488793178582+0.0016901449595898566j)
0.0825,(2.3104873588835755-1.8237257908612825j),(2.3088625470660014-1.822075163091757j),0.009904959743354428,(0.0016248118175741233-0.0016506277695254035j)
0.08375,(2.2841187596807724-1.8298215324116356j),(2.2885695423490833-1.8333137350844917j),0.011470402738086749,(-0.004450782668310893+0.003492202672856104j)
0.085,(2.2579677777254106-1.8354728767334216j),(2.2548052441440807-1.8372096601414425j),0.0100114980588372,(0.003162533581329896+0.0017367834080208588j)
0.08625000000000001,(2.2320399863225515-1.8406921111817676j),(2.221274254928222-1.827742014315791j),0.011417484895089753,(0.01076573139432968-0.01295009686597659j)
0.08750000000000001,(2.2063404888505946-1.8454913926779095j),(2.20170806484028-1.849692416078044j),0.010229887986419599,(0.004632424010314828+0.004201023400134396j)
0.08875,(2.180873936884638-1.849882735401002j),(2.1843859793393383-1.8509298788915722j),0.010899560628705679,(-0.0035120424547003815+0.0010471434905703347j)
0.09,(2.1556445481866455-1.8538779996464472j),(2.165301446163199-1.8348616891112755j),0.01099612868408062,(-0.009656897976553669-0.01901631053517172j)
0.09125,(2.1306561245131914-1.8574888817968456j),(2.1350628168250885-1.863576891190616j),0.012375610015220764,(-0.004406692311897054+0.0060880093937705215j)
0.0925,(2.1059120691967284-1.8607269053515847j),(2.1049869652517557-1.8656920428410613j),0.012369965017315071,(0.0009251039449726939+0.004965137489476579j)
0.09375,(2.0814154044612097-1.8636034129613295j),(2.0801101812370018-1.8644144751602547j),0.013108606564330171,(0.0013052232242078965+0.0008110621989252387j)
0.095,(2.0571687884374823-1.8661295594141425j),(2.0549306284026136-1.8538379505217j),0.012574371479785485,(0.0022381600348686526-0.012291608892442518j)
0.09625,(2.0331745318482732-1.868316305520717j),(2.032246676182382-1.869952156707485j),0.012849885768488006,(0.000927855665891375+0.0016358511867680114j)
0.0975,(2.0094346143365844-1.8701744128471478j),(2.0049488094949686-1.8694421456788766j),0.010776713436258127,(0.00448580484161587-0.0007322671682712389j)
0.09875,(1.9859507004152042-1.871714439244773j),(1.9793417220849197-1.860834292018332j),0.010742471329838167,(0.0066089783302845095-0.01088014722644104j)
0.1,(1.9627241550184915-1.8729467351279088j),(1.9653831109514008-1.8615884946336367j),0.01140681950852087,(-0.0026589559329093237-0.011358240494272032j)
0.10125,(1.939756058640957-1.8738814404516875j),(1.932515393685577-1.887384371156882j),0.013225265032094886,(0.007240664955380005+0.013502930705194593j)
0.10250000000000001,(1.9170472220501358-1.8745284823437252j),(1.9119376103964998-1.8647229826831841j),0.011923211152172422,(0.005109611653635993-0.009805499660541006j)
0.10375000000000001,(1.89459820056408-1.8748975733449147j),(1.8895740539391566-1.8673114039159178j),0.010841363241422637,(0.005024146624923453-0.007586169428996925j)
0.105,(1.8724093078863226-1.874998210216312j),(1.8749232882768838-1.8862553613084663j),0.01150115404969857,(-0.0025139803905611657+0.011257151092154194j)
0.10625,(1.8504806294935416-1.8748396732707486j),(1.8594357614320445-1.8746124332221885j),0.012485689659371938,(-0.008955131938502836-0.0002272400485601178j)
0.1075,(1.8288120355732425-1.8744310261895778j),(1.828167594725713-1.884760853356051j),0.011469905024199619,(0.0006444408475294594+0.010329827166473127j)
0.10875,(1.8074031935107289-1.8737811162866527j),(1.8070773727313125-1.8726069188024952j),0.010699801313373593,(0.00032582077941634147-0.0011741974841574798j)
0.11,(1.7862535799263537-1.8728985751834273j),(1.7906630041575442-1.8778768608704641j),0.013032857664610058,(-0.004409424231190506+0.004978285687036843j)
0.11125,(1.7653624922656015-1.8717918198607968j),(1.7490931758253905-1.862721372335573j),0.011210440458031068,(0.016269316440211012-0.009070447525223901j)
0.1125,(1.7447290599459389-1.8704690540550066j),(1.746887175259482-1.8629496471606624j),0.013850112381307046,(-0.002158115313543041-0.0075194068943442716j)
0.11375,(1.7243522550656123-1.8689382699667167j),(1.7323115099759288-1.877072498667441j),0.010053290799119673,(-0.00795925491031646+0.008134228700724222j)
0.115,(1.7042309026806224-1.8672072502538986j),(1.724987135259946-1.8613638382724482j),0.012157164551489266,(-0.020756232579323575-0.0058434119814503305j)
0.11625,(1.6843636906571067-1.86528357028097j),(1.6901558671178267-1.8599295273130705j),0.012129481887031453,(-0.005792176460720055-0.005354042967899542j)
0.11750000000000001,(1.6647491791071127-1.8631746005980943j),(1.6538291108865142-1.8721997092685203j),0.011693165171349156,(0.010920068220598544+0.009025108670426052j)
0.11875000000000001,(1.6453858094165104-1.86088750962617j),(1.6400866616297753-1.8689736719048458j),0.013866486580989452,(0.0052991477867350145+0.008086162278675646j)
0.12,(1.6262719128743388-1.8584292665245055j),(1.6101788306644642-1.860687264451256j),0.012473052164959671,(0.0160930822098746+0.0022579979267505212j)
0.12125,(1.607405718913401-1.8558066442196366j),(1.596956037916308-1.8542162387673724j),0.011734420437882054,(0.010449680997093092-0.0015904054522641875j)
0.1225,(1.5887853629723212-1.853026222575146j),(1.590142880761258-1.8527969608079713j),0.01224207035282964,(-0.0013575177889368906-0.00022926176717463775j)
0.12375,(1.5704088939895926-1.8500943916836667j),(1.558407783489247-1.8458294390741794j),0.012961664321007234,(0.01200111050034569-0.004264952609487338j)
0.125,(1.5522742815403943-1.847017355263543j),(1.5573504236858315-1.8536264990605893j),0.012309807329017944,(-0.005076142145437279+0.006609143797046357j)
0.12625,(1.5343794226271237-1.8438011341438554j),(1.5340132183416608-1.8651509122052843j),0.013820113510579239,(0.00036620428546285666+0.021349778061428903j)
0.1275,(1.5167221481347304-1.840451569822691j),(1.5202697538947114-1.84429330023797j),0.012871134096892748,(-0.0035476057599810318+0.00384173041527891j)
0.12875,(1.4993002289619548-1.8369743280846251j),(1.501995206839473-1.8339242450718052j),0.016585332578209405,(-0.0026949778775182676-0.0030500830128199485j)
0.13,(1.4821113818396252-1.833374902664491j),(1.4849388756378048-1.8333241229020676j),0.01222116851595339,(-0.0028274937981795922-5.0779762423402985e-05j)
0.13125,(1.4651532748471057-1.829658618945471j),(1.475193888126726-1.835902607798769j),0.012557376218953906,(-0.010040613279620247+0.00624398885329791j)
0.1325,(1.4484235326379253-1.825830637680531j),(1.4422723308114325-1.829724664558946j),0.011735787425054428,(0.006151201826492869+0.0038940268784148913j)
0.13375,(1.4319197413855034-1.8218959587270922j),(1.42029021122289-1.8364933459254082j),0.013118826334740976,(0.011629530162613477+0.014597387198316047j)
0.135,(1.4156394534597458-1.8178594247857118j),(1.4127035482116486-1.8107747601462427j),0.013601314769622917,(0.0029359052480972814-0.007084664639469107j)
0.13625,(1.39958019184513-1.8137257251343124j),(1.4102444446674827-1.8017621112879727j),0.01374350978908917,(-0.010664252822352616-0.011963613846339705j)
0.1375,(1.3837394543106958-1.8094993993502873j),(1.3982217494588123-1.8132867658452407j),0.01205056942907074,(-0.014482295148116497+0.0037873664949534813j)
0.13875,(1.368114717342158-1.8051848410134852j),(1.3681736426711961-1.8061603433316964j),0.01225415075557926,(-5.8925329038173047e-05+0.0009755023182111966j)
0.14,(1.3527034398461277-1.8007863013837686j),(1.368514031425155-1.793631816280159j),0.012634374094381663,(-0.0158105915790272-0.007154485103609609j)
0.14125000000000001,(1.3375030666361938-1.7963078930474325j),(1.3359039852750447-1.7770346435060964j),0.013044889024489586,(0.0015990813611490573-0.019273249541336135j)
0.14250000000000002,(1.322511031710368-1.7917535935273745j),(1.3325043988754421-1.7997631886917775j),0.012775481868141323,(-0.00999336716507404+0.008009595164403027j)
0.14375000000000002,(1.3077247613291332-1.7871272488524454j),(1.323413042572815-1.7915842445633217j),0.01233813548417438,(-0.015688281243681823+0.00445699571087621j)
0.145,(1.2931416769030664-1.7824325770819007j),(1.29892528092267-1.777047975046731j),0.013670365460169755,(-0.005783604019603539-0.005384602035169772j)
0.14625,(1.2787591976987573-1.7776731717813514j),(1.2864170404701076-1.7865507630013553j),0.015946145401160156,(-0.007657842771350287+0.008877591220003866j)
0.1475,(1.2645747433714407-1.7728525054470714j),(1.2684018331314504-1.781831820047449j),0.01206850854815294,(-0.003827089760009672+0.008979314600377597j)
0.14875,(1.2505857363325064-1.767973932875873j),(1.2516374199564595-1.7630289626956628j),0.014696845799406413,(-0.0010516836239531369-0.004944970180210229j)
0.15,(1.2367896039597739-1.7630406944782016j),(1.2412384930267475-1.7497290750223342j),0.015379169872475302,(-0.004448889066973605-0.01331161945586734j)
0.15125,(1.2231837806581283-1.7580559195323877j),(1.2039122208351525-1.7582946778219253j),0.014317373748330023,(0.019271559822975792+0.00023875828953756617j)
0.1525,(1.2097657097778591-1.7530226293783675j),(1.2250515890993614-1.7512956898127174j),0.012669833514578194,(-0.015285879321502271-0.0017269395656500652j)
0.15375,(1.1965328453977617-1.7479437405494331j),(1.199826595674495-1.75240642428502j),0.013241869936146242,(-0.003293750276733176+0.004462683735586781j)
0.155,(1.1834826539797993-1.7428220678408854j),(1.1854049036890557-1.7440270505909947j),0.014620992320424757,(-0.0019222497092563628+0.0012049827501092736j)
0.15625,(1.1706126159018517-1.737660327314682j),(1.1759264475569413-1.7503162101436323j),0.01285047553878373,(-0.005313831655089585+0.012655882828950249j)
0.1575,(1.1579202268748383-1.7324611392394251j),(1.1411490418837262-1.7321703651322051j),0.014308290310343688,(0.016771184991112076-0.0002907741072200043j)
0.15875,(1.1454029992502197-1.7272270309652193j),(1.1483056139265284-1.7252214005314783j),0.012704324730020509,(-0.0029026146763087013-0.0020056304337410236j)
0.16,(1.1330584632236647-1.7219604397331458j),(1.1344309373190418-1.734801584116867j),0.01325124190245848,(-0.0013724740953771075+0.012841144383721081j)
0.16125,(1.1208841679404082-1.7166637154192637j),(1.1217721123255513-1.7127830653704235j),0.015703048585704336,(-0.000887944385143058-0.003880650048840195j)
0.1625,(1.1088776825075968-1.7113391232131838j),(1.102487328351695-1.7051756234623663j),0.013823704770392242,(0.006390354155901834-0.006163499750817536j)
0.16375,(1.0970365969186917-1.7059888462314605j),(1.1017328596766294-1.7095269076755713j),0.013980735726303846,(-0.004696262757937664+0.0035380614441107294j)
0.165,(1.085358522894779-1.7006149880661068j),(1.080594446763203-1.6933528453359166j),0.015470735927302035,(0.004764076131576145-0.007262142730190213j)
0.16625,(1.0738410946473955-1.6952195752687074j),(1.0678209608727314-1.6836941879128349j),0.015433505242249798,(0.006020133774664149-0.011525387355872496j)
0.1675,(1.0624819695673242-1.6898045597706874j),(1.0806800845203182-1.6940664950747948j),0.016361425943244644,(-0.01819811495299395+0.004261935304107345j)
