f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.718821745007157-0.35457315277370804j),0.0006060243021842253,(-0.0018383848047243134+0.00425572423588394j)
0.01,(3.621331989105082-0.6826049983909342j),(3.6232983072329503-0.6827169017863486j),0.000489454998453148,(-0.001966318127868405+0.00011190339541433669j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.473829884360207-0.9797445889544598j),0.0005037023745258945,(-0.0014269545882714674-0.002054209148307118j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.2837648385589246-1.2373769025132373j),0.00044953302171299084,(-0.00040368807932988915-0.0004210898182221978j)
0.04,(3.0685737890883007-1.4460313309197002j),(3.067491595215086-1.4447939474425702j),0.0004779843955107373,(0.0010821938732146208-0.001237383477129983j)
0.05,(2.841393026216591-1.606769902282197j),(2.8442935353349004-1.6045827244138908j),0.0005231010262930826,(-0.0029005091183091913-0.002187177868306245j)
0.06,(2.612786040809993-1.7237449805542338j),(2.6145928033959036-1.720827488052659j),0.0007558208976608134,(-0.0018067625859106151-0.002917492501574692j)
0.07,(2.390835695723726-1.8026476458302163j),(2.3875072884096973-1.802641273776225j),0.000993347214729481,(0.003328407314028503-6.3720539913436625e-06j)
0.08,(2.180873936884638-1.849882735401002j),(2.179299587158755-1.8498909586117287j),0.0008988704767415766,(0.0015743497258831063+8.223210726798769e-06j)
0.09,(1.9859507004152042-1.871714439244773j),(1.984502058779014-1.8707927514303575j),0.0007182338982573185,(0.0014486416361900734-0.0009216878144155949j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.8066023348812177-1.8717928399496646j),0.0009056716404393443,(0.0008008586295111808-0.0019882763369880596j)
0.11,(1.6453858094165104-1.86088750962617j),(1.644336723539793-1.8597724304796175j),0.0010758581534130915,(0.0010490858767173705-0.0011150791465526222j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.5020596214804953-1.8339045046478304j),0.0012115681213743673,(-0.0027593925185405155-0.0030698234367947386j)
0.13,(1.368114717342158-1.8051848410134852j),(1.3658779117878865-1.7972126215479511j),0.0009234766692010278,(0.002236805554271415-0.007972219465534058j)
0.14,(1.2505857363325064-1.767973932875873j),(1.252287772273255-1.7662621904670965j),0.00086855556151404,(-0.0017020359407486918-0.0017117424087764732j)
0.15,(1.1454029992502197-1.7272270309652193j),(1.1456402370883023-1.729768468046652j),0.0009777299835156334,(-0.00023723783808260457+0.002541437081432729j)
0.16,(1.05127882884355-1.684371821240384j),(1.0541634916716938-1.6839486977669689j),0.001030618478216955,(-0.0028846628281438136-0.00042312347341511014j)
