f_range,G_0,G,var,bias
0.0,(3.7496669304368475-0.03533977824620698j),(7.284406720161079-5.3670598925309125j),2269.616682033584,(-3.5347397897242314+5.331720114284706j)
0.001,(3.7486680766458904-0.07066072854202388j),(7.196439258774766-2.7020230095645887j),1027.0713108194984,(-3.4477711821288755+2.631362281022565j)
0.002,(3.747004502377668-0.10594405635873805j),(6.595678072146433-0.8559172684568088j),482.73590630005924,(-2.8486735697687653+0.7499732120980708j)
0.003,(3.744677977404511-0.141171033886482j),(5.732599188032477+0.2768725286643573j),243.94692796453023,(-1.9879212106279662-0.4180435625508393j)
0.004,(3.741690972819108-0.17632303308317637j),(4.812254828226753+0.8104152187219557j),136.7010309433438,(-1.070563855407645-0.986738251805132j)
0.005,(3.7380466544851236-0.21138155835311465j),(3.9942734085563267+0.8672332776868755j),86.10420458808942,(-0.2562267540712031-1.07861483603999j)
0.006,(3.7337488746722225-0.24632827873540764j),(3.39285953887735+0.5783028205805202j),24.558355488984795,(0.34088933579487257-0.8246310993159278j)
0.007,(3.728802161916646-0.28114505948560986j),(4.1029996914056595+0.017207143587125807j),4.855671852127766,(-0.37419752948901364-0.2983522030727357j)
0.008,(3.7232117091569275-0.3158139929376663j),(3.909094065927949-0.5223259794437936j),1.237865478516705,(-0.1858823567710215+0.20651198650612723j)
0.009000000000000001,(3.7169833602024327-0.3503174285378241j),(3.6866342763768967-0.4226933249910239j),0.42885481153627825,(0.030349083825536027+0.0723758964531998j)
0.01,(3.7101235946001005-0.3846380019472924j),(3.686653173970119-0.41176157498395105j),0.14418265352073767,(0.023470420629981614+0.027123573036658633j)
0.011,(3.702639510971777-0.41875866311616866j),(3.650206308705222-0.4324001156125668j),0.09623927169195041,(0.05243320226655479+0.013641452496398143j)
0.012,(3.6945388089012545-0.4526627032374162j),(3.684348820853345-0.43505493421602415j),0.07730230188274202,(0.010189988047909715-0.01760776902139205j)
0.013000000000000001,(3.6858297694559945-0.48633378049643156j),(3.6504178413094373-0.46960653583626616j),0.06190403080173598,(0.03541192814655725-0.016727244660165397j)
0.014,(3.6765212344339626-0.5197559445389076j),(3.678226465966871-0.48724649693276967j),0.04827859861234453,(-0.0017052315329082468-0.03250944760613794j)
0.015,(3.666622584430625-0.5529136595872163j),(3.6565310385024272-0.5465678511228702j),0.04040294888284742,(0.010091545928197831-0.00634580846434607j)
0.016,(3.6561437158252104-0.5857918261433536j),(3.6535669719919746-0.5748794273829322j),0.04309158460079522,(0.002576743833235806-0.010912398760421382j)
0.017,(3.6450950167886296-0.6183758012245161j),(3.653249145639086-0.6363194280971479j),0.05162786118576388,(-0.0081541288504563+0.017943626872631846j)
0.018000000000000002,(3.6334873424180625-0.6506514170855691j),(3.6257366419536545-0.6676722477980641j),0.05067443825847285,(0.007750700464407956+0.01702083071249505j)
0.019,(3.621331989105082-0.6826049983909342j),(3.6107517988949143-0.68612501255178j),0.04734924033403637,(0.01058019021016765+0.003520014160845797j)
0.02,(3.6086406682453998-0.714223377806722j),(3.594762503980064-0.6971348678025037j),0.041601831445049274,(0.013878164265335613-0.017088510004218294j)
0.021,(3.595425479398794-0.7454939099921816j),(3.584148245755655-0.7235538397597061j),0.0405585838068457,(0.011277233643139262-0.02194007023247546j)
0.022,(3.581698883007584-0.7764044839776902j),(3.583970434893314-0.753564994677472j),0.04199139156537626,(-0.0022715518857299166-0.022839489300218285j)
0.023,(3.567473672781198-0.8069435339244774j),(3.5736569856047247-0.7997868795749878j),0.05153495264468121,(-0.006183312823526688-0.007156654349489533j)
0.024,(3.5527629478528726-0.8371000482690453j),(3.5578545622429973-0.8224403589326356j),0.05426127038893019,(-0.005091614390124732-0.01465968933640971j)
0.025,(3.5375800848125296-0.8668635772627428j),(3.5397957086867113-0.8566616379839905j),0.05005648561917915,(-0.002215623874181727-0.010201939278752237j)
0.026000000000000002,(3.521938709717177-0.8962242389241207j),(3.517679127368122-0.8888064305904481j),0.0494517972010501,(0.004259582349054991-0.007417808333672671j)
0.027,(3.5058526701771258-0.9251727234285161j),(3.503820440180642-0.9235609519415638j),0.05175595010253496,(0.002032229996483892-0.0016117714869522404j)
0.028,(3.4893360076126823-0.9537002959657439j),(3.490166381377274-0.9521256222304725j),0.05930700476925175,(-0.0008303737645918297-0.0015746737352714257j)
0.029,(3.4724029297719357-0.9817987981027669j),(3.4687389157620725-0.977410099266137j),0.06665897336380197,(0.003664014009863159-0.004388698836629956j)
0.03,(3.4550677835959047-1.009460647693769j),(3.443518584032447-1.0096420092507838j),0.07437715773726226,(0.01154919956345779+0.00018136155701475865j)
0.031,(3.437345028512533-1.036678837385124j),(3.418572894942273-1.0431018020199259j),0.07773000838665418,(0.018772133570259975+0.006422964634801964j)
0.032,(3.4192492102360315-1.0634469317673516j),(3.414499277951601-1.0650698390509301j),0.0741031749986041,(0.004749932284430436+0.0016229072835785008j)
0.033,(3.400794935142846-1.089759063230235j),(3.418506552478399-1.0832684291335526j),0.07953772364525416,(-0.01771161733555271-0.0064906340966823795j)
0.034,(3.3819968452900833-1.1156099265808543j),(3.4083791399295036-1.0960315118057962j),0.07779620924022215,(-0.026382294639420323-0.019578414775058173j)
0.035,(3.3628695941366793-1.1409947724873903j),(3.3754913259826647-1.1093679527235245j),0.07068432666021315,(-0.012621731845985362-0.03162681976386583j)
0.036000000000000004,(3.3434278230219916-1.16590939981411j),(3.331776436603074-1.1213379044062262j),0.07415240132115036,(0.011651386418917387-0.04457149540788374j)
0.037,(3.323686138450748-1.190350146915041j),(3.3009265459071457-1.1520916051513317j),0.0753021970782793,(0.02275959254360238-0.03825854176370935j)
0.038,(3.3036590902277028-1.2143138819554655j),(3.270899132469468-1.2046876620014288j),0.07621452539407385,(0.032759957758234926-0.009626219954036674j)
0.039,(3.2833611504795948-1.2377979923314595j),(3.263423556716939-1.247291766394044j),0.07571823004413054,(0.01993759376265558+0.009493774062584448j)
0.04,(3.262806693596545-1.260800373258441j),(3.274263456325132-1.2847448583356729j),0.08256253885520476,(-0.011456762728586867+0.023944485077231903j)
0.041,(3.2420099771195123-1.2833194155999177j),(3.2665087917187505-1.3061649163781315j),0.09128800125186182,(-0.024498814599238194+0.02284550077821379j)
0.042,(3.2209851235951295-1.3053539930074927j),(3.241050206072659-1.3132269936816148j),0.09861365794479376,(-0.020065082477529472+0.00787300067412211j)
0.043000000000000003,(3.1997461034141392-1.326903448442672j),(3.2100726189607367-1.334543424325445j),0.097453241026141,(-0.01032651554659747+0.007639975882772987j)
0.044,(3.1783067186446274-1.3479675801501212j),(3.170714064446707-1.3639597640419732j),0.09430453129086938,(0.007592654197920545+0.015992183891851974j)
