f_range,G_0,G,var,bias
0.0,(3.7496669304368475-0.03533977824620698j),(3.7462303976683615-0.03350640894547526j),0.0018227696030442514,(0.003436532768485989-0.0018333693007317187j)
0.001,(3.7486680766458904-0.07066072854202388j),(3.7483719921687326-0.07086745645825065j),0.002303302117710316,(0.0002960844771577875+0.00020672791622677877j)
0.002,(3.747004502377668-0.10594405635873805j),(3.747689288556376-0.10682732123178566j),0.0021268410831944383,(-0.0006847861787080411+0.000883264873047615j)
0.003,(3.744677977404511-0.141171033886482j),(3.75065863623963-0.13507594302425618j),0.0024970933708020485,(-0.0059806588351190015-0.006095090862225816j)
0.004,(3.741690972819108-0.17632303308317637j),(3.737786170403774-0.1738599187187847j),0.0023474500269470757,(0.0039048024153340855-0.002463114364391672j)
0.005,(3.7380466544851236-0.21138155835311465j),(3.742177559922824-0.21492093314773963j),0.0019450704665731175,(-0.0041309054377003385+0.0035393747946249887j)
0.006,(3.7337488746722225-0.24632827873540764j),(3.7391277711808577-0.24736937725822053j),0.0024783612061393015,(-0.005378896508635211+0.0010410985228128944j)
0.007,(3.728802161916646-0.28114505948560986j),(3.7280957059696083-0.2799274942296766j),0.001641241128544606,(0.0007064559470375542-0.0012175652559332506j)
0.008,(3.7232117091569275-0.3158139929376663j),(3.7267129184628205-0.31080970437459j),0.0021959217187711277,(-0.0035012093058930382-0.005004288563076331j)
0.009000000000000001,(3.7169833602024327-0.3503174285378241j),(3.7149509857188283-0.3485997185095067j),0.002138114805812637,(0.0020323744836043822-0.0017177100283173874j)
0.01,(3.7101235946001005-0.3846380019472924j),(3.706168191227072-0.3863463912374517j),0.0023151356844523007,(0.0039554033730286875+0.0017083892901592623j)
0.011,(3.702639510971777-0.41875866311616866j),(3.701799704923242-0.4195835863862426j),0.001996659465312092,(0.0008398060485350634+0.0008249232700739406j)
0.012,(3.6945388089012545-0.4526627032374162j),(3.6964101112024292-0.4566195345698113j),0.0026112246892337444,(-0.0018713023011747154+0.003956831332395105j)
0.013000000000000001,(3.6858297694559945-0.48633378049643156j),(3.6896368117248053-0.4851474418413899j),0.002709576931644204,(-0.0038070422688107897-0.001186338655041641j)
0.014,(3.6765212344339626-0.5197559445389076j),(3.676295484230364-0.5218659261226157j),0.0021412155752387543,(0.000225750203598718+0.0021099815837081204j)
0.015,(3.666622584430625-0.5529136595872163j),(3.6683578569022637-0.5539909334374771j),0.0017033132192143263,(-0.001735272471638627+0.001077273850260796j)
0.016,(3.6561437158252104-0.5857918261433536j),(3.6582113248394057-0.5868290870792715j),0.0021049931448848046,(-0.0020676090141953374+0.0010372609359179386j)
0.017,(3.6450950167886296-0.6183758012245161j),(3.640024571215941-0.6197755629658629j),0.0016119941421486315,(0.005070445572688431+0.0013997617413468166j)
0.018000000000000002,(3.6334873424180625-0.6506514170855691j),(3.6308164398949003-0.6502333875635488j),0.002441073441698037,(0.0026709025231621553-0.0004180295220203023j)
0.019,(3.621331989105082-0.6826049983909342j),(3.618275885435102-0.6797918184054248j),0.0024750277278358453,(0.0030561036699801036-0.002813179985509451j)
0.02,(3.6086406682453998-0.714223377806722j),(3.6122438389624114-0.7134660023791137j),0.0026257979721453885,(-0.003603170717011661-0.0007573754276082312j)
0.021,(3.595425479398794-0.7454939099921816j),(3.5897928124040983-0.7480657831597612j),0.0018080326910948157,(0.005632666994695779+0.0025718731675796747j)
0.022,(3.581698883007584-0.7764044839776902j),(3.582509427418803-0.7752814690475907j),0.0017329029616528064,(-0.0008105444112187499-0.0011230149300995862j)
0.023,(3.567473672781198-0.8069435339244774j),(3.5692464298556117-0.8027316398105296j),0.002001388388310641,(-0.0017727570744137111-0.004211894113947734j)
0.024,(3.5527629478528726-0.8371000482690453j),(3.5486406216898967-0.8377556747185974j),0.0026674337424739793,(0.00412232616297592+0.0006556264495520825j)
0.025,(3.5375800848125296-0.8668635772627428j),(3.5384007562187634-0.870797280686671j),0.0025726035336008316,(-0.0008206714062337639+0.003933703423928181j)
0.026000000000000002,(3.521938709717177-0.8962242389241207j),(3.5226379424975813-0.8916796893485137j),0.0016027537684814225,(-0.0006992327804042908-0.004544549575607015j)
0.027,(3.5058526701771258-0.9251727234285161j),(3.5083825807894446-0.9238171036599023j),0.0027324252733765806,(-0.0025299106123188864-0.0013556197686137583j)
0.028,(3.4893360076126823-0.9537002959657439j),(3.4865155360283735-0.9572632740070409j),0.0026065578671929323,(0.002820471584308759+0.003562978041297016j)
0.029,(3.4724029297719357-0.9817987981027669j),(3.472190438161987-0.9799717298577671j),0.001887791955418301,(0.00021249160994862848-0.0018270682449997855j)
0.03,(3.4550677835959047-1.009460647693769j),(3.4517089885259176-1.0132349182256812j),0.0019148415918674624,(0.0033587950699871527+0.0037742705319121495j)
0.031,(3.437345028512533-1.036678837385124j),(3.4372954755418217-1.0337052654163936j),0.0021675442714781203,(4.955297071118636e-05-0.002973571968730271j)
0.032,(3.4192492102360315-1.0634469317673516j),(3.416983712847113-1.0661856076609892j),0.00257269755268996,(0.002265497388918458+0.002738675893637632j)
0.033,(3.400794935142846-1.089759063230235j),(3.4000750328518814-1.095270361408416j),0.0018969271050309322,(0.0007199022909647468+0.005511298178181079j)
0.034,(3.3819968452900833-1.1156099265808543j),(3.3822708209583894-1.1182029190600098j),0.0021934603460437986,(-0.00027397566830611453+0.0025929924791554537j)
0.035,(3.3628695941366793-1.1409947724873903j),(3.361991744687783-1.1430583429752001j),0.002003616501618055,(0.0008778494488961286+0.002063570487809807j)
0.036000000000000004,(3.3434278230219916-1.16590939981411j),(3.343092917558329-1.1686659519804399j),0.002635950040502952,(0.0003349054636627713+0.002756552166329973j)
0.037,(3.323686138450748-1.190350146915041j),(3.322626496767013-1.188573972416542j),0.0021091436958737835,(0.0010596416837351796-0.0017761744984989836j)
0.038,(3.3036590902277028-1.2143138819554655j),(3.3008128277862885-1.2187547212764j),0.002345686619442383,(0.0028462624414142823+0.004440839320934531j)
0.039,(3.2833611504795948-1.2377979923314595j),(3.277972648862015-1.2410009130774828j),0.002374257140127602,(0.005388501617579866+0.003202920746023352j)
0.04,(3.262806693596545-1.260800373258441j),(3.2676367571576854-1.2588986160078326j),0.0017934105466796673,(-0.004830063561140463-0.0019017572506083713j)
0.041,(3.2420099771195123-1.2833194155999177j),(3.240246172133139-1.288554771068061j),0.0023618575354975514,(0.0017638049863735183+0.0052353554681432435j)
0.042,(3.2209851235951295-1.3053539930074927j),(3.224047205080428-1.304707975264092j),0.002535954299998275,(-0.003062081485298407-0.0006460177434006731j)
0.043000000000000003,(3.1997461034141392-1.326903448442672j),(3.2057829745199204-1.3258878840488677j),0.0014799532296617896,(-0.006036871105781216-0.0010155643938043468j)
0.044,(3.1783067186446274-1.3479675801501212j),(3.17801780436127-1.3433263664502502j),0.002686985668713346,(0.00028891428335731106-0.004641213699871027j)
0.045,(3.156680587866605-1.3685466271508306j),(3.1588928399192855-1.366915238734254j),0.0025411854050155338,(-0.0022122520526806078-0.001631388416576618j)
0.046,(3.134881132009925-1.3886412543221487j),(3.1349234176802576-1.3887216333017507j),0.002446306837136595,(-4.228567033282005e-05+8.037897960200269e-05j)
0.047,(3.1129215611933265-1.4082525371298562j),(3.1106552652206503-1.409276016801104j),0.0014035061641265118,(0.0022662959726762466+0.001023479671247829j)
0.048,(3.090814862558364-1.4273819460754666j),(3.0867358220190257-1.4263207072812816j),0.0034108243022510547,(0.0040790405393380524-0.001061238794185071j)
0.049,(3.0685737890883007-1.4460313309197002j),(3.0697965242225123-1.4407573799266284j),0.003886164552446842,(-0.001222735134211561-0.005273950993071708j)
0.05,(3.0462108493985802-1.4642029047406837j),(3.041596344516229-1.4555000252226507j),0.004926415216761255,(0.004614504882351156-0.008702879518033058j)
0.051000000000000004,(3.02373829848235-1.4818992278828795j),(3.031970566817742-1.483046986251939j),0.0020655498737771182,(-0.008232268335391701+0.0011477583690595594j)
0.052000000000000005,(3.0011681293916004-1.4991231918500312j),(2.9997212748371456-1.4931559168589408j),0.0019284619848847027,(0.0014468545544548128-0.005967274991090399j)
0.053,(2.9785120658319126-1.5158780031926673j),(2.977999880199017-1.5129950969436428j),0.002393586686164608,(0.0005121856328957897-0.0028829062490245416j)
0.054,(2.955781555646475-1.5321671674378043j),(2.9533864165325094-1.5318684538276168j),0.003693247678675569,(0.0023951391139656053-0.00029871361018751763j)
0.055,(2.9329877651629688-1.5479944731055948j),(2.93188430047777-1.5514774223910652j),0.0011727549686021076,(0.0011034646851988406+0.003482949285470438j)
0.056,(2.910141574375122-1.5633639758546936j),(2.918429063762121-1.5640713871748486j),0.003423484616566989,(-0.00828748938699908+0.0007074113201550603j)
0.057,(2.8872535729292514-1.5782799827951834j),(2.885288556855954-1.583606720878926j),0.0031136205625482342,(0.0019650160732975763+0.0053267380837425105j)
0.058,(2.864334056884766-1.5927470370049126j),(2.864526387485446-1.5944488496543958j),0.00398929851540967,(-0.00019233060067991303+0.0017018126494832142j)
0.059000000000000004,(2.841393026216591-1.606769902282197j),(2.846474714971736-1.6012738338821482j),0.0020991252181461356,(-0.005081688755145031-0.0054960684000489035j)
0.06,(2.8184401830266497-1.6203535481649192j),(2.823376757575946-1.623019187236982j),0.0026053636141956543,(-0.004936574549296413+0.002665639072062742j)
0.061,(2.7954849304309164-1.6335031352432696j),(2.7931832330464896-1.631013244669418j),0.0022190699547558765,(0.0023016973844267596-0.0024898905738515165j)
0.062,(2.7725363720881604-1.646224000790543j),(2.7725215851582905-1.6474607357469515j),0.0015545462000376303,(1.4786929869892163e-05+0.001236734956408414j)
0.063,(2.7496033123362618-1.658521644733779j),(2.750797604126916-1.6554240566704999j),0.0033885304319889852,(-0.0011942917906542228-0.0030975880632790886j)
0.064,(2.7266942569019488-1.6704017159833855j),(2.7258412931233074-1.6705227984395081j),0.0016171328255372526,(0.0008529637786414135+0.00012108245612263424j)
0.065,(2.703817414149908-1.6818699991384178j),(2.7071412806188744-1.6880627691655006j),0.002822086323292842,(-0.003323866468966319+0.006192770027082739j)
0.066,(2.6809806968374987-1.6929324015817462j),(2.6811243176827184-1.6860034194734557j),0.003852883648561374,(-0.000143620845219683-0.006928982108290516j)
0.067,(2.658191724341662-1.7035949409770903j),(2.6580547310128173-1.7082076538391682j),0.0026480389127009184,(0.00013699332884486992+0.004612712862077872j)
0.068,(2.635457825325176-1.7138637331776718j),(2.632770954939855-1.717333735216492j),0.0014778103119628292,(0.002686870385320894+0.003470002038820086j)
0.069,(2.612786040809993-1.7237449805542338j),(2.6052697577459827-1.724950383124884j),0.0016107295216464944,(0.0075162830640103095+0.0012054025706502713j)
0.07,(2.5901831276261627-1.7332449607481513j),(2.591139691960259-1.7229793482384557j),0.00245738964564584,(-0.0009565643340962993-0.010265612509695599j)
0.07100000000000001,(2.5676555622055908-1.7423700158535955j),(2.5722992862287497-1.7450160187227042j),0.0024312831178198214,(-0.004643724023158935+0.0026460028691086546j)
0.07200000000000001,(2.545209544690825-1.7511265420309623j),(2.543796223122027-1.7517348242481714j),0.002803100756552909,(0.0014133215687981426+0.0006082822172090996j)
0.073,(2.522851003329973-1.7595209795522044j),(2.5221127531139698-1.762963237165113j),0.0029112370206566458,(0.0007382502160031557+0.003442257612908506j)
0.074,(2.500585599129832-1.76755980327721j),(2.4984281170507208-1.7734989919748538j),0.0016822484001230101,(0.0021574820791112614+0.005939188697643871j)
0.075,(2.4784187307404-1.7752495135590505j),(2.4818511469462026-1.7798867511717469j),0.002628458966538084,(-0.003432416205802369+0.00463723761269641j)
0.076,(2.456355539544956-1.7825966275746157j),(2.455880437061743-1.7812361434079724j),0.0017431062999859913,(0.0004751024832132522-0.00136048416664325j)
0.077,(2.4344009149310377-1.7896076710760707j),(2.428702041413577-1.786810105727772j),0.0014971714192791807,(0.00569887351746079-0.0027975653482985585j)
0.078,(2.4125594997187134-1.7962891705575044j),(2.4163293193183386-1.7945678975588402j),0.0015662168243109986,(-0.0037698195996251904-0.0017212729986642028j)
0.079,(2.390835695723726-1.8026476458302163j),(2.385910664779287-1.8016970168835156j),0.001956668486704851,(0.004925030944438635-0.0009506289467007267j)
0.08,(2.3692336694341645-1.8086896029992665j),(2.364361824985695-1.8110453072370611j),0.0025186881413154284,(0.004871844448469442+0.0023557042377946313j)
0.081,(2.347757357780464-1.8144215278331646j),(2.345534514076234-1.8127304577262453j),0.002187953231121066,(0.002222843704230204-0.001691070106919268j)
0.082,(2.326410473979675-1.8198498795179354j),(2.32643325417207-1.820676264143819j),0.0028094225429418675,(-2.2780192394655785e-05+0.0008263846258835805j)
0.083,(2.305196513436008-1.824981084786225j),(2.3092013746404225-1.8227324312927464j),0.0016941190654410632,(-0.004004861204414567-0.0022486534934784697j)
0.084,(2.2841187596807724-1.8298215324116356j),(2.2915775101420928-1.8299212242442522j),0.0015927083315576613,(-0.007458750461320385+9.969183261659964e-05j)
0.085,(2.2631802903359284-1.834377568058091j),(2.2694955724083994-1.8374216529433707j),0.0032003062196399815,(-0.006315282072471007+0.003044084885279741j)
0.08600000000000001,(2.2423839830864223-1.8386554894736409j),(2.2457043446899476-1.8376318532789107j),0.0017784790113941603,(-0.0033203616035253347-0.0010236361947302264j)
0.08700000000000001,(2.221732521647629-1.842661542017925j),(2.214243006571479-1.8408016851695252j),0.0037809614619799046,(0.007489515076149811-0.0018598568483998434j)
0.088,(2.2012284017150625-1.8464019145122317j),(2.2052642322977283-1.846454744236503j),0.002939522218874242,(-0.004035830582665767+5.282972427123056e-05j)
