f_range,G_0,G,var,bias
0.0,(3.7169833602024327-0.3503174285378241j),(3.515615794469303-0.036879189946629636j),8.297643088355922e-05,(0.20136756573312953-0.31343823859119446j)
0.01,(3.621331989105082-0.6826049983909342j),(3.400170488055748-0.5346715939384962j),4.2637331627932796e-05,(0.22116150104933396-0.14793340445243808j)
0.02,(3.4724029297719357-0.9817987981027669j),(3.2749416002438307-0.9516800212190833j),2.7327428251745065e-05,(0.1974613295281049-0.030118776883683585j)
0.03,(3.2833611504795948-1.2377979923314595j),(3.139929131033599-1.2879044717883534j),2.106793228513152e-05,(0.1434320194459957+0.05010647945689395j)
0.04,(3.0685737890883007-1.4460313309197002j),(2.995133080425045-1.5433449456463375j),6.437059754041716e-06,(0.0734407086632558+0.09731361472663735j)
0.05,(2.841393026216591-1.606769902282197j),(2.7938177554461525-1.6513340406235577j),2.9485111960533383e-06,(0.04757527077043866+0.04456413834136064j)
0.06,(2.612786040809993-1.7237449805542338j),(2.5846364219650146-1.7462624310941277j),1.3404778829765243e-06,(0.028149618844978352+0.022517450539893957j)
0.07,(2.390835695723726-1.8026476458302163j),(2.374107226070823-1.813727310572903j),1.5098880866880782e-06,(0.016728469652902866+0.011079664742686735j)
0.08,(2.180873936884638-1.849882735401002j),(2.1708245124289505-1.8553598726834772j),1.1256093911634142e-06,(0.010049424455687461+0.005477137282475342j)
0.09,(1.9859507004152042-1.871714439244773j),(1.9799644448862017-1.8742517127029044j),1.1856556714081673e-06,(0.005986255529002449+0.0025372734581312617j)
0.1,(1.8074031935107289-1.8737811162866527j),(1.8036983081197204-1.8746257108935211j),1.1095431696130036e-06,(0.003704885391008439+0.0008445946068684762j)
0.11,(1.6453858094165104-1.86088750962617j),(1.6429991373323087-1.8611759032918502j),1.2632720263935033e-06,(0.0023866720842016242+0.00028839366568012004j)
0.12,(1.4993002289619548-1.8369743280846251j),(1.4976713717248435-1.8371254300551678j),1.0880776769105436e-06,(0.0016288572371112586+0.0001511019705426886j)
0.13,(1.368114717342158-1.8051848410134852j),(1.3670542064896936-1.8055118822589011j),1.1971157068918998e-06,(0.0010605108524643914+0.0003270412454159377j)
0.14,(1.2505857363325064-1.767973932875873j),(1.2499789642785626-1.768168858875796j),1.3720802324419511e-06,(0.0006067720539437715+0.0001949259999229902j)
0.15,(1.1454029992502197-1.7272270309652193j),(1.1450003259051758-1.727435298936901j),1.3221104595565052e-06,(0.0004026733450439579+0.0002082679716817193j)
0.16,(1.05127882884355-1.684371821240384j),(1.0510469705781478-1.684553552655303j),1.401975846551892e-06,(0.0002318582654021739+0.00018173141491906186j)
0.17,(0.96699911961129-1.6404753583072582j),(0.9669157332521502-1.6406204970235418j),1.4818058586446984e-06,(8.33863591398476e-05+0.00014513871628363262j)
0.18,(0.891448978231932-1.5963246498062325j),(0.8914722728178452-1.5964274769734228j),1.5443689984293942e-06,(-2.3294585913213872e-05+0.00010282716719034468j)
0.19,(0.8236223527800214-1.5524915596956346j),(0.8235538204709922-1.5526409999863275j),1.7961659723859276e-06,(6.853230902914564e-05+0.00014944029069297038j)
0.2,(0.7626220063166317-1.5093840462814503j),(0.7624802168573491-1.5095816128267314j),2.1509690994296774e-06,(0.0001417894592825597+0.00019756654528113593j)
0.21,(0.7076540286253036-1.4672860604242333j),(0.707492604673772-1.4675558448529444j),2.3772763912531935e-06,(0.00016142395153162514+0.0002697844287111728j)
0.22,(0.6580195694623413-1.4263883172854352j),(0.6578683552440825-1.426692259499603j),2.2127159220089353e-06,(0.00015121421825881054+0.0003039422141677406j)
0.23,(0.6131054556270443-1.3868118685970967j),(0.612961650028862-1.3870507184901215j),2.1316270468420436e-06,(0.00014380559818227834+0.0002388498930248062j)
0.24,(0.5723746816484291-1.3486260712256268j),(0.5722890064361729-1.3487593661884836j),2.1996144992849515e-06,(8.567521225621988e-05+0.0001332949628567448j)
0.25,(0.53535733104205-1.311862233432772j),(0.5352729011185782-1.3119054205023206j),2.4489624959608163e-06,(8.442992347179601e-05+4.3187069548533685e-05j)
0.26,(0.5016422128987947-1.276523947526438j),(0.5014931900066479-1.2765341539846982j),2.8204593546744967e-06,(0.00014902289214679953+1.020645826010913e-05j)
