f_range,G_0,G,var,bias
0.0,(3.7496669304368475-0.03533977824620698j),(3.74976455567221-0.03546617107392999j),2.5734162614903743e-06,(-9.762523536238632e-05+0.00012639282772301114j)
0.001,(3.7486680766458904-0.07066072854202388j),(3.7487992303928395-0.07033083901137657j),2.329346015155605e-06,(-0.00013115374694905313-0.00032988953064730375j)
0.002,(3.747004502377668-0.10594405635873805j),(3.7469148156298258-0.10597735566761579j),1.9087004134541703e-06,(8.96867478421548e-05+3.329930887774335e-05j)
0.003,(3.744677977404511-0.141171033886482j),(3.7447386737731283-0.1410738814411846j),1.9656540194218227e-06,(-6.069636861738559e-05-9.71524452973993e-05j)
0.004,(3.741690972819108-0.17632303308317637j),(3.7417312333366386-0.17624401651264418j),2.4058965838181895e-06,(-4.02605175304771e-05-7.901657053219213e-05j)
0.005,(3.7380466544851236-0.21138155835311465j),(3.738072683745887-0.21139572358209904j),3.3026817610716534e-06,(-2.6029260763227313e-05+1.4165228984397427e-05j)
0.006,(3.7337488746722225-0.24632827873540764j),(3.733888438373072-0.24631330209170188j),4.715412476498414e-06,(-0.00013956370084944325-1.4976643705755244e-05j)
0.007,(3.728802161916646-0.28114505948560986j),(3.7285610322216853-0.2809215679895098j),6.715993744182367e-06,(0.00024112969496048464-0.00022349149610007002j)
0.008,(3.7232117091569275-0.3158139929376663j),(3.7231693805541277-0.31576516057085235j),6.8473735042613345e-06,(4.232860279973494e-05-4.883236681396674e-05j)
0.009000000000000001,(3.7169833602024327-0.3503174285378241j),(3.7168399704460455-0.35003432379466637j),5.60281746939583e-06,(0.0001433897563871689-0.00028310474315773604j)
0.01,(3.7101235946001005-0.3846380019472924j),(3.709740663460714-0.3846993679367908j),7.033248012832727e-06,(0.0003829311393865886+6.136598949840755e-05j)
0.011,(3.702639510971777-0.41875866311616866j),(3.7022724197424397-0.41830445746318345j),6.764912387635813e-06,(0.00036709122933720195-0.00045420565298520676j)
0.012,(3.6945388089012545-0.4526627032374162j),(3.69461856345329-0.45251334063672033j),7.98151548311168e-06,(-7.975455203546034e-05-0.00014936260069586815j)
0.013000000000000001,(3.6858297694559945-0.48633378049643156j),(3.6855356532832224-0.4862877141679174j),7.209349842118664e-06,(0.00029411617277208535-4.6066328514171584e-05j)
0.014,(3.6765212344339626-0.5197559445389076j),(3.676492108554818-0.5195695321810265j),8.630854767577738e-06,(2.9125879144498157e-05-0.0001864123578810828j)
0.015,(3.666622584430625-0.5529136595872163j),(3.666395975707729-0.5525969760887869j),1.0490611569663954e-05,(0.00022660872289614886-0.00031668349842939314j)
0.016,(3.6561437158252104-0.5857918261433536j),(3.655993627117443-0.5855182839116178j),1.0650381848364712e-05,(0.00015008870776744843-0.0002735422317358127j)
0.017,(3.6450950167886296-0.6183758012245161j),(3.6450517276435725-0.6185617844959649j),1.2928276823032257e-05,(4.328914505702386e-05+0.00018598327144880855j)
0.018000000000000002,(3.6334873424180625-0.6506514170855691j),(3.6335610942356253-0.6505141406625223j),1.1854136672375735e-05,(-7.375181756286153e-05-0.00013727642304672827j)
0.019,(3.621331989105082-0.6826049983909342j),(3.621278386427771-0.6824783879656562j),1.1870117967612244e-05,(5.3602677311026525e-05-0.000126610425278062j)
0.02,(3.6086406682453998-0.714223377806722j),(3.608477771345982-0.7140121037445166j),1.204834101161938e-05,(0.00016289689941784147-0.0002112740622053355j)
0.021,(3.595425479398794-0.7454939099921816j),(3.595189191801228-0.7455600973892902j),1.5913057039672635e-05,(0.00023628759756588735+6.61873971086191e-05j)
0.022,(3.581698883007584-0.7764044839776902j),(3.581833797777126-0.7762172408192375j),1.4655008738800744e-05,(-0.00013491476954197168-0.00018724315845275452j)
0.023,(3.567473672781198-0.8069435339244774j),(3.56797692396629-0.8067196083059924j),1.4446088958301116e-05,(-0.0005032511850919796-0.00022392561848494363j)
0.024,(3.5527629478528726-0.8371000482690453j),(3.552559001662516-0.8372978579598706j),1.706568853538656e-05,(0.00020394619035668526+0.0001978096908252791j)
0.025,(3.5375800848125296-0.8668635772627428j),(3.537780847347743-0.8669273408316098j),1.6735013711112556e-05,(-0.00020076253521317255+6.376356886705903e-05j)
0.026000000000000002,(3.521938709717177-0.8962242389241207j),(3.5213060973422388-0.8958623654568632j),1.632507388053102e-05,(0.0006326123749382795-0.0003618734672575785j)
0.027,(3.5058526701771258-0.9251727234285161j),(3.5052402076609086-0.9250995626847519j),2.1179939554227586e-05,(0.0006124625162171604-7.316074376417792e-05j)
0.028,(3.4893360076126823-0.9537002959657439j),(3.4893411734488615-0.9539615048324217j),1.6176545219579634e-05,(-5.165836179266137e-06+0.00026120886667779786j)
0.029,(3.4724029297719357-0.9817987981027669j),(3.4720460497111816-0.9816103301854702j),1.5891134387840805e-05,(0.0003568800607540723-0.00018846791729676404j)
0.03,(3.4550677835959047-1.009460647693769j),(3.454828239898402-1.0095997919242705j),1.9688750687569854e-05,(0.00023954369750267546+0.0001391442305014312j)
0.031,(3.437345028512533-1.036678837385124j),(3.437438537632335-1.0361911360345049j),2.0020091059683924e-05,(-9.350911980199328e-05-0.00048770135061904085j)
0.032,(3.4192492102360315-1.0634469317673516j),(3.4193963971697907-1.0629250738741114j),1.8921887703600156e-05,(-0.00014718693375925795-0.0005218578932402185j)
0.033,(3.400794935142846-1.089759063230235j),(3.4008952768373324-1.089627210508763j),2.3089978157150183e-05,(-0.00010034169448625008-0.00013185272147198113j)
0.034,(3.3819968452900833-1.1156099265808543j),(3.3821295753932987-1.115730131465609j),2.0995159337385454e-05,(-0.00013273010321546153+0.00012020488475461555j)
