f_range,G_0,G,var,bias
0.0,(3.7496669304368475-0.03533977824620698j),(3.749894899770381-0.03481749757188084j),3.706242876453282e-05,(-0.00022796933353363968-0.0005222806743261435j)
0.001,(3.7486680766458904-0.07066072854202388j),(3.7487058509786846-0.07026336773978643j),1.6900258041844874e-05,(-3.777433279417153e-05-0.0003973608022374425j)
0.002,(3.747004502377668-0.10594405635873805j),(3.7469138173912717-0.10563933070854392j),1.065565907649048e-05,(9.068498639619449e-05-0.00030472565019412645j)
0.003,(3.744677977404511-0.141171033886482j),(3.744518799008142-0.140945386478157j),9.557494853713545e-06,(0.0001591783963688087-0.00022564740832500818j)
0.004,(3.741690972819108-0.17632303308317637j),(3.741520795829296-0.17618153504862388j),3.092116175664622e-05,(0.00017017698981192098-0.00014149803455248966j)
0.005,(3.7380466544851236-0.21138155835311465j),(3.7381142853738734-0.21109251972092571j),1.602532783635814e-05,(-6.763088874972567e-05-0.00028903863218893155j)
0.006,(3.7337488746722225-0.24632827873540764j),(3.7339875662339383-0.24669177437353842j),1.2382259903503764e-05,(-0.0002386915617158536+0.00036349563813078967j)
0.007,(3.728802161916646-0.28114505948560986j),(3.728757246984727-0.2814611969082177j),1.1172923904354502e-05,(4.491493191860485e-05+0.00031613742260783173j)
0.008,(3.7232117091569275-0.3158139929376663j),(3.723302560356061-0.3160878697015242j),1.2021417189996513e-05,(-9.085119913354589e-05+0.0002738767638578721j)
0.009000000000000001,(3.7169833602024327-0.3503174285378241j),(3.7171474404081914-0.35035300484493165j),5.799349282327489e-06,(-0.00016408020575875426+3.5576307107543226e-05j)
0.01,(3.7101235946001005-0.3846380019472924j),(3.710390329330098-0.38464275956357474j),7.376730228354105e-06,(-0.0002667347299976086+4.75761628232485e-06j)
0.011,(3.702639510971777-0.41875866311616866j),(3.7030678092268-0.4186767621456458j),7.298360841647033e-06,(-0.0004282982550232184-8.190097052285239e-05j)
0.012,(3.6945388089012545-0.4526627032374162j),(3.6947571381095505-0.45249392793222426j),7.826126541690808e-06,(-0.00021832920829600866-0.00016877530519193717j)
0.013000000000000001,(3.6858297694559945-0.48633378049643156j),(3.686188011709654-0.486192525614401j),1.0786553354789668e-05,(-0.00035824225365965745-0.00014125488203053926j)
