f_range,G_0,G,var,bias
0.0,(3.7496669304368475-0.03533977824620698j),(3.75006390111912-0.03422956520369416j),2.3241158952370004e-05,(-0.0003969706822726238-0.0011102130425128184j)
0.001,(3.7486680766458904-0.07066072854202388j),(3.7486042503054846-0.07053778109606222j),2.453593025425944e-05,(6.38263404058037e-05-0.00012294744596165474j)
0.002,(3.747004502377668-0.10594405635873805j),(3.7468747197678387-0.10595815411980279j),1.1395866316728762e-05,(0.00012978260982920986+1.4097761064743586e-05j)
0.003,(3.744677977404511-0.141171033886482j),(3.744655642898026-0.1409105289447069j),2.217108910958652e-05,(2.2334506484700256e-05-0.0002605049417750971j)
0.004,(3.741690972819108-0.17632303308317637j),(3.7417889532390127-0.17570617272188158j),4.830564851698275e-05,(-9.79804199046086e-05-0.0006168603612947965j)
0.005,(3.7380466544851236-0.21138155835311465j),(3.738178184484907-0.21054777508375136j),5.251370122393665e-05,(-0.0001315299997832753-0.0008337832693632863j)
0.006,(3.7337488746722225-0.24632827873540764j),(3.733788470480947-0.24552944814405844j),1.5430024680214e-05,(-3.95958087247017e-05-0.0007988305913491922j)
0.007,(3.728802161916646-0.28114505948560986j),(3.72826103167854-0.2808447539091917j),1.3311209211172065e-05,(0.0005411302381057581-0.00030030557641813616j)
0.008,(3.7232117091569275-0.3158139929376663j),(3.7226040751919505-0.31564454156113636j),1.4248222167370919e-05,(0.0006076339649769835-0.000169451376529961j)
0.009000000000000001,(3.7169833602024327-0.3503174285378241j),(3.716299149310317-0.3500767203936975j),9.902165943762523e-06,(0.0006842108921158996-0.00024070814412657793j)
0.01,(3.7101235946001005-0.3846380019472924j),(3.709846996163559-0.38432341696433325j),9.307875996077149e-06,(0.00027659843654159744-0.00031458498295916515j)
0.011,(3.702639510971777-0.41875866311616866j),(3.7023619290334167-0.4188182334620064j),1.4028685622015549e-05,(0.0002775819383602496+5.957034583775611e-05j)
0.012,(3.6945388089012545-0.4526627032374162j),(3.694544918983053-0.4527061959795424j),2.1848319434990515e-05,(-6.110081798293976e-06+4.349274212622767e-05j)
0.013000000000000001,(3.6858297694559945-0.48633378049643156j),(3.6859794527174286-0.48610851828778984j),2.015143451669586e-05,(-0.00014968326143405264-0.00022526220864171886j)
0.014,(3.6765212344339626-0.5197559445389076j),(3.676694649240742-0.5194905652327626j),1.4350167515872482e-05,(-0.0001734148067793484-0.00026537930614500826j)
0.015,(3.666622584430625-0.5529136595872163j),(3.666678058702521-0.5528683636154659j),1.4551386256410452e-05,(-5.5474271896116534e-05-4.529597175040312e-05j)
0.016,(3.6561437158252104-0.5857918261433536j),(3.6563720541464817-0.5857977363535635j),1.1774994724787225e-05,(-0.00022833832127133746+5.9102102099029e-06j)
0.017,(3.6450950167886296-0.6183758012245161j),(3.644834687938327-0.6183654496155836j),1.4056923281740557e-05,(0.00026032885030247144-1.035160893247955e-05j)
0.018000000000000002,(3.6334873424180625-0.6506514170855691j),(3.633510410596313-0.6502122809434007j),9.933997681748075e-06,(-2.306817825070695e-05-0.0004391361421683948j)
0.019,(3.621331989105082-0.6826049983909342j),(3.621407740067844-0.6824148971814512j),8.937180339918384e-06,(-7.575096276202231e-05-0.0001901012094830401j)
0.02,(3.6086406682453998-0.714223377806722j),(3.608669208747624-0.7139609646946853j),1.1397383220682858e-05,(-2.8540502224227993e-05-0.0002624131120366746j)
0.021,(3.595425479398794-0.7454939099921816j),(3.5953509962432686-0.7451758260872626j),1.1623510808759993e-05,(7.448315552549545e-05-0.0003180839049189421j)
0.022,(3.581698883007584-0.7764044839776902j),(3.5816435232765276-0.7763155846461723j),1.0468962195673647e-05,(5.535973105663672e-05-8.889933151789986e-05j)
0.023,(3.567473672781198-0.8069435339244774j),(3.567216039225637-0.8073028942235706j),1.1401855911440455e-05,(0.00025763355556085443+0.0003593602990932254j)
0.024,(3.5527629478528726-0.8371000482690453j),(3.552414432099309-0.8373610677430939j),1.8432829153302596e-05,(0.0003485157535636496+0.00026101947404866266j)
0.025,(3.5375800848125296-0.8668635772627428j),(3.5373295358681007-0.8669039075394227j),1.029819186264619e-05,(0.00025054894442888553+4.033027667993405e-05j)
0.026000000000000002,(3.521938709717177-0.8962242389241207j),(3.5218179048622797-0.8960633735379557j),1.310864545739589e-05,(0.00012080485489729398-0.0001608653861649989j)
0.027,(3.5058526701771258-0.9251727234285161j),(3.505836436887082-0.924943263202138j),1.8968851448216937e-05,(1.623329004374341e-05-0.0002294602263780421j)
0.028,(3.4893360076126823-0.9537002959657439j),(3.489404508996249-0.9533559128200259j),1.4740721194926822e-05,(-6.850138356684354e-05-0.0003443831457180524j)
0.029,(3.4724029297719357-0.9817987981027669j),(3.472696956159069-0.9816879638171752j),1.2239255521920697e-05,(-0.00029402638713316165-0.00011083428559177655j)
0.03,(3.4550677835959047-1.009460647693769j),(3.4551844847581856-1.0093687255164765j),8.183398099663003e-06,(-0.00011670116228090777-9.192217729259156e-05j)
