f_range,G_0,G,var,bias
0.0,(3.7494796048067434-0.044172515929671106j),(3.74980341660434-0.04380244364673274j),2.3830816234868693e-05,(-0.00032381179759655154-0.00037007228293836625j)
0.00125,(3.7479192854620473-0.08830826770091307j),(3.748403332818774-0.08814928358623834j),2.7447110017645723e-05,(-0.0004840473567266912-0.00015898411467472895j)
0.0025,(3.7453216370688605-0.13237059307889734j),(3.745774684565326-0.1328628449690256j),2.246324643782873e-05,(-0.0004530474964656861+0.000492251890128248j)
0.00375,(3.741690972819108-0.17632303308317637j),(3.7409174376260643-0.17686482125147318j),1.947130716424729e-05,(0.000773535193043795+0.0005417881682968084j)
0.005,(3.7370333061216394-0.22012943213872724j),(3.7368416358237146-0.22046722889597195j),1.9770635730694408e-05,(0.00019167029792477308+0.0003377967572447127j)
0.00625,(3.7313563257749567-0.26375403647205914j),(3.731537193089468-0.26426967895139863j),2.120218000558748e-05,(-0.00018086731451116833+0.0005156424793394954j)
0.0075,(3.724669364375472-0.30716159019454j),(3.7252757710048336-0.30694330326250485j),2.5179101194208382e-05,(-0.0006064066293616222-0.00021828693203512772j)
0.00875,(3.7169833602024327-0.3503174285378241j),(3.7165508730058363-0.3503434979004949j),2.2353193662972016e-05,(0.00043248719659638724+2.6069362670799734e-05j)
0.01,(3.708310812868184-0.393187567734032j),(3.707919421041515-0.3937812989825807j),2.1061156476414234e-05,(0.0003913918266689187+0.0005937312485486679j)
0.01125,(3.698665733066395-0.43573879106571345j),(3.6986945342988675-0.4360688082884332j),2.1327271976069535e-05,(-2.8801232472730476e-05+0.0003300172227197473j)
0.0125,(3.6880635867909777-0.4779387306471757j),(3.687721667111051-0.4781614241612799j),2.4296847016932523e-05,(0.00034191967992658334+0.00022269351410419969j)
0.01375,(3.6765212344339626-0.5197559445389076j),(3.675970032647253-0.51974080063612j),1.8763022304153336e-05,(0.0005512017867097541-1.5143902787562169e-05j)
0.015,(3.664056865201611-0.5611599888400657j),(3.664110025637049-0.561240089835639j),2.2647788879845422e-05,(-5.316043543812654e-05+8.010099557331785e-05j)
