f_range,G_0,G,var,bias
0.0,(3.7496669304368475-0.03533977824620698j),(3.7497760414781602-0.035305266775558j),1.8220561106697474e-05,(-0.00010911104131272609-3.451147064897908e-05j)
0.001,(3.7486680766458904-0.07066072854202388j),(3.7494053915999634-0.0702854352148489j),2.602312018654895e-05,(-0.0007373149540730317-0.0003752933271749803j)
0.002,(3.747004502377668-0.10594405635873805j),(3.7470179406372925-0.10587861601293216j),1.5724439946282666e-05,(-1.3438259624631854e-05-6.544034580588387e-05j)
0.003,(3.744677977404511-0.141171033886482j),(3.7446461666874407-0.14096237622193436j),1.5077257920042774e-05,(3.181071707025751e-05-0.00020865766454764012j)
0.004,(3.741690972819108-0.17632303308317637j),(3.74125695786797-0.1763374032341006j),2.4968066592423442e-05,(0.00043401495113792876+1.4370150924231107e-05j)
0.005,(3.7380466544851236-0.21138155835311465j),(3.7381363293741767-0.21041812081550196j),2.7774487936214537e-05,(-8.967488905309295e-05-0.000963437537612688j)
0.006,(3.7337488746722225-0.24632827873540764j),(3.734205752466008-0.24678518753846587j),3.112124857721749e-05,(-0.00045687779378544846+0.0004569088030582369j)
0.007,(3.728802161916646-0.28114505948560986j),(3.7284378825566358-0.28070452983701716j),3.758948946939704e-05,(0.0003642793600100447-0.0004405296485927024j)
0.008,(3.7232117091569275-0.3158139929376663j),(3.722918051569914-0.3158128940861954j),1.4829752030583929e-05,(0.00029365758701338507-1.0988514709264763e-06j)
0.009000000000000001,(3.7169833602024327-0.3503174285378241j),(3.717325172910623-0.35046620331454575j),4.107321929931058e-05,(-0.0003418127081902256+0.00014877477672164963j)
0.01,(3.7101235946001005-0.3846380019472924j),(3.7101199903345323-0.38437223455775554j),1.9134089444020187e-05,(3.604265568224463e-06-0.00026576738953687506j)
0.011,(3.702639510971777-0.41875866311616866j),(3.7023583616258398-0.4183365775642539j),1.5918843946163603e-05,(0.00028114934593714835-0.0004220855519147526j)
0.012,(3.6945388089012545-0.4526627032374162j),(3.695009023909869-0.4526516595354545j),3.20678099296857e-05,(-0.00047021500861443855-1.1043701961699348e-05j)
0.013000000000000001,(3.6858297694559945-0.48633378049643156j),(3.686348567004253-0.48641616767446794j),2.5054363955061172e-05,(-0.0005187975482585649+8.238717803638052e-05j)
0.014,(3.6765212344339626-0.5197559445389076j),(3.676377706948886-0.519907553039546j),2.675074529847726e-05,(0.00014352748507651114+0.0001516085006384449j)
0.015,(3.666622584430625-0.5529136595872163j),(3.6668085129498103-0.5528781263728602j),2.1763198620323908e-05,(-0.0001859285191851967-3.5533214356120446e-05j)
0.016,(3.6561437158252104-0.5857918261433536j),(3.6565959438103737-0.5859910284652841j),2.1636098946933967e-05,(-0.00045222798516331153+0.0001992023219304917j)
