f_range,G_0,G,var,bias
0.0,(3.7479192854620473-0.08830826770091307j),(3.7480195000841654-0.08830980482821552j),2.3320626063241474e-06,(-0.00010021462211806664+1.537127302442265e-06j)
0.0025,(3.741690972819108-0.17632303308317637j),(3.74174494332394-0.176222780047319j),1.932308531538872e-06,(-5.397050483191279e-05-0.00010025303585736722j)
0.005,(3.7313563257749567-0.26375403647205914j),(3.7313370139221487-0.26379901530103866j),1.8081928717055219e-06,(1.931185280801273e-05+4.497882897952499e-05j)
0.0075,(3.7169833602024327-0.3503174285378241j),(3.717072372638369-0.35027048429847873j),2.152648498573808e-06,(-8.90124359362865e-05-4.6944239345370065e-05j)
0.01,(3.698665733066395-0.43573879106571345j),(3.698849922163027-0.4356481393460018j),2.6053672554654404e-06,(-0.00018418909663209249-9.065171971167629e-05j)
0.0125,(3.6765212344339626-0.5197559445389076j),(3.6764478934236933-0.5194415742942071j),3.6674233785109393e-06,(7.334101026934547e-05-0.00031437024470049035j)
0.015,(3.6506899273139326-0.6021214844496448j),(3.650868838637907-0.6021312090201174j),4.0516513933287935e-06,(-0.0001789113239745177+9.724570472657845e-06j)
0.0175,(3.621331989105082-0.6826049983909342j),(3.621161200278928-0.682464068012162j),4.06234994296889e-06,(0.00017078882615395585-0.00014093037877227488j)
0.02,(3.5886253150249416-0.7609949275163884j),(3.5882873527521006-0.7608127176367381j),4.2668015623592655e-06,(0.000337962272840997-0.0001822098796503413j)
0.0225,(3.5527629478528726-0.8371000482690453j),(3.5527304909692856-0.8370776174863693j),5.002822862156515e-06,(3.245688358699539e-05-2.2430782675941785e-05j)
0.025,(3.5139503996328445-0.9107505627466507j),(3.513642757461547-0.9107852145003895j),6.369962048465311e-06,(0.00030764217129730653+3.465175373884577e-05j)
0.0275,(3.4724029297719357-0.9817987981027669j),(3.4723241730443783-0.9816704944354873j),6.8789918687488e-06,(7.875672755730534e-05-0.00012830366727967224j)
0.03,(3.4283428405006244-1.0501195264661327j),(3.4280269149843514-1.0499979178261134j),6.088927480810606e-06,(0.000315925516273019-0.0001216086400193106j)
0.0325,(3.3819968452900833-1.1156099265808543j),(3.3816800164151597-1.1156089995720557j),8.006291440159333e-06,(0.00031682887492356926-9.270087986124054e-07j)
0.035,(3.3335935589764825-1.178189216430162j),(3.3334376909401238-1.1783123843872019j),6.896997759586975e-06,(0.00015586803635869728+0.0001231679570399269j)
0.0375,(3.2833611504795948-1.2377979923314595j),(3.283811352881965-1.2376982086222146j),8.134134353396268e-06,(-0.0004502024023702589-9.978370924490498e-05j)
0.04,(3.2315251905783313-1.2943973143229333j),(3.2315262338472053-1.2947863729800724j),9.820676908854072e-06,(-1.043268873957004e-06+0.0003890586571391186j)
0.0425,(3.1783067186446274-1.3479675801501212j),(3.1782049006613593-1.347868863538588j),9.322651079565775e-06,(0.00010181798326813762-9.871661153315614e-05j)
0.045,(3.123920543913432-1.3985072309398248j),(3.1239546840683845-1.3986104642856203j),1.2244475708465466e-05,(-3.414015495240008e-05+0.00010323334579553922j)
0.0475,(3.0685737890883007-1.4460313309197002j),(3.0682031835898473-1.4462041920394335j),1.0102524946383125e-05,(0.000370605498453358+0.0001728611197333585j)
0.05,(3.0124646770837455-1.4905700615491946j),(3.0125320584268342-1.4906763808364862j),1.2415804690694912e-05,(-6.738134308870158e-05+0.0001063192872916563j)
0.0525,(2.955781555646475-1.5321671674378043j),(2.9556241484239605-1.5322642858387214j),1.3032393903470627e-05,(0.00015740722251456063+9.711840091708446e-05j)
0.055,(2.898702149566972-1.5708783877092334j),(2.898661826062199-1.5714232094827034j),1.1861039162936197e-05,(4.0323504773009944e-05+0.0005448217734700389j)
0.0575,(2.841393026216591-1.606769902282197j),(2.841067424721405-1.6067113616017312j),1.618425841871374e-05,(0.00032560149518623405-5.854068046584615e-05j)
0.06,(2.7840092571970665-1.6399168181130523j),(2.7834993366406184-1.6396190907438777j),1.5379959391898234e-05,(0.0005099205564480513-0.0002977273691746607j)
0.0625,(2.7266942569019488-1.6704017159833855j),(2.7271176261308665-1.6704069646584128j),1.3796349680082512e-05,(-0.0004233692289177249+5.248675027269556e-06j)
0.065,(2.6695797776665775-1.6983132740820612j),(2.669660519881126-1.6980973752669335j),1.6689223023766104e-05,(-8.074221454856811e-05-0.00021589881512773523j)
0.0675,(2.612786040809993-1.7237449805542338j),(2.612902012864777-1.7237892914647799j),1.682896335379218e-05,(-0.00011597205478386385+4.4310910546130344e-05j)
0.07,(2.5564219831252837-1.7467939434614503j),(2.556802911847936-1.746407638107173j),1.5549684746229698e-05,(-0.000380928722652385-0.0003863053542774164j)
0.0725,(2.500585599129832-1.76755980327721j),(2.5004927177338105-1.7674429959014775j),1.43868298237772e-05,(9.288139602148249e-05-0.00011680737573249722j)
0.075,(2.4453643605247146-1.7861437501621285j),(2.4448791812611437-1.7860679641896962j),1.5596829366487204e-05,(0.0004851792635709451-7.578597243229623e-05j)
0.0775,(2.390835695723726-1.8026476458302163j),(2.3909124413759666-1.8029550626698714j),1.9312398704925108e-05,(-7.67456522408061e-05+0.0003074168396550725j)
0.08,(2.337067513900161-1.8171732478214966j),(2.3366973522553667-1.8170703829293775j),1.92379126942318e-05,(0.000370161644794198-0.00010286489211908112j)
0.0825,(2.2841187596807724-1.8298215324116356j),(2.283904131287947-1.8296594225429086j),2.0901935851295122e-05,(0.00021462839282548885-0.00016210986872700062j)
0.085,(2.2320399863225515-1.8406921111817676j),(2.2321065252304364-1.8407421952192184j),2.1038846484406127e-05,(-6.653890788488326e-05+5.0084037450881524e-05j)
0.08750000000000001,(2.180873936884638-1.849882735401002j),(2.1805613526528833-1.8495056822846005j),2.0652616779903472e-05,(0.00031258423175462013-0.0003770531164013491j)
0.09,(2.1306561245131914-1.8574888817968456j),(2.130336800783124-1.857575567354667j),2.076471852225427e-05,(0.0003193237300673779+8.668555782143095e-05j)
0.0925,(2.0814154044612097-1.8636034129613295j),(2.0812118361211778-1.8634418790009875j),1.876221885594016e-05,(0.00020356834003187885-0.0001615339603420196j)
0.095,(2.0331745318482732-1.868316305520717j),(2.0329705435414804-1.8679755862381213j),2.133375055307693e-05,(0.00020398830679280167-0.00034071928259571393j)
0.0975,(1.9859507004152042-1.871714439244773j),(1.9856585528091542-1.8718647131841712j),2.303433847910957e-05,(0.00029214760605000833+0.00015027393939814893j)
0.1,(1.939756058640957-1.8738814404516875j),(1.9396280022549477-1.873440820154013j),2.2093413916600668e-05,(0.00012805638600932312-0.00044062029767455435j)
