f_range,G_0,G,var,bias
0.0,(3.7486680766458904-0.07066072854202388j),(3.7490354386245386-0.07122873564489803j),7.064371474813208e-06,(-0.000367361978648173+0.000568007102874149j)
0.002,(3.744677977404511-0.141171033886482j),(3.744732007215376-0.1415159850788854j),9.303952928920064e-06,(-5.402981086488623e-05+0.00034495119240340877j)
0.004,(3.7380466544851236-0.21138155835311465j),(3.737952206945187-0.2114583034242855j),5.90886765423135e-06,(9.444753993648192e-05+7.674507117086393e-05j)
0.006,(3.728802161916646-0.28114505948560986j),(3.7286294000237827-0.28117378252657743j),7.753793788544603e-06,(0.00017276189286308252+2.8723040967570945e-05j)
0.008,(3.7169833602024327-0.3503174285378241j),(3.7170153643333346-0.35021631363306993j),1.150377748684664e-05,(-3.2004130901874817e-05-0.00010111490475417373j)
0.01,(3.702639510971777-0.41875866311616866j),(3.703073863394667-0.41865872599527204j),1.0849564881297351e-05,(-0.00043435242289024956-9.993712089662043e-05j)
0.012,(3.6858297694559945-0.48633378049643156j),(3.6863072234006125-0.4862870517902762j),8.869320898072615e-06,(-0.000477453944617956-4.6728706155352295e-05j)
0.014,(3.666622584430625-0.5529136595872163j),(3.6669312185412988-0.5529797637918845j),8.699484006128656e-06,(-0.00030863411067372226+6.610420466823808e-05j)
0.016,(3.6450950167886296-0.6183758012245161j),(3.6451166068266545-0.6182715805866642j),6.510839366389921e-06,(-2.1590038024932312e-05-0.00010422063785187063j)
0.018000000000000002,(3.621331989105082-0.6826049983909342j),(3.621252282072799-0.682562433197875j),8.565957558761535e-06,(7.9707032282883e-05-4.256519305922968e-05j)
0.02,(3.595425479398794-0.7454939099921816j),(3.595198354292666-0.7455045633442275j),8.054324146205e-06,(0.00022712510612787895+1.0653352045975062e-05j)
0.022,(3.567473672781198-0.8069435339244774j),(3.5672311221541038-0.8070410102562058j),8.032730303783088e-06,(0.00024255062709421793+9.747633172840775e-05j)
0.024,(3.5375800848125296-0.8668635772627428j),(3.537263855381586-0.8670044933492269j),7.1070891593386745e-06,(0.00031622943094378186+0.0001409160864841441j)
0.026000000000000002,(3.5058526701771258-0.9251727234285161j),(3.5055643329986412-0.9252593056187033j),6.082668640732975e-06,(0.00028833717848453233+8.658219018720104e-05j)
0.028,(3.4724029297719357-0.9817987981027669j),(3.472150560517519-0.9819659994465717j),8.85679683581018e-06,(0.0002523692544165179+0.00016720134380476814j)
0.03,(3.437345028512533-1.036678837385124j),(3.437375150961047-1.0369696919436961j),8.825405856382679e-06,(-3.0122448514191547e-05+0.00029085455857225107j)
0.032,(3.400794935142846-1.089759063230235j),(3.400852661069641-1.09016471561376j),7.3528351328259275e-06,(-5.7725926794649496e-05+0.00040565238352496813j)
0.034,(3.3628695941366793-1.1409947724873903j),(3.362901580647312-1.1411936223094572j),8.702740871444128e-06,(-3.198651063263114e-05+0.00019884982206685997j)
0.036000000000000004,(3.323686138450748-1.190350146915041j),(3.323472349727879-1.1902574107994341j),7.823518013442037e-06,(0.00021378872286925699-9.27361156068951e-05j)
0.038,(3.2833611504795948-1.2377979923314595j),(3.2832445621324577-1.2373995487068143j),6.5481255886608925e-06,(0.00011658834713701438-0.0003984436246451395j)
0.04,(3.2420099771195123-1.2833194155999177j),(3.241968745910306-1.283306700598675j),6.6553360995802966e-06,(4.1231209206404884e-05-1.2715001242780133e-05j)
0.042,(3.1997461034141392-1.326903448442672j),(3.199513768739681-1.3269822442721022j),5.99060994720642e-06,(0.00023233467445837874+7.879582943015606e-05j)
0.044,(3.156680587866605-1.3685466271508306j),(3.156335868714175-1.3685982429660102j),7.835231853773897e-06,(0.00034471915242972884+5.161581517953984e-05j)
0.046,(3.1129215611933265-1.4082525371298562j),(3.1126391796484274-1.4081822563046231j),8.15698047624547e-06,(0.00028238154489912404-7.028082523308221e-05j)
0.048,(3.0685737890883007-1.4460313309197002j),(3.068306686114466-1.4461856669197917j),8.645760673779217e-06,(0.00026710297383480963+0.00015433600009151505j)
0.05,(3.02373829848235-1.4818992278828795j),(3.0233015578446003-1.481610806097029j),7.513980578963383e-06,(0.00043674063774989946-0.00028842178585053446j)
0.052000000000000005,(2.9785120658319126-1.5158780031926673j),(2.978190298996028-1.5155694714154535j),5.9561931785478764e-06,(0.0003217668358845849-0.0003085317772137941j)
0.054,(2.9329877651629688-1.5479944731055948j),(2.9328623794292428-1.547742778467786j),6.912208728641978e-06,(0.00012538573372600226-0.0002516946378088303j)
0.056,(2.8872535729292514-1.5782799827951834j),(2.886963774522789-1.5782408519131637j),6.276115555670492e-06,(0.0002897984064622605-3.913088201978887e-05j)
0.058,(2.841393026216591-1.606769902282197j),(2.8410964438084068-1.6065368126329072j),5.962016562295553e-06,(0.0002965824081844204-0.00023308964928991927j)
0.06,(2.7954849304309164-1.6335031352432696j),(2.7951872876341968-1.633453736671707j),5.533709407517485e-06,(0.00029764279671962157-4.939857156260885e-05j)
0.062,(2.7496033123362618-1.658521644733779j),(2.749314085909384-1.658268035342362j),6.2156968359762174e-06,(0.00028922642687767564-0.0002536093914169424j)
0.064,(2.703817414149908-1.6818699991384178j),(2.7036248277323867-1.6817544014535937j),8.270771194678435e-06,(0.00019258641752140093-0.00011559768482416466j)
0.066,(2.658191724341662-1.7035949409770903j),(2.658219387188924-1.7037134293668723j),1.1060262037174466e-05,(-2.7662847261744616e-05+0.00011848838978201215j)
0.068,(2.612786040809993-1.7237449805542338j),(2.612844662768913-1.7240253951135944j),8.455914909726599e-06,(-5.862195892003541e-05+0.0002804145593606755j)
0.07,(2.5676555622055908-1.7423700158535955j),(2.56748327858483-1.7423341328006043j),8.922192847960837e-06,(0.0001722836207607159-3.588305299118133e-05j)
0.07200000000000001,(2.522851003329973-1.7595209795522044j),(2.522814323932704-1.7593800080828408j),9.996298098350438e-06,(3.667939726881286e-05-0.0001409714693636488j)
0.074,(2.4784187307404-1.7752495135590505j),(2.47845123448227-1.7752077495121952j),6.405354715877585e-06,(-3.2503741869582825e-05-4.176404685529711e-05j)
0.076,(2.4344009149310377-1.7896076710760707j),(2.4343942360226967-1.789699580031435j),6.882261093954089e-06,(6.678908341051226e-06+9.19089553643726e-05j)
0.078,(2.390835695723726-1.8026476458302163j),(2.390539928296479-1.802622930171991j),6.734561154450812e-06,(0.0002957674272465738-2.4715658225371584e-05j)
0.08,(2.347757357780464-1.8144215278331646j),(2.347478994128151-1.8143278253862114j),6.897007534746369e-06,(0.0002783636523129296-9.370244695316998e-05j)
0.082,(2.305196513436008-1.824981084786225j),(2.305004608593639-1.8246534305012256j),6.713818931320131e-06,(0.0001919048423690839-0.00032765428499925697j)
0.084,(2.2631802903359284-1.834377568058091j),(2.263094967835501-1.8341706754723015j),7.067741327273583e-06,(8.532250042758704e-05-0.00020689258578943104j)
0.08600000000000001,(2.221732521647629-1.842661542017925j),(2.2215545211955687-1.8427441067559307j),7.3490852981591654e-06,(0.00017800045206017856+8.256473800560826e-05j)
0.088,(2.180873936884638-1.849882735401002j),(2.1807430371374337-1.8497993382659181j),6.449752817429127e-06,(0.00013089974720426056-8.339713508376256e-05j)
0.09,(2.1406223516446685-1.8560899133142112j),(2.140563477863128-1.85558337730479j),5.678816668853878e-06,(5.8873781540569325e-05-0.0005065360094211879j)
0.092,(2.100992854806752-1.8613307684493625j),(2.1009625608284175-1.8609872022961187j),5.715425379842553e-06,(3.0293978334317018e-05-0.0003435661532438239j)
0.094,(2.0619979919606815-1.8656518300590474j),(2.061756979602183-1.8657155675285413j),6.937195425115256e-06,(0.00024101235849860458+6.373746949384085e-05j)
0.096,(2.023647944051766-1.8690983892586237j),(2.023320475785553-1.8690223699404553j),8.770816363852355e-06,(0.0003274682662128825-7.601931816836327e-05j)
0.098,(1.9859507004152042-1.871714439244773j),(1.9858052322996118-1.8712753605261168j),6.875597843393114e-06,(0.00014546811559235096-0.0004390787186563383j)
0.1,(1.948912225547015-1.8735426290625703j),(1.9489879602554738-1.8731276936599761j),7.425808916219236e-06,(-7.57347084587856e-05-0.0004149354025941854j)
0.10200000000000001,(1.9125366191129325-1.874624229605915j),(1.9126239028319134-1.8745262040815798j),7.502988485031344e-06,(-8.728371898092391e-05-9.802552433524347e-05j)
0.10400000000000001,(1.8768262688335247-1.8749991105976944j),(1.876661695919021-1.8750600751819568j),6.047733452412225e-06,(0.00016457291450366895+6.096458426241291e-05j)
0.106,(1.841781996003894-1.8747057273637682j),(1.841493113787005-1.874624698194709j),6.761036538034888e-06,(0.00028888221688894156-8.10291690591658e-05j)
0.108,(1.8074031935107289-1.8737811162866527j),(1.8073165239602174-1.8734446744432112j),6.374814297601838e-06,(8.666955051150893e-05-0.00033644184344150396j)
0.11,(1.7736879562992847-1.8722608978988982j),(1.7737290907679657-1.8720153222330436j),6.68699426075009e-06,(-4.113446868103665e-05-0.00024557566585459156j)
0.112,(1.7406332043191963-1.870179286651008j),(1.7404644961219697-1.8701447662920714j),6.138346339224107e-06,(0.0001687081972265858-3.452035893669603e-05j)
0.114,(1.7082347980421928-1.8675691064632576j),(1.7079036449628557-1.8677433247057755j),9.440947230174073e-06,(0.0003311530793370654+0.00017421824251795393j)
0.116,(1.676487646697829-1.8644618112437792j),(1.6760753776502813-1.864476463132727j),1.024339183156797e-05,(0.00041226904754765314+1.4651888947891933e-05j)
0.11800000000000001,(1.6453858094165104-1.86088750962617j),(1.6450948872165085-1.8608832716181756j),8.012561221836642e-06,(0.0002909222000018197-4.238007994539217e-06j)
0.12,(1.6149225895034665-1.8568749932479078j),(1.6145538370239825-1.8568784587143072j),6.29513524741046e-06,(0.00036875247948398027+3.465466399399375e-06j)
0.122,(1.585090622093904-1.8524517679556731j),(1.584898256380612-1.8523890876768903j),8.47853654630488e-06,(0.0001923657132920642-6.26802787828673e-05j)
0.124,(1.5558819554594174-1.8476440873849582j),(1.5557063183243958-1.847387263994484j),8.336699489205786e-06,(0.00017563713502166678-0.00025682339047428115j)
0.126,(1.527288126249632-1.842476988418854j),(1.5274196742945345-1.8422246784466476j),8.928834771641085e-06,(-0.00013154804490245198-0.0002523099722064881j)
0.128,(1.4993002289619548-1.8369743280846251j),(1.4991822118614826-1.8366134419931543j),9.340089439210946e-06,(0.00011801710047221192-0.0003608860914707801j)
0.13,(1.471908979936857-1.831158821496501j),(1.4717508143393039-1.8306946036091107j),6.358527259089036e-06,(0.000158165597553106-0.0004642178873903724j)
0.132,(1.445104776177036-1.8250520804991304j),(1.4449174448723927-1.8246315277057712j),7.39121138360543e-06,(0.00018733130464321235-0.0004205527933591746j)
0.134,(1.4188777492867028-1.8186746527084598j),(1.4188705880387462-1.8186020749580987j),9.917242979329353e-06,(7.161247956632977e-06-7.25777503611802e-05j)
0.136,(1.3932178148226555-1.8120460606854736j),(1.3931004129545084-1.8119953458201525j),9.221502554614411e-06,(0.00011740186814712672-5.07148653210443e-05j)
0.138,(1.368114717342158-1.8051848410134852j),(1.3678673915889383-1.8050590120451833j),8.79325456242121e-06,(0.00024732575321961825-0.00012582896830193313j)
0.14,(1.3435580714244542-1.7981085830816517j),(1.3432276434174983-1.7980454197215918j),6.26665849538799e-06,(0.00033042800695581853-6.316336005984802e-05j)
0.14200000000000002,(1.319537398933247-1.7908339674062914j),(1.31942462271403-1.7905901131402615j),6.6218089978792416e-06,(0.00011277621921701453-0.00024385426602990812j)
0.14400000000000002,(1.2960421627771188-1.7833768033475716j),(1.2960282108850272-1.7830732581924493j),8.86568905817889e-06,(1.3951892091634832e-05-0.00030354515512232005j)
0.146,(1.273061797413772-1.7757520661024897j),(1.273101961243311-1.7753482176419315j),6.884653182002859e-06,(-4.016382953908604e-05-0.00040384846055818713j)
0.148,(1.2505857363325064-1.767973932875873j),(1.2503842831881067-1.7679061028517082j),5.754742768322332e-06,(0.000201453144399677-6.783002416477224e-05j)
0.15,(1.228603436737598-1.760055818149685j),(1.228457468837302-1.759944942270738j),9.039062747177276e-06,(0.0001459679002959735-0.00011087587894698103j)
0.152,(1.2071044016434243-1.752010407987325j),(1.2068656779568125-1.7518604873125652j),9.723393232947645e-06,(0.00023872368661170817-0.0001499206747599402j)
0.154,(1.1860781995804313-1.7438496933241294j),(1.1856630335178389-1.7434018721687528j),8.774183375090944e-06,(0.0004151660625923981-0.0004478211553766709j)
0.156,(1.1655144820994137-1.735585002207998j),(1.1648512199540868-1.734857401909165j),8.239766152661635e-06,(0.0006632621453268595-0.0007276002988330088j)
0.158,(1.1454029992502197-1.7272270309652193j),(1.1447338485971137-1.7263195917247252j),8.08304717096766e-06,(0.000669150653106021-0.00090743924049419j)
0.16,(1.1257336131999698-1.718785874276266j),(1.1254114729904625-1.7180608861912903j),7.47406552330607e-06,(0.0003221402095072712-0.0007249880849757862j)
0.162,(1.1064963101451648-1.710271054154722j),(1.106179512164469-1.710204916036462j),8.540033270861287e-06,(0.0003167979806957266-6.613811825983973e-05j)
