f_range,G_0,G,var,bias
0.0,(3.7494796048067434-0.044172515929671106j),(3.7494795566228913-0.04417251536197672j),1.9722726336740537e-29,(4.8183852019434426e-08-5.676943845567273e-10j)
0.00125,(3.7479192854620473-0.08830826770091307j),(3.747919092806868-0.08830826316124593j),3.0814879110195774e-33,(1.926551793651754e-07-4.539667142200443e-09j)
0.0025,(3.7453216370688605-0.13237059307889734j),(3.7453212038951684-0.13237057776813901j),7.122243008739549e-29,(4.331736920271112e-07-1.5310758327835572e-08j)
0.00375,(3.741690972819108-0.17632303308317637j),(3.74169020347909-0.17632299682618993j),6.412037082447312e-29,(7.693400179142884e-07-3.625698644094122e-08j)
0.005,(3.7370333061216394-0.22012943213872724j),(3.7370321055242965-0.22012936141244993j),1.2751967347776766e-29,(1.2005973428763639e-06-7.072627730697612e-08j)
0.00625,(3.7313563257749567-0.26375403647205914j),(3.7313545995412665-0.2637539144427061j),1.6085366895522194e-29,(1.726233690213519e-06-1.2202935301131035e-07j)
0.0075,(3.724669364375472-0.30716159019454j),(3.7246670189905626-0.3071613967637106j),1.262177448353619e-29,(2.3453849093968415e-06-1.934308293538578e-07j)
0.00875,(3.7169833602024327-0.3503174285378241j),(3.7169803031642767-0.35031714039723477j),2.2494861750442915e-31,(3.057038155951375e-06-2.881405893329081e-07j)
0.01,(3.708310812868184-0.393187567734032j),(3.7083069528321584-0.3931871584285737j),7.888609052210118e-30,(3.860036025482572e-06-4.0930545830430987e-07j)
0.01125,(3.698665733066395-0.43573879106571345j),(3.6986609799852195-0.4357382310644764j),9.971694880059352e-30,(4.753081175312701e-06-5.600012370488017e-07j)
0.0125,(3.6880635867909777-0.4779387306471757j),(3.688057852049445-0.47793798742205235j),7.134568960383627e-29,(5.734741532759102e-06-7.432251233341347e-07j)
0.01375,(3.6765212344339626-0.5197559445389076j),(3.6765144309781026-0.5197549826503268j),1.4914401489334754e-30,(6.803455860016072e-06-9.618885807860522e-07j)
0.015,(3.664056865201611-0.5611599888400657j),(3.6640489076616705-0.5611587700294132j),3.5412459073436983e-29,(7.95753994031756e-06-1.2188106525146125e-06j)
0.01625,(3.6506899273139326-0.6021214844496448j),(3.6506807321210157-0.6021199677378486j),2.0954117794933126e-29,(9.195192916866546e-06-1.5167117961567556e-06j)
0.0175,(3.636441054473506-0.6426121782344786j),(3.6364305399692918-0.6426103200262792j),7.163843095538313e-29,(1.051450421440947e-05-1.8582081994233945e-06j)
0.01875,(3.621331989105082-0.6826049983909342j),(3.621320075644514-0.6826027525842683j),6.513032848730979e-29,(1.1913460567836154e-05-2.2458066659680753e-06j)
0.02,(3.605385502877548-0.7220741038364519j),(3.605372112924139-0.7220714219364149j),2.870714137905838e-29,(1.3389953409159716e-05-2.681900036938245e-06j)
0.02125,(3.5886253150249416-0.7609949275163884j),(3.58861037323851-0.760991758753194j),2.6131017485446016e-30,(1.4941786431688087e-05-3.1687631943944083e-06j)
0.0225,(3.5710760089830056-0.7993442135602636j),(3.5710594422997124-0.7993405050106673j),1.7465873479658965e-29,(1.656668329319544e-05-3.708549596304067e-06j)
0.02375,(3.5527629478528726-0.8371000482690453j),(3.5527446855573834-0.8370957449806157j),1.6418167589912308e-29,(1.8262295489179792e-05-4.303288429596819e-06j)
0.025,(3.533712189193773-0.8742418849609089j),(3.5336921629835834-0.8742369300786096j),9.971694880059352e-30,(2.0026210189705296e-05-4.954882299346153e-06j)
0.02625,(3.5139503996328445-0.9107505627466507j),(3.513928543674678-0.9107448976411648j),8.591188295922582e-30,(2.185595816639463e-05-5.665105485830324e-06j)
0.0275,(3.493504769762189-0.9466083193470498j),(3.4934810207405054-0.9466018837442693j),4.930380657631324e-30,(2.3749021683450167e-05-6.435602780463512e-06j)
0.02875,(3.4724029297719357-0.9817987981027669j),(3.4723772269296496-0.9817915302139778j),7.14905195356542e-30,(2.5702842286090544e-05-7.267888789130872e-06j)
0.03,(3.450672866243579-1.0163070493624184j),(3.450645151415037-1.0162988860145488j),1.3065508742723008e-29,(2.771482854191376e-05-8.16334786968298e-06j)
0.03125,(3.4283428405006244-1.0501195264661327j),(3.4283130581370687-1.0501104032316844j),3.377310750477457e-29,(2.9782363555774793e-05-9.123234448349393e-06j)
0.0325,(3.4054413088841944-1.0832240765699568j),(3.40540940607182-1.083213927896068j),1.1438483125704671e-29,(3.190281237452908e-05-1.0148673888821236e-05j)
0.03375,(3.3819968452900833-1.1156099265808543j),(3.3819627717608887-1.1155986859170506j),1.5037661005775538e-29,(3.407352919460038e-05-1.1240663803757656e-05j)
0.035,(3.3580380662712535-1.1472676644926503j),(3.358001774407041-1.1472552644168852j),1.9721522630525295e-30,(3.629186421250097e-05-1.2400075765084395e-05j)
0.03625,(3.3335935589764825-1.178189216430162j),(3.3335550038061057-1.1781755887727163j),6.986349391863586e-29,(3.8555170376763925e-05-1.3627657445614005e-05j)
0.0375,(3.30869181216205-1.2083678197219159j),(3.3086509513522846-1.208352895686801j),1.0452406994178406e-29,(4.086080976550832e-05-1.4924035114827205e-05j)
0.03875,(3.2833611504795948-1.2377979923314595j),(3.283317944320002-1.237781702615021j),2.1496459667272572e-29,(4.320615959274576e-05-1.628971643841126e-05j)
0.04,(3.2576296722097453-1.2664754989833702j),(3.2575840835916483-1.2664577738897125j),5.127595883936577e-30,(4.558861809700332e-05-1.7725093657716684e-05j)
0.04125,(3.2315251905783313-1.2943973143229333j),(3.2314771849684645-1.294378083875969j),2.3863042382935607e-29,(4.8005609866841326e-05-1.923044696416909e-05j)
0.0425,(3.205075178760155-1.3215615834482115j),(3.2050247241691454-1.3215407775000316j),6.7053176943786e-30,(5.0454591009607697e-05-2.0805948179880573e-05j)
0.043750000000000004,(3.1783067186446274-1.3479675801501212j),(3.1782537855907895-1.3479451284855049j),7.099748146989106e-30,(5.293305383791136e-05-2.245166461634085e-05j)
0.045,(3.151246453408511-1.3736156631904712j),(3.1511910148772087-1.373591495627355j),3.673133589935336e-29,(5.5438531302520744e-05-2.41675631162952e-05j)
0.04625,(3.123920543913432-1.3985072309398248j),(3.1238625753124056-1.3984812774255733j),6.162975822039155e-30,(5.796860102647017e-05-2.5953514251497722e-05j)
0.0475,(3.096354628920216-1.4226446746869583j),(3.0962941080312767-1.422616865390295j),8.874685183736383e-30,(6.052088893948593e-05-2.780929666323928e-05j)
0.04875,(3.0685737890883007-1.4460313309197002j),(3.0685106960156134-1.4460015963182218j),2.391234618951192e-29,(6.309307268725917e-05-2.9734601478370593e-05j)
0.05,(3.040602514706749-1.4686714328634916j),(3.0405368318221986-1.4686397038267196j),1.3657154421638767e-29,(6.568288455044424e-05-3.172903677195471e-05j)
0.051250000000000004,(3.0124646770837455-1.4905700615491946j),(3.0123963889695857-1.4905362694170683j),3.885139958213483e-29,(6.828811415982017e-05-3.3792132126286845e-05j)
0.0525,(2.9841835035038016-1.5117330966658875j),(2.9841125968930493-1.511697173322719j),6.532754371361504e-29,(7.090661075226379e-05-3.592334316859791e-05j)
0.05375,(2.955781555646475-1.5321671674378043j),(2.955708019361259-1.5321290453816823j),5.127595883936577e-30,(7.353628521622468e-05-3.812205612208075e-05j)
0.055,(2.9272807113468975-1.5518796037474247j),(2.9272045362351613-1.551839216155099j),9.860761315262648e-31,(7.617511173618752e-05-4.038759232583011e-05j)
0.05625,(2.898702149566972-1.5708783877092334j),(2.8986233284377367-1.5708356684964975j),1.67632942359465e-29,(7.882112923507378e-05-4.271921273590884e-05j)
0.0575,(2.8700663384365943-1.589172105881044j),(2.8699848659941596-1.5891269897587017j),4.979684464207637e-30,(8.147244243472684e-05-4.5116122342259146e-05j)
0.058750000000000004,(2.841393026216591-1.606769902282197j),(2.8413088989938666-1.6067223248077j),3.865418435582958e-29,(8.412722272455042e-05-4.75774744970181e-05j)
0.06,(2.812701235029124-1.6236814323705429j),(2.8126144513203717-1.6236313299953335j),1.7749370367472766e-30,(8.678370875214725e-05-5.0102375209304384e-05j)
0.06125,(2.7840092571970665-1.6399168181130523j),(2.783919816990363-1.6398641282257616j),7.14905195356542e-30,(8.944020670353936e-05-5.268988729079105e-05j)
0.0625,(2.7553346540311-1.6554866042683478j),(2.755242558940633-1.6554312652339456j),9.860761315262648e-30,(9.209509046703701e-05-5.533903440224641e-05j)
0.06375,(2.7266942569019488-1.6704017159833855j),(2.726599510100412-1.6703436671784107j),2.4306776642122426e-29,(9.474680153687132e-05-5.804880497484177e-05j)
0.065,(2.6981041704351125-1.6846734177912133j),(2.6980067765864226-1.684612599635188j),2.5637979419682884e-30,(9.739384868989731e-05-6.081815602532181e-05j)
0.06625,(2.6695797776665775-1.6983132740820612j),(2.6694797428590693-1.6982496280652672j),9.121204216617949e-30,(0.00010003480750819804-6.36460167939834e-05j)
0.0675,(2.641135747000135-1.7113331111062344j),(2.6410330786803793-1.7112665798139335j),1.203012880462043e-29,(0.00010266831975558333-6.653129230094201e-05j)
0.06875,(2.612786040809993-1.7237449805542338j),(2.6126807477174068-1.7236755076875845j),7.888609052210118e-30,(0.00010529309258622277-6.947286664926722e-05j)
0.07,(2.584543925536241-1.735561124747447j),(2.5844360176386716-1.7354886551411282j),3.5695955961250784e-29,(0.00010790789756942587-7.24696063187924e-05j)
0.07125000000000001,(2.5564219831252837-1.7467939434614503j),(2.556311471555629-1.746718423098256j),3.673133589935336e-29,(0.00011051156965447007-7.552036319435906e-05j)
0.0725,(2.5284321236724807-1.7574559623936161j),(2.528319020666432-1.7573773384160907j),2.3074181477714595e-29,(0.00011310300604883139-7.862397752544936e-05j)
0.07375,(2.500585599129832-1.76755980327721j),(2.5004699179650047-1.767478023996566j),1.203012880462043e-29,(0.00011568116482729707-8.177928064401208e-05j)
0.075,(2.4728930179475626-1.7771181556355662j),(2.4727747728838443-1.7770331705379478j),1.0452406994178406e-29,(0.0001182450637182697-8.498509761833972e-05j)
0.07625,(2.4453643605247146-1.7861437501621285j),(2.44524356674615-1.7860555099124416j),3.6484816866471796e-29,(0.00012079377856455409-8.824024968689947e-05j)
0.0775,(2.4180089953503665-1.7946493337052192j),(2.417885668908495-1.7945577901485954j),1.6171648557030742e-29,(0.00012332644187162956-9.154355662377434e-05j)
0.07875,(2.390835695723726-1.8026476458302163j),(2.3907098534824347-1.8025527519913667j),1.0452406994178406e-29,(0.00012584224129108534-9.48938388496412e-05j)
0.08,(2.3638526569480667-1.8101513969264604j),(2.363724316530118-1.8100531070069716j),1.2671078290112502e-29,(0.00012834041794862472-9.828991948879207e-05j)
0.08125,(2.337067513900161-1.8171732478214966j),(2.3369366936352605-1.8170715171952194j),2.4898422321038185e-29,(0.00013082026490041088-0.00010173062627716334j)
0.0825,(2.3104873588835755-1.8237257908612825j),(2.310354077758155-1.8236205760680193j),1.6023737137301802e-29,(0.00013328112542065895-0.00010521479326319749j)
0.08375,(2.2841187596807724-1.8298215324116356j),(2.283983037289423-1.8297127911491584j),3.0814879110195774e-29,(0.00013572239134918007-0.00010874126247717442j)
0.085,(2.2579677777254106-1.8354728767334216j),(2.257829634223973-1.8353605678480276j),2.391234618951192e-29,(0.00013814350143759313-0.00011230888539404127j)
0.08625000000000001,(2.2320399863225515-1.8406921111817676j),(2.2318994423829377-1.840576194657445j),1.9721522630525295e-29,(0.00014054393961382416-0.00011591652432252353j)
0.08750000000000001,(2.2063404888505946-1.8454913926779095j),(2.2061975656172654-1.8453718296242718j),1.1093356479670479e-29,(0.0001429232333292063-0.0001195630536376946j)
0.08875,(2.180873936884638-1.849882735401002j),(2.1807286559327883-1.8497594880400643j),1.6418167589912308e-29,(0.00014528095184962453-0.00012324736093760613j)
0.09,(2.1556445481866455-1.8538779996464472j),(2.1554969314819936-1.853751031298375j),2.2285320572493584e-29,(0.00014761670465190946-0.00012696834807224278j)
0.09125,(2.1306561245131914-1.8574888817968456j),(2.130506194373508-1.8573581568647886j),2.938506871948269e-29,(0.0001499301396834518-0.00013072493205701363j)
0.0925,(2.1059120691967284-1.8607269053515847j),(2.1057598482548987-1.860592389305644j),9.663546088957395e-30,(0.0001522209418296505-0.00013451604594072464j)
0.09375,(2.0814154044612097-1.8636034129613295j),(2.081260915629971-1.8634650723218422j),2.938506871948269e-29,(0.0001544888312388082-0.0001383406394872555j)
0.095,(2.0571687884374823-1.8661295594141425j),(2.0570120548757136-1.8659873617342553j),7.14905195356542e-30,(0.00015673356176870712-0.00014219767988721266j)
0.09625,(2.0331745318482732-1.868316305520717j),(2.0330155769288103-1.8681702193684584j),1.0107280348144214e-29,(0.00015895491946293916-0.00014608615225863986j)
0.0975,(2.0094346143365844-1.8701744128471478j),(2.009273461615569-1.870024407786955j),1.5777218104420236e-29,(0.00016115272101524525-0.0001500050601928038j)
0.09875,(1.9859507004152042-1.871714439244773j),(1.9857873736029015-1.8715604858186319j),1.1487786932280984e-29,(0.00016332681230268875-0.00015395342614121788j)
0.1,(1.9627241550184915-1.8729467351279088j),(1.9625586779515614-1.8727888048361498j),1.326272396902826e-29,(0.00016547706693015307-0.00015793029175892315j)
0.10125,(1.939756058640957-1.8738814404516875j),(1.9395884552561071-1.873719505733504j),1.67632942359465e-30,(0.00016760338484989035-0.00016193471818337635j)
0.10250000000000001,(1.9170472220501358-1.8745284823437252j),(1.9168775163591434-1.8743625165574522j),5.226203497089203e-30,(0.0001697056909923944-0.0001659657862729258j)
0.10375000000000001,(1.89459820056408-1.8748975733449147j),(1.8944264166301517-1.8747275507481698j),1.429810390713084e-29,(0.00017178393392836-0.00017002259674492315j)
0.105,(1.8724093078863226-1.874998210216312j),(1.8722354698017023-1.8748241059460133j),1.0896141253365226e-29,(0.000173838084620348-0.0001741042702987361j)
0.10625,(1.8504806294935416-1.8748396732707486j),(1.8503047613583954-1.8746614633230676j),1.5037661005775538e-29,(0.000175868135146251-0.0001782099476810295j)
0.1075,(1.8288120355732425-1.8744310261895778j),(1.8286341614757187-1.8742486873998965j),1.4199496293978212e-29,(0.00017787409752378913-0.00018233878968132444j)
0.10875,(1.8074031935107289-1.8737811162866527j),(1.8072233375081643-1.8735946263094923j),1.1093356479670479e-29,(0.00017985600256453793-0.00018648997716042004j)
0.11,(1.7862535799263537-1.8728985751834273j),(1.7860717660276368-1.8727079124725208j),7.099748146989106e-30,(0.00018181389871685383-0.00019066271090650844j)
0.11125,(1.7653624922656015-1.8717918198607968j),(1.7651787444145552-1.8715969636491827j),4.930380657631324e-30,(0.00018374785104624536-0.00019485621161408062j)
0.1125,(1.7447290599459389-1.8704690540550066j),(1.7445434020057826-1.8702699843352968j),9.663546088957395e-30,(0.00018565794015623638-0.00019906971970984344j)
0.11375,(1.7243522550656123-1.8689382699667167j),(1.7241647108043798-1.8687349674715106j),1.9721522630525295e-30,(0.00018754426123246404-0.00020330249520617016j)
0.115,(1.7042309026806224-1.8672072502538986j),(1.7040414957575567-1.8669996964363618j),1.597443333072549e-29,(0.00018940692306568252-0.00020755381753678748j)
0.11625,(1.6843636906571067-1.86528357028097j),(1.6841724446099502-1.8650717472956724j),7.14905195356542e-30,(0.0001912460471564792-0.00021182298529764942j)
0.11750000000000001,(1.6647491791071127-1.8631746005980943j),(1.664556117340282-1.8629584912820087j),7.987216665362745e-30,(0.0001930617668306489-0.00021610931608551098j)
0.11875000000000001,(1.6453858094165104-1.86088750962617j),(1.645190955190097-1.8606670974799877j),4.979684464207637e-30,(0.0001948542264134101-0.00022041214618240268j)
0.12,(1.6262719128743388-1.8584292665245055j),(1.6260752892939192-1.858204535694161j),2.2729054831680403e-29,(0.00019662358041960815-0.00022473083034446617j)
0.12125,(1.607405718913401-1.8558066442196366j),(1.6072073489206082-1.8555775794781442j),8.38164711797325e-30,(0.00019836999279276846-0.00022906474149242406j)
0.1225,(1.5887853629723212-1.853026222575146j),(1.5885852693361335-1.8527928093047406j),1.326272396902826e-29,(0.0002000936361876704-0.0002334132704053804j)
0.12375,(1.5704088939895926-1.8500943916836667j),(1.5702070992983292-1.849856615858213j),9.712849895533708e-30,(0.00020179469126335725-0.00023777582545370102j)
0.125,(1.5522742815403943-1.847017355263543j),(1.5520708081943613-1.8467752034312666j),1.2818989709841442e-29,(0.0002034733460329896-0.0002421518322763827j)
0.12625,(1.5343794226271237-1.8438011341438554j),(1.534174292831904-1.84355459341045j),9.121204216617949e-30,(0.000205129795219694-0.00024654073340535376j)
0.1275,(1.5167221481347304-1.840451569822691j),(1.5165153838950522-1.8402006278346619j),2.4158865222393487e-30,(0.00020676423967813662-0.0002509419880292185j)
0.12875,(1.4993002289619548-1.8369743280846251j),(1.4990918520761372-1.836718973013061j),2.5637979419682884e-29,(0.00020837688581765157-0.00025535507156404513j)
