f_range,G_0,G,var,bias
0.0,(3.7496669304368475-0.03533977824620698j),(3.749666899590755-0.03533977795967757j),5.699563373645559e-29,(3.0846092347047716e-08-2.865294113085781e-10j)
0.001,(3.7486680766458904-0.07066072854202388j),(3.748667953318773-0.07066072622412099j),9.668360913818363e-30,(1.23327117407257e-07-2.317902883519629e-09j)
0.002,(3.747004502377668-0.10594405635873805j),(3.747004225023715-0.10594404852303607j),4.9581140488305e-30,(2.7735395269345986e-07-7.835701976155462e-09j)
0.003,(3.744677977404511-0.141171033886482j),(3.7446774846398707-0.14117101531166287j),5.708841541152645e-29,(4.927646402030916e-07-1.8574819127259445e-08j)
0.004,(3.741690972819108-0.17632303308317637j),(3.741690203486012-0.17632299682350838j),3.873122155360507e-29,(7.693330963398637e-07-3.625966799036817e-08j)
0.005,(3.7380466544851236-0.21138155835311465j),(3.7380455477158807-0.21138149575369203j),2.8572326282951276e-29,(1.1067692429200804e-06-6.259942261777063e-08j)
0.006,(3.7337488746722225-0.24632827873540764j),(3.73374736995758-0.24632817945263355j),1.0036406126190763e-29,(1.5047146426638847e-06-9.92827740853297e-08j)
0.007,(3.728802161916646-0.28114505948560986j),(3.728800199184192-0.28114491149824866j),2.0029671421627253e-31,(1.962732453897331e-06-1.4798736119869815e-07j)
0.008,(3.7232117091569275-0.3158139929376663j),(3.723209228816022-0.31581378253814024j),5.719241562852336e-29,(2.4803409055529357e-06-2.103995260793745e-07j)
0.009000000000000001,(3.7169833602024327-0.3503174285378241j),(3.7169803031716238-0.35031714038854483j),1.851974234522766e-30,(3.057030808939487e-06-2.8814927927056644e-07j)
0.01,(3.7101235946001005-0.3846380019472924j),(3.7101199024021994-0.3846376191317875j),2.864859310874901e-29,(3.6921979011950157e-06-3.8281550490681937e-07j)
0.011,(3.702639510971777-0.41875866311616866j),(3.702635125817265-0.4187581671409602j),2.859620781426168e-29,(4.3851545119544255e-06-4.959752084587876e-07j)
0.012,(3.6945388089012545-0.4526627032374162j),(3.6945336737177135-0.45266207402154585j),1.9721522630525295e-30,(5.135183541060684e-06-6.292158703513628e-07j)
0.013000000000000001,(3.6858297694559945-0.48633378049643156j),(3.685823827887361-0.4863329964518718j),8.011868568650901e-31,(5.941568633538452e-06-7.840445597762091e-07j)
0.014,(3.6765212344339626-0.5197559445389076j),(3.6765144309639677-0.5197549826495523j),5.171969309855259e-29,(6.8034699949315325e-06-9.618893552776342e-07j)
0.015,(3.666622584430625-0.5529136595872163j),(3.66661486445552-0.5529124953684155j),5.907828623006734e-29,(7.719975104958365e-06-1.1642188008087473e-06j)
0.016,(3.6561437158252104-0.5857918261433536j),(3.6561350256150518-0.5857904336707597j),4.5162286823902926e-29,(8.690210158590617e-06-1.3924725938974092e-06j)
0.017,(3.6450950167886296-0.6183758012245161j),(3.645085303546694-0.6183741532794064j),4.548276156664896e-30,(9.713241935660477e-06-1.647945109706228e-06j)
0.018000000000000002,(3.6334873424180625-0.6506514170855691j),(3.6334765544245746-0.6506494851398034j),4.646883769817523e-30,(1.0787993487859637e-05-1.9319457656985506e-06j)
0.019,(3.621331989105082-0.6826049983909342j),(3.621320075660792-0.6826027525805499j),1.6282582121827447e-29,(1.1913444289746167e-05-2.2458103843270294e-06j)
0.02,(3.6086406682453998-0.714223377806722j),(3.608627579677985-0.7142207871029187j),3.2047474274603605e-30,(1.3088567414776264e-05-2.5907038032624286e-06j)
0.021,(3.595425479398794-0.7454939099921816j),(3.5954111672366476-0.7454909422236208j),7.099748146989106e-30,(1.4312162146534746e-05-2.967768560790951e-06j)
0.022,(3.581698883007584-0.7764044839776902j),(3.5816832999174193-0.7764011057636481j),3.8962333146931536e-29,(1.558309016491677e-05-3.3782140421712015e-06j)
0.023,(3.567473672781198-0.8069435339244774j),(3.5674567725437063-0.8069397108730191j),7.296963373294359e-30,(1.690023749167935e-05-3.8230514582959785e-06j)
0.024,(3.5527629478528726-0.8371000482690453j),(3.5527446855538605-0.8370957449988197j),7.888609052210118e-31,(1.8262299012139493e-05-4.303270225602951e-06j)
0.025,(3.5375800848125296-0.8668635772627428j),(3.537560416748651-0.8668587573266383j),1.7465873479658965e-29,(1.9668063878430786e-05-4.8199361044609645e-06j)
0.026000000000000002,(3.521938709717177-0.8962242389241207j),(3.5219175933811524-0.8962188650428128j),3.432777532875809e-29,(2.1116336024640248e-05-5.373881307946249e-06j)
0.027,(3.5058526701771258-0.9251727234285161j),(3.505830064452884-0.9251667574638229j),1.3225746114096026e-29,(2.260572424184204e-05-5.965964693155357e-06j)
0.028,(3.4893360076126823-0.9537002959657439j),(3.489311872616992-0.9536936988794149j),2.0904813988356813e-29,(2.4134995690427985e-05-6.597086328996582e-06j)
