f_range,G_0,G,var,bias
0.0,(3.7494796048067434-0.044172515929671106j),(3.7494795566228927-0.04417251536197714j),2.8399040736205035e-29,(4.8183850687166796e-08-5.67693968223093e-10j)
0.00125,(3.7479192854620473-0.08830826770091307j),(3.747919092806868-0.08830826316124644j),1.7797518616082447e-30,(1.926551793651754e-07-4.539666628722294e-09j)
0.0025,(3.7453216370688605-0.13237059307889734j),(3.7453212038951684-0.13237057776814073j),7.120163004399611e-29,(4.331736920271112e-07-1.5310756606989884e-08j)
0.00375,(3.741690972819108-0.17632303308317637j),(3.74169020347909-0.17632299682619235j),7.888686089407894e-29,(7.693400179142884e-07-3.625698402620614e-08j)
0.005,(3.7370333061216394-0.22012943213872724j),(3.7370321055242965-0.2201293614124501j),2.3925442513133754e-29,(1.2005973428763639e-06-7.072627714044266e-08j)
0.00625,(3.7313563257749567-0.26375403647205914j),(3.7313545995412665-0.26375391444270585j),2.3863042382935607e-29,(1.726233690213519e-06-1.220293532888661e-07j)
0.0075,(3.724669364375472-0.30716159019454j),(3.7246670189905626-0.3071613967637105j),2.8549985495596384e-29,(2.3453849093968415e-06-1.934308294648801e-07j)
0.00875,(3.7169833602024327-0.3503174285378241j),(3.7169803031642865-0.3503171403972328j),7.908330574840643e-29,(3.0570381461814122e-06-2.8814059133130954e-07j)
0.01,(3.708310812868184-0.393187567734032j),(3.7083069528321593-0.3931871584285744j),4.942706609275402e-30,(3.860036024594393e-06-4.0930545763817605e-07j)
0.01125,(3.698665733066395-0.43573879106571345j),(3.69866097998522-0.4357382310644768j),7.250741054629066e-30,(4.753081174868612e-06-5.600012366602236e-07j)
0.0125,(3.6880635867909777-0.4779387306471757j),(3.688057852049445-0.4779379874220519j),7.949006215266102e-29,(5.734741532759102e-06-7.432251237782239e-07j)
0.01375,(3.6765212344339626-0.5197559445389076j),(3.6765144309781026-0.5197549826503264j),1.392832535780849e-30,(6.803455860016072e-06-9.618885812301414e-07j)
0.015,(3.664056865201611-0.5611599888400657j),(3.6640489076616714-0.56115877002941j),2.9631587752364256e-29,(7.957539939429381e-06-1.2188106557342593e-06j)
0.01625,(3.6506899273139326-0.6021214844496448j),(3.650680732121013-0.6021199677378476j),2.0029671421627253e-29,(9.195192919531081e-06-1.5167117971559563e-06j)
0.0175,(3.636441054473506-0.6426121782344786j),(3.6364305399692918-0.6426103200262792j),6.538917347183543e-29,(1.051450421440947e-05-1.8582081994233945e-06j)
0.01875,(3.621331989105082-0.6826049983909342j),(3.621320075644514-0.6826027525842681j),6.420588211400391e-29,(1.1913460567836154e-05-2.24580666619012e-06j)
0.02,(3.605385502877548-0.7220741038364519j),(3.605372112924139-0.7220714219364149j),1.3065508742723008e-29,(1.3389953409159716e-05-2.681900036938245e-06j)
0.02125,(3.5886253150249416-0.7609949275163884j),(3.5886103732385095-0.760991758753197j),7.888609052210118e-31,(1.4941786432132176e-05-3.168763191396806e-06j)
0.0225,(3.5710760089830056-0.7993442135602636j),(3.5710594422997124-0.7993405050106702j),2.939739467112677e-29,(1.656668329319544e-05-3.7085495934174872e-06j)
0.02375,(3.5527629478528726-0.8371000482690453j),(3.5527446855573834-0.8370957449806157j),2.0325494261085132e-29,(1.8262295489179792e-05-4.303288429596819e-06j)
0.025,(3.533712189193773-0.8742418849609089j),(3.533692162983584-0.8742369300786094j),7.112074098633185e-30,(2.0026210189261207e-05-4.954882299568197e-06j)
0.02625,(3.5139503996328445-0.9107505627466507j),(3.5139285436746786-0.9107448976411614j),2.5637979419682884e-30,(2.185595816595054e-05-5.665105489272015e-06j)
0.0275,(3.493504769762189-0.9466083193470498j),(3.4934810207405054-0.9466018837442742j),6.224605580259546e-30,(2.3749021683450167e-05-6.4356027755785306e-06j)
0.02875,(3.4724029297719357-0.9817987981027669j),(3.472377226929649-0.9817915302139778j),1.4113214632469664e-29,(2.5702842286534633e-05-7.267888789130872e-06j)
0.03,(3.450672866243579-1.0163070493624184j),(3.450645151415037-1.0162988860145488j),2.0904813988356813e-29,(2.771482854191376e-05-8.16334786968298e-06j)
0.03125,(3.4283428405006244-1.0501195264661327j),(3.4283130581370687-1.0501104032316848j),2.3863042382935607e-29,(2.9782363555774793e-05-9.123234447905304e-06j)
0.0325,(3.4054413088841944-1.0832240765699568j),(3.4054094060718194-1.083213927896069j),1.720702849513332e-29,(3.1902812374973166e-05-1.0148673887711013e-05j)
0.03375,(3.3819968452900833-1.1156099265808543j),(3.3819627717608887-1.1155986859170508j),1.2079432611196743e-29,(3.407352919460038e-05-1.1240663803535611e-05j)
0.035,(3.3580380662712535-1.1472676644926503j),(3.358001774407041-1.1472552644168852j),3.549874073494553e-30,(3.629186421250097e-05-1.2400075765084395e-05j)
0.03625,(3.3335935589764825-1.178189216430162j),(3.3335550038061066-1.178175588772714j),5.29029844563841e-29,(3.855517037587575e-05-1.3627657447834451e-05j)
0.0375,(3.30869181216205-1.2083678197219159j),(3.308650951352284-1.2083528956868017j),1.2818989709841442e-29,(4.086080976595241e-05-1.4924035114161072e-05j)
0.03875,(3.2833611504795948-1.2377979923314595j),(3.283317944320002-1.237781702615023j),2.3074181477714595e-29,(4.320615959274576e-05-1.628971643641286e-05j)
0.04,(3.2576296722097453-1.2664754989833702j),(3.2575840835916483-1.266457773889712j),2.2186712959340957e-30,(4.558861809700332e-05-1.7725093658160773e-05j)
0.04125,(3.2315251905783313-1.2943973143229333j),(3.2314771849684645-1.2943780838759695j),1.2818989709841442e-29,(4.8005609866841326e-05-1.9230446963725e-05j)
0.0425,(3.205075178760155-1.3215615834482115j),(3.2050247241691454-1.3215407775000316j),6.7053176943786e-30,(5.0454591009607697e-05-2.0805948179880573e-05j)
0.043750000000000004,(3.1783067186446274-1.3479675801501212j),(3.1782537855907904-1.3479451284855046j),3.944304526105059e-30,(5.293305383702318e-05-2.2451664616562894e-05j)
