f_range,G_0,G,var,bias
0.0,(3.744677977404511-0.141171033886482j),(3.744676927564456-0.14117147939670896j),1.2732708048332894e-29,(1.049840054889728e-06+4.455102269596001e-07j)
0.004,(3.728802161916646-0.28114505948560986j),(3.7288022150301754-0.28114321510951973j),1.6002166721924665e-29,(-5.3113529574488894e-08-1.844376090132105e-06j)
0.008,(3.702639510971777-0.41875866311616866j),(3.7026326345534972-0.4187603218220013j),2.3789086673071137e-30,(6.876418279677665e-06+1.6587058326300586e-06j)
0.012,(3.666622584430625-0.5529136595872163j),(3.6666152666009144-0.5529119894543372j),6.420588211400391e-29,(7.317829710640211e-06-1.670132879105779e-06j)
0.016,(3.621331989105082-0.6826049983909342j),(3.6213209482146653-0.6826021611723744j),2.9631587752364256e-29,(1.1040890416591509e-05-2.8372185598701805e-06j)
0.02,(3.567473672781198-0.8069435339244774j),(3.567457717979723-0.806939324814365j),2.1496459667272572e-29,(1.5954801475093205e-05-4.20911011234093e-06j)
0.024,(3.5058526701771258-0.9251727234285161j),(3.5058305641298744-0.9251666065549674j),1.7552155141167513e-29,(2.2106047251391203e-05-6.116873548678292e-06j)
0.028,(3.437345028512533-1.036678837385124j),(3.437316402746889-1.0366700481869444j),4.35845650134609e-29,(2.8625765643663925e-05-8.789198179481872e-06j)
0.032,(3.3628695941366793-1.1409947724873903j),(3.362834189664687-1.1409826735751534j),3.1554436208840472e-30,(3.540447199235075e-05-1.2098912236968573e-05j)
0.036000000000000004,(3.2833611504795948-1.2377979923314595j),(3.283318341641766-1.237781841322587j),3.993608332681372e-30,(4.280883782881162e-05-1.6151008872533623e-05j)
0.04,(3.1997461034141392-1.326903448442672j),(3.199695384327868-1.3268824186623467j),7.740697632481178e-30,(5.0719086271300284e-05-2.102978032536562e-05j)
0.044,(3.1129215611933265-1.4082525371298562j),(3.1128627707895298-1.40822599968726j),4.930380657631324e-32,(5.879040379674905e-05-2.6537442596286098e-05j)
0.048,(3.02373829848235-1.4818992278828795j),(3.0236712216445008-1.4818664676606759j),1.2671078290112502e-29,(6.707683784945573e-05-3.2760222203664924e-05j)
0.052000000000000005,(2.9329877651629688-1.5479944731055948j),(2.932912219343014-1.5479546894882676j),3.870348816240589e-29,(7.554581995483645e-05-3.97836173271493e-05j)
0.056,(2.841393026216591-1.606769902282197j),(2.8413089626242884-1.6067224749803197j),2.0954117794933126e-29,(8.406359230272997e-05-4.742730187734523e-05j)
0.06,(2.7496033123362618-1.658521644733779j),(2.7495107198832125-1.6584659267318393j),1.232595164407831e-30,(9.259245304926722e-05-5.571800193959753e-05j)
0.064,(2.658191724341662-1.7035949409770903j),(2.6580906474978567-1.7035302637909238j),1.8390319852964838e-29,(0.00010107684380544768-6.467718616653961e-05j)
0.068,(2.5676555622055908-1.7423700158535955j),(2.5675460800229577-1.7422958337817063j),9.663546088957395e-30,(0.00010948218263306941-7.418207188925052e-05j)
0.07200000000000001,(2.4784187307404-1.7752495135590505j),(2.4783009730005845-1.77516527103009j),3.988677952023741e-29,(0.00011775773981570481-8.424252896044315e-05j)
0.076,(2.390835695723726-1.8026476458302163j),(2.3907098262167-1.8025528242636524j),3.732298157826912e-29,(0.00012586950702564437-9.48215665639296e-05j)
0.08,(2.305196513436008-1.824981084786225j),(2.305062702949122-1.8248752331730904j),1.1438483125704671e-29,(0.00013381048688598796-0.00010585161313447777j)
0.084,(2.221732521647629-1.842661542017925j),(2.221590985942527-1.842544220348052j),1.326272396902826e-29,(0.0001415357051017807-0.000117321669873105j)
0.088,(2.1406223516446685-1.8560899133142112j),(2.140473305790467-1.8559607324989693j),2.3715130963206667e-29,(0.00014904585420172367-0.00012918081524193603j)
0.092,(2.0619979919606815-1.8656518300590474j),(2.061841665858984-1.8655104354178986j),1.8390319852964838e-29,(0.00015632610169724614-0.0001413946411488176j)
0.096,(1.9859507004152042-1.871714439244773j),(1.9857873398012749-1.8715605055793463j),1.6023737137301802e-29,(0.00016336061392929757-0.00015393366542681974j)
0.1,(1.9125366191129325-1.874624229605915j),(1.9123664614725087-1.874457468299281j),1.1093356479670479e-29,(0.0001701576404238292-0.00016676130663406674j)
0.10400000000000001,(1.841781996003894-1.8747057273637682j),(1.8416052933515834-1.8745258771987503j),1.5037661005775538e-29,(0.00017670265231051197-0.00017985016501786966j)
0.108,(1.7736879562992847-1.8722608978988982j),(1.7735049523659623-1.8720677258097664j),9.121204216617949e-30,(0.00018300393332237874-0.00019317208913172124j)
0.112,(1.7082347980421928-1.8675691064632576j),(1.7080457378833975-1.8673624056461995j),1.5037661005775538e-29,(0.00018906015879527338-0.00020670081705809196j)
0.116,(1.6453858094165104-1.86088750962617j),(1.645190935145448-1.8606670965111298j),1.9918737856830548e-29,(0.0001948742710624618-0.0002204131150402855j)
0.12,(1.585090622093904-1.8524517679556731j),(1.5848901682286027-1.8522174803565319j),2.0954117794933126e-29,(0.00020045386530131992-0.0002342875991412363j)
0.124,(1.527288126249632-1.842476988418854j),(1.5270823252496564-1.8422286849274958j),1.429810390713084e-29,(0.00020580099997569157-0.00024830349135829266j)
0.128,(1.471908979936857-1.831158821496501j),(1.4716980544499703-1.8308963772876434j),4.930380657631324e-31,(0.00021092548688672608-0.0002624442088576817j)
0.132,(1.4188777492867028-1.8186746527084598j),(1.4186619175971953-1.818397960791316j),7.14905195356542e-30,(0.00021583168950756182-0.0002766919171437454j)
0.136,(1.368114717342158-1.8051848410134852j),(1.3678941886420006-1.8048938078712617j),9.121204216617949e-30,(0.00022052870015731862-0.00029103314222345134j)
0.14,(1.319537398933247-1.7908339674062914j),(1.3193123757242204-1.7905285137837652j),8.923988990312696e-30,(0.0002250232090266202-0.00030545362252620833j)
0.14400000000000002,(1.273061797413772-1.7757520661024897j),(1.2728324740975117-1.7754321241981736j),1.232595164407831e-29,(0.00022932331626024371-0.00031994190431605674j)
0.148,(1.228603436737598-1.760055818149685j),(1.2283699998750393-1.759721331094963j),1.9721522630525295e-30,(0.00023343686255872242-0.0003344870547219436j)
0.152,(1.1860781995804313-1.7438496933241294j),(1.18584082820978-1.7435006140033318j),7.198355760141733e-30,(0.00023737137065116265-0.0003490793207976406j)
0.156,(1.1454029992502197-1.7272270309652193j),(1.1451618644115948-1.7268633205756985j),6.162975822039155e-30,(0.00024113483862486795-0.0003637103895208771j)
0.16,(1.1064963101451648-1.710271054154722j),(1.1062515756769924-1.7098926819920472j),2.0214560696288428e-29,(0.00024473446817241395-0.0003783721626746672j)
0.164,(1.0692785786280312-1.6930558145384145j),(1.0690304007322178-1.6926627562865495j),1.2079432611196743e-29,(0.0002481778958134395-0.000393058251864975j)
0.168,(1.0336725334629917-1.6756470672699604j),(1.0334210614349066-1.675239305138521j),4.782469237902384e-30,(0.00025147202808506464-0.0004077621314393376j)
0.17200000000000001,(0.9996034124498738-1.658103077165468j),(0.9993487885013614-1.6576805983363263j),1.0415429139246171e-29,(0.0002546239485123891-0.0004224788291415926j)
0.176,(0.96699911961129-1.6404753583072582j),(0.9667414794157551-1.6400381550909036j),2.2803010541544873e-30,(0.0002576401955349805-0.00043720321635465353j)
0.18,(0.93579032524609-1.6228093501236225j),(0.9355297979840171-1.6223574187226857j),4.646883769817523e-30,(0.0002605272620728183-0.0004519314009368003j)
0.184,(0.9059105193524369-1.6051450334777344j),(0.9056472281088038-1.604678374050622j),9.18283397483834e-30,(0.0002632912436331125-0.0004666594271123259j)
0.188,(0.8772960273335381-1.587517490588863j),(0.8770300892734622-1.5870361063309995j),3.944304526105059e-30,(0.0002659380600759098-0.00048138425786348193j)
0.192,(0.8498859955123207-1.5699574127355287j),(0.8496175221903994-1.5694613098491152j),2.465190328815662e-31,(0.0002684733219212587-0.0004961028864134409j)
0.196,(0.8236223527800214-1.5524915596956346j),(0.8233514503713665-1.551980746727128j),1.787262988391355e-30,(0.000270902408654905-0.0005108129685065244j)
0.2,(0.7984497536687658-1.5351431747964615j),(0.7981765232314704-1.5346176625472479j),6.2739093868358595e-30,(0.0002732304372954353-0.0005255122492136j)
0.20400000000000001,(0.7743155072512293-1.5179323593040577j),(0.7740400449686957-1.517392160353892j),4.5606021083089745e-31,(0.0002754622825336117-0.0005401989501656601j)
0.20800000000000002,(0.7511694955136827-1.5008764096973577j),(0.7508918929305964-1.5003215382917572j),8.011868568650901e-31,(0.0002776025830862894-0.00055487140560051j)
0.212,(0.7289640842056658-1.4839901211630224j),(0.7286844284610308-1.4834205928638746j),7.210681711785811e-30,(0.0002796557446350656-0.0005695282991478035j)
0.216,(0.7076540286253036-1.4672860604242333j),(0.7073724026685488-1.4667018920001709j),8.52955853770219e-30,(0.00028162595675473856-0.0005841684240623923j)
0.22,(0.6871963763402712-1.4507748107893303j),(0.6869128591487405-1.450176019949882j),5.965760595733902e-30,(0.0002835171915307466-0.0005987908394482488j)
0.224,(0.6675503684587681-1.4344651920806388j),(0.6672650352332993-1.433851797385759j),5.571330143123396e-30,(0.0002853332254688645-0.0006133946948798652j)
0.228,(0.6486773407419085-1.4183644578845604j),(0.6483902631101922-1.41773647853186j),2.465190328815662e-30,(0.00028707763171631484-0.0006279793527004252j)
0.232,(0.6305406255794818-1.4024784723541721j),(0.6302518717672797-1.4018359281158055j),8.38164711797325e-31,(0.0002887538122020583-0.0006425442383666269j)
0.23600000000000002,(0.6131054556270443-1.3868118685970967j),(0.6128150906523753-1.3861547796398541j),1.6886553752387284e-30,(0.0002903649746690551-0.0006570889572425909j)
0.24,(0.5963388697167876-1.3713681904954838j),(0.5960469555323282-1.3706965773474575j),4.930380657631324e-32,(0.00029191418445939643-0.0006716131480262177j)
0.244,(0.5802096215016643-1.3561500196320968j),(0.5799162171853424-1.3554639030233357j),5.928782740801667e-30,(0.00029340431632196573-0.000686116608761056j)
0.248,(0.5646880911666602-1.3411590888367901j),(0.5643932530322071-1.3404584896935043j),1.787262988391355e-30,(0.00029483813445307927-0.0007005991432857961j)
0.252,(0.5497462004385314-1.3263963837209045j),(0.5494499822263369-1.3256813230211262j),1.8242408433235898e-30,(0.00029621821219449895-0.000715060699778336j)
0.256,(0.53535733104205-1.311862233432772j),(0.5350597839980814-1.3111327322217792j),9.860761315262648e-30,(0.00029754704396856013-0.0007295012109929111j)
0.26,(0.5214962466836084-1.2975563917450528j),(0.5211974197505215-1.2968124710060815j),3.993608332681372e-30,(0.0002988269330869153-0.0007439207389712266j)
0.264,(0.5081390185893293-1.2834781094732617j),(0.5078389584589189-1.2827197901546474j),3.3526588471893e-30,(0.0003000601304103956-0.0007583193186142534j)
0.268,(0.4952629545822148-1.2696261991239j),(0.49496170588137106-1.268853502029029j),2.443619913438525e-30,(0.0003012487008437481-0.0007726970948709333j)
0.272,(0.4828465316495649-1.255999092579232j),(0.48254413697709886-1.2552120383940915j),4.070645530456862e-30,(0.00030239467246606644-0.0007870541851404678j)
0.276,(0.47086933192620006-1.242594892543272j),(0.47056583202287255-1.2417935017517894j),7.099748146989106e-30,(0.00030349990332750876-0.0008013907914825591j)
0.28,(0.4593119819996256-1.2294114183991347j),(0.4590074157845904-1.2285957113005528j),4.4373425918681914e-30,(0.00030456621503516246-0.0008157070985819193j)
0.28400000000000003,(0.4481560954290057-1.2164462470609212j),(0.447850500140184-1.21561624371546j),3.3064365285240065e-30,(0.00030559528882168063-0.0008300033454611278j)
0.28800000000000003,(0.4373842183598035-1.203696749343059j),(0.4370776296057953-1.202852469572206j),3.463592411986005e-30,(0.00030658875400818575-0.0008442797708529959j)
0.292,(0.42697977810926596-1.1911601223158497j),(0.42667222996836535-1.1903015856791077j),5.947271668267784e-31,(0.00030754814090061533-0.0008585366367419578j)
0.296,(0.4169270345940797-1.1788334180673647j),(0.4166185596921613-1.1779606438446704j),8.997944700177166e-31,(0.00030847490191837634-0.0008727742226943835j)
0.3,(0.4072110344698172-1.1667135692481843j),(0.40690166403451666-1.1658265764423985j),1.925929944387236e-30,(0.00030937043530054886-0.0008869928057857468j)
0.304,(0.39781756785187106-1.154797411736335j),(0.3975073318158529-1.153896219043787j),3.1677695725281255e-30,(0.0003102360360181522-0.0009011926925481806j)
0.308,(0.38873312748899025-1.1430817047247068j),(0.38842205450854783-1.1421663305525238j),2.7733391199176196e-32,(0.00031107298044241727-0.0009153741721830144j)
0.312,(0.3799448702630455-1.1315631485017614j),(0.3796329878327876-1.1306336109371105j),3.405044141676633e-30,(0.00031188243025792595-0.0009295375646509729j)
