f_range,G_0,G,var,bias
0.0,(3.744677977404511-0.141171033886482j),(3.7446774847158326-0.14117101525893053j),1.9783922760723442e-29,(4.926886782996576e-07-1.8627551473526793e-08j)
0.004,(3.728802161916646-0.28114505948560986j),(3.72880019922621-0.28114491140777154j),3.348036615322771e-29,(1.962690435952652e-06-1.4807783832448962e-07j)
0.008,(3.702639510971777-0.41875866311616866j),(3.7026351257993992-0.4187581670525183j),1.2649507874735365e-29,(4.385172377663338e-06-4.960636503792415e-07j)
0.012,(3.666622584430625-0.5529136595872163j),(3.6666148643759544-0.5529124953238101j),2.98904327368899e-29,(7.720054670645737e-06-1.1642634061281854e-06j)
0.016,(3.621331989105082-0.6826049983909342j),(3.6213200755736734-0.682602752639411j),3.4820813394521224e-29,(1.191353140850282e-05-2.245751523299866e-06j)
0.02,(3.567473672781198-0.8069435339244774j),(3.567456772593024-0.806939710987918j),1.4113214632469664e-29,(1.6900188173796238e-05-3.822936559427781e-06j)
0.024,(3.5058526701771258-0.9251727234285161j),(3.5058300645720966-0.9251667574044108j),5.127595883936577e-30,(2.260560502920228e-05-5.96602410529723e-06j)
0.028,(3.437345028512533-1.036678837385124j),(3.437316079604882-1.03667010579392j),1.4298103907130839e-30,(2.8948907651038525e-05-8.7315912038477e-06j)
0.032,(3.3628695941366793-1.1409947724873903j),(3.362833749514359-1.1409826097872167j),4.782469237902384e-30,(3.5844622320091446e-05-1.2162700173679042e-05j)
0.036000000000000004,(3.2833611504795948-1.2377979923314595j),(3.283317944398846-1.2377817027206706j),9.515634669228455e-30,(4.320608074870336e-05-1.6289610788922104e-05j)
0.04,(3.1997461034141392-1.326903448442672j),(3.1996951554959936-1.3268823188487775j),6.434146758208878e-29,(5.094791814563848e-05-2.1129593894553267e-05j)
0.044,(3.1129215611933265-1.4082525371298562j),(3.1128625740665816-1.4082258496382665j),1.5777218104420236e-29,(5.8987126744902696e-05-2.66874915897386e-05j)
0.048,(3.02373829848235-1.4818992278828795j),(3.0236710541998946-1.4818662693362503j),2.4158865222393487e-30,(6.72442824556363e-05-3.2958546629213714e-05j)
0.052000000000000005,(2.9329877651629688-1.5479944731055948j),(2.932912118575024-1.547954543839185j),2.982880297866951e-29,(7.564658794478873e-05-3.992926640972172e-05j)
0.056,(2.841393026216591-1.606769902282197j),(2.8413088988430464-1.6067223247555487j),9.121204216617949e-30,(8.41273735447956e-05-4.7577526648412416e-05j)
0.06,(2.7496033123362618-1.658521644733779j),(2.7495106866443217-1.6584657687124065j),4.264779268851095e-29,(9.262569194001813e-05-5.587602137246961e-05j)
0.064,(2.658191724341662-1.7035949409770903j),(2.658090635259951-1.703530147553076j),1.34106353887572e-29,(0.00010108908171124753-6.479342401433108e-05j)
0.068,(2.5676555622055908-1.7423700158535955j),(2.5675460905328804-1.742295722208694j),2.3715130963206667e-29,(0.00010947167271035951-7.42936449014131e-05j)
0.07200000000000001,(2.4784187307404-1.7752495135590505j),(2.4783009973884584-1.7751651737224305j),1.7749370367472766e-29,(0.00011773335194176227-8.433983661992883e-05j)
0.076,(2.390835695723726-1.8026476458302163j),(2.3907098534802804-1.8025527518276219j),3.0223233431280015e-29,(0.0001258422434453621-9.48940025944367e-05j)
0.08,(2.305196513436008-1.824981084786225j),(2.3050627423605987-1.824875168171048j),6.7053176943786e-30,(0.00013377107540923916-0.0001059166151768931j)
0.084,(2.221732521647629-1.842661542017925j),(2.221591023593155-1.8425441714605624j),3.9837475713661096e-29,(0.000141498054473832-0.00011737055736271707j)
0.088,(2.1406223516446685-1.8560899133142112j),(2.140473344034754-1.8559606951369216j),2.9187853493177437e-29,(0.00014900760991443107-0.00012921817728961393j)
0.092,(2.0619979919606815-1.8656518300590474j),(2.0618417055511817-1.8655104064868915j),3.2047474274603605e-30,(0.0001562864094997174-0.00014142357215596313j)
0.096,(1.9859507004152042-1.871714439244773j),(1.985787373629513-1.8715604856523311j),2.465190328815662e-31,(0.00016332678569108694-0.00015395359244196882j)
0.1,(1.9125366191129325-1.874624229605915j),(1.9123664957365154-1.8744574546143538j),1.8242408433235898e-29,(0.0001701233764170862-0.0001667749915612582j)
0.10400000000000001,(1.841781996003894-1.8747057273637682j),(1.8416053227545055-1.8745258685600181j),1.8193104626659585e-29,(0.0001766732493884149-0.0001798588037500437j)
0.108,(1.7736879562992847-1.8722608978988982j),(1.7735049789949844-1.8720677215016412j),1.7552155141167513e-29,(0.00018297730430028025-0.00019317639725691116j)
0.112,(1.7082347980421928-1.8675691064632576j),(1.7080457618980627-1.8673624044606074j),4.0429121392576855e-30,(0.00018903614413012804-0.00020670200265016092j)
0.116,(1.6453858094165104-1.86088750962617j),(1.6451909551117405-1.8606670973314199j),2.805386594192223e-29,(0.00019485430476984256-0.0002204122947502274j)
0.12,(1.585090622093904-1.8524517679556731j),(1.5848901864583702-1.852217483444236j),3.2047474274603605e-30,(0.00020043563553384658-0.0002342845114371439j)
0.124,(1.527288126249632-1.842476988418854j),(1.5270823400989-1.8422286884779167j),2.465190328815662e-31,(0.00020578615073207907-0.00024829994093744645j)
0.128,(1.471908979936857-1.831158821496501j),(1.4716980675247435-1.8308963822811775j),1.3065508742723008e-29,(0.000210912412113462-0.000262439215323651j)
