f_range,G_0,G,var,bias
0.0,(3.7496669304368475-0.03533977824620698j),(3.7519965834212226-0.03724899274473973j),0.002536580401566739,(-0.0023296529843750413+0.0019092144985327492j)
0.001,(3.7486680766458904-0.07066072854202388j),(3.7478910770342737-0.07715607342552369j),0.0018440481968393242,(0.0007769996116167022+0.006495344883499815j)
0.002,(3.747004502377668-0.10594405635873805j),(3.7416772286659756-0.10588765006517627j),0.0030110231683894034,(0.005327273711692282-5.640629356178095e-05j)
0.003,(3.744677977404511-0.141171033886482j),(3.748017503311278-0.1361333172362373j),0.0029177233247455556,(-0.0033395259067670047-0.005037716650244689j)
0.004,(3.741690972819108-0.17632303308317637j),(3.744896427236249-0.17621436560860956j),0.0016786768312624437,(-0.0032054544171407073-0.00010866747456680925j)
0.005,(3.7380466544851236-0.21138155835311465j),(3.7388516781011454-0.2094118480057541j),0.0013749560097654889,(-0.0008050236160217494-0.0019697103473605426j)
0.006,(3.7337488746722225-0.24632827873540764j),(3.736786218469378-0.24500379257916252j),0.0012950723401272183,(-0.0030373437971555894-0.0013244861562451138j)
0.007,(3.728802161916646-0.28114505948560986j),(3.727898236610078-0.2821174776540829j),0.0024711261007094674,(0.0009039253065679098+0.0009724181684730437j)
0.008,(3.7232117091569275-0.3158139929376663j),(3.722048697092502-0.317458534725702j),0.002206220722549534,(0.0011630120644254838+0.0016445417880356916j)
0.009000000000000001,(3.7169833602024327-0.3503174285378241j),(3.7200994078623473-0.34016842776332246j),0.0028076686025219184,(-0.003116047659914578-0.010149000774501649j)
0.01,(3.7101235946001005-0.3846380019472924j),(3.702362906413853-0.3859812659915761j),0.0016552297299935717,(0.007760688186247755+0.0013432640442836985j)
0.011,(3.702639510971777-0.41875866311616866j),(3.7051820368784245-0.4158874960016445j),0.0019953442188030118,(-0.002542525906647608-0.0028711671145241757j)
0.012,(3.6945388089012545-0.4526627032374162j),(3.6905398479570826-0.4541098787437629j),0.003024644485951492,(0.003998960944171959+0.0014471755063467096j)
0.013000000000000001,(3.6858297694559945-0.48633378049643156j),(3.684719479125841-0.4876460124641348j),0.003667021948371011,(0.0011102903301534184+0.001312231967703248j)
0.014,(3.6765212344339626-0.5197559445389076j),(3.6755065325240284-0.519174345157743j),0.0016588626261810537,(0.0010147019099342458-0.0005815993811646436j)
0.015,(3.666622584430625-0.5529136595872163j),(3.6651126704465704-0.5461901169295497j),0.00278392681294299,(0.001509913984054645-0.006723542657666615j)
0.016,(3.6561437158252104-0.5857918261433536j),(3.6610158124713417-0.5747811919441869j),0.003903506702135504,(-0.0048720966461313076-0.011010634199166702j)
0.017,(3.6450950167886296-0.6183758012245161j),(3.6470000337414494-0.6197354780028578j),0.0044716670856438205,(-0.0019050169528198602+0.0013596767783417008j)
0.018000000000000002,(3.6334873424180625-0.6506514170855691j),(3.641183977479884-0.6575023621423509j),0.006073462532987046,(-0.0076966350618215+0.006850945056781854j)
0.019,(3.621331989105082-0.6826049983909342j),(3.624736105737175-0.6824753286785734j),0.004056509841656537,(-0.003404116632093057-0.0001296697123608359j)
0.02,(3.6086406682453998-0.714223377806722j),(3.6113285873343366-0.7182505791745123j),0.001510074946335025,(-0.002687919088936841+0.004027201367790334j)
0.021,(3.595425479398794-0.7454939099921816j),(3.5938290404916517-0.7521556305883612j),0.006634935823368448,(0.001596438907142339+0.006661720596179643j)
0.022,(3.581698883007584-0.7764044839776902j),(3.58958675162664-0.7844614051243253j),0.003168205750902367,(-0.007887868619055993+0.008056921146635032j)
0.023,(3.567473672781198-0.8069435339244774j),(3.56770121201408-0.8138273272900599j),0.007044635913431558,(-0.00022753923288210132+0.006883793365582536j)
0.024,(3.5527629478528726-0.8371000482690453j),(3.553488957360415-0.8377515828980405j),0.00112647759024293,(-0.0007260095075425355+0.0006515346289952539j)
0.025,(3.5375800848125296-0.8668635772627428j),(3.5386106790518785-0.8613540006222681j),0.004389695307178503,(-0.0010305942393489254-0.005509576640474689j)
0.026000000000000002,(3.521938709717177-0.8962242389241207j),(3.518463147773396-0.8944687236042297j),0.0036608247564934404,(0.0034755619437811802-0.0017555153198910434j)
0.027,(3.5058526701771258-0.9251727234285161j),(3.5065227950847193-0.9201284085978881j),0.003466096887347234,(-0.00067012490759355-0.0050443148306279495j)
0.028,(3.4893360076126823-0.9537002959657439j),(3.486095827127059-0.9556427333304174j),0.003021885973526949,(0.0032401804856232452+0.0019424373646734772j)
0.029,(3.4724029297719357-0.9817987981027669j),(3.472345023726025-0.980875703577407j),0.004394345234139686,(5.790604591071613e-05-0.0009230945253598799j)
0.03,(3.4550677835959047-1.009460647693769j),(3.460904777326518-1.0141678439057922j),0.0019103407434071637,(-0.005836993730613305+0.00470719621202309j)
0.031,(3.437345028512533-1.036678837385124j),(3.4383653325746217-1.0323623666332151j),0.0016578353913406065,(-0.0010203040620888615-0.004316470751908774j)
0.032,(3.4192492102360315-1.0634469317673516j),(3.41652181469715-1.0625628253274346j),0.0017375659353725886,(0.0027273955388813498-0.0008841064399169873j)
0.033,(3.400794935142846-1.089759063230235j),(3.400495775586862-1.0957165017805541j),0.002027016362839911,(0.0002991595559840299+0.005957438550319161j)
0.034,(3.3819968452900833-1.1156099265808543j),(3.3854927193565483-1.1213300651489224j),0.0017285486163476126,(-0.00349587406646501+0.005720138568068078j)
0.035,(3.3628695941366793-1.1409947724873903j),(3.3622930910736706-1.1381683640337104j),0.0016438639899176272,(0.0005765030630087153-0.002826408453679985j)
0.036000000000000004,(3.3434278230219916-1.16590939981411j),(3.3423356199533956-1.1677681240537323j),0.002696401832989867,(0.0010922030685960316+0.0018587242396224113j)
0.037,(3.323686138450748-1.190350146915041j),(3.320691210783484-1.190825491329115j),0.0019716903150749877,(0.002994927667264058+0.00047534441407393047j)
0.038,(3.3036590902277028-1.2143138819554655j),(3.3025283212241137-1.2163349792453542j),0.0028965938399946566,(0.001130769003589105+0.0020210972898886403j)
0.039,(3.2833611504795948-1.2377979923314595j),(3.283490292808596-1.234054788836136j),0.0030842666624547677,(-0.00012914232900129718-0.0037432034953235327j)
0.04,(3.262806693596545-1.260800373258441j),(3.261707565055161-1.2650646415567353j),0.0014818534806877797,(0.0010991285413841645+0.004264268298294294j)
0.041,(3.2420099771195123-1.2833194155999177j),(3.241619467690311-1.2815488371564232j),0.0026653142798415664,(0.00039050942920138-0.001770578443494486j)
0.042,(3.2209851235951295-1.3053539930074927j),(3.216380328746412-1.305734679639282j),0.0032703025953617487,(0.004604794848717564+0.000380686631789251j)
0.043000000000000003,(3.1997461034141392-1.326903448442672j),(3.1977390516531505-1.3235733002176056j),0.0019470930029369413,(0.0020070517609886984-0.003330148225066498j)
0.044,(3.1783067186446274-1.3479675801501212j),(3.175400822146157-1.3556475763496345j),0.002614081129565346,(0.002905896498470284+0.007679996199513317j)
0.045,(3.156680587866605-1.3685466271508306j),(3.1549076238396636-1.3707494143611758j),0.0020814801674053766,(0.0017729640269412705+0.0022027872103451696j)
0.046,(3.134881132009925-1.3886412543221487j),(3.132814751501325-1.38889953816391j),0.0024503580458956203,(0.0020663805085998632+0.0002582838417612976j)
0.047,(3.1129215611933265-1.4082525371298562j),(3.1152078163547827-1.4043340564318039j),0.0017285911733201597,(-0.0022862551614561966-0.00391848069805234j)
0.048,(3.090814862558364-1.4273819460754666j),(3.0863042291165574-1.4280024904191162j),0.002395081086110354,(0.004510633441806355+0.0006205443436495539j)
0.049,(3.0685737890883007-1.4460313309197002j),(3.0721100773803807-1.454273331347453j),0.0018733892518923345,(-0.00353628829207997+0.008242000427752805j)
0.05,(3.0462108493985802-1.4642029047406837j),(3.0473715483016477-1.4655271618691637j),0.0025780792191893126,(-0.0011606989030674697+0.0013242571284799443j)
