f_range,G_0,G,var,bias
0.0,(3.7486680766458904-0.07066072854202388j),(3.7464617235229225-0.07105769998392351j),0.0002716891134822205,(0.002206353122967908+0.00039697144189963784j)
0.002,(3.744677977404511-0.141171033886482j),(3.7445049090619067-0.14309640286232436j),0.00015814416527542552,(0.00017306834260422121+0.001925368975842362j)
0.004,(3.7380466544851236-0.21138155835311465j),(3.7377794082652516-0.2118518310686362j),0.00016720975970304307,(0.00026724621987206376+0.0004702727155215525j)
0.006,(3.728802161916646-0.28114505948560986j),(3.7282427160128826-0.28041690444316947j),0.00023631464304071483,(0.0005594459037632227-0.0007281550424403926j)
0.008,(3.7169833602024327-0.3503174285378241j),(3.716794217220641-0.3494986436143314j),0.0002563665501945704,(0.00018914298179151245-0.0008187849234926881j)
0.01,(3.702639510971777-0.41875866311616866j),(3.702378013432841-0.4183658286913504j),0.00029614943985956094,(0.00026149753893589534-0.0003928344248182447j)
0.012,(3.6858297694559945-0.48633378049643156j),(3.684917811969323-0.4851386647474811j),0.00029353623007420714,(0.0009119574866716107-0.0011951157489504816j)
0.014,(3.666622584430625-0.5529136595872163j),(3.6658302481442178-0.5506613868772322j),0.00036316074804845755,(0.0007923362864072914-0.002252272709984071j)
0.016,(3.6450950167886296-0.6183758012245161j),(3.6444352158280853-0.619595813830315j),0.00045438167459367135,(0.0006598009605442989+0.001220012605798959j)
0.018000000000000002,(3.621331989105082-0.6826049983909342j),(3.620450991889494-0.6841241932093262j),0.0004464155037232156,(0.0008809972155878754+0.0015191948183919113j)
0.02,(3.595425479398794-0.7454939099921816j),(3.5924685209764977-0.7457588843514694j),0.0004910458615434344,(0.002956958422296374+0.0002649743592878506j)
0.022,(3.567473672781198-0.8069435339244774j),(3.5654237002929445-0.8081831273714487j),0.0004853947430292429,(0.0020499724882534487+0.0012395934469713321j)
0.024,(3.5375800848125296-0.8668635772627428j),(3.538113111318003-0.868863435692304j),0.0006339277922871484,(-0.0005330265054732664+0.0019998584295611854j)
0.026000000000000002,(3.5058526701771258-0.9251727234285161j),(3.50865808218764-0.9241081991401405j),0.0007246900916602716,(-0.0028054120105140967-0.0010645242883755568j)
0.028,(3.4724029297719357-0.9817987981027669j),(3.472572043933961-0.9802772440223619j),0.0006935614561615133,(-0.0001691141620252523-0.0015215540804049965j)
0.03,(3.437345028512533-1.036678837385124j),(3.4350563682517805-1.0379343715231866j),0.0006645062713361527,(0.002288660260752362+0.001255534138062675j)
0.032,(3.400794935142846-1.089759063230235j),(3.401972828365221-1.0917332310118197j),0.0006683493365811029,(-0.0011778932223749372+0.001974167781584768j)
0.034,(3.3628695941366793-1.1409947724873903j),(3.364747599206361-1.1404031574562539j),0.000745507478617905,(-0.0018780050696816097-0.0005916150311364721j)
0.036000000000000004,(3.323686138450748-1.190350146915041j),(3.322547304614904-1.1877982333358044j),0.0007648627405900606,(0.0011388338358440109-0.0025519135792366754j)
0.038,(3.2833611504795948-1.2377979923314595j),(3.2780240695176976-1.2380312432351488j),0.0007580742312812051,(0.0053370809618971116+0.00023325090368930823j)
0.04,(3.2420099771195123-1.2833194155999177j),(3.2385126607671455-1.2855224113324977j),0.0009155459851132466,(0.0034973163523668305+0.002202995732579982j)
0.042,(3.1997461034141392-1.326903448442672j),(3.1986406396585476-1.3265122782518037j),0.0009504396204979505,(0.001105463755591618-0.0003911701908683174j)
0.044,(3.156680587866605-1.3685466271508306j),(3.1562740396195226-1.364121721057336j),0.0008443318566073096,(0.00040654824708230564-0.004424906093494663j)
0.046,(3.1129215611933265-1.4082525371298562j),(3.110247021943195-1.4047878142661585j),0.0009545272969516374,(0.0026745392501315024-0.0034647228636977j)
0.048,(3.0685737890883007-1.4460313309197002j),(3.0673681473236605-1.4454255267144283j),0.0010918154421907709,(0.0012056417646402195-0.0006058042052718982j)
0.05,(3.02373829848235-1.4818992278828795j),(3.024501085177691-1.48228598237842j),0.0012529916196795262,(-0.0007627866953408002+0.0003867544955404867j)
0.052000000000000005,(2.9785120658319126-1.5158780031926673j),(2.9788979710829135-1.5162419236693887j),0.001098858000198814,(-0.00038590525100090645+0.00036392047672140215j)
0.054,(2.9329877651629688-1.5479944731055948j),(2.9332646304767964-1.5494907332248553j),0.0009748485242280902,(-0.00027686531382764556+0.0014962601192605174j)
