f_range,G_0,G,var,bias
0.0,(3.7479192854620473-0.08830826770091307j),(3.747791818594082-0.08847206740089558j),0.00020760111612652912,(0.0001274668679651647+0.00016379969998250865j)
0.0025,(3.741690972819108-0.17632303308317637j),(3.741921627048281-0.17602189306146027j),0.00022589956781469714,(-0.00023065422917278866-0.00030114002171610643j)
0.005,(3.7313563257749567-0.26375403647205914j),(3.7329472205787284-0.2642925704767153j),0.0001794257892896955,(-0.0015908948037717252+0.0005385340046561438j)
0.0075,(3.7169833602024327-0.3503174285378241j),(3.716419326858053-0.3503749925390402j),0.00018287659312784513,(0.0005640333443794887+5.756400121609273e-05j)
0.01,(3.698665733066395-0.43573879106571345j),(3.6999395954274044-0.43539143042284195j),0.0002464068942262723,(-0.00127386236100957-0.00034736064287149704j)
0.0125,(3.6765212344339626-0.5197559445389076j),(3.6760249260448297-0.5175647157106482j),0.00039938448316399153,(0.000496308389132949-0.002191228828259395j)
0.015,(3.6506899273139326-0.6021214844496448j),(3.652841001777227-0.6012307911045243j),0.0003871566785117385,(-0.0021510744632942114-0.0008906933451204857j)
0.0175,(3.621331989105082-0.6826049983909342j),(3.617824602770056-0.6868014126012029j),0.0005015619439846058,(0.003507386335026119+0.0041964142102686175j)
0.02,(3.5886253150249416-0.7609949275163884j),(3.586887722354216-0.763493717957711j),0.0003931277104069981,(0.0017375926707257072+0.002498790441322618j)
0.0225,(3.5527629478528726-0.8371000482690453j),(3.5494375907635334-0.8350349944298253j),0.0005927414474301634,(0.0033253570893392315-0.0020650538392199547j)
0.025,(3.5139503996328445-0.9107505627466507j),(3.5138666833679912-0.9104315004491133j),0.0006449750318524229,(8.371626485326189e-05-0.0003190622975374202j)
0.0275,(3.4724029297719357-0.9817987981027669j),(3.4711885438106407-0.981257357574027j),0.0006254009368090171,(0.0012143859612949726-0.0005414405287399449j)
0.03,(3.4283428405006244-1.0501195264661327j),(3.42763202742695-1.0490185229380322j),0.0007420959728855698,(0.0007108130736743767-0.001101003528100497j)
0.0325,(3.3819968452900833-1.1156099265808543j),(3.386621862318946-1.1137136792693998j),0.0008406461074130042,(-0.0046250170288626435-0.0018962473114545464j)
0.035,(3.3335935589764825-1.178189216430162j),(3.3353937318161746-1.180958477665939j),0.0007336731330250411,(-0.001800172839692138+0.002769261235777032j)
0.0375,(3.2833611504795948-1.2377979923314595j),(3.2836509408773784-1.235490825247338j),0.0008952481015279981,(-0.00028979039778365134-0.0023071670841214864j)
0.04,(3.2315251905783313-1.2943973143229333j),(3.234248045363119-1.2947822252054413j),0.0009108391285444141,(-0.0027228547847877316+0.0003849108825080272j)
0.0425,(3.1783067186446274-1.3479675801501212j),(3.1789930176517918-1.3474414842486875j),0.000948435377660035,(-0.000686299007164326-0.0005260959014337097j)
0.045,(3.123920543913432-1.3985072309398248j),(3.122558837565025-1.4007598001742647j),0.0009677717367886315,(0.0013617063484070435+0.0022525692344399495j)
0.0475,(3.0685737890883007-1.4460313309197002j),(3.0707210255821624-1.4479504315950318j),0.0013703632109394895,(-0.002147236493861726+0.0019191006753316309j)
0.05,(3.0124646770837455-1.4905700615491946j),(3.010143947597374-1.4882556550089865j),0.0014349743605422377,(0.002320729486371409-0.0023144065402080916j)
0.0525,(2.955781555646475-1.5321671674378043j),(2.9576480375599097-1.5284890406870155j),0.0013307422864355782,(-0.0018664819134346367-0.003678126750788824j)
0.055,(2.898702149566972-1.5708783877092334j),(2.9038007896181823-1.5716127764210002j),0.0010422374195874873,(-0.0050986400512105234+0.0007343887117667869j)
0.0575,(2.841393026216591-1.606769902282197j),(2.8454725497811935-1.6047856127288904j),0.00119278801333392,(-0.004079523564602283-0.0019842895533066507j)
0.06,(2.7840092571970665-1.6399168181130523j),(2.78487135677504-1.6390500630648175j),0.0013202153977523348,(-0.000862099577973563-0.0008667550482348574j)
0.0625,(2.7266942569019488-1.6704017159833855j),(2.7273967494717577-1.6691671741671894j),0.0013195935307449148,(-0.0007024925698089213-0.0012345418161960886j)
0.065,(2.6695797776665775-1.6983132740820612j),(2.6697776051352413-1.6917101679417927j),0.001353103115996893,(-0.00019782746866381373-0.006603106140268489j)
0.0675,(2.612786040809993-1.7237449805542338j),(2.6047244628268733-1.7313093819056775j),0.0013978642875214177,(0.008061577983119683+0.007564401351443761j)
0.07,(2.5564219831252837-1.7467939434614503j),(2.554817418030335-1.7469943850973249j),0.001637266814670816,(0.0016045650949485513+0.00020044163587451536j)
0.0725,(2.500585599129832-1.76755980327721j),(2.5005107519770013-1.7677637765528755j),0.0019051577092654805,(7.484715283068155e-05+0.00020397327566556989j)
0.075,(2.4453643605247146-1.7861437501621285j),(2.4409239944499492-1.7846563187005802j),0.0016186546401289095,(0.0044403660747653895-0.001487431461548283j)
0.0775,(2.390835695723726-1.8026476458302163j),(2.3903914566389965-1.7993282411868132j),0.0016239270305053641,(0.00044423908472923657-0.003319404643403079j)
0.08,(2.337067513900161-1.8171732478214966j),(2.332411751644087-1.8136774179213329j),0.0020695536329499984,(0.004655762256073892-0.003495829900163727j)
0.0825,(2.2841187596807724-1.8298215324116356j),(2.2808176424257325-1.8357081776112167j),0.0016766144042463919,(0.003301117255039898+0.005886645199581153j)
0.085,(2.2320399863225515-1.8406921111817676j),(2.230085700878095-1.8419380651816957j),0.0019664765866697874,(0.001954285444456527+0.0012459539999281066j)
0.08750000000000001,(2.180873936884638-1.849882735401002j),(2.1839464784838585-1.8490919335018867j),0.0017969778019509446,(-0.0030725415992205463-0.0007908018991151788j)
0.09,(2.1306561245131914-1.8574888817968456j),(2.1264606351851314-1.855119310163518j),0.002156131604781659,(0.00419548932806002-0.0023695716333276273j)
0.0925,(2.0814154044612097-1.8636034129613295j),(2.0839551693010594-1.8573457040985284j),0.0021457672719172698,(-0.002539764839849745-0.006257708862801081j)
0.095,(2.0331745318482732-1.868316305520717j),(2.037007892251711-1.864839671140809j),0.0026610968405698767,(-0.0038333604034379576-0.0034766343799079724j)
0.0975,(1.9859507004152042-1.871714439244773j),(1.984530749477261-1.8681859394188558j),0.0025193760113317184,(0.0014199509379431152-0.0035284998259172973j)
0.1,(1.939756058640957-1.8738814404516875j),(1.9363852066070886-1.8742382851776012j),0.001956824062759109,(0.0033708520338684433+0.0003568447259136853j)
0.10250000000000001,(1.89459820056408-1.8748975733449147j),(1.8935967050666411-1.8764410888372263j),0.0022295762985170713,(0.0010014954974388868+0.0015435154923115757j)
0.105,(1.8504806294935416-1.8748396732707486j),(1.8476733000849985-1.8731081585581928j),0.0019465336467889113,(0.0028073294085431133-0.0017315147125558372j)
0.1075,(1.8074031935107289-1.8737811162866527j),(1.8073293735452227-1.8791096394500344j),0.0025543045109892126,(7.381996550615e-05+0.0053285231633817265j)
0.11,(1.7653624922656015-1.8717918198607968j),(1.7655036565612465-1.8726647249492925j),0.0024032947025831963,(-0.0001411642956450354+0.0008729050884956902j)
0.1125,(1.7243522550656123-1.8689382699667167j),(1.724888823701927-1.8637951361937237j),0.0027140224399920727,(-0.0005365686363147937-0.005143133772993025j)
0.115,(1.6843636906571067-1.86528357028097j),(1.6892411646186956-1.863852985242631j),0.0026283943590656948,(-0.004877473961588885-0.0014305850383389274j)
0.11750000000000001,(1.6453858094165104-1.86088750962617j),(1.6423023604841316-1.8599220724966414j),0.0025008255526815055,(0.003083448932378774-0.000965437129528679j)
0.12,(1.607405718913401-1.8558066442196366j),(1.6039479882230094-1.8498382401917426j),0.0027875561395950487,(0.0034577306903915694-0.005968404027894003j)
0.1225,(1.5704088939895926-1.8500943916836667j),(1.5649984725543566-1.8470614933562528j),0.0029872029912604093,(0.005410421435235957-0.0030328983274139354j)
0.125,(1.5343794226271237-1.8438011341438554j),(1.5316275606430876-1.85194534062806j),0.0036571503697943736,(0.002751861984036097+0.008144206484204553j)
0.1275,(1.4993002289619548-1.8369743280846251j),(1.4994179709836248-1.8403466486892257j),0.0028868889741964087,(-0.0001177420216700309+0.003372320604600576j)
0.13,(1.4651532748471057-1.829658618945471j),(1.4593891302913755-1.8311251944574929j),0.002573675766865252,(0.005764144555730155+0.0014665755120217838j)
0.1325,(1.4319197413855034-1.8218959587270922j),(1.4297056127923875-1.8163287970133755j),0.0028170619116858857,(0.0022141285931158716-0.0055671617137167395j)
0.135,(1.39958019184513-1.8137257251343124j),(1.4017206236929125-1.8025913049153002j),0.002898844466961278,(-0.0021404318477824535-0.011134420219012231j)
0.1375,(1.368114717342158-1.8051848410134852j),(1.3668561978311693-1.7985701948180548j),0.002964053320241426,(0.0012585195109886538-0.006614646195430396j)
0.14,(1.3375030666361938-1.7963078930474325j),(1.335819787444333-1.7925022220148714j),0.003081346835879617,(0.0016832791918608425-0.003805671032561131j)
0.14250000000000002,(1.3077247613291332-1.7871272488524454j),(1.3080495823647633-1.7833573606579731j),0.0034829118191371062,(-0.00032482103563014064-0.003769888194472326j)
0.145,(1.2787591976987573-1.7776731717813514j),(1.2731489264193154-1.7800373626788955j),0.0028458910968522403,(0.005610271279441914+0.0023641908975440273j)
0.1475,(1.2505857363325064-1.767973932875873j),(1.2479479797133655-1.7649665861240516j),0.0031657922709150375,(0.0026377566191408963-0.0030073467518214603j)
0.15,(1.2231837806581283-1.7580559195323877j),(1.2222725358072968-1.7519536625191467j),0.0037458045654231147,(0.0009112448508314941-0.006102257013240964j)
0.1525,(1.1965328453977617-1.7479437405494331j),(1.1962149595113123-1.7527577055245573j),0.0037815643671848488,(0.0003178858864494316+0.0048139649751242075j)
0.155,(1.1706126159018517-1.737660327314682j),(1.1736269483733963-1.738649223361641j),0.004172310899607581,(-0.0030143324715445896+0.0009888960469590646j)
0.1575,(1.1454029992502197-1.7272270309652193j),(1.1468743857266273-1.721769429884121j),0.0036683516481735663,(-0.0014713864764075435-0.005457601081098273j)
0.16,(1.1208841679404082-1.7166637154192637j),(1.1173402273378863-1.7168955774120214j),0.004789734163648134,(0.0035439406025219444+0.00023186199275770925j)
0.1625,(1.0970365969186917-1.7059888462314605j),(1.0948551630995809-1.7147448872877755j),0.004308381145636205,(0.002181433819110845+0.008756041056315j)
0.165,(1.0738410946473955-1.6952195752687074j),(1.084079185593685-1.6939760522170775j),0.003987332322238503,(-0.01023809094628958-0.0012435230516298912j)
0.1675,(1.05127882884355-1.684371821240384j),(1.04616836840419-1.6750580726374753j),0.0037905647377256936,(0.005110460439359921-0.009313748602908678j)
0.17,(1.0293313474687975-1.6734603461468875j),(1.034403498155281-1.6754483277742924j),0.004410347835911083,(-0.005072150686483479+0.001987981627404878j)
0.17250000000000001,(1.007980595498702-1.6624988277343884j),(1.012076689871014-1.6530924873584332j),0.0038196606919600057,(-0.004096094372312065-0.009406340375955224j)
0.17500000000000002,(0.9872089279514737-1.6514999280626472j),(0.984895026522288-1.6475223188660357j),0.0033124722543117213,(0.0023139014291857496-0.003977609196611498j)
0.1775,(0.96699911961129-1.6404753583072582j),(0.9588167950800387-1.639615391919705j),0.0039627348004735614,(0.00818232453125134-0.000859966387553257j)
0.18,(0.9473343718400085-1.6294359399284553j),(0.9432316405730063-1.6338497794258586j),0.004305278342746641,(0.004102731267002113+0.004413839497403371j)
0.1825,(0.9281983168328451-1.6183916623462453j),(0.9212636570757476-1.6216848820878889j),0.004320191662127605,(0.0069346597570975055+0.0032932197416435383j)
0.185,(0.9095750196384927-1.6073517372666086j),(0.9078489840275146-1.6094435577725927j),0.004068116682814788,(0.0017260356109781716+0.00209182050598411j)
0.1875,(0.891448978231932-1.5963246498062325j),(0.8982335840869817-1.5911152724612756j),0.003849576516254772,(-0.006784605855049697-0.005209377344956856j)
0.19,(0.873805121898757-1.5853182065641702j),(0.8730725130614038-1.5911379347504055j),0.004382242327765915,(0.0007326088373532658+0.005819728186235329j)
0.1925,(0.8566288081629633-1.5743395807882155j),(0.8590690847712832-1.5777964460114278j),0.004501321970057744,(-0.0024402766083199134+0.003456865223212313j)
0.195,(0.8399058184656693-1.5633953547819481j),(0.8388886020071934-1.5508522224075432j),0.004114603654005349,(0.0010172164584758558-0.012543132374404964j)
0.1975,(0.8236223527800214-1.5524915596956346j),(0.8212507417810495-1.5536568002453601j),0.005086877427695365,(0.0023716109989718737+0.0011652405497255547j)
0.2,(0.8077650233273594-1.541633712840553j),(0.809827724771456-1.5504924630457657j),0.003356477076925405,(-0.002062701444096593+0.008858750205212651j)
0.2025,(0.7923208475414536-1.5308268526621958j),(0.8008271739633006-1.5344981686281376j),0.00433393436905009,(-0.00850632642184701+0.003671315965941835j)
0.20500000000000002,(0.7772772404111207-1.5200755715031327j),(0.7713325368529184-1.5179524168473688j),0.004234440054703929,(0.005944703558202313-0.002123154655763848j)
0.20750000000000002,(0.7626220063166317-1.5093840462814503j),(0.7684402692497778-1.502872409614967j),0.004876892443073088,(-0.005818262933146134-0.006511636666483245j)
0.21,(0.7483433304618728-1.498756067205486j),(0.7569198262343418-1.5017399397552438j),0.004675854603523239,(-0.008576495772468995+0.002983872549757738j)
0.2125,(0.7344297699921655-1.4881950646403432j),(0.7343109355748497-1.498874844786482j),0.005032223978312584,(0.00011883441731574962+0.010679780146138684j)
0.215,(0.7208702448767607-1.4777041342363406j),(0.7151378830787496-1.4759983377757797j),0.00452957665568954,(0.005732361798011065-0.0017057964605609044j)
0.2175,(0.7076540286253036-1.4672860604242333j),(0.7005631491862088-1.4579223788942246j),0.0048017749264954515,(0.0070908794390948104-0.00936368153000866j)
0.22,(0.6947707388988004-1.4569433383767938j),(0.6947255121584824-1.447796799959025j),0.0043569198974624185,(4.5226740317927394e-05-0.00914653841776869j)
0.2225,(0.6822103280678328-1.4466781945311655j),(0.688449849905227-1.454879830646013j),0.004884902896860873,(-0.00623952183739418+0.008201636114847366j)
0.225,(0.669963073763748-1.4364926057613683j),(0.6675174726288077-1.432087857796753j),0.0047404077867694875,(0.0024456011349403006-0.004404747964615208j)
0.2275,(0.6580195694623413-1.4263883172854352j),(0.6539357711198683-1.4189434069480118j),0.0054742691119968314,(0.004083798342472966-0.007444910337423449j)
0.23,(0.646370715133974-1.416366859386931j),(0.6451434433498517-1.418791987559544j),0.004245685047960052,(0.0012272717841222969+0.002425128172613089j)
0.2325,(0.6350077079891345-1.4064295630260482j),(0.6327684118690704-1.4037998928827133j),0.004532991708890339,(0.002239296120064127-0.002629670143334817j)
0.23500000000000001,(0.6239220333440466-1.396577574411105j),(0.6209542976911755-1.4001884767579336j),0.004245119373902278,(0.0029677356528711174+0.0036109023468284818j)
0.23750000000000002,(0.6131054556270443-1.3868118685970967j),(0.6118891356804609-1.3878144277892746j),0.004325709675845464,(0.001216319946583444+0.0010025591921778432j)
0.24,(0.6025500095429613-1.377133262173956j),(0.6065313646041096-1.3773727161135514j),0.005610639626646423,(-0.003981355061148273+0.00023945393959534655j)
