f_range,G_0,G,var,bias
0.0,(3.7486680766458904-0.07066072854202388j),(3.749342682522411-0.06935315459725937j),0.00024268004665288387,(-0.0006746058765205731-0.001307573944764509j)
0.002,(3.744677977404511-0.141171033886482j),(3.744974668405975-0.14099873702344115j),0.00017889446346530463,(-0.0002966910014641222-0.00017229686304084946j)
0.004,(3.7380466544851236-0.21138155835311465j),(3.738486495504684-0.20983224897811414j),0.00017726966220914543,(-0.0004398410195602942-0.0015493093750005016j)
0.006,(3.728802161916646-0.28114505948560986j),(3.728871243374615-0.28041946793867245j),0.00022230525514844307,(-6.908145796913345e-05-0.0007255915469374097j)
0.008,(3.7169833602024327-0.3503174285378241j),(3.715544755421929-0.35069053747343704j),0.00018756989880190566,(0.0014386047805037272+0.00037310893561293135j)
0.01,(3.702639510971777-0.41875866311616866j),(3.702932860201591-0.41794810124072485j),0.00028367601003901797,(-0.000293349229814055-0.000810561875443816j)
0.012,(3.6858297694559945-0.48633378049643156j),(3.686077261482198-0.48742960661107293j),0.00042426886814392057,(-0.00024749202620366617+0.001095826114641374j)
0.014,(3.666622584430625-0.5529136595872163j),(3.667941478887221-0.5523871417090145j),0.0005312225752728552,(-0.0013188944565958316-0.0005265178782017932j)
0.016,(3.6450950167886296-0.6183758012245161j),(3.647278680821319-0.6184950826048556j),0.00048766879808858076,(-0.0021836640326893253+0.00011928138033956426j)
0.018000000000000002,(3.621331989105082-0.6826049983909342j),(3.619307565823472-0.6834745237895287j),0.0004351407762507955,(0.0020244232816097885+0.0008695253985944174j)
0.02,(3.595425479398794-0.7454939099921816j),(3.594051502407002-0.7452238548111052j),0.0006304068401795699,(0.0013739769917919809-0.0002700551810763674j)
0.022,(3.567473672781198-0.8069435339244774j),(3.566193089073705-0.8085478067674555j),0.0007232591634372968,(0.001280583707492955+0.0016042728429781494j)
0.024,(3.5375800848125296-0.8668635772627428j),(3.5344496693454195-0.866991657305614j),0.0008139385475036537,(0.003130415467110126+0.00012808004287123698j)
0.026000000000000002,(3.5058526701771258-0.9251727234285161j),(3.507502081521213-0.9238473185659213j),0.0006840684060052651,(-0.0016494113440872482-0.0013254048625948034j)
0.028,(3.4724029297719357-0.9817987981027669j),(3.4723383327975252-0.9857261855278014j),0.000838864711530997,(6.459697441041357e-05+0.003927387425034512j)
0.03,(3.437345028512533-1.036678837385124j),(3.4349766009078664-1.0365193848546999j),0.0007733691172945152,(0.00236842760466649-0.0001594525304240424j)
0.032,(3.400794935142846-1.089759063230235j),(3.4043106525349978-1.0910281233567j),0.001145704019414531,(-0.0035157173921516183+0.0012690601264651047j)
0.034,(3.3628695941366793-1.1409947724873903j),(3.362056730256913-1.1423526865276425j),0.0007812886693943832,(0.0008128638797662013+0.001357914040252206j)
0.036000000000000004,(3.323686138450748-1.190350146915041j),(3.319945024739528-1.190546329426681j),0.0010392428979229238,(0.003741113711220212+0.00019618251163988631j)
0.038,(3.2833611504795948-1.2377979923314595j),(3.281308209704574-1.2419252447475002j),0.0009044764551122169,(0.0020529407750209394+0.004127252416040728j)
0.04,(3.2420099771195123-1.2833194155999177j),(3.24208814788775-1.2835399127278009j),0.0013026980209377528,(-7.817076823757318e-05+0.0002204971278831902j)
0.042,(3.1997461034141392-1.326903448442672j),(3.200415533418836-1.323723205253591j),0.0013148977987996488,(-0.0006694300046965473-0.0031802431890810556j)
0.044,(3.156680587866605-1.3685466271508306j),(3.156141776682901-1.370875394652941j),0.0012723195553742458,(0.0005388111837039133+0.002328767502110418j)
0.046,(3.1129215611933265-1.4082525371298562j),(3.1108124122925904-1.4056745578767726j),0.0010400870934711203,(0.002109148900736102-0.002577979253083562j)
0.048,(3.0685737890883007-1.4460313309197002j),(3.065308958461943-1.444577315260325j),0.0011537290071292438,(0.0032648306263576288-0.0014540156593751963j)
0.05,(3.02373829848235-1.4818992278828795j),(3.026169432138596-1.4805964358589454j),0.001457482597244906,(-0.0024311336562456987-0.0013027920239341295j)
0.052000000000000005,(2.9785120658319126-1.5158780031926673j),(2.9795146530403946-1.5144858821278688j),0.001336055789091192,(-0.0010025872084820087-0.0013921210647984683j)
0.054,(2.9329877651629688-1.5479944731055948j),(2.9338038048509203-1.550261412618071j),0.001498928259912406,(-0.0008160396879515197+0.0022669395124761405j)
0.056,(2.8872535729292514-1.5782799827951834j),(2.88710999090888-1.5799739375601374j),0.0014477760622556516,(0.00014358202037145773+0.001693954764953931j)
0.058,(2.841393026216591-1.606769902282197j),(2.839449430069867-1.6015647509768698j),0.0013724943611065823,(0.0019435961467242358-0.005205151305327282j)
0.06,(2.7954849304309164-1.6335031352432696j),(2.796378470076267-1.63225493498488j),0.0019194858675010418,(-0.0008935396453506605-0.0012482002583895646j)
0.062,(2.7496033123362618-1.658521644733779j),(2.7526259635909667-1.6571486571284322j),0.001691137346674452,(-0.003022651254704911-0.001372987605346765j)
0.064,(2.703817414149908-1.6818699991384178j),(2.7023805047669773-1.681625591999259j),0.0016309836031347662,(0.001436909382930729-0.0002444071391587421j)
0.066,(2.658191724341662-1.7035949409770903j),(2.6566568874268834-1.6981988075571335j),0.001350378868849456,(0.0015348369147787366-0.005396133419956817j)
0.068,(2.612786040809993-1.7237449805542338j),(2.61519214001691-1.723277249395712j),0.001741609766465853,(-0.002406099206917034-0.00046773115852172253j)
0.07,(2.5676555622055908-1.7423700158535955j),(2.566389898243935-1.7379515387859714j),0.0016335199976083815,(0.0012656639616559495-0.004418477067624105j)
0.07200000000000001,(2.522851003329973-1.7595209795522044j),(2.524498045840793-1.7571976464704155j),0.0020984158353674343,(-0.0016470425108199294-0.002323333081788892j)
0.074,(2.4784187307404-1.7752495135590505j),(2.4795360883375754-1.7767012081883138j),0.0018448185539619605,(-0.0011173575971752392+0.0014516946292633115j)
0.076,(2.4344009149310377-1.7896076710760707j),(2.4283279848437966-1.7866849010100632j),0.0018879478445051946,(0.00607293008724108-0.0029227700660074962j)
0.078,(2.390835695723726-1.8026476458302163j),(2.3865527363868893-1.80455519950154j),0.0020483780212928893,(0.004282959336836534+0.0019075536713237806j)
0.08,(2.347757357780464-1.8144215278331646j),(2.349008512145783-1.816510246719846j),0.00203948376142543,(-0.0012511543653190849+0.0020887188866813844j)
0.082,(2.305196513436008-1.824981084786225j),(2.302566204214208-1.8187639744733455j),0.002366689643573917,(0.0026303092218000756-0.006217110312879415j)
0.084,(2.2631802903359284-1.834377568058091j),(2.2642264841002073-1.8309636502927995j),0.002305464831367299,(-0.0010461937642789465-0.00341391776529143j)
0.08600000000000001,(2.221732521647629-1.842661542017925j),(2.2231273916181338-1.8494432450720666j),0.0021843313986534725,(-0.001394869970504864+0.006781703054141497j)
0.088,(2.180873936884638-1.849882735401002j),(2.1814153449907643-1.851457545297684j),0.002163003948978621,(-0.0005414081061263509+0.0015748098966821278j)
0.09,(2.1406223516446685-1.8560899133142112j),(2.134998030516539-1.8548516901487568j),0.0022813153552940207,(0.005624321128129495-0.0012382231654544107j)
