f_range,G_0,G,var,bias
0.0,(3.7479192854620473-0.08830826770091307j),(3.747967102912587-0.08920988351060864j),0.0010004679736087523,(-4.781745053961117e-05+0.000901615809695569j)
0.0025,(3.741690972819108-0.17632303308317637j),(3.7410889723302168-0.17734842728998643j),0.0013214006126187994,(0.0006020004888913633+0.0010253942068100541j)
0.005,(3.7313563257749567-0.26375403647205914j),(3.7319632676403978-0.2641954528186032j),0.0012305558012771839,(-0.0006069418654410796+0.0004414163465440435j)
0.0075,(3.7169833602024327-0.3503174285378241j),(3.7158573655408356-0.3505652371182278j),0.0011378571175452057,(0.0011259946615971295+0.0002478085804036856j)
0.01,(3.698665733066395-0.43573879106571345j),(3.699291974503604-0.43748405426524145j),0.0010460455897542157,(-0.0006262414372093517+0.0017452631995280021j)
0.0125,(3.6765212344339626-0.5197559445389076j),(3.6802128397176626-0.5264030994131577j),0.0011587251758791576,(-0.003691605283699939+0.00664715487425005j)
0.015,(3.6506899273139326-0.6021214844496448j),(3.6482529091913416-0.6068883705769982j),0.001305867996471347,(0.002437018122591006+0.004766886127353431j)
0.0175,(3.621331989105082-0.6826049983909342j),(3.6193490622130446-0.6870543926125727j),0.0011116804109063457,(0.0019829268920372733+0.004449394221638481j)
0.02,(3.5886253150249416-0.7609949275163884j),(3.5930314960631726-0.7635429877532645j),0.0008869756638788473,(-0.004406181038230983+0.0025480602368760374j)
0.0225,(3.5527629478528726-0.8371000482690453j),(3.554672449599203-0.8403620172260781j),0.0012685674758432944,(-0.0019095017463302+0.0032619689570327903j)
0.025,(3.5139503996328445-0.9107505627466507j),(3.5130916051096963-0.913271688763898j),0.0012112769568824399,(0.0008587945231481875+0.0025211260172472993j)
0.0275,(3.4724029297719357-0.9817987981027669j),(3.4662776930943875-0.984816488464814j),0.0010579626860812315,(0.006125236677548163+0.003017690362047021j)
0.03,(3.4283428405006244-1.0501195264661327j),(3.432144872367384-1.0514825885493613j),0.0012241190152166973,(-0.0038020318667597586+0.0013630620832285611j)
0.0325,(3.3819968452900833-1.1156099265808543j),(3.3821719463458284-1.115359941226798j),0.0011960522944609187,(-0.00017510105574514157-0.0002499853540562924j)
0.035,(3.3335935589764825-1.178189216430162j),(3.3328548325520164-1.1766625343967168j),0.001113246940645581,(0.0007387264244660408-0.0015266820334451925j)
0.0375,(3.2833611504795948-1.2377979923314595j),(3.280125399322886-1.234972435638276j),0.0010918937739860626,(0.0032357511567089325-0.0028255566931834064j)
0.04,(3.2315251905783313-1.2943973143229333j),(3.229623539631635-1.2976166350270923j),0.0009931108084773245,(0.001901650946696254+0.00321932070415909j)
0.0425,(3.1783067186446274-1.3479675801501212j),(3.177605732571292-1.3457790340906466j),0.0011863253903678754,(0.0007009860733355744-0.0021885460594746053j)
0.045,(3.123920543913432-1.3985072309398248j),(3.1251676455471245-1.3998979046954583j),0.0013017663496302117,(-0.001247101633692349+0.0013906737556335091j)
0.0475,(3.0685737890883007-1.4460313309197002j),(3.065027445520741-1.4464969881086471j),0.00102421789076958,(0.0035463435675597843+0.0004656571889469774j)
0.05,(3.0124646770837455-1.4905700615491946j),(3.0134538761472003-1.4926733768997997j),0.0010449631917610973,(-0.0009891990634547376+0.0021033153506051505j)
0.0525,(2.955781555646475-1.5321671674378043j),(2.955667437456366-1.5297683334980918j),0.0011695424355623628,(0.00011411819010920254-0.002398833939712519j)
0.055,(2.898702149566972-1.5708783877092334j),(2.8967166391961987-1.5704647274769346j),0.0010690557346209818,(0.0019855103707731026-0.0004136602322988292j)
0.0575,(2.841393026216591-1.606769902282197j),(2.836741899270104-1.6060466871396484j),0.0010522691858992363,(0.004651126946487061-0.0007232151425486943j)
0.06,(2.7840092571970665-1.6399168181130523j),(2.7781406623405-1.6421903737089176j),0.0011098147146272116,(0.005868594856566656+0.0022735555958652842j)
0.0625,(2.7266942569019488-1.6704017159833855j),(2.7266028594303644-1.669976752734988j),0.001140585505814862,(9.139747158437572e-05-0.0004249632483974697j)
0.065,(2.6695797776665775-1.6983132740820612j),(2.6682359368640935-1.698817896197843j),0.0011194340335700988,(0.0013438408024839532+0.0005046221157818387j)
0.0675,(2.612786040809993-1.7237449805542338j),(2.6130919720658263-1.7276485903774623j),0.0011417236315956945,(-0.000305931255833336+0.003903609823228571j)
0.07,(2.5564219831252837-1.7467939434614503j),(2.558835867392146-1.7454735287298981j),0.0009729623394999731,(-0.0024138842668621763-0.0013204147315521997j)
0.0725,(2.500585599129832-1.76755980327721j),(2.5028153361668295-1.766565533994258j),0.001098345054473199,(-0.00222973703699747-0.0009942692829518762j)
0.075,(2.4453643605247146-1.7861437501621285j),(2.44492570014588-1.7860997947393364j),0.0011122054375300426,(0.00043866037883466547-4.3955422792008036e-05j)
0.0775,(2.390835695723726-1.8026476458302163j),(2.3919931089398245-1.803533437424647j),0.0011227024434912283,(-0.001157413216098746+0.000885791594430696j)
0.08,(2.337067513900161-1.8171732478214966j),(2.338212727522705-1.8202614324245745j),0.0009404830208500566,(-0.0011452136225442722+0.0030881846030779148j)
0.0825,(2.2841187596807724-1.8298215324116356j),(2.283063617014984-1.827751403155707j),0.0008619633833647028,(0.0010551426657885443-0.0020701292559286433j)
0.085,(2.2320399863225515-1.8406921111817676j),(2.2297283927690623-1.8407793440359512j),0.0012953408056687458,(0.0023115935534891996+8.723285418366089e-05j)
0.08750000000000001,(2.180873936884638-1.849882735401002j),(2.185239047970462-1.843163231447014j),0.0010697672902306114,(-0.004365111085824047-0.006719503953987793j)
0.09,(2.1306561245131914-1.8574888817968456j),(2.127170713895595-1.8552641485190062j),0.0012141440260000985,(0.0034854106175963295-0.0022247332778393414j)
0.0925,(2.0814154044612097-1.8636034129613295j),(2.083429349615009-1.858118186108986j),0.0010520448426574564,(-0.00201394515379949-0.005485226852343539j)
0.095,(2.0331745318482732-1.868316305520717j),(2.035898106702063-1.866822739223904j),0.0009039080012736276,(-0.002723574853789934-0.0014935662968129648j)
0.0975,(1.9859507004152042-1.871714439244773j),(1.9881793230912723-1.8704786003407197j),0.0010963781378269734,(-0.0022286226760681593-0.0012358389040534323j)
0.1,(1.939756058640957-1.8738814404516875j),(1.9430061599656627-1.8720585508663095j),0.0008546157400136852,(-0.003250101324705712-0.001822889585378018j)
0.10250000000000001,(1.89459820056408-1.8748975733449147j),(1.8984023734382485-1.8763974575057893j),0.00121585551746337,(-0.0038041728741684544+0.0014998841608746538j)
0.105,(1.8504806294935416-1.8748396732707486j),(1.8523030608755053-1.8715042512191697j),0.0012718564032173098,(-0.0018224313819636961-0.0033354220515788846j)
0.1075,(1.8074031935107289-1.8737811162866527j),(1.8088902624421876-1.8730721091585727j),0.0009855374867998791,(-0.0014870689314587793-0.0007090071280799748j)
0.11,(1.7653624922656015-1.8717918198607968j),(1.7637697807845911-1.8729419062240187j),0.0011432763468264121,(0.001592711481010367+0.0011500863632218916j)
0.1125,(1.7243522550656123-1.8689382699667167j),(1.7229430723182086-1.8693489538059944j),0.0011087325561994585,(0.0014091827474036478+0.00041068383927767016j)
0.115,(1.6843636906571067-1.86528357028097j),(1.68518932334501-1.8648160626555277j),0.001409794344838249,(-0.000825632687903255-0.0004675076254423427j)
0.11750000000000001,(1.6453858094165104-1.86088750962617j),(1.6440855342417784-1.8601401947503775j),0.0010483807356960345,(0.0013002751747319685-0.000747314875792604j)
0.12,(1.607405718913401-1.8558066442196366j),(1.6086591272702078-1.8548885630647975j),0.001015515379928969,(-0.0012534083568067622-0.0009180811548390455j)
0.1225,(1.5704088939895926-1.8500943916836667j),(1.5701889210328324-1.849343247572101j),0.0011815284163176692,(0.0002199729567602393-0.000751144111565738j)
0.125,(1.5343794226271237-1.8438011341438554j),(1.5310388523496372-1.8393097709281072j),0.0011229988648042825,(0.0033405702774864654-0.0044913632157481675j)
0.1275,(1.4993002289619548-1.8369743280846251j),(1.496881134835422-1.8368298641829135j),0.0011599863708966975,(0.0024190941265327393-0.00014446390171163337j)
0.13,(1.4651532748471057-1.829658618945471j),(1.4686068187172638-1.827106511726625j),0.0011204210033355026,(-0.003453543870158171-0.0025521072188461336j)
0.1325,(1.4319197413855034-1.8218959587270922j),(1.4311084544529251-1.822026288824213j),0.000910004638970669,(0.000811286932578259+0.0001303300971207122j)
0.135,(1.39958019184513-1.8137257251343124j),(1.3973868384672252-1.8122932358629065j),0.0011449820712471,(0.0021933533779048275-0.0014324892714059345j)
0.1375,(1.368114717342158-1.8051848410134852j),(1.3683111737971954-1.8036427014004934j),0.0010674378518206182,(-0.00019645645503740816-0.0015421396129917664j)
0.14,(1.3375030666361938-1.7963078930474325j),(1.3370612288399217-1.791178567877117j),0.0012470829857920294,(0.0004418377962720488-0.005129325170315502j)
0.14250000000000002,(1.3077247613291332-1.7871272488524454j),(1.3070980261398502-1.7869665052629795j),0.0010843605695212955,(0.0006267351892830231-0.00016074358946593925j)
0.145,(1.2787591976987573-1.7776731717813514j),(1.2757206540294024-1.7762680973294216j),0.0011119484667825093,(0.003038543669354965-0.001405074451929833j)
0.1475,(1.2505857363325064-1.767973932875873j),(1.2530916501164648-1.7672185860621614j),0.0009938370184993872,(-0.00250591378395848-0.0007553468137115882j)
0.15,(1.2231837806581283-1.7580559195323877j),(1.2206949915379248-1.7590782780458174j),0.0009632718590946711,(0.0024887891202034496+0.0010223585134296886j)
