f_range,G_0,G,var,bias
0.0,(3.744677977404511-0.141171033886482j),(3.74705196905856-0.14347266465260272j),0.000725668766835464,(-0.002373991654049057+0.0023016307661207214j)
0.004,(3.728802161916646-0.28114505948560986j),(3.7300212457783775-0.28232030770053756j),0.0004271645064939004,(-0.0012190838617316402+0.0011752482149277044j)
0.008,(3.702639510971777-0.41875866311616866j),(3.7007002278449703-0.42020781590193135j),0.0005457888673944656,(0.001939283126806579+0.0014491527857626862j)
0.012,(3.666622584430625-0.5529136595872163j),(3.6622196023543383-0.5540947795925937j),0.00044004753511457136,(0.004402982076286754+0.0011811200053774007j)
0.016,(3.621331989105082-0.6826049983909342j),(3.6165941927450085-0.6815896934319919j),0.0005114163234285675,(0.004737796360073432-0.001015304958942309j)
0.02,(3.567473672781198-0.8069435339244774j),(3.56369661808961-0.8051565189453829j),0.0005529947203728626,(0.0037770546915880665-0.0017870149790945034j)
0.024,(3.5058526701771258-0.9251727234285161j),(3.5048684227946985-0.9257890175052864j),0.0005119739926765062,(0.0009842473824273057+0.0006162940767703295j)
0.028,(3.437345028512533-1.036678837385124j),(3.43677872744248-1.03750041561776j),0.00048439691480715993,(0.0005663010700529547+0.0008215782326361776j)
0.032,(3.3628695941366793-1.1409947724873903j),(3.36522583404579-1.1434978074095195j),0.00044870265558027213,(-0.0023562399091106023+0.0025030349221291104j)
0.036000000000000004,(3.2833611504795948-1.2377979923314595j),(3.2854923093193316-1.23749089619481j),0.000392276336441203,(-0.002131158839736802-0.00030709613664958724j)
0.04,(3.1997461034141392-1.326903448442672j),(3.200993158018574-1.3280054742940988j),0.0004306279191194358,(-0.0012470546044349717+0.0011020258514267134j)
0.044,(3.1129215611933265-1.4082525371298562j),(3.110926077396777-1.4101669858231352j),0.0004883913503815282,(0.0019954837965494576+0.0019144486932789473j)
0.048,(3.02373829848235-1.4818992278828795j),(3.0223696328752165-1.483630624009635j),0.00035409272091637816,(0.0013686656071336678+0.0017313961267555467j)
0.052000000000000005,(2.9329877651629688-1.5479944731055948j),(2.931773926049134-1.5452203354175147j),0.0004333127506074995,(0.0012138391138347693-0.0027741376880801027j)
0.056,(2.841393026216591-1.606769902282197j),(2.841613198850693-1.6050242238064194j),0.0005903818578218859,(-0.00022017263410178955-0.0017456784757776678j)
0.06,(2.7496033123362618-1.658521644733779j),(2.750120739755479-1.6571266653842225j),0.0006580099529667667,(-0.0005174274192172312-0.0013949793495564577j)
0.064,(2.658191724341662-1.7035949409770903j),(2.6607459344501225-1.70296613567397j),0.0005762736649259516,(-0.002554210108460353-0.0006288053031202612j)
0.068,(2.5676555622055908-1.7423700158535955j),(2.5709172073423905-1.7423596777909773j),0.0006600215815559161,(-0.003261645136799718-1.0338062618187038e-05j)
0.07200000000000001,(2.4784187307404-1.7752495135590505j),(2.4803910930468067-1.7765793654753734j),0.0005224216814954753,(-0.0019723623064065166+0.001329851916322955j)
0.076,(2.390835695723726-1.8026476458302163j),(2.3906182062673738-1.8026132556349266j),0.0004327653602102028,(0.00021748945635202688-3.439019528972409e-05j)
0.08,(2.305196513436008-1.824981084786225j),(2.3058617627240325-1.8256167783697046j),0.0004726848531227844,(-0.000665249288024583+0.0006356935834797017j)
0.084,(2.221732521647629-1.842661542017925j),(2.224845131955162-1.8417333978048473j),0.000503866928388899,(-0.0031126103075331812-0.0009281442130777418j)
0.088,(2.1406223516446685-1.8560899133142112j),(2.14294017970224-1.8532577899287535j),0.00047175960009484765,(-0.002317828057571525-0.0028321233854577965j)
0.092,(2.0619979919606815-1.8656518300590474j),(2.0624417703958957-1.863870086415954j),0.0004908603274806882,(-0.0004437784352142593-0.0017817436430933586j)
