f_range,G_0,G,var,bias
0.0,(3.7499167270620757-0.017671066261967548j),(3.750953637687523-0.019800167947486794j),0.0005299146718642302,(-0.001036910625447529+0.002129101685519247j)
0.0005,(3.7496669304368475-0.03533977824620698j),(3.7488932867978937-0.033057963134585j),0.0004290696931152143,(0.0007736436389538248-0.002281815111621982j)
0.001,(3.749250676675169-0.05300378272039173j),(3.751977454230602-0.053926425755269895j),0.0006955459526664896,(-0.0027267775554329354+0.0009226430348781636j)
0.0015,(3.7486680766458904-0.07066072854202388j),(3.747540862234044-0.07189431550613863j),0.0005821821980173867,(0.0011272144118463778+0.001233586964114755j)
0.002,(3.7479192854620473-0.08830826770091307j),(3.74715703421588-0.0899684847472676j),0.00044939949678411104,(0.0007622512461673558+0.001660217046354523j)
0.0025,(3.747004502377668-0.10594405635873805j),(3.7513766055960547-0.10668604340034715j),0.00038464401604025583,(-0.004372103218386769+0.0007419870416091046j)
0.003,(3.745923970655312-0.12356575588472467j),(3.745883034883362-0.12019101960529593j),0.0005566898534837117,(4.0935771949968114e-05-0.0033747362794287333j)
0.0035,(3.744677977404511-0.141171033886482j),(3.745537715030057-0.14208000437764295j),0.000573555257724231,(-0.000859737625546142+0.0009089704911609542j)
0.004,(3.7432668533913036-0.15875756523504408j),(3.7434690583434924-0.15619946762839163j),0.0005556985245938138,(-0.0002022049521888114-0.0025580976066524597j)
0.0045000000000000005,(3.741690972819108-0.17632303308317637j),(3.741779220988953-0.17620569262768243j),0.0005712785762790328,(-8.82481698449844e-05-0.00011734045549394168j)
0.005,(3.739950753081205-0.19386512987601418j),(3.742309148760717-0.19293615678689172j),0.0006309827037706682,(-0.0023583956795123484-0.000928973089122459j)
0.0055,(3.7380466544851236-0.21138155835311465j),(3.739329582047045-0.2099116208433958j),0.0006055814257906496,(-0.0012829275619212765-0.001469937509718855j)
0.006,(3.735979179949275-0.22887003254101476j),(3.737060169364018-0.22777817233009856j),0.0005124924319844306,(-0.0010809894147429944-0.0010918602109162012j)
0.006500000000000001,(3.7337488746722225-0.24632827873540764j),(3.7333087478586386-0.24799522221925943j),0.0005947783028593167,(0.0004401268135838521+0.001666943483851796j)
0.007,(3.7313563257749567-0.26375403647205914j),(3.730330748664167-0.262887416915366j),0.0005066939889582721,(0.001025577110789655-0.0008666195566931489j)
0.0075,(3.728802161916646-0.28114505948560986j),(3.7276928590575897-0.27943878916945336j),0.0006326674244541073,(0.0011093028590560827-0.0017062703161564996j)
0.008,(3.7260870528843135-0.2984991166554238j),(3.7282089046219635-0.30079847528113385j),0.0005696358333841345,(-0.0021218517376500046+0.0022993586257100684j)
0.0085,(3.7232117091569275-0.3158139929376663j),(3.723390056602273-0.31552488862107914j),0.0006205767949696972,(-0.00017834744534539482-0.0002891043165871854j)
0.009000000000000001,(3.720176881444458-0.33308749028281415j),(3.71934690025083-0.3328736626349931j),0.0006641110134813459,(0.0008299811936276491-0.00021382764782107433j)
0.0095,(3.7169833602024327-0.3503174285378241j),(3.7190895609758985-0.35131788430998584j),0.00046143285238451015,(-0.002106200773465794+0.0010004557721617346j)
0.01,(3.7136319751225684-0.36750164633220833j),(3.715998642219576-0.365397613187926j),0.0004926113908756719,(-0.002366667097007724-0.0021040331442823135j)
0.0105,(3.7101235946001005-0.3846380019472924j),(3.710629946121538-0.3858002810233988j),0.0005249685583137965,(-0.0005063515214374092+0.0011622790761063873j)
0.011,(3.7064591251784362-0.4017243741679542j),(3.7093802194040153-0.39994083363684774j),0.0006138670645652142,(-0.0029210942255790684-0.0017835405311064645j)
0.0115,(3.702639510971777-0.41875866311616866j),(3.701592637148687-0.41812897992269443j),0.0006670470709798183,(0.0010468738230899888-0.0006296831934742286j)
0.012,(3.698665733066395-0.43573879106571345j),(3.6973455953917838-0.4351270899065714j),0.0006715317896728349,(0.0013201376746110327-0.0006117011591420529j)
0.0125,(3.6945388089012545-0.4526627032374162j),(3.695048192067345-0.45534700890527746j),0.0006517108074312309,(-0.0005093831660905046+0.0026843056678612642j)
0.013000000000000001,(3.69025979162871-0.4695283685743516j),(3.6903821631651326-0.4696587252971255j),0.000502295776830711,(-0.00012237153642269405+0.00013035672277389443j)
0.0135,(3.6858297694559945-0.48633378049643156j),(3.687423911532609-0.48601014266333287j),0.0005535921242717743,(-0.0015941420766143466-0.0003236378330986889j)
0.014,(3.6812498649682617-0.5030769576338531j),(3.6808466761975787-0.5025759681286865j),0.0005535075153812881,(0.0004031887706830162-0.000500989505166527j)
0.0145,(3.6765212344339626-0.5197559445389076j),(3.6736071398908097-0.5195741176098571j),0.0005426722804390804,(0.0029140945431529452-0.00018182692905055475j)
0.015,(3.6716450670933036-0.5363688123756829j),(3.6749931625808445-0.5373025560274379j),0.0006428074462376457,(-0.003348095487540892+0.0009337436517550257j)
0.0155,(3.666622584430625-0.5529136595872163j),(3.669726142354156-0.5497612103134916j),0.0005457392592120452,(-0.0031035579235307864-0.003152449273724711j)
0.016,(3.6614550394314764-0.5693886125396991j),(3.661752053452286-0.5705129756706634j),0.000669426920541344,(-0.00029701402080961614+0.001124363130964312j)
0.0165,(3.6561437158252104-0.5857918261433536j),(3.6552964281556375-0.5860055504874945j),0.0006162593213877285,(0.0008472876695728715+0.00021372434414090868j)
0.017,(3.6506899273139326-0.6021214844496448j),(3.650732573622985-0.6011276828361785j),0.0006435897189048914,(-4.2646309052596365e-05-0.0009938016134662941j)
0.0175,(3.6450950167886296-0.6183758012245161j),(3.6463847878211575-0.6178496947965004j),0.0005574315001515487,(-0.00128977103252792-0.0005261064280156491j)
0.018000000000000002,(3.63936035553332-0.6345530204973726j),(3.6354210600898726-0.6367983531622369j),0.0005319205405353183,(0.003939295443447399+0.0022453326648642635j)
0.0185,(3.6334873424180625-0.6506514170855691j),(3.634124859027551-0.6537906071730406j),0.0006071363851521533,(-0.0006375166094882978+0.003139190087471544j)
0.019,(3.627477403081689-0.6666692970941883j),(3.62802058061969-0.6667135917777818j),0.0005144850272119046,(-0.0005431775380007053+4.4294683593459894e-05j)
0.0195,(3.621331989105082-0.6826049983909342j),(3.62180498291042-0.6846316040465564j),0.0005910466360394126,(-0.0004729938053382732+0.0020266056556221823j)
0.02,(3.615052577175874-0.6984568910559894j),(3.6169074381795387-0.6984925344691202j),0.0006649745673136004,(-0.0018548610036646096+3.5643413130781454e-05j)
0.0205,(3.6086406682453998-0.714223377806722j),(3.6075031178076165-0.7147189978140539j),0.0005482073485840955,(0.0011375504377832968+0.0004956200073319428j)
0.021,(3.602097786678753-0.7299028943971605j),(3.602318163842113-0.7284012414887542j),0.0006515129007195079,(-0.00022037716336020807-0.0015016529084063146j)
0.021500000000000002,(3.595425479398794-0.7454939099921816j),(3.597787095722483-0.7432012085167431j),0.000599621210719371,(-0.002361616323689031-0.0022927014754384745j)
0.022,(3.5886253150249416-0.7609949275163884j),(3.585509033754429-0.7631868036993901j),0.0005435333816583345,(0.0031162812705125553+0.002191876183001651j)
0.0225,(3.581698883007584-0.7764044839776902j),(3.5840779242042515-0.7750810388135878j),0.0005445526306804628,(-0.0023790411966673197-0.0013234451641024325j)
0.023,(3.574647792758945-0.7917211507656242j),(3.5716359153864428-0.7890972434524595j),0.0005120761160788004,(0.003011877372502081-0.002623907313164753j)
0.0235,(3.567473672781198-0.8069435339244774j),(3.5671535541198183-0.8070632331520775j),0.0005055261014732597,(0.0003201186613797091+0.00011969922760013407j)
0.024,(3.5601781697926613-0.8220702744013167j),(3.559702255805362-0.8191712248012957j),0.0006332992812085963,(0.0004759139872994034-0.0028990496000210753j)
0.0245,(3.5527629478528726-0.8371000482690453j),(3.548934353577207-0.8367704990664523j),0.0005992627138780112,(0.003828594275665509-0.0003295492025929825j)
0.025,(3.545229687487306-0.8520315669246399j),(3.545629495887636-0.8529855925814911j),0.0005540013008590569,(-0.0003998084003300484+0.0009540256568512095j)
0.025500000000000002,(3.5375800848125296-0.8668635772627428j),(3.5354092099888534-0.8684848464836781j),0.00048234637855855606,(0.002170874823676172+0.0016212692209353063j)
0.026000000000000002,(3.5298158506625663-0.8815948618248229j),(3.5292200456575467-0.8817674992554139j),0.0005314098666230636,(0.0005958050050196562+0.0001726374305909273j)
0.0265,(3.521938709717177-0.8962242389241207j),(3.5207052615238474-0.8973298888686693j),0.0005629799025124458,(0.0012334481933296004+0.0011056499445485368j)
0.027,(3.5139503996328445-0.9107505627466507j),(3.514475700059532-0.9095706347696421j),0.0006388555504983928,(-0.000525300426687636-0.0011799279770086102j)
0.0275,(3.5058526701771258-0.9251727234285161j),(3.504195557242926-0.9212118146140102j),0.0004899682099876915,(0.0016571129341995672-0.003960908814505837j)
0.028,(3.497647282367118-0.9394896471098583j),(3.4944565116356325-0.9387293226054406j),0.0005173387067544805,(0.003190770731485326-0.0007603245044176532j)
0.0285,(3.4893360076126823-0.9537002959657439j),(3.4903450745375895-0.955374146961441j),0.0005644358936670529,(-0.0010090669249072093+0.001673850995697057j)
0.029,(3.48092062686512-0.9678036682143446j),(3.482353337909977-0.9682207883130718j),0.0005722698432928152,(-0.0014327110448570934+0.00041712009872718614j)
0.029500000000000002,(3.4724029297719357-0.9817987981027669j),(3.4710819174046588-0.9822842733629924j),0.0005296360276333183,(0.0013210123672768859+0.0004854752602254653j)
0.03,(3.4637847138383115-0.9956847558709124j),(3.4651119682377165-0.9964064591335039j),0.0005709587075905599,(-0.0013272543994049535+0.0007217032625914666j)
0.0305,(3.4550677835959047-1.009460647693769j),(3.4539415490634044-1.0067196964250729j),0.0005646839223955621,(0.0011262345325002698-0.0027409512686962234j)
0.031,(3.4462539497795697-1.0231256156025528j),(3.445913935268498-1.0226848282433978j),0.0005158446539891158,(0.0003400145110714625-0.00044078735915498157j)
0.0315,(3.437345028512533-1.036678837385124j),(3.436001249478804-1.035949688454768j),0.0005272534128383854,(0.0013437790337289535-0.0007291489303558052j)
0.032,(3.4283428405006244-1.0501195264661327j),(3.42856937121527-1.054187302379588j),0.00046207637302499193,(-0.00022653071464562302+0.004067775913455307j)
0.0325,(3.4192492102360315-1.0634469317673516j),(3.42166605709517-1.0657167862824337j),0.0006277689680015894,(-0.002416846859138566+0.0022698545150821037j)
0.033,(3.4100659652111323-1.0766603375486699j),(3.4107553087879414-1.0769973626411886j),0.0004849790829460099,(-0.0006893435768091649+0.0003370250925187612j)
