f_range,G_0,G,var,bias
0.0,(3.7499467048936768-0.01413696602333667j),(3.752465543111307-0.016106322539149096j),0.0009295579258526573,(-0.002518838217630215+0.001969356515812426j)
0.0004,(3.749786828663497-0.028272726608296828j),(3.7515522439773497-0.024373489117332895j),0.0008354629295826321,(-0.0017654153138524364-0.0038992374909639325j)
0.0008,(3.7495203985719607-0.04240607665909949j),(3.7500459743523322-0.03874571315587404j),0.00032057639708823484,(-0.00052557578037149-0.003660363503225454j)
0.0012000000000000001,(3.749147460043654-0.05653581176495029j),(3.7510001388232155-0.05797493835621883j),0.0008509051236233998,(-0.001852678779561412+0.00143912659126854j)
0.0016,(3.7486680766458904-0.07066072854202388j),(3.750272501344501-0.07010214739566697j),0.00042489407739557117,(-0.0016044246986104405-0.0005585811463569013j)
0.002,(3.748082330061636-0.08477962497483373j),(3.745041992824125-0.08455701433530123j),0.000660586840099125,(0.0030403372375107374-0.0002226106395324945j)
0.0024000000000000002,(3.747390320054724-0.09889130075678636j),(3.747662553438043-0.09670326885798412j),0.0005945213248433854,(-0.0002722333833191648-0.002188031898802234j)
0.0028,(3.7465921644274065-0.11299455762971733j),(3.7475263538100223-0.11329085942165286j),0.0006017494592563632,(-0.0009341893826158021+0.00029630179193552986j)
0.0032,(3.7456879989702636-0.1270881997222079j),(3.7461030818761896-0.12706528607365458j),0.000681695346795216,(-0.0004150829059259564-2.2913648553307686e-05j)
0.0036000000000000003,(3.744677977404511-0.141171033886482j),(3.745738708358365-0.14045570195471374j),0.0004851871674817995,(-0.001060730953854172-0.0007153319317682594j)
0.004,(3.743562271316759-0.15524187003368545j),(3.74491902505137-0.15843603566937628j),0.00048790153002874036,(-0.0013567537346110825+0.003194165635690832j)
0.0044,(3.742341070086267-0.1692995214673495j),(3.7438905632130566-0.16573551160552533j),0.0007905112283435837,(-0.0015494931267894252-0.0035640098618241745j)
0.0048000000000000004,(3.741014580804757-0.183342805214845j),(3.741390464112527-0.18837260190568295j),0.0006604653950288862,(-0.00037588330777005297+0.0050297966908379454j)
0.005200000000000001,(3.7395830281888363-0.19737054235663168j),(3.743305255940699-0.19950732457097592j),0.0005537800452711912,(-0.0037222277518629276+0.0021367822143442405j)
0.0056,(3.7380466544851236-0.21138155835311465j),(3.737508750781072-0.21014470767924553j),0.0007471290906718572,(0.000537903704051601-0.001236850673869111j)
0.006,(3.736405719368124-0.22537468336891744j),(3.739481196430044-0.2244786326470429j),0.0006694324254534573,(-0.0030754770619196847-0.0008960507218745417j)
0.0064,(3.734660499830953-0.23934875259438657j),(3.735586086161188-0.2387672083318309j),0.0004505765655721146,(-0.0009255863302350953-0.000581544262555661j)
