f_range,G_0,G,var,bias
0.0,(3.744677977404511-0.141171033886482j),(3.7456197957800526-0.14049524906964314j),0.0006020195389476523,(-0.0009418183755416365-0.0006757848168388592j)
0.004,(3.728802161916646-0.28114505948560986j),(3.7284206089830607-0.2794827416495572j),0.0005379608424510478,(0.00038155293358510534-0.0016623178360526403j)
0.008,(3.702639510971777-0.41875866311616866j),(3.702586850841793-0.42079910705725293j),0.00045136034025286526,(5.2660129983728154e-05+0.002040443941084269j)
0.012,(3.666622584430625-0.5529136595872163j),(3.6674131500421185-0.5530178793739712j),0.0006662237946260724,(-0.0007905656114934878+0.00010421978675489996j)
0.016,(3.621331989105082-0.6826049983909342j),(3.6221721454868576-0.6814833661612602j),0.00048600205216705635,(-0.000840156381775703-0.0011216322296740966j)
0.02,(3.567473672781198-0.8069435339244774j),(3.5631222737535486-0.808262493737223j),0.0005696005795327288,(0.004351399027649361+0.001318959812745657j)
0.024,(3.5058526701771258-0.9251727234285161j),(3.5065330497433616-0.9265365139874386j),0.0006001813225671883,(-0.0006803795662357892+0.0013637905589225507j)
0.028,(3.437345028512533-1.036678837385124j),(3.436417250508163-1.0359829823832336j),0.0006367269215645768,(0.000927778004369717-0.0006958550018902887j)
0.032,(3.3628695941366793-1.1409947724873903j),(3.364383640842235-1.1407257523197638j),0.0004813879787419353,(-0.0015140467055556606-0.00026902016762653247j)
0.036000000000000004,(3.2833611504795948-1.2377979923314595j),(3.28312332714688-1.237717165155954j),0.00040314852808115485,(0.000237823332714715-8.082717550550456e-05j)
0.04,(3.1997461034141392-1.326903448442672j),(3.19961250502047-1.3277051322337419j),0.0005955919557791233,(0.00013359839366922088+0.0008016837910698182j)
0.044,(3.1129215611933265-1.4082525371298562j),(3.1110118251483994-1.4100155818448274j),0.0008139044485020253,(0.0019097360449271683+0.0017630447149712403j)
0.048,(3.02373829848235-1.4818992278828795j),(3.025139819741759-1.4831762310370002j),0.0005349107637214704,(-0.0014015212594089554+0.001277003154120715j)
0.052000000000000005,(2.9329877651629688-1.5479944731055948j),(2.9346381101678753-1.5465997506064937j),0.0005113549835676593,(-0.0016503450049065727-0.0013947224991011087j)
0.056,(2.841393026216591-1.606769902282197j),(2.83985456185173-1.604848614349715j),0.0005740320272937927,(0.0015384643648612695-0.0019212879324821408j)
0.06,(2.7496033123362618-1.658521644733779j),(2.7499253850822982-1.6587641495326833j),0.0005202569387078855,(-0.0003220727460364614+0.00024250479890430832j)
0.064,(2.658191724341662-1.7035949409770903j),(2.6558886460898314-1.7030388222527417j),0.0005902915925251607,(0.002303078251830737-0.0005561187243485755j)
0.068,(2.5676555622055908-1.7423700158535955j),(2.569553516099195-1.7416432150119712j),0.000481695742538873,(-0.001897953893604143-0.0007268008416243532j)
0.07200000000000001,(2.4784187307404-1.7752495135590505j),(2.4786337870961384-1.7754350412049709j),0.0006016906290003444,(-0.0002150563557381524+0.0001855276459203914j)
0.076,(2.390835695723726-1.8026476458302163j),(2.3899576018465534-1.8034550597921601j),0.000596414008887936,(0.0008780938771724145+0.000807413961943837j)
0.08,(2.305196513436008-1.824981084786225j),(2.304537784432248-1.824493433096552j),0.00045494880096159837,(0.0006587290037600724-0.0004876516896727967j)
0.084,(2.221732521647629-1.842661542017925j),(2.223011677190326-1.8414807415061973j),0.0005852429329039858,(-0.0012791555426971968-0.0011808005117277531j)
0.088,(2.1406223516446685-1.8560899133142112j),(2.138420176578082-1.8553769132772877j),0.0005644021243500625,(0.002202175066586598-0.000713000036923539j)
