f_range,G_0,G,var,bias
0.01,(3.7169833602024327-0.3503174285378241j),(3.7286342796581233-0.16884072921932639j),0.00010239699581832687,(-0.011650919455690634-0.18147669931849772j)
0.02,(3.621331989105082-0.6826049983909342j),(3.574606142330161-0.5881454584447331j),3.04570913142258e-05,(0.046725846774920754-0.09445953994620115j)
0.03,(3.4724029297719357-0.9817987981027669j),(3.4096087626464695-0.9448918779532529j),1.9897813060080372e-05,(0.06279416712546615-0.03690692014951402j)
0.04,(3.2833611504795948-1.2377979923314595j),(3.2336421406070475-1.23907998774489j),2.3648747083872767e-05,(0.04971900987254729+0.0012819954134304368j)
0.05,(3.0685737890883007-1.4460313309197002j),(3.0467062762118933-1.4707097878196387j),6.021669518694288e-06,(0.021867512876407424+0.024678456899938528j)
0.06,(2.841393026216591-1.606769902282197j),(2.8328647976496013-1.6169324235980682j),6.586965026493065e-06,(0.00852822856698987+0.010162521315871142j)
0.07,(2.612786040809993-1.7237449805542338j),(2.6111933097144284-1.7279568184916307j),3.841153922628002e-06,(0.0015927310955645702+0.004211837937396989j)
0.08,(2.390835695723726-1.8026476458302163j),(2.3924669517990895-1.8043014286001613j),5.387561539873199e-06,(-0.0016312560753637406+0.0016537827699449892j)
0.09,(2.180873936884638-1.849882735401002j),(2.1839742057751974-1.8509135529983458j),7.930392972491653e-06,(-0.0031002688905594766+0.0010308175973439138j)
0.1,(1.9859507004152042-1.871714439244773j),(1.98853087564785-1.8726639913976368j),7.243921985498502e-06,(-0.002580175232645754+0.0009495521528637418j)
0.11,(1.8074031935107289-1.8737811162866527j),(1.8090727845135117-1.8755142591916352j),7.4792292710059854e-06,(-0.0016695910027828553+0.0017331429049824987j)
0.12,(1.6453858094165104-1.86088750962617j),(1.6462596163673227-1.8633407155910235j),1.1845054660870645e-05,(-0.0008738069508122948+0.0024532059648534332j)
0.13,(1.4993002289619548-1.8369743280846251j),(1.4989281396716614-1.8392507970965628j),1.2436498858019246e-05,(0.0003720892902934203+0.0022764690119376763j)
0.14,(1.368114717342158-1.8051848410134852j),(1.3666828568746274-1.80624885637214j),1.2713206187169775e-05,(0.0014318604675305213+0.0010640153586547463j)
0.15,(1.2505857363325064-1.767973932875873j),(1.2479845001930314-1.768186392326239j),1.80550538172025e-05,(0.0026012361394749384+0.00021245945036607594j)
0.16,(1.1454029992502197-1.7272270309652193j),(1.142716494700615-1.7262092479482722j),2.0235841883596296e-05,(0.002686504549604729-0.0010177830169471047j)
0.17,(1.05127882884355-1.684371821240384j),(1.0494362149434697-1.6831526701582018j),2.0046902971934283e-05,(0.0018426139000802255-0.0012191510821821794j)
0.18,(0.96699911961129-1.6404753583072582j),(0.9656960456805378-1.639518648605861j),1.2575569956876248e-05,(0.001303073930752241-0.0009567097013971626j)
0.19,(0.891448978231932-1.5963246498062325j),(0.891258484625547-1.5959934628983972j),1.4465258178443691e-05,(0.00019049360638501156-0.00033118690783529026j)
0.2,(0.8236223527800214-1.5524915596956346j),(0.8243073820154594-1.552683344144295j),1.7932704450688216e-05,(-0.0006850292354380061+0.0001917844486605258j)
0.21,(0.7626220063166317-1.5093840462814503j),(0.7627330718984231-1.5091578140312132j),1.7331124339559676e-05,(-0.00011106558179141413-0.0002262322502371017j)
0.22,(0.7076540286253036-1.4672860604242333j),(0.7070681261174215-1.4672791046768308j),1.5865998703849178e-05,(0.0005859025078820412-6.955747402503931e-06j)
0.23,(0.6580195694623413-1.4263883172854352j),(0.657101285262547-1.4267827219878704j),1.4283694600824548e-05,(0.0009182841997943392+0.00039440470243512493j)
0.24,(0.6131054556270443-1.3868118685970967j),(0.6123462346933544-1.38641194531955j),6.508775820888145e-06,(0.0007592209336899636-0.00039992327754667656j)
0.25,(0.5723746816484291-1.3486260712256268j),(0.57084600766203-1.3478836978510498j),1.3233965068784554e-05,(0.0015286739863991095-0.0007423733745770544j)
0.26,(0.53535733104205-1.311862233432772j),(0.5344087957168634-1.310534827016225j),2.3224275957879045e-05,(0.0009485353251865725-0.001327406416547161j)
0.27,(0.5016422128987947-1.276523947526438j),(0.5018063913289388-1.273645096057351j),2.658078384022816e-05,(-0.00016417843014404632-0.0028788514690869516j)
0.28,(0.47086933192620006-1.242594892543272j),(0.46970555173414097-1.2388087162912411j),3.128616127518779e-05,(0.001163780192059094-0.003786176252030815j)
0.29,(0.4427232115690961-1.210044710464062j),(0.44101575223633427-1.2074775600478973j),2.557727299186908e-05,(0.0017074593327618404-0.002567150416164621j)
0.3,(0.4169270345940797-1.1788334180673647j),(0.41550319955771764-1.1770744442203822j),2.3265156287493863e-05,(0.0014238350363620644-0.0017589738469825367j)
0.31,(0.39323753721323174-1.1489147069630938j),(0.39077696998785805-1.1488096495737037j),2.6583837945461275e-05,(0.0024605672253736888-0.00010505738939015075j)
0.32,(0.371440580891926-1.1202384001681926j),(0.36950349586092274-1.1215432129153207j),2.6269342847117926e-05,(0.0019370850310032606+0.0013048127471280146j)
0.33,(0.35134732369403104-1.092752269265847j),(0.3515836269091841-1.093559721346707j),3.413824064931135e-05,(-0.0002363032151530553+0.0008074520808600827j)
0.34,(0.33279091612072026-1.066403367211597j),(0.33268933346012153-1.0665515184555956j),3.818622459555092e-05,(0.00010158266059873133+0.0001481512439986954j)
0.35000000000000003,(0.3156236522679876-1.0411389946275043j),(0.3146178872386166-1.0401186110371718j),3.1592666129598535e-05,(0.0010057650293709974-0.0010203835903324077j)
0.36,(0.2997145141703045-1.0169073891629956j),(0.29958376287976746-1.0149257032083907j),2.7826071957198237e-05,(0.0001307512905370234-0.001981685954604906j)
0.37,(0.2849470544789856-0.9936582060446874j),(0.28479076873521375-0.9920248779975961j),3.6831386761881094e-05,(0.00015628574377185567-0.0016333280470912648j)
0.38,(0.27121756962151194-0.9713428416420591j),(0.2703529463633688-0.9699388584561126j),4.6197059346176565e-05,(0.0008646232581431268-0.001403983185946478j)
0.39,(0.258433522034735-0.9499146394908227j),(0.25851743901647506-0.9486184048740862j),4.0273777226871965e-05,(-8.391698174003981e-05-0.001296234616736447j)
0.4,(0.24651217584701315-0.9293290087936947j),(0.2479201712173531-0.9284833036310168j),3.441229598276485e-05,(-0.0014079953703399484-0.0008457051626779011j)
0.41000000000000003,(0.2353794154785128-0.9095434782424736j),(0.2363210134305258-0.909184531241335j),2.1502472659556204e-05,(-0.0009415979520130124-0.0003589470011385876j)
0.42,(0.2249687210621368-0.8905177025341376j),(0.22542424630472746-0.889563758613083j),2.952951523784657e-05,(-0.0004555252425906542-0.0009539439210546341j)
0.43,(0.21522027841246455-0.8722134347777517j),(0.21568044828055608-0.8709975587515362j),3.2463016996368794e-05,(-0.0004601698680915256-0.0012158760262155344j)
0.44,(0.20608020455031756-0.8545944747985388j),(0.2071421123528332-0.8545941440681327j),3.381899191191756e-05,(-0.001061907802515638-3.307304060617966e-07j)
0.45,(0.19749987259179938-0.8376266009060788j),(0.19878414287353297-0.8381108782457679j),2.041669277441239e-05,(-0.001284270281733585+0.0004842773396891431j)
