f_range,G_0,G,var,bias
0.0,(3.698665733066395-0.43573879106571345j),(3.69995595367597-0.43439463280288493j),6.28583230421436e-06,(-0.0012902206095750657-0.001344158262828521j)
0.0125,(3.5527629478528726-0.8371000482690453j),(3.551768652431744-0.8374655608016645j),7.600368325251027e-06,(0.0009942954211283883+0.00036551253261918326j)
0.025,(3.3335935589764825-1.178189216430162j),(3.3332880067572166-1.178744873680996j),5.3163216922238765e-06,(0.00030555221926586995+0.0005556572508340629j)
0.037500000000000006,(3.0685737890883007-1.4460313309197002j),(3.0681584867298186-1.4464391647273587j),1.131480328908647e-05,(0.00041530235848208363+0.00040783380765851973j)
0.05,(2.7840092571970665-1.6399168181130523j),(2.783621994779281-1.639663965140754j),8.80823379100508e-06,(0.00038726241778563875-0.00025285297229826753j)
0.0625,(2.5005855991298316-1.7675598032772097j),(2.499823109236851-1.7665820840994872j),1.5963765143093137e-05,(0.0007624898929807777-0.0009777191777224914j)
0.07500000000000001,(2.2320399863225515-1.8406921111817676j),(2.2310696838371453-1.8402252256793135j),2.1981941080577173e-05,(0.0009703024854061937-0.0004668855024541063j)
0.08750000000000001,(1.9859507004152042-1.871714439244773j),(1.9836388418337603-1.872010313667785j),2.081880919300354e-05,(0.002311858581443893+0.00029587442301193256j)
0.1,(1.7653624922656015-1.8717918198607968j),(1.7648107390972685-1.871185167594314j),3.528805802509832e-05,(0.0005517531683330024-0.0006066522664827101j)
0.1125,(1.5704088939895926-1.8500943916836667j),(1.5720881039076886-1.8491886285380255j),2.5882251328211915e-05,(-0.001679209918096003-0.0009057631456412807j)
0.125,(1.39958019184513-1.8137257251343124j),(1.3999378844024053-1.8125869208962104j),2.3182495235224953e-05,(-0.0003576925572752465-0.0011388042381019758j)
0.1375,(1.2505857363325064-1.767973932875873j),(1.2486107552025336-1.7678880859803816j),4.452878876341323e-05,(0.0019749811299727416-8.584689549140379e-05j)
0.15000000000000002,(1.1208841679404082-1.7166637154192637j),(1.1221332014939616-1.714492353272398j),1.862525734306013e-05,(-0.0012490335535533248-0.002171362146865752j)
