f_range,G_0,G,var,bias
0.01,(3.7169833602024327-0.3503174285378241j),(3.7177378383234605-0.3499482729938692j),9.521174153573745e-06,(-0.0007544781210278018-0.00036915554395489103j)
0.02,(3.621331989105082-0.6826049983909342j),(3.6225048359596266-0.6824138111831369j),6.200505389322712e-06,(-0.0011728468545446624-0.00019118720779731646j)
0.03,(3.4724029297719357-0.9817987981027669j),(3.4718740145914233-0.9817988397151747j),5.377317199631623e-06,(0.000528915180512346+4.1612407741808966e-08j)
0.04,(3.2833611504795948-1.2377979923314595j),(3.283333014073323-1.2375590843353048j),1.0019033842725404e-05,(2.8136406271972447e-05-0.00023890799615466918j)
0.05,(3.0685737890883007-1.4460313309197002j),(3.0689005886331664-1.4450052216430893j),8.444046817457977e-06,(-0.00032679954486569684-0.0010261092766108426j)
0.06,(2.841393026216591-1.606769902282197j),(2.8439561306226895-1.6070815811259889j),2.0711347405005058e-05,(-0.0025631044060983044+0.0003116788437917961j)
0.07,(2.612786040809993-1.7237449805542338j),(2.6120751859803732-1.7242384461275149j),3.190540297702336e-05,(0.0007108548296197448+0.0004934655732811155j)
0.08,(2.390835695723726-1.8026476458302163j),(2.391842647744725-1.8026562722338864j),1.8967440685807083e-05,(-0.0010069520209992078+8.626403670053406e-06j)
0.09,(2.180873936884638-1.849882735401002j),(2.1803515454207716-1.848910319644913j),3.171810650794952e-05,(0.0005223914638663452-0.0009724157560888624j)
0.1,(1.9859507004152042-1.871714439244773j),(1.9850023751951458-1.871662254726799j),5.575620858509252e-05,(0.000948325220058388-5.218451797417423e-05j)
0.11,(1.8074031935107289-1.8737811162866527j),(1.8076514386334575-1.8746937214175814j),1.7767392533162216e-05,(-0.00024824512272858534+0.0009126051309287231j)
0.12,(1.6453858094165104-1.86088750962617j),(1.6484521795596798-1.8599477963329036j),4.82516334902456e-05,(-0.003066370143169461-0.0009397132932664753j)
0.13,(1.4993002289619548-1.8369743280846251j),(1.4985727139026712-1.8370858232315386j),2.423418855265498e-05,(0.00072751505928359+0.00011149514691344287j)
0.14,(1.368114717342158-1.8051848410134852j),(1.366567400096364-1.805150466181409j),2.0070783878128643e-05,(0.0015473172457940443-3.43748320761339e-05j)
0.15,(1.2505857363325064-1.767973932875873j),(1.2513741283973974-1.7686638881323908j),4.618782023560047e-05,(-0.0007883920648910081+0.0006899552565178269j)
0.16,(1.1454029992502197-1.7272270309652193j),(1.1481822626064253-1.7287298750970852j),2.2025877831262463e-05,(-0.002779263356205597+0.0015028441318658547j)
0.17,(1.05127882884355-1.684371821240384j),(1.0515872452161827-1.6831033333676797j),4.891322444383487e-05,(-0.00030841637263279154-0.0012684878727042825j)
0.18,(0.96699911961129-1.6404753583072582j),(0.9690987612594619-1.6422551135769785j),4.6640551424416796e-05,(-0.0020996416481718905+0.0017797552697202956j)
0.19,(0.891448978231932-1.5963246498062325j),(0.8921011357462811-1.5976296029512216j),6.436141032078232e-05,(-0.0006521575143491054+0.0013049531449891294j)
0.2,(0.8236223527800214-1.5524915596956346j),(0.8233744038580343-1.552935559382477j),5.6795210600906676e-05,(0.0002479489219870956+0.000443999686842389j)
0.21,(0.7626220063166317-1.5093840462814503j),(0.7673289131744206-1.5092980559448503j),4.9323991886322746e-05,(-0.004706906857788962-8.599033659995037e-05j)
0.22,(0.7076540286253036-1.4672860604242333j),(0.7088776258635646-1.4621966399901656j),3.097137427177387e-05,(-0.0012235972382610427-0.005089420434067682j)
0.23,(0.6580195694623413-1.4263883172854352j),(0.6600193033144881-1.427566319996175j),3.1373523289897314e-05,(-0.001999733852146801+0.0011780027107397562j)
0.24,(0.6131054556270443-1.3868118685970967j),(0.6153025504827204-1.3832081776779956j),7.019734440093749e-05,(-0.002197094855676096-0.0036036909191010658j)
0.25,(0.5723746816484291-1.3486260712256268j),(0.5744337957766963-1.3450476310240782j),5.4908857036353415e-05,(-0.002059114128267203-0.003578440201548627j)
0.26,(0.53535733104205-1.311862233432772j),(0.5393760617537745-1.311153359565107j),0.0001060888333729582,(-0.0040187307117245386-0.0007088738676650497j)
