f_range,G_0,G,var,bias
0.02,(3.7169833602024327-0.3503174285378241j),(3.7197242332357163-0.3481690182393126j),1.3074504990407144e-06,(-0.0027408730332836306-0.002148410298511483j)
0.03,(3.621331989105082-0.6826049983909342j),(3.61603583737396-0.6858245438949635j),1.7677484309375689e-06,(0.0052961517311218564+0.003219545504029253j)
0.04,(3.4724029297719357-0.9817987981027669j),(3.472488950347487-0.9816104691521828j),1.1459502222297414e-06,(-8.602057555151532e-05-0.0001883289505841823j)
0.05,(3.2833611504795948-1.2377979923314595j),(3.2836641055167486-1.2377527487289024j),1.7981267382232052e-06,(-0.0003029550371538292-4.5243602557087925e-05j)
0.06,(3.0685737890883007-1.4460313309197002j),(3.068925314868293-1.4458934635663636j),8.527729718558346e-07,(-0.00035152577999220114-0.00013786735333654043j)
0.07,(2.841393026216591-1.606769902282197j),(2.841514149238214-1.6066222987682224j),8.251002038935508e-07,(-0.00012112302162270439-0.0001476035139746923j)
0.08,(2.612786040809993-1.7237449805542338j),(2.6126512230357837-1.7237418641420428j),1.6637430664820867e-06,(0.00013481777420931707-3.11641219097325e-06j)
0.09,(2.390835695723726-1.8026476458302163j),(2.3906371364437398-1.8027267828672664j),1.6992112780038873e-06,(0.0001985592799860214+7.913703705009212e-05j)
0.1,(2.180873936884638-1.849882735401002j),(2.180686663066241-1.8499460053098327j),1.0015836649443129e-06,(0.0001872738183967826+6.326990883076533e-05j)
0.11,(1.9859507004152042-1.871714439244773j),(1.9860854477049181-1.871351652540444j),1.4821121973192032e-06,(-0.00013474728971396566-0.00036278670432898785j)
0.12,(1.8074031935107289-1.8737811162866527j),(1.8076190359430584-1.8735911247163235j),2.052202982807315e-06,(-0.00021584243232952716-0.00018999157032917324j)
0.13,(1.6453858094165104-1.86088750962617j),(1.645657704321395-1.860811078582289j),1.7244768350465558e-06,(-0.0002718949048845509-7.64310438812199e-05j)
0.14,(1.4993002289619548-1.8369743280846251j),(1.4991088398644543-1.8367465791959896j),1.362712053680475e-06,(0.00019138909750049393-0.00022774888863552611j)
0.15,(1.368114717342158-1.8051848410134852j),(1.3675781273553922-1.8044697124571407j),1.1728872036157157e-06,(0.0005365899867657564-0.0007151285563444798j)
